Time Remaining,PCMB,Away Team Score,Play Team Indicator,Home Team Score,RCMBB12,Game Score,Team Indicator,Play,Period
19:43,,0,,3 (+3),"GOOD 3PTR by GALOW,ANDREW",RCMBB12 0-3 (+3),,"GOOD 3PTR by GALOW,ANDREW",1
19:19,"MISS 3PTR by ANGLE,COLIN",,,,,,,"MISS 3PTR by ANGLE,COLIN",1
--,,,,,"REBOUND DEF by GALOW,ANDREW",,,"REBOUND DEF by GALOW,ANDREW",1
19:14,,0,,5 (+5),"GOOD JUMPER by KILPATRICK,KORY",RCMBB12 0-5 (+5),,"GOOD JUMPER by KILPATRICK,KORY",1
--,,,,,"ASSIST  by CHIEN,KEVIN",,,"ASSIST  by CHIEN,KEVIN",1
19:01,"MISS JUMPER by SYDNESS,KENNY",,,,,,,"MISS JUMPER by SYDNESS,KENNY",1
--,,,,,"REBOUND DEF by HARTWELL,THEO",,,"REBOUND DEF by HARTWELL,THEO",1
18:50,,,,,"MISS 3PTR by DUNAVANT,JOHN",,,"MISS 3PTR by DUNAVANT,JOHN",1
--,"REBOUND DEF by MACDONALD,JUSTIN",,,,,,,"REBOUND DEF by MACDONALD,JUSTIN",1
18:40,"GOOD JUMPER by MACDONALD,JUSTIN",2,,5 (+3),,PCMB 2-5 (+3),,"GOOD JUMPER by MACDONALD,JUSTIN",1
18:29,"FOUL  by SYDNESS,KENNY",,,,,,,"FOUL  by SYDNESS,KENNY",1
18:29,,,,,"MISS FT by GALOW,ANDREW",,,"MISS FT by GALOW,ANDREW",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
18:29,,,,,"MISS FT by GALOW,ANDREW",,,"MISS FT by GALOW,ANDREW",1
--,"REBOUND DEF by SYDNESS,KENNY",,,,,,,"REBOUND DEF by SYDNESS,KENNY",1
18:11,"MISS JUMPER by MACDONALD,JUSTIN",,,,,,,"MISS JUMPER by MACDONALD,JUSTIN",1
--,,,,,"REBOUND DEF by KILPATRICK,KORY",,,"REBOUND DEF by KILPATRICK,KORY",1
17:58,,,,,"MISS 3PTR by GALOW,ANDREW",,,"MISS 3PTR by GALOW,ANDREW",1
--,"REBOUND DEF by SYDNESS,KENNY",,,,,,,"REBOUND DEF by SYDNESS,KENNY",1
17:34,"MISS 3PTR by JONE,MATT",,,,,,,"MISS 3PTR by JONE,MATT",1
--,,,,,"REBOUND DEF by KILPATRICK,KORY",,,"REBOUND DEF by KILPATRICK,KORY",1
17:25,,,,,"MISS JUMPER by HARTWELL,THEO",,,"MISS JUMPER by HARTWELL,THEO",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
17:06,,2,,8 (+6),"GOOD 3PTR by DUNAVANT,JOHN",RCMBB12 2-8 (+6),,"GOOD 3PTR by DUNAVANT,JOHN",1
--,,,,,"ASSIST  by GALOW,ANDREW",,,"ASSIST  by GALOW,ANDREW",1
16:47,"MISS JUMPER by JONE,MATT",,,,,,,"MISS JUMPER by JONE,MATT",1
--,,,,,"REBOUND DEF by HARTWELL,THEO",,,"REBOUND DEF by HARTWELL,THEO",1
16:39,,,,,"MISS 3PTR by DUNAVANT,JOHN",,,"MISS 3PTR by DUNAVANT,JOHN",1
--,"REBOUND DEF by HENINGER,TOMMY",,,,,,,"REBOUND DEF by HENINGER,TOMMY",1
16:07,"MISS JUMPER by SYDNESS,KENNY",,,,,,,"MISS JUMPER by SYDNESS,KENNY",1
--,,,,,"REBOUND DEF by KILPATRICK,KORY",,,"REBOUND DEF by KILPATRICK,KORY",1
16:01,,2,,10 (+8),"GOOD JUMPER by GALOW,ANDREW",RCMBB12 2-10 (+8),,"GOOD JUMPER by GALOW,ANDREW",1
15:47,"MISS JUMPER by ANGLE,COLIN",,,,,,,"MISS JUMPER by ANGLE,COLIN",1
--,,,,,"REBOUND DEF by CHIEN,KEVIN",,,"REBOUND DEF by CHIEN,KEVIN",1
15:39,,,,,"TURNOVER  by CHIEN,KEVIN",,,"TURNOVER  by CHIEN,KEVIN",1
15:36,"STEAL  by ANGLE,COLIN",,,,,,,"STEAL  by ANGLE,COLIN",1
15:33,"MISS 3PTR by MACDONALD,JUSTIN",,,,,,,"MISS 3PTR by MACDONALD,JUSTIN",1
--,,,,,"REBOUND DEF by DUNAVANT,JOHN",,,"REBOUND DEF by DUNAVANT,JOHN",1
