Time Remaining,OWUM,Away Team Score,Play Team Indicator,Home Team Score,RCMBB12,Game Score,Team Indicator,Play,Period
19:50,"MISS JUMPER by BRADY,TIM",,,,,,,"MISS JUMPER by BRADY,TIM",1
--,,,,,"REBOUND DEF by HARTWELL,THEO",,,"REBOUND DEF by HARTWELL,THEO",1
19:15,,,,,"TURNOVER  by GALOW,ANDREW",,,"TURNOVER  by GALOW,ANDREW",1
19:06,,,,,"FOUL  by HARTWELL,THEO",,,"FOUL  by HARTWELL,THEO",1
19:06,"GOOD FT by WINTERS,ANDY",1 (+1),,0,,OWUM 1-0 (-1),,"GOOD FT by WINTERS,ANDY",1
19:06,"MISS FT by WINTERS,ANDY",,,,,,,"MISS FT by WINTERS,ANDY",1
--,,,,,"REBOUND DEF by HARTWELL,THEO",,,"REBOUND DEF by HARTWELL,THEO",1
18:57,"FOUL  by ROGERS,REUEL",,,,,,,"FOUL  by ROGERS,REUEL",1
18:57,,,,,"MISS FT by KILPATRICK,KORY",,,"MISS FT by KILPATRICK,KORY",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
18:57,,,,,"MISS FT by KILPATRICK,KORY",,,"MISS FT by KILPATRICK,KORY",1
--,"REBOUND DEF by SPAULDING,VAUGHN",,,,,,,"REBOUND DEF by SPAULDING,VAUGHN",1
18:46,,,,,"FOUL  by KILPATRICK,KORY",,,"FOUL  by KILPATRICK,KORY",1
18:46,"GOOD FT by BRADY,TIM",2 (+2),,0,,OWUM 2-0 (-2),,"GOOD FT by BRADY,TIM",1
18:46,"GOOD FT by BRADY,TIM",3 (+3),,0,,OWUM 3-0 (-3),,"GOOD FT by BRADY,TIM",1
18:34,,3 (+1),,2,"GOOD JUMPER by CHIEN,KEVIN",RCMBB12 3-2 (-1),,"GOOD JUMPER by CHIEN,KEVIN",1
18:09,"GOOD JUMPER by BRADY,TIM",5 (+3),,2,,OWUM 5-2 (-3),,"GOOD JUMPER by BRADY,TIM",1
17:50,,,,,"MISS JUMPER by HARTWELL,THEO",,,"MISS JUMPER by HARTWELL,THEO",1
--,"REBOUND DEF by MORRIS,MARSHALL",,,,,,,"REBOUND DEF by MORRIS,MARSHALL",1
17:35,"MISS JUMPER by ROGERS,REUEL",,,,,,,"MISS JUMPER by ROGERS,REUEL",1
--,"REBOUND OFF by BRADY,TIM",,,,,,,"REBOUND OFF by BRADY,TIM",1
17:32,"TURNOVER  by BRADY,TIM",,,,,,,"TURNOVER  by BRADY,TIM",1
17:32,,,,,"SUB IN by LIVSEY,GEOFF",,,"SUB IN by LIVSEY,GEOFF",1
17:32,,,,,"SUB IN by WATSON,SHANE",,,"SUB IN by WATSON,SHANE",1
17:32,,,,,"SUB OUT by DUNAVANT,JOHN",,,"SUB OUT by DUNAVANT,JOHN",1
17:32,,,,,"SUB OUT by KILPATRICK,KORY",,,"SUB OUT by KILPATRICK,KORY",1
17:12,"FOUL  by SPAULDING,VAUGHN",,,,,,,"FOUL  by SPAULDING,VAUGHN",1
17:09,,,,,"TURNOVER  by WATSON,SHANE",,,"TURNOVER  by WATSON,SHANE",1
17:08,"STEAL  by ROGERS,REUEL",,,,,,,"STEAL  by ROGERS,REUEL",1
17:05,"MISS JUMPER by BRADY,TIM",,,,,,,"MISS JUMPER by BRADY,TIM",1
17:05,,,,,"BLOCK  by LIVSEY,GEOFF",,,"BLOCK  by LIVSEY,GEOFF",1
--,,,,,"REBOUND DEF by LIVSEY,GEOFF",,,"REBOUND DEF by LIVSEY,GEOFF",1
17:00,,,,,"FOUL  by WATSON,SHANE",,,"FOUL  by WATSON,SHANE",1
17:00,,,,,"TURNOVER  by WATSON,SHANE",,,"TURNOVER  by WATSON,SHANE",1
16:38,"GOOD JUMPER by MORRIS,MARSHALL",7 (+5),,2,,OWUM 7-2 (-5),,"GOOD JUMPER by MORRIS,MARSHALL",1
16:11,,,,,"MISS 3PTR by GALOW,ANDREW",,,"MISS 3PTR by GALOW,ANDREW",1
--,"REBOUND DEF by WINTERS,ANDY",,,,,,,"REBOUND DEF by WINTERS,ANDY",1
15:50,"MISS JUMPER by BRADY,TIM",,,,,,,"MISS JUMPER by BRADY,TIM",1
--,"REBOUND OFF by ROGERS,REUEL",,,,,,,"REBOUND OFF by ROGERS,REUEL",1
15:39,"GOOD JUMPER by ROGERS,REUEL",9 (+7),,2,,OWUM 9-2 (-7),,"GOOD JUMPER by ROGERS,REUEL",1
15:31,,,,,"FOUL  by GALOW,ANDREW",,,"FOUL  by GALOW,ANDREW",1
15:24,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,1
15:21,"GOOD FT by ROGERS,REUEL",10 (+8),,2,,OWUM 10-2 (-8),,"GOOD FT by ROGERS,REUEL",1
15:21,,,,,"SUB IN by GALLAGHER,MICHAEL",,,"SUB IN by GALLAGHER,MICHAEL",1
15:21,,,,,"SUB IN by KILPATRICK,KORY",,,"SUB IN by KILPATRICK,KORY",1
15:21,,,,,"SUB OUT by HARTWELL,THEO",,,"SUB OUT by HARTWELL,THEO",1
15:21,,,,,"SUB OUT by CHIEN,KEVIN",,,"SUB OUT by CHIEN,KEVIN",1
14:57,,,,,"MISS 3PTR by GALLAGHER,MICHAEL",,,"MISS 3PTR by GALLAGHER,MICHAEL",1
