Time Remaining,BIRMINGHAM SOUTHERN,Away Team Score,Play Team Indicator,Home Team Score,SEWANEE,Game Score,Team Indicator,Play,Period
19:44,"MISS LAYUP by RICHARDS,ZAC",,,,,,,"MISS LAYUP by RICHARDS,ZAC",1
--,"REBOUND OFF by WHITE,BLAISE",,,,,,,"REBOUND OFF by WHITE,BLAISE",1
19:38,"MISS 3PTR by WHITE,BLAISE",,,,,,,"MISS 3PTR by WHITE,BLAISE",1
--,"REBOUND OFF by WHITE,BLAISE",,,,,,,"REBOUND OFF by WHITE,BLAISE",1
19:34,"MISS JUMPER by WHITE,BLAISE",,,,,,,"MISS JUMPER by WHITE,BLAISE",1
--,,,,,"REBOUND DEF by BRYANT,VALENTINO",,,"REBOUND DEF by BRYANT,VALENTINO",1
19:01,,,,,"MISS 3PTR by BOULDIN,BRETT",,,"MISS 3PTR by BOULDIN,BRETT",1
--,"REBOUND DEF by RICHARDS,ZAC",,,,,,,"REBOUND DEF by RICHARDS,ZAC",1
18:45,"MISS 3PTR by KEGARISE,KEVIN",,,,,,,"MISS 3PTR by KEGARISE,KEVIN",1
--,,,,,"REBOUND DEF by BROWN,TYLER",,,"REBOUND DEF by BROWN,TYLER",1
18:20,,,,,"MISS 3PTR by AFFRONTI,LEWIS",,,"MISS 3PTR by AFFRONTI,LEWIS",1
--,"REBOUND DEF by KEGARISE,KEVIN",,,,,,,"REBOUND DEF by KEGARISE,KEVIN",1
18:00,"GOOD LAYUP by HENRY,COLIN(in the paint)",2 (+2),,0,,BIRMINGHAM SOUTHERN 2-0 (-2),,"GOOD LAYUP by HENRY,COLIN(in the paint)",1
--,"ASSIST  by RICHARDS,ZAC",,,,,,,"ASSIST  by RICHARDS,ZAC",1
17:29,,2,,2,"GOOD LAYUP by CARTER,KESHONN(in the paint)",SEWANEE 2-2 (0),,"GOOD LAYUP by CARTER,KESHONN(in the paint)",1
--,,,,,"ASSIST  by BRYANT,VALENTINO",,,"ASSIST  by BRYANT,VALENTINO",1
17:21,"MISS 3PTR by THOMAS,LARRY",,,,,,,"MISS 3PTR by THOMAS,LARRY",1
--,,,,,"REBOUND DEF by BROWN,TYLER",,,"REBOUND DEF by BROWN,TYLER",1
17:14,,,,,"MISS 3PTR by AFFRONTI,LEWIS",,,"MISS 3PTR by AFFRONTI,LEWIS",1
--,,,,,"REBOUND OFF by CARTER,KESHONN",,,"REBOUND OFF by CARTER,KESHONN",1
16:37,,2,,4 (+2),"GOOD JUMPER by BRYANT,VALENTINO",SEWANEE 2-4 (+2),,"GOOD JUMPER by BRYANT,VALENTINO",1
16:30,"TURNOVER  by WHITE,BLAISE",,,,,,,"TURNOVER  by WHITE,BLAISE",1
16:28,,,,,"STEAL  by CARTER,KESHONN",,,"STEAL  by CARTER,KESHONN",1
16:23,"FOUL  by HENRY,COLIN",,,,,,,"FOUL  by HENRY,COLIN",1
16:23,,,,,"MISS FT by BROWN,TYLER",,,"MISS FT by BROWN,TYLER",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
16:23,,2,,5 (+3),"GOOD FT by BROWN,TYLER",SEWANEE 2-5 (+3),,"GOOD FT by BROWN,TYLER",1
16:10,"TURNOVER  by KEGARISE,KEVIN",,,,,,,"TURNOVER  by KEGARISE,KEVIN",1
16:08,,,,,"STEAL  by CARTER,KESHONN",,,"STEAL  by CARTER,KESHONN",1
15:59,,2,,7 (+5),"GOOD LAYUP by BRYANT,VALENTINO(in the paint)",SEWANEE 2-7 (+5),,"GOOD LAYUP by BRYANT,VALENTINO(in the paint)",1
15:46,"TURNOVER  by THOMAS,LARRY",,,,,,,"TURNOVER  by THOMAS,LARRY",1
15:44,,,,,"STEAL  by CARTER,KESHONN",,,"STEAL  by CARTER,KESHONN",1
15:30,,2,,10 (+8),"GOOD 3PTR by BRYANT,VALENTINO",SEWANEE 2-10 (+8),,"GOOD 3PTR by BRYANT,VALENTINO",1
15:25,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
15:25,"SUB IN by SCHAMP,GRIFFIN",,,,,,,"SUB IN by SCHAMP,GRIFFIN",1
15:25,"SUB IN by FREEMAN,SCHYLAR",,,,,,,"SUB IN by FREEMAN,SCHYLAR",1
15:25,"SUB IN by HOLLAND,JASON",,,,,,,"SUB IN by HOLLAND,JASON",1
15:25,"SUB IN by ASSANESI,KELLY",,,,,,,"SUB IN by ASSANESI,KELLY",1
15:25,"SUB IN by WELCH,ROSS",,,,,,,"SUB IN by WELCH,ROSS",1
