Time Remaining,SEWM,Away Team Score,Play Team Indicator,Home Team Score,BCM,Game Score,Team Indicator,Play,Period
14:07,"SUB IN by CARTER,KESHONN",,,,,,,"SUB IN by CARTER,KESHONN",2
14:07,"SUB IN by BROWN,TYLER",,,,,,,"SUB IN by BROWN,TYLER",2
14:07,"SUB OUT by BORN,LEO",,,,,,,"SUB OUT by BORN,LEO",2
14:07,"SUB OUT by HEATHERLY,GARRETT",,,,,,,"SUB OUT by HEATHERLY,GARRETT",2
14:07,"SUB OUT by BOULDIN,BRETT",,,,,,,"SUB OUT by BOULDIN,BRETT",2
14:05,,,,,TURNOVER  by TEAM,,,TURNOVER  by TEAM,2
14:05,"MISS LAYUP by HODGE,NILAN",,,,,,,"MISS LAYUP by HODGE,NILAN",2
--,"REBOUND OFF by HODGE,NILAN",,,,,,,"REBOUND OFF by HODGE,NILAN",2
14:05,,,,,"FOUL  by SMOAK,HUNTER",,,"FOUL  by SMOAK,HUNTER",2
14:05,"GOOD FT by HODGE,NILAN",17,,29 (+12),,SEWM 17-29 (-12),,"GOOD FT by HODGE,NILAN",2
14:05,"GOOD FT by HODGE,NILAN",18,,29 (+11),,SEWM 18-29 (-11),,"GOOD FT by HODGE,NILAN",2
14:05,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
13:37,,,,,"SUB IN by BRUCE,DEVAN",,,"SUB IN by BRUCE,DEVAN",2
13:37,,,,,"SUB IN by HOWARD,MAC",,,"SUB IN by HOWARD,MAC",2
13:37,,,,,"SUB OUT by ABRAMS,JONATHAN",,,"SUB OUT by ABRAMS,JONATHAN",2
13:37,,,,,"SUB OUT by GRAHAM,LAKE",,,"SUB OUT by GRAHAM,LAKE",2
13:37,,,,,"SUB OUT by WRIGHT,JAKE",,,"SUB OUT by WRIGHT,JAKE",2
13:24,,18,,32 (+14),"GOOD 3PTR by WHALEN,MAC",BCM 18-32 (-14),,"GOOD 3PTR by WHALEN,MAC",2
12:45,"TURNOVER  by BRYANT,VALENTINO",,,,,,,"TURNOVER  by BRYANT,VALENTINO",2
12:43,,,,,"STEAL  by TEEMS,JORDAN",,,"STEAL  by TEEMS,JORDAN",2
12:40,"FOUL  by BRYANT,VALENTINO",,,,,,,"FOUL  by BRYANT,VALENTINO",2
12:40,"SUB IN by BOULDIN,BRETT",,,,,,,"SUB IN by BOULDIN,BRETT",2
12:40,"SUB OUT by BRYANT,VALENTINO",,,,,,,"SUB OUT by BRYANT,VALENTINO",2
12:30,,,,,"MISS LAYUP by BRUCE,DEVAN",,,"MISS LAYUP by BRUCE,DEVAN",2
--,"REBOUND DEF by BROWN,TYLER",,,,,,,"REBOUND DEF by BROWN,TYLER",2
12:21,,,,,"FOUL  by HOWARD,MAC",,,"FOUL  by HOWARD,MAC",2
12:01,"MISS LAYUP by CALDWELL,MARCELLUS",,,,,,,"MISS LAYUP by CALDWELL,MARCELLUS",2
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,2
11:59,,,,,"FOUL  by HOWARD,MAC",,,"FOUL  by HOWARD,MAC",2
11:59,"GOOD FT by BOULDIN,BRETT",19,,32 (+13),,SEWM 19-32 (-13),,"GOOD FT by BOULDIN,BRETT",2
11:59,"GOOD FT by BOULDIN,BRETT",20,,32 (+12),,SEWM 20-32 (-12),,"GOOD FT by BOULDIN,BRETT",2
11:44,,,,,"TURNOVER  by BRUCE,DEVAN",,,"TURNOVER  by BRUCE,DEVAN",2
11:43,"STEAL  by HODGE,NILAN",,,,,,,"STEAL  by HODGE,NILAN",2
11:36,"MISS LAYUP by HODGE,NILAN",,,,,,,"MISS LAYUP by HODGE,NILAN",2
--,"REBOUND OFF by CALDWELL,MARCELLUS",,,,,,,"REBOUND OFF by CALDWELL,MARCELLUS",2
11:32,"MISS LAYUP by CALDWELL,MARCELLUS",,,,,,,"MISS LAYUP by CALDWELL,MARCELLUS",2
--,"REBOUND OFF by BROWN,TYLER",,,,,,,"REBOUND OFF by BROWN,TYLER",2
11:30,"GOOD LAYUP by BROWN,TYLER(in the paint)",22,,32 (+10),,SEWM 22-32 (-10),,"GOOD LAYUP by BROWN,TYLER(in the paint)",2
11:05,,,,,"MISS 3PTR by TEEMS,JORDAN",,,"MISS 3PTR by TEEMS,JORDAN",2
--,"REBOUND DEF by CALDWELL,MARCELLUS",,,,,,,"REBOUND DEF by CALDWELL,MARCELLUS",2
10:50,"TURNOVER  by CALDWELL,MARCELLUS",,,,,,,"TURNOVER  by CALDWELL,MARCELLUS",2
10:50,"SUB IN by BORN,LEO",,,,,,,"SUB IN by BORN,LEO",2
10:50,"SUB IN by VEAL,ROBERT",,,,,,,"SUB IN by VEAL,ROBERT",2
10:50,"SUB IN by BRYANT,VALENTINO",,,,,,,"SUB IN by BRYANT,VALENTINO",2
10:50,"SUB OUT by HODGE,NILAN",,,,,,,"SUB OUT by HODGE,NILAN",2
10:50,"SUB OUT by CARTER,KESHONN",,,,,,,"SUB OUT by CARTER,KESHONN",2
10:50,"SUB OUT by BROWN,TYLER",,,,,,,"SUB OUT by BROWN,TYLER",2
10:50,,,,,"SUB IN by WRIGHT,JAKE",,,"SUB IN by WRIGHT,JAKE",2
10:50,,,,,"SUB IN by ABRAMS,JONATHAN",,,"SUB IN by ABRAMS,JONATHAN",2
10:50,,,,,"SUB OUT by TEEMS,JORDAN",,,"SUB OUT by TEEMS,JORDAN",2
10:50,,,,,"SUB OUT by BRUCE,DEVAN",,,"SUB OUT by BRUCE,DEVAN",2
10:26,,,,,"TURNOVER  by WRIGHT,JAKE",,,"TURNOVER  by WRIGHT,JAKE",2
10:24,"STEAL  by BORN,LEO",,,,,,,"STEAL  by BORN,LEO",2
10:18,"GOOD 3PTR by BRYANT,VALENTINO",25,,32 (+7),,SEWM 25-32 (-7),,"GOOD 3PTR by BRYANT,VALENTINO",2
10:07,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
09:39,,25,,35 (+10),"GOOD 3PTR by WHALEN,MAC",BCM 25-35 (-10),,"GOOD 3PTR by WHALEN,MAC",2
--,,,,,"ASSIST  by SMOAK,HUNTER",,,"ASSIST  by SMOAK,HUNTER",2
09:22,"GOOD 3PTR by BRYANT,VALENTINO",28,,35 (+7),,SEWM 28-35 (-7),,"GOOD 3PTR by BRYANT,VALENTINO",2
09:01,,,,,"TURNOVER  by SMOAK,HUNTER",,,"TURNOVER  by SMOAK,HUNTER",2
08:59,"STEAL  by BRYANT,VALENTINO",,,,,,,"STEAL  by BRYANT,VALENTINO",2
--,"ASSIST  by BRYANT,VALENTINO",,,,,,,"ASSIST  by BRYANT,VALENTINO",2
08:30,,,,,"TURNOVER  by ABRAMS,JONATHAN",,,"TURNOVER  by ABRAMS,JONATHAN",2
08:29,"STEAL  by AFFRONTI,LEWIS",,,,,,,"STEAL  by AFFRONTI,LEWIS",2
08:26,,,,,"FOUL  by SMOAK,HUNTER",,,"FOUL  by SMOAK,HUNTER",2
08:26,"MISS FT by BRYANT,VALENTINO",,,,,,,"MISS FT by BRYANT,VALENTINO",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
08:26,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
08:26,"GOOD JUMPER by VEAL,ROBERT(fastbreak)",30,,35 (+5),,SEWM 30-35 (-5),,"GOOD JUMPER by VEAL,ROBERT(fastbreak)",2
--,"ASSIST  by BEVIACQUA,BRYAN",,,,,,,"ASSIST  by BEVIACQUA,BRYAN",2
07:57,"GOOD FT by BRYANT,VALENTINO",31,,35 (+4),,SEWM 31-35 (-4),,"GOOD FT by BRYANT,VALENTINO",2
07:57,"FOUL  by VEAL,ROBERT",,,,,,,"FOUL  by VEAL,ROBERT",2
07:57,"SUB IN by AFFRONTI,LEWIS",,,,,,,"SUB IN by AFFRONTI,LEWIS",2
07:57,"SUB IN by CARTER,KESHONN",,,,,,,"SUB IN by CARTER,KESHONN",2
07:57,"SUB IN by BROWN,TYLER",,,,,,,"SUB IN by BROWN,TYLER",2
07:57,"SUB OUT by BORN,LEO",,,,,,,"SUB OUT by BORN,LEO",2
07:57,"SUB OUT by VEAL,ROBERT",,,,,,,"SUB OUT by VEAL,ROBERT",2
07:57,"SUB OUT by CALDWELL,MARCELLUS",,,,,,,"SUB OUT by CALDWELL,MARCELLUS",2
07:48,"FOUL  by VEAL,ROBERT",,,,,,,"FOUL  by VEAL,ROBERT",2
07:43,"MISS LAYUP by BRYANT,VALENTINO",,,,,,,"MISS LAYUP by BRYANT,VALENTINO",2
--,,,,,"REBOUND DEF by GRAHAM,LAKE",,,"REBOUND DEF by GRAHAM,LAKE",2
07:37,"FOUL  by AFFRONTI,LEWIS",,,,,,,"FOUL  by AFFRONTI,LEWIS",2
07:25,,,,,"TURNOVER  by GRAHAM,LAKE",,,"TURNOVER  by GRAHAM,LAKE",2
07:17,,,,,"MISS FT by GRAHAM,LAKE",,,"MISS FT by GRAHAM,LAKE",2
--,"REBOUND DEF by AFFRONTI,LEWIS",,,,,,,"REBOUND DEF by AFFRONTI,LEWIS",2
07:08,"FOUL  by HEATHERLY,GARRETT",,,,,,,"FOUL  by HEATHERLY,GARRETT",2
07:08,,,,,"SUB IN by WHALEN,MAC",,,"SUB IN by WHALEN,MAC",2
07:01,"TURNOVER  by BROWN,TYLER",,,,,,,"TURNOVER  by BROWN,TYLER",2
06:58,,,,,"TURNOVER  by MCCLOUD,LEE",,,"TURNOVER  by MCCLOUD,LEE",2
06:26,"SUB IN by CALDWELL,MARCELLUS",,,,,,,"SUB IN by CALDWELL,MARCELLUS",2
06:26,"SUB OUT by AFFRONTI,LEWIS",,,,,,,"SUB OUT by AFFRONTI,LEWIS",2
06:24,"TURNOVER  by BROWN,TYLER",,,,,,,"TURNOVER  by BROWN,TYLER",2
05:55,"FOUL  by CARTER,KESHONN",,,,,,,"FOUL  by CARTER,KESHONN",2
05:55,,31,,36 (+5),"GOOD FT by GRAHAM,LAKE",BCM 31-36 (-5),,"GOOD FT by GRAHAM,LAKE",2
05:55,,,,,"MISS FT by GRAHAM,LAKE",,,"MISS FT by GRAHAM,LAKE",2
--,"REBOUND DEF by CALDWELL,MARCELLUS",,,,,,,"REBOUND DEF by CALDWELL,MARCELLUS",2
05:37,"GOOD JUMPER by CARTER,KESHONN",33,,36 (+3),,SEWM 33-36 (-3),,"GOOD JUMPER by CARTER,KESHONN",2
--,"ASSIST  by BOULDIN,BRETT",,,,,,,"ASSIST  by BOULDIN,BRETT",2
05:09,,,,,"TURNOVER  by WRIGHT,JAKE",,,"TURNOVER  by WRIGHT,JAKE",2
05:07,"STEAL  by BRYANT,VALENTINO",,,,,,,"STEAL  by BRYANT,VALENTINO",2
05:01,"MISS JUMPER by BRYANT,VALENTINO",,,,,,,"MISS JUMPER by BRYANT,VALENTINO",2
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,2
04:59,"SUB IN by HODGE,NILAN",,,,,,,"SUB IN by HODGE,NILAN",2
04:59,"SUB OUT by BRYANT,VALENTINO",,,,,,,"SUB OUT by BRYANT,VALENTINO",2
04:46,"MISS 3PTR by CALDWELL,MARCELLUS",,,,,,,"MISS 3PTR by CALDWELL,MARCELLUS",2
--,"REBOUND OFF by BROWN,TYLER",,,,,,,"REBOUND OFF by BROWN,TYLER",2
04:37,"GOOD JUMPER by BROWN,TYLER",35,,36 (+1),,SEWM 35-36 (-1),,"GOOD JUMPER by BROWN,TYLER",2
03:55,,,,,"MISS JUMPER by MCCLOUD,LEE",,,"MISS JUMPER by MCCLOUD,LEE",2
--,"REBOUND DEF by CALDWELL,MARCELLUS",,,,,,,"REBOUND DEF by CALDWELL,MARCELLUS",2
03:32,,,,,"FOUL  by WRIGHT,JAKE",,,"FOUL  by WRIGHT,JAKE",2
03:32,"GOOD FT by CARTER,KESHONN",36,,36,,SEWM 36-36 (0),,"GOOD FT by CARTER,KESHONN",2
03:32,"GOOD FT by CARTER,KESHONN",37 (+1),,36,,SEWM 37-36 (+1),,"GOOD FT by CARTER,KESHONN",2
03:32,"SUB IN by BRYANT,VALENTINO",,,,,,,"SUB IN by BRYANT,VALENTINO",2
03:32,"SUB OUT by BOULDIN,BRETT",,,,,,,"SUB OUT by BOULDIN,BRETT",2
03:32,,,,,"SUB IN by TEEMS,JORDAN",,,"SUB IN by TEEMS,JORDAN",2
03:32,,,,,"SUB OUT by ABRAMS,JONATHAN",,,"SUB OUT by ABRAMS,JONATHAN",2
03:13,,,,,"MISS JUMPER by WHALEN,MAC",,,"MISS JUMPER by WHALEN,MAC",2
--,"REBOUND DEF by BRYANT,VALENTINO",,,,,,,"REBOUND DEF by BRYANT,VALENTINO",2
03:11,"GOOD FT by BRYANT,VALENTINO",38 (+2),,36,,SEWM 38-36 (+2),,"GOOD FT by BRYANT,VALENTINO",2
03:11,"GOOD FT by BRYANT,VALENTINO",39 (+3),,36,,SEWM 39-36 (+3),,"GOOD FT by BRYANT,VALENTINO",2
03:11,,,,,"SUB IN by GRAHAM,LAKE",,,"SUB IN by GRAHAM,LAKE",2
03:11,,,,,"SUB OUT by WRIGHT,JAKE",,,"SUB OUT by WRIGHT,JAKE",2
03:07,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
02:50,"MISS 3PTR by CARTER,KESHONN",,,,,,,"MISS 3PTR by CARTER,KESHONN",2
02:22,"MISS LAYUP by CARTER,KESHONN",,,,,,,"MISS LAYUP by CARTER,KESHONN",2
--,,,,,"REBOUND DEF by MCCLOUD,LEE",,,"REBOUND DEF by MCCLOUD,LEE",2
02:16,,,,,"TURNOVER  by MCCLOUD,LEE",,,"TURNOVER  by MCCLOUD,LEE",2
02:15,"STEAL  by BRYANT,VALENTINO",,,,,,,"STEAL  by BRYANT,VALENTINO",2
02:12,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
01:49,"MISS 3PTR by CALDWELL,MARCELLUS",,,,,,,"MISS 3PTR by CALDWELL,MARCELLUS",2
--,,,,,"REBOUND DEF by HOWARD,MAC",,,"REBOUND DEF by HOWARD,MAC",2
01:26,,,,,"MISS LAYUP by TEEMS,JORDAN",,,"MISS LAYUP by TEEMS,JORDAN",2
--,"REBOUND DEF by CARTER,KESHONN",,,,,,,"REBOUND DEF by CARTER,KESHONN",2
01:23,"FOUL  by CARTER,KESHONN",,,,,,,"FOUL  by CARTER,KESHONN",2
01:23,,,,,"MISS 3PTR by ABRAMS,JONATHAN",,,"MISS 3PTR by ABRAMS,JONATHAN",2
01:23,"BLOCK  by BROWN,TYLER",,,,,,,"BLOCK  by BROWN,TYLER",2
--,"REBOUND DEF by HODGE,NILAN",,,,,,,"REBOUND DEF by HODGE,NILAN",2
01:23,,,,,"SUB IN by ABRAMS,JONATHAN",,,"SUB IN by ABRAMS,JONATHAN",2
01:23,,,,,"SUB OUT by TEEMS,JORDAN",,,"SUB OUT by TEEMS,JORDAN",2
00:41,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
00:41,"SUB IN by AFFRONTI,LEWIS",,,,,,,"SUB IN by AFFRONTI,LEWIS",2
00:41,"SUB IN by BOULDIN,BRETT",,,,,,,"SUB IN by BOULDIN,BRETT",2
00:41,"SUB OUT by CALDWELL,MARCELLUS",,,,,,,"SUB OUT by CALDWELL,MARCELLUS",2
00:41,"SUB OUT by BROWN,TYLER",,,,,,,"SUB OUT by BROWN,TYLER",2
00:40,"TURNOVER  by BRYANT,VALENTINO",,,,,,,"TURNOVER  by BRYANT,VALENTINO",2
00:38,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
00:38,,,,,"SUB IN by MCCLOUD,LEE",,,"SUB IN by MCCLOUD,LEE",2
00:38,,,,,"SUB OUT by HOWARD,MAC",,,"SUB OUT by HOWARD,MAC",2
00:37,,,,,"FOUL  by MCCLOUD,LEE",,,"FOUL  by MCCLOUD,LEE",2
00:37,"MISS FT by BRYANT,VALENTINO",,,,,,,"MISS FT by BRYANT,VALENTINO",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
00:37,"MISS FT by BRYANT,VALENTINO",,,,,,,"MISS FT by BRYANT,VALENTINO",2
--,,,,,"REBOUND DEF by HOWARD,MAC",,,"REBOUND DEF by HOWARD,MAC",2
00:37,"SUB IN by CALDWELL,MARCELLUS",,,,,,,"SUB IN by CALDWELL,MARCELLUS",2
00:37,"SUB IN by BROWN,TYLER",,,,,,,"SUB IN by BROWN,TYLER",2
00:37,"SUB OUT by AFFRONTI,LEWIS",,,,,,,"SUB OUT by AFFRONTI,LEWIS",2
00:37,"SUB OUT by BOULDIN,BRETT",,,,,,,"SUB OUT by BOULDIN,BRETT",2
00:36,,,,,"STEAL  by WHALEN,MAC",,,"STEAL  by WHALEN,MAC",2
00:35,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
00:33,,39 (+1),,38,"GOOD LAYUP by WHALEN,MAC(fastbreak)(in the paint)",BCM 39-38 (+1),,"GOOD LAYUP by WHALEN,MAC(fastbreak)(in the paint)",2
00:28,,,,,"SUB IN by HOWARD,MAC",,,"SUB IN by HOWARD,MAC",2
00:28,,,,,"SUB OUT by SMOAK,HUNTER",,,"SUB OUT by SMOAK,HUNTER",2
00:05,,,,,"TURNOVER  by GRAHAM,LAKE",,,"TURNOVER  by GRAHAM,LAKE",2
00:05,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
00:05,,,,,"FOUL  by WHALEN,MAC",,,"FOUL  by WHALEN,MAC",2
00:05,"MISS FT by BOULDIN,BRETT",,,,,,,"MISS FT by BOULDIN,BRETT",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
00:05,"MISS FT by BOULDIN,BRETT",,,,,,,"MISS FT by BOULDIN,BRETT",2
--,,,,,"REBOUND DEF by HOWARD,MAC",,,"REBOUND DEF by HOWARD,MAC",2
00:05,"SUB IN by BOULDIN,BRETT",,,,,,,"SUB IN by BOULDIN,BRETT",2
00:05,"SUB OUT by BROWN,TYLER",,,,,,,"SUB OUT by BROWN,TYLER",2
00:04,,,,,"TURNOVER  by HOWARD,MAC",,,"TURNOVER  by HOWARD,MAC",2
00:01,,,,,"FOUL  by WHALEN,MAC",,,"FOUL  by WHALEN,MAC",2
00:01,"MISS FT by BOULDIN,BRETT",,,,,,,"MISS FT by BOULDIN,BRETT",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
00:01,"GOOD FT by BOULDIN,BRETT",40 (+2),,38,,SEWM 40-38 (+2),,"GOOD FT by BOULDIN,BRETT",2
00:01,,,,,"SUB IN by SMOAK,HUNTER",,,"SUB IN by SMOAK,HUNTER",2
00:01,,,,,"SUB OUT by WHALEN,MAC",,,"SUB OUT by WHALEN,MAC",2
