Time Remaining,SEWM,Away Team Score,Play Team Indicator,Home Team Score,BCM,Game Score,Team Indicator,Play,Period
14:09,"SUB OUT by HODGE,NILAN",,,,,,,"SUB OUT by HODGE,NILAN",1
14:04,,,,,"TURNOVER  by SMOAK,HUNTER",,,"TURNOVER  by SMOAK,HUNTER",1
14:04,"SUB IN by CALDWELL,MARCELLUS",,,,,,,"SUB IN by CALDWELL,MARCELLUS",1
14:04,"SUB OUT by AFFRONTI,LEWIS",,,,,,,"SUB OUT by AFFRONTI,LEWIS",1
14:04,,,,,"SUB IN by TEEMS,JORDAN",,,"SUB IN by TEEMS,JORDAN",1
14:04,,,,,"SUB IN by BRUCE,DEVAN",,,"SUB IN by BRUCE,DEVAN",1
14:04,,,,,"SUB OUT by ABRAMS,JONATHAN",,,"SUB OUT by ABRAMS,JONATHAN",1
14:04,,,,,"SUB OUT by GRAHAM,LAKE",,,"SUB OUT by GRAHAM,LAKE",1
13:56,,,,,"FOUL  by WHALEN,MAC",,,"FOUL  by WHALEN,MAC",1
13:56,,,,,"SUB IN by MCCLOUD,LEE",,,"SUB IN by MCCLOUD,LEE",1
13:56,,,,,"SUB OUT by WHALEN,MAC",,,"SUB OUT by WHALEN,MAC",1
13:45,"TURNOVER  by HEATHERLY,GARRETT",,,,,,,"TURNOVER  by HEATHERLY,GARRETT",1
13:29,,,,,"MISS 3PTR by BRUCE,DEVAN",,,"MISS 3PTR by BRUCE,DEVAN",1
--,"REBOUND DEF by BRYANT,VALENTINO",,,,,,,"REBOUND DEF by BRYANT,VALENTINO",1
13:11,"TURNOVER  by BORN,LEO",,,,,,,"TURNOVER  by BORN,LEO",1
13:11,"SUB IN by DOWNEY,WILL",,,,,,,"SUB IN by DOWNEY,WILL",1
13:11,"SUB OUT by BOULDIN,BRETT",,,,,,,"SUB OUT by BOULDIN,BRETT",1
12:54,,4,,8 (+4),"GOOD LAYUP by HOWARD,MAC(in the paint)",BCM 4-8 (-4),,"GOOD LAYUP by HOWARD,MAC(in the paint)",1
--,,,,,"ASSIST  by SMOAK,HUNTER",,,"ASSIST  by SMOAK,HUNTER",1
12:32,"TURNOVER  by DOWNEY,WILL",,,,,,,"TURNOVER  by DOWNEY,WILL",1
12:31,,,,,"STEAL  by MCCLOUD,LEE",,,"STEAL  by MCCLOUD,LEE",1
12:14,,,,,"TURNOVER  by TEEMS,JORDAN",,,"TURNOVER  by TEEMS,JORDAN",1
12:13,"STEAL  by CALDWELL,MARCELLUS",,,,,,,"STEAL  by CALDWELL,MARCELLUS",1
12:09,"MISS LAYUP by CALDWELL,MARCELLUS",,,,,,,"MISS LAYUP by CALDWELL,MARCELLUS",1
--,,,,,"REBOUND DEF by BRUCE,DEVAN",,,"REBOUND DEF by BRUCE,DEVAN",1
11:39,,,,,"TURNOVER  by BRUCE,DEVAN",,,"TURNOVER  by BRUCE,DEVAN",1
11:38,"STEAL  by CALDWELL,MARCELLUS",,,,,,,"STEAL  by CALDWELL,MARCELLUS",1
11:21,"SUB IN by BOULDIN,BRETT",,,,,,,"SUB IN by BOULDIN,BRETT",1
11:21,"SUB IN by AFFRONTI,LEWIS",,,,,,,"SUB IN by AFFRONTI,LEWIS",1
11:21,"SUB IN by BROWN,TYLER",,,,,,,"SUB IN by BROWN,TYLER",1
11:21,"SUB IN by CARTER,KESHONN",,,,,,,"SUB IN by CARTER,KESHONN",1
11:21,"SUB OUT by HEATHERLY,GARRETT",,,,,,,"SUB OUT by HEATHERLY,GARRETT",1
11:21,"SUB OUT by BORN,LEO",,,,,,,"SUB OUT by BORN,LEO",1
11:21,"SUB OUT by CALDWELL,MARCELLUS",,,,,,,"SUB OUT by CALDWELL,MARCELLUS",1
11:21,"SUB OUT by DOWNEY,WILL",,,,,,,"SUB OUT by DOWNEY,WILL",1
11:08,"MISS 3PTR by AFFRONTI,LEWIS",,,,,,,"MISS 3PTR by AFFRONTI,LEWIS",1
--,,,,,"REBOUND DEF by HOWARD,MAC",,,"REBOUND DEF by HOWARD,MAC",1
10:51,"FOUL  by BROWN,TYLER",,,,,,,"FOUL  by BROWN,TYLER",1
10:51,,,,,"MISS FT by BRUCE,DEVAN",,,"MISS FT by BRUCE,DEVAN",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
10:51,,4,,9 (+5),"GOOD FT by BRUCE,DEVAN",BCM 4-9 (-5),,"GOOD FT by BRUCE,DEVAN",1
10:51,,,,,"SUB IN by WRIGHT,JAKE",,,"SUB IN by WRIGHT,JAKE",1
10:51,,,,,"SUB OUT by HOWARD,MAC",,,"SUB OUT by HOWARD,MAC",1
10:31,"MISS LAYUP by BRYANT,VALENTINO",,,,,,,"MISS LAYUP by BRYANT,VALENTINO",1
--,,,,,"REBOUND DEF by BRUCE,DEVAN",,,"REBOUND DEF by BRUCE,DEVAN",1
10:08,,4,,11 (+7),"GOOD LAYUP by MCCLOUD,LEE(in the paint)",BCM 4-11 (-7),,"GOOD LAYUP by MCCLOUD,LEE(in the paint)",1
10:08,"SUB IN by HODGE,NILAN",,,,,,,"SUB IN by HODGE,NILAN",1
10:08,"SUB OUT by BRYANT,VALENTINO",,,,,,,"SUB OUT by BRYANT,VALENTINO",1
10:08,,,,,"SUB IN by MARSH,CODY",,,"SUB IN by MARSH,CODY",1
10:08,,,,,"SUB IN by ABRAMS,JONATHAN",,,"SUB IN by ABRAMS,JONATHAN",1
10:08,,,,,"SUB OUT by BRUCE,DEVAN",,,"SUB OUT by BRUCE,DEVAN",1
10:08,,,,,"SUB OUT by MCCLOUD,LEE",,,"SUB OUT by MCCLOUD,LEE",1
10:05,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
09:41,"MISS JUMPER by BOULDIN,BRETT",,,,,,,"MISS JUMPER by BOULDIN,BRETT",1
--,,,,,"REBOUND DEF by ABRAMS,JONATHAN",,,"REBOUND DEF by ABRAMS,JONATHAN",1
09:17,,,,,"TURNOVER  by SMOAK,HUNTER",,,"TURNOVER  by SMOAK,HUNTER",1
09:01,"GOOD LAYUP by CARTER,KESHONN(in the paint)",6,,11 (+5),,SEWM 6-11 (-5),,"GOOD LAYUP by CARTER,KESHONN(in the paint)",1
08:32,,6,,14 (+8),"GOOD 3PTR by SMOAK,HUNTER",BCM 6-14 (-8),,"GOOD 3PTR by SMOAK,HUNTER",1
--,,,,,"ASSIST  by WRIGHT,JAKE",,,"ASSIST  by WRIGHT,JAKE",1
08:15,,,,,"FOUL  by SMOAK,HUNTER",,,"FOUL  by SMOAK,HUNTER",1
08:15,,,,,"SUB IN by WHALEN,MAC",,,"SUB IN by WHALEN,MAC",1
08:15,,,,,"SUB OUT by SMOAK,HUNTER",,,"SUB OUT by SMOAK,HUNTER",1
