Time Remaining,BOYCE,Away Team Score,Play Team Indicator,Home Team Score,SEWANEE,Game Score,Team Indicator,Play,Period
19:37,,0,,3 (+3),"GOOD 3PTR by AFFRONTI,LEWIS",SEWANEE 0-3 (+3),,"GOOD 3PTR by AFFRONTI,LEWIS",1
--,,,,,"ASSIST  by BROWN,TYLER",,,"ASSIST  by BROWN,TYLER",1
19:19,"MISS JUMPER by CRIDER,COLE",,,,,,,"MISS JUMPER by CRIDER,COLE",1
--,,,,,"REBOUND DEF by BROWN,TYLER",,,"REBOUND DEF by BROWN,TYLER",1
18:53,"FOUL  by CRIDER,COLE",,,,,,,"FOUL  by CRIDER,COLE",1
18:52,,,,,"TURNOVER  by BRYANT,VALENTINO",,,"TURNOVER  by BRYANT,VALENTINO",1
18:50,"STEAL  by AMMON,ETHAN",,,,,,,"STEAL  by AMMON,ETHAN",1
18:30,"GOOD JUMPER by FARLEY,ERIC",2,,3 (+1),,BOYCE 2-3 (+1),,"GOOD JUMPER by FARLEY,ERIC",1
18:16,,2,,6 (+4),"GOOD 3PTR by BOULDIN,BRETT",SEWANEE 2-6 (+4),,"GOOD 3PTR by BOULDIN,BRETT",1
--,,,,,"ASSIST  by CARTER,KESHONN",,,"ASSIST  by CARTER,KESHONN",1
18:00,"MISS JUMPER by AMMON,ETHAN",,,,,,,"MISS JUMPER by AMMON,ETHAN",1
--,,,,,"REBOUND DEF by CARTER,KESHONN",,,"REBOUND DEF by CARTER,KESHONN",1
17:37,,2,,8 (+6),"GOOD LAYUP by AFFRONTI,LEWIS(in the paint)",SEWANEE 2-8 (+6),,"GOOD LAYUP by AFFRONTI,LEWIS(in the paint)",1
--,,,,,"ASSIST  by BROWN,TYLER",,,"ASSIST  by BROWN,TYLER",1
17:10,"TURNOVER  by CRIDER,COLE",,,,,,,"TURNOVER  by CRIDER,COLE",1
16:54,,2,,11 (+9),"GOOD 3PTR by BOULDIN,BRETT",SEWANEE 2-11 (+9),,"GOOD 3PTR by BOULDIN,BRETT",1
--,,,,,"ASSIST  by CARTER,KESHONN",,,"ASSIST  by CARTER,KESHONN",1
16:41,"GOOD LAYUP by MASON,TREVOR(in the paint)",4,,11 (+7),,BOYCE 4-11 (+7),,"GOOD LAYUP by MASON,TREVOR(in the paint)",1
16:25,"FOUL  by BLAND,EMMANUEL",,,,,,,"FOUL  by BLAND,EMMANUEL",1
16:25,,4,,12 (+8),"GOOD FT by BOULDIN,BRETT",SEWANEE 4-12 (+8),,"GOOD FT by BOULDIN,BRETT",1
16:25,,4,,13 (+9),"GOOD FT by BOULDIN,BRETT",SEWANEE 4-13 (+9),,"GOOD FT by BOULDIN,BRETT",1
16:03,"MISS 3PTR by FARLEY,ERIC",,,,,,,"MISS 3PTR by FARLEY,ERIC",1
--,,,,,"REBOUND DEF by BROWN,TYLER",,,"REBOUND DEF by BROWN,TYLER",1
15:50,,4,,16 (+12),"GOOD 3PTR by AFFRONTI,LEWIS",SEWANEE 4-16 (+12),,"GOOD 3PTR by AFFRONTI,LEWIS",1
--,,,,,"ASSIST  by CARTER,KESHONN",,,"ASSIST  by CARTER,KESHONN",1
15:42,TIMEOUT 20SEC by TEAM,,,,,,,TIMEOUT 20SEC by TEAM,1
15:29,"MISS JUMPER by MASON,TREVOR",,,,,,,"MISS JUMPER by MASON,TREVOR",1
--,,,,,"REBOUND DEF by BORN,LEO",,,"REBOUND DEF by BORN,LEO",1
15:21,,4,,18 (+14),"GOOD JUMPER by VEAL,ROBERT",SEWANEE 4-18 (+14),,"GOOD JUMPER by VEAL,ROBERT",1
--,,,,,"ASSIST  by HODGE,NILAN",,,"ASSIST  by HODGE,NILAN",1
14:58,"MISS JUMPER by BLAND,EMMANUEL",,,,,,,"MISS JUMPER by BLAND,EMMANUEL",1
--,,,,,"REBOUND DEF by HODGE,NILAN",,,"REBOUND DEF by HODGE,NILAN",1
14:49,,4,,20 (+16),"GOOD LAYUP by HODGE,NILAN(in the paint)",SEWANEE 4-20 (+16),,"GOOD LAYUP by HODGE,NILAN(in the paint)",1
14:33,"GOOD JUMPER by CRIDER,COLE(in the paint)",6,,20 (+14),,BOYCE 6-20 (+14),,"GOOD JUMPER by CRIDER,COLE(in the paint)",1
14:17,,,,,"MISS JUMPER by VEAL,ROBERT",,,"MISS JUMPER by VEAL,ROBERT",1
--,,,,,"REBOUND OFF by BROWN,SETH",,,"REBOUND OFF by BROWN,SETH",1
13:54,,6,,23 (+17),"GOOD 3PTR by HODGE,NILAN",SEWANEE 6-23 (+17),,"GOOD 3PTR by HODGE,NILAN",1
--,,,,,"ASSIST  by BROWN,SETH",,,"ASSIST  by BROWN,SETH",1
13:35,,,,,"FOUL  by CALDWELL,MARCELLUS",,,"FOUL  by CALDWELL,MARCELLUS",1
13:30,"MISS JUMPER by MASON,TREVOR",,,,,,,"MISS JUMPER by MASON,TREVOR",1
--,,,,,"REBOUND DEF by CALDWELL,MARCELLUS",,,"REBOUND DEF by CALDWELL,MARCELLUS",1
13:21,,,,,"MISS JUMPER by HODGE,NILAN",,,"MISS JUMPER by HODGE,NILAN",1
--,"REBOUND DEF by CRIDER,COLE",,,,,,,"REBOUND DEF by CRIDER,COLE",1
13:01,"MISS 3PTR by MASON,TREVOR",,,,,,,"MISS 3PTR by MASON,TREVOR",1
--,,,,,"REBOUND DEF by CALDWELL,MARCELLUS",,,"REBOUND DEF by CALDWELL,MARCELLUS",1
12:55,,6,,25 (+19),"GOOD LAYUP by CALDWELL,MARCELLUS(in the paint)",SEWANEE 6-25 (+19),,"GOOD LAYUP by CALDWELL,MARCELLUS(in the paint)",1
12:37,"MISS JUMPER by FARLEY,ERIC",,,,,,,"MISS JUMPER by FARLEY,ERIC",1
12:37,,,,,"BLOCK  by BROWN,SETH",,,"BLOCK  by BROWN,SETH",1
--,"REBOUND OFF by FARLEY,ERIC",,,,,,,"REBOUND OFF by FARLEY,ERIC",1
12:30,"GOOD JUMPER by FARLEY,ERIC(in the paint)",8,,25 (+17),,BOYCE 8-25 (+17),,"GOOD JUMPER by FARLEY,ERIC(in the paint)",1
12:19,"FOUL  by MASON,TREVOR",,,,,,,"FOUL  by MASON,TREVOR",1
12:19,,8,,26 (+18),"GOOD FT by HODGE,NILAN",SEWANEE 8-26 (+18),,"GOOD FT by HODGE,NILAN",1
12:19,,8,,27 (+19),"GOOD FT by HODGE,NILAN",SEWANEE 8-27 (+19),,"GOOD FT by HODGE,NILAN",1
12:19,,8,,28 (+20),"GOOD FT by HODGE,NILAN",SEWANEE 8-28 (+20),,"GOOD FT by HODGE,NILAN",1
12:07,"TURNOVER  by MARSHALL,LUKE",,,,,,,"TURNOVER  by MARSHALL,LUKE",1
