Time Remaining,SEWANEE,Away Team Score,Play Team Indicator,Home Team Score,HC,Game Score,Team Indicator,Play,Period
13:40,,,,,"STEAL  by TAULTON,JORDAN",,,"STEAL  by TAULTON,JORDAN",1
13:23,,,,,"TURNOVER  by SHERIDAN,DAYTON",,,"TURNOVER  by SHERIDAN,DAYTON",1
13:23,"SUB IN by BORN,LEO",,,,,,,"SUB IN by BORN,LEO",1
13:23,"SUB IN by CALDWELL,MARCELLUS",,,,,,,"SUB IN by CALDWELL,MARCELLUS",1
13:23,"SUB IN by HODGE,NILAN",,,,,,,"SUB IN by HODGE,NILAN",1
13:23,"SUB OUT by AFFRONTI,LEWIS",,,,,,,"SUB OUT by AFFRONTI,LEWIS",1
13:23,"SUB OUT by BOULDIN,BRETT",,,,,,,"SUB OUT by BOULDIN,BRETT",1
13:23,"SUB OUT by BRYANT,VALENTINO",,,,,,,"SUB OUT by BRYANT,VALENTINO",1
13:23,,,,,"SUB IN by VANCE,LUKE",,,"SUB IN by VANCE,LUKE",1
13:23,,,,,"SUB OUT by SHERIDAN,DAYTON",,,"SUB OUT by SHERIDAN,DAYTON",1
13:09,"GOOD LAYUP by BORN,LEO(in the paint)",14 (+7),,7,,SEWANEE 14-7 (+7),,"GOOD LAYUP by BORN,LEO(in the paint)",1
--,"ASSIST  by VEAL,ROBERT",,,,,,,"ASSIST  by VEAL,ROBERT",1
13:07,,,,,"FOUL  by NIKOLOVSKI,DREW",,,"FOUL  by NIKOLOVSKI,DREW",1
13:07,"MISS FT by BORN,LEO",,,,,,,"MISS FT by BORN,LEO",1
--,,,,,"REBOUND DEF by PRIMM,COLTON",,,"REBOUND DEF by PRIMM,COLTON",1
12:47,"FOUL  by BROWN,SETH",,,,,,,"FOUL  by BROWN,SETH",1
12:47,,14 (+6),,8,"GOOD FT by PRIMM,COLTON",HC 14-8 (+6),,"GOOD FT by PRIMM,COLTON",1
12:47,,14 (+5),,9,"GOOD FT by PRIMM,COLTON",HC 14-9 (+5),,"GOOD FT by PRIMM,COLTON",1
12:33,"MISS 3PTR by HODGE,NILAN",,,,,,,"MISS 3PTR by HODGE,NILAN",1
--,"REBOUND OFF by VEAL,ROBERT",,,,,,,"REBOUND OFF by VEAL,ROBERT",1
12:27,"MISS LAYUP by VEAL,ROBERT",,,,,,,"MISS LAYUP by VEAL,ROBERT",1
--,"REBOUND OFF by VEAL,ROBERT",,,,,,,"REBOUND OFF by VEAL,ROBERT",1
12:26,"MISS LAYUP by VEAL,ROBERT",,,,,,,"MISS LAYUP by VEAL,ROBERT",1
--,,,,,"REBOUND DEF by PRIMM,COLTON",,,"REBOUND DEF by PRIMM,COLTON",1
11:54,,14 (+3),,11,"GOOD JUMPER by TAULTON,JORDAN(in the paint)",HC 14-11 (+3),,"GOOD JUMPER by TAULTON,JORDAN(in the paint)",1
11:37,"GOOD 3PTR by BROWN,SETH(fastbreak)(in the paint)",17 (+6),,11,,SEWANEE 17-11 (+6),,"GOOD 3PTR by BROWN,SETH(fastbreak)(in the paint)",1
--,"ASSIST  by HODGE,NILAN",,,,,,,"ASSIST  by HODGE,NILAN",1
11:14,,,,,"TURNOVER  by RILEY,JAREN",,,"TURNOVER  by RILEY,JAREN",1
11:13,"STEAL  by BORN,LEO",,,,,,,"STEAL  by BORN,LEO",1
11:11,"MISS LAYUP by BORN,LEO",,,,,,,"MISS LAYUP by BORN,LEO",1
11:11,,,,,"BLOCK  by NIKOLOVSKI,DREW",,,"BLOCK  by NIKOLOVSKI,DREW",1
--,,,,,"REBOUND DEF by RILEY,JAREN",,,"REBOUND DEF by RILEY,JAREN",1
