Time Remaining,HC,Away Team Score,Play Team Indicator,Home Team Score,SEWANEE,Game Score,Team Indicator,Play,Period
19:43,,0,,2 (+2),"GOOD JUMPER by CARTER,KESHONN(in the paint)",SEWANEE 0-2 (+2),,"GOOD JUMPER by CARTER,KESHONN(in the paint)",1
19:13,"GOOD LAYUP by PRIMM,COLTON(in the paint)",2,,2,,HC 2-2 (0),,"GOOD LAYUP by PRIMM,COLTON(in the paint)",1
18:52,,,,,"TURNOVER  by BROWN,TYLER",,,"TURNOVER  by BROWN,TYLER",1
18:51,"STEAL  by RILEY,JAREN",,,,,,,"STEAL  by RILEY,JAREN",1
18:34,,,,,"FOUL  by BROWN,TYLER",,,"FOUL  by BROWN,TYLER",1
18:28,"MISS 3PTR by RILEY,JAREN",,,,,,,"MISS 3PTR by RILEY,JAREN",1
--,,,,,"REBOUND DEF by BRYANT,VALENTINO",,,"REBOUND DEF by BRYANT,VALENTINO",1
18:16,,,,,"MISS JUMPER by CARTER,KESHONN",,,"MISS JUMPER by CARTER,KESHONN",1
--,"REBOUND DEF by MCCUBBIN,NATHAN",,,,,,,"REBOUND DEF by MCCUBBIN,NATHAN",1
17:47,"GOOD JUMPER by VANCE,LUKE",4 (+2),,2,,HC 4-2 (-2),,"GOOD JUMPER by VANCE,LUKE",1
--,"ASSIST  by GRAM,ANDY",,,,,,,"ASSIST  by GRAM,ANDY",1
17:47,,4,,5 (+1),"GOOD 3PTR by BROWN,TYLER",SEWANEE 4-5 (+1),,"GOOD 3PTR by BROWN,TYLER",1
--,,,,,"ASSIST  by BRYANT,VALENTINO",,,"ASSIST  by BRYANT,VALENTINO",1
17:46,"TURNOVER  by GRAM,ANDY",,,,,,,"TURNOVER  by GRAM,ANDY",1
17:20,,4,,7 (+3),"GOOD JUMPER by CARTER,KESHONN",SEWANEE 4-7 (+3),,"GOOD JUMPER by CARTER,KESHONN",1
--,,,,,"ASSIST  by BRYANT,VALENTINO",,,"ASSIST  by BRYANT,VALENTINO",1
16:58,"MISS 3PTR by GRAM,ANDY",,,,,,,"MISS 3PTR by GRAM,ANDY",1
--,,,,,"REBOUND DEF by BOULDIN,BRETT",,,"REBOUND DEF by BOULDIN,BRETT",1
