Time Remaining,MILLSAPS,Away Team Score,Play Team Indicator,Home Team Score,SEWANEE,Game Score,Team Indicator,Play,Period
19:37,,,,,"MISS 3PTR by BRYANT,VALENTINO",,,"MISS 3PTR by BRYANT,VALENTINO",1
--,"REBOUND DEF by BERGER,RYAN",,,,,,,"REBOUND DEF by BERGER,RYAN",1
19:20,"MISS LAYUP by BERGER,RYAN",,,,,,,"MISS LAYUP by BERGER,RYAN",1
19:20,,,,,"BLOCK  by CARTER,KESHONN",,,"BLOCK  by CARTER,KESHONN",1
--,,,,,"REBOUND DEF by CARTER,KESHONN",,,"REBOUND DEF by CARTER,KESHONN",1
19:03,,,,,"TURNOVER  by CARTER,KESHONN",,,"TURNOVER  by CARTER,KESHONN",1
18:41,,,,,"FOUL  by BROWN,TYLER",,,"FOUL  by BROWN,TYLER",1
18:41,"GOOD FT by BERGER,RYAN",1 (+1),,0,,MILLSAPS 1-0 (-1),,"GOOD FT by BERGER,RYAN",1
18:41,"MISS FT by BERGER,RYAN",,,,,,,"MISS FT by BERGER,RYAN",1
--,,,,,"REBOUND DEF by AFFRONTI,LEWIS",,,"REBOUND DEF by AFFRONTI,LEWIS",1
18:27,"FOUL  by ALLISON,BRANDON",,,,,,,"FOUL  by ALLISON,BRANDON",1
18:21,,,,,"MISS JUMPER by BROWN,TYLER",,,"MISS JUMPER by BROWN,TYLER",1
--,"REBOUND DEF by GILLIGAN,TULLY",,,,,,,"REBOUND DEF by GILLIGAN,TULLY",1
18:01,"MISS 3PTR by CORTESE,NICK",,,,,,,"MISS 3PTR by CORTESE,NICK",1
--,"REBOUND OFF by GILLIGAN,TULLY",,,,,,,"REBOUND OFF by GILLIGAN,TULLY",1
17:57,"GOOD 3PTR by KASTNER,MURRAY",4 (+4),,0,,MILLSAPS 4-0 (-4),,"GOOD 3PTR by KASTNER,MURRAY",1
--,"ASSIST  by GILLIGAN,TULLY",,,,,,,"ASSIST  by GILLIGAN,TULLY",1
16:55,,4 (+1),,3,"GOOD 3PTR by BRYANT,VALENTINO",SEWANEE 4-3 (-1),,"GOOD 3PTR by BRYANT,VALENTINO",1
--,,,,,"ASSIST  by BOULDIN,BRETT",,,"ASSIST  by BOULDIN,BRETT",1
16:55,"TURNOVER  by CORTESE,NICK",,,,,,,"TURNOVER  by CORTESE,NICK",1
16:55,,,,,"STEAL  by AFFRONTI,LEWIS",,,"STEAL  by AFFRONTI,LEWIS",1
16:55,,,,,"MISS LAYUP by AFFRONTI,LEWIS",,,"MISS LAYUP by AFFRONTI,LEWIS",1
--,,,,,"REBOUND OFF by AFFRONTI,LEWIS",,,"REBOUND OFF by AFFRONTI,LEWIS",1
16:55,"FOUL  by CORTESE,NICK",,,,,,,"FOUL  by CORTESE,NICK",1
16:55,,4,,4,"GOOD FT by AFFRONTI,LEWIS",SEWANEE 4-4 (0),,"GOOD FT by AFFRONTI,LEWIS",1
16:55,,4,,5 (+1),"GOOD FT by AFFRONTI,LEWIS",SEWANEE 4-5 (+1),,"GOOD FT by AFFRONTI,LEWIS",1
16:42,"GOOD JUMPER by BERGER,RYAN(in the paint)",6 (+1),,5,,MILLSAPS 6-5 (-1),,"GOOD JUMPER by BERGER,RYAN(in the paint)",1
--,"ASSIST  by GILLIGAN,TULLY",,,,,,,"ASSIST  by GILLIGAN,TULLY",1
16:21,,,,,"MISS 3PTR by BOULDIN,BRETT",,,"MISS 3PTR by BOULDIN,BRETT",1
--,"REBOUND DEF by BERGER,RYAN",,,,,,,"REBOUND DEF by BERGER,RYAN",1
16:14,"TURNOVER  by GILLIGAN,TULLY",,,,,,,"TURNOVER  by GILLIGAN,TULLY",1
16:12,,,,,"STEAL  by BOULDIN,BRETT",,,"STEAL  by BOULDIN,BRETT",1
16:11,,,,,"TURNOVER  by BOULDIN,BRETT",,,"TURNOVER  by BOULDIN,BRETT",1
16:10,"STEAL  by GILLIGAN,TULLY",,,,,,,"STEAL  by GILLIGAN,TULLY",1
15:43,"GOOD JUMPER by BERGER,RYAN(in the paint)",8 (+3),,5,,MILLSAPS 8-5 (-3),,"GOOD JUMPER by BERGER,RYAN(in the paint)",1
15:24,,,,,"MISS 3PTR by BOULDIN,BRETT",,,"MISS 3PTR by BOULDIN,BRETT",1
--,,,,,"REBOUND OFF by CARTER,KESHONN",,,"REBOUND OFF by CARTER,KESHONN",1
15:19,,8 (+1),,7,"GOOD LAYUP by CARTER,KESHONN(in the paint)",SEWANEE 8-7 (-1),,"GOOD LAYUP by CARTER,KESHONN(in the paint)",1
14:46,"TURNOVER  by CORTESE,NICK",,,,,,,"TURNOVER  by CORTESE,NICK",1
14:44,,,,,"STEAL  by CARTER,KESHONN",,,"STEAL  by CARTER,KESHONN",1
