Time Remaining,TOCCOA,Away Team Score,Play Team Indicator,Home Team Score,SEWANEE,Game Score,Team Indicator,Play,Period
19:41,,,,,"TURNOVER  by CARTER,KESHONN",,,"TURNOVER  by CARTER,KESHONN",1
19:39,"STEAL  by HARRELL,FREDDIE",,,,,,,"STEAL  by HARRELL,FREDDIE",1
19:26,"TURNOVER  by BARRETT,JOSH",,,,,,,"TURNOVER  by BARRETT,JOSH",1
19:08,,,,,"MISS 3PTR by AFFRONTI,LEWIS",,,"MISS 3PTR by AFFRONTI,LEWIS",1
--,"REBOUND DEF by BARRETT,JOSH",,,,,,,"REBOUND DEF by BARRETT,JOSH",1
18:53,"GOOD LAYUP by WESTFALL,DEREK(in the paint)",2 (+2),,0,,TOCCOA 2-0 (-2),,"GOOD LAYUP by WESTFALL,DEREK(in the paint)",1
18:35,,,,,"TURNOVER  by CARTER,KESHONN",,,"TURNOVER  by CARTER,KESHONN",1
18:35,,,,,"FOUL  by CARTER,KESHONN",,,"FOUL  by CARTER,KESHONN",1
18:35,"TURNOVER  by HARRELL,FREDDIE",,,,,,,"TURNOVER  by HARRELL,FREDDIE",1
18:35,,,,,"STEAL  by BOULDIN,BRETT",,,"STEAL  by BOULDIN,BRETT",1
18:35,,2,,2,"GOOD LAYUP by BOULDIN,BRETT(fastbreak)(in the paint)",SEWANEE 2-2 (0),,"GOOD LAYUP by BOULDIN,BRETT(fastbreak)(in the paint)",1
18:35,"TURNOVER  by BARRETT,JOSH",,,,,,,"TURNOVER  by BARRETT,JOSH",1
18:35,,2,,4 (+2),"GOOD LAYUP by BROWN,TYLER(in the paint)",SEWANEE 2-4 (+2),,"GOOD LAYUP by BROWN,TYLER(in the paint)",1
18:26,"MISS JUMPER by JOHNSON,JOSH",,,,,,,"MISS JUMPER by JOHNSON,JOSH",1
--,,,,,"REBOUND DEF by BRYANT,VALENTINO",,,"REBOUND DEF by BRYANT,VALENTINO",1
18:15,,,,,"MISS LAYUP by BRYANT,VALENTINO",,,"MISS LAYUP by BRYANT,VALENTINO",1
--,"REBOUND DEF by HARRELL,FREDDIE",,,,,,,"REBOUND DEF by HARRELL,FREDDIE",1
18:09,"GOOD LAYUP by HARRELL,FREDDIE(in the paint)",4,,4,,TOCCOA 4-4 (0),,"GOOD LAYUP by HARRELL,FREDDIE(in the paint)",1
17:51,,4,,7 (+3),"GOOD 3PTR by BOULDIN,BRETT",SEWANEE 4-7 (+3),,"GOOD 3PTR by BOULDIN,BRETT",1
--,,,,,"ASSIST  by BROWN,TYLER",,,"ASSIST  by BROWN,TYLER",1
16:30,"GOOD 3PTR by HARRELL,FREDDIE",7,,7,,TOCCOA 7-7 (0),,"GOOD 3PTR by HARRELL,FREDDIE",1
--,"ASSIST  by HAMLETT,CARLOS",,,,,,,"ASSIST  by HAMLETT,CARLOS",1
16:13,,,,,"MISS 3PTR by BOULDIN,BRETT",,,"MISS 3PTR by BOULDIN,BRETT",1
--,"REBOUND DEF by BARRETT,JOSH",,,,,,,"REBOUND DEF by BARRETT,JOSH",1
16:05,"MISS 3PTR by HAMLETT,CARLOS",,,,,,,"MISS 3PTR by HAMLETT,CARLOS",1
--,,,,,"REBOUND DEF by BRYANT,VALENTINO",,,"REBOUND DEF by BRYANT,VALENTINO",1
