Time Remaining,SEWANEE,Away Team Score,Play Team Indicator,Home Team Score,CCM,Game Score,Team Indicator,Play,Period
19:43,,0,,2 (+2),"GOOD JUMPER by DANEK,JOEY(in the paint)",CCM 0-2 (-2),,"GOOD JUMPER by DANEK,JOEY(in the paint)",1
--,,,,,"ASSIST  by DELANEY,JAKE",,,"ASSIST  by DELANEY,JAKE",1
19:15,"GOOD JUMPER by CARTER,KESHONN",2,,2,,SEWANEE 2-2 (0),,"GOOD JUMPER by CARTER,KESHONN",1
18:49,,,,,"MISS 3PTR by DELANEY,JAKE",,,"MISS 3PTR by DELANEY,JAKE",1
--,"REBOUND DEF by CARTER,KESHONN",,,,,,,"REBOUND DEF by CARTER,KESHONN",1
18:22,,,,,"FOUL  by BOYD,CHRIS",,,"FOUL  by BOYD,CHRIS",1
18:22,"GOOD FT by CARTER,KESHONN",3 (+1),,2,,SEWANEE 3-2 (+1),,"GOOD FT by CARTER,KESHONN",1
18:22,"GOOD FT by CARTER,KESHONN",4 (+2),,2,,SEWANEE 4-2 (+2),,"GOOD FT by CARTER,KESHONN",1
17:57,,,,,"MISS JUMPER by BOYD,CHRIS",,,"MISS JUMPER by BOYD,CHRIS",1
--,"REBOUND DEF by AFFRONTI,LEWIS",,,,,,,"REBOUND DEF by AFFRONTI,LEWIS",1
17:45,"MISS JUMPER by BRYANT,VALENTINO",,,,,,,"MISS JUMPER by BRYANT,VALENTINO",1
--,"REBOUND OFF by BOULDIN,BRETT",,,,,,,"REBOUND OFF by BOULDIN,BRETT",1
17:27,"GOOD LAYUP by BROWN,TYLER(in the paint)",6 (+4),,2,,SEWANEE 6-2 (+4),,"GOOD LAYUP by BROWN,TYLER(in the paint)",1
--,"ASSIST  by BRYANT,VALENTINO",,,,,,,"ASSIST  by BRYANT,VALENTINO",1
17:07,,6 (+2),,4,"GOOD LAYUP by BOYD,CHRIS(in the paint)",CCM 6-4 (+2),,"GOOD LAYUP by BOYD,CHRIS(in the paint)",1
--,,,,,"ASSIST  by DANEK,JOEY",,,"ASSIST  by DANEK,JOEY",1
16:48,"TURNOVER  by AFFRONTI,LEWIS",,,,,,,"TURNOVER  by AFFRONTI,LEWIS",1
16:48,,,,,"SUB IN by DELANEY,JAKE",,,"SUB IN by DELANEY,JAKE",1
16:48,,,,,"SUB IN by DEVRIES,JON",,,"SUB IN by DEVRIES,JON",1
