Time Remaining,SEWANE~2,Away Team Score,Play Team Indicator,Home Team Score,RCMBB13,Game Score,Team Indicator,Play,Period
19:36,"GOOD LAYUP by BRYANT,VALENTINO(in the paint)",2 (+2),,0,,SEWANE~2 2-0 (+2),,"GOOD LAYUP by BRYANT,VALENTINO(in the paint)",1
--,"ASSIST  by AFFRONTI,LEWIS",,,,,,,"ASSIST  by AFFRONTI,LEWIS",1
19:07,,,,,"TURNOVER  by HARTWELL,THEO",,,"TURNOVER  by HARTWELL,THEO",1
19:05,"STEAL  by BRYANT,VALENTINO",,,,,,,"STEAL  by BRYANT,VALENTINO",1
18:50,"TURNOVER  by BROWN,TYLER",,,,,,,"TURNOVER  by BROWN,TYLER",1
18:42,,,,,"TURNOVER  by GALOW,ANDREW",,,"TURNOVER  by GALOW,ANDREW",1
18:17,"MISS 3PTR by BROWN,TYLER",,,,,,,"MISS 3PTR by BROWN,TYLER",1
--,"REBOUND OFF by BOULDIN,BRETT",,,,,,,"REBOUND OFF by BOULDIN,BRETT",1
18:11,"GOOD 3PTR by AFFRONTI,LEWIS",5 (+5),,0,,SEWANE~2 5-0 (+5),,"GOOD 3PTR by AFFRONTI,LEWIS",1
--,"ASSIST  by BOULDIN,BRETT",,,,,,,"ASSIST  by BOULDIN,BRETT",1
17:54,,,,,"MISS JUMPER by CATES,REID",,,"MISS JUMPER by CATES,REID",1
--,"REBOUND DEF by BROWN,TYLER",,,,,,,"REBOUND DEF by BROWN,TYLER",1
17:36,"MISS JUMPER by BOULDIN,BRETT",,,,,,,"MISS JUMPER by BOULDIN,BRETT",1
--,,,,,"REBOUND DEF by LIVSEY,GEOFF",,,"REBOUND DEF by LIVSEY,GEOFF",1
17:25,"FOUL  by AFFRONTI,LEWIS",,,,,,,"FOUL  by AFFRONTI,LEWIS",1
17:25,,,,,"SUB IN by MCGRAIL,PATRICK",,,"SUB IN by MCGRAIL,PATRICK",1
17:25,,,,,"SUB OUT by CATES,REID",,,"SUB OUT by CATES,REID",1
17:16,,5 (+3),,2,"GOOD LAYUP by LIVSEY,GEOFF(in the paint)",RCMBB13 5-2 (+3),,"GOOD LAYUP by LIVSEY,GEOFF(in the paint)",1
16:47,"MISS JUMPER by CARTER,KESHONN",,,,,,,"MISS JUMPER by CARTER,KESHONN",1
--,,,,,"REBOUND DEF by HARTWELL,THEO",,,"REBOUND DEF by HARTWELL,THEO",1
16:37,,5 (+1),,4,"GOOD LAYUP by GALOW,ANDREW(in the paint)",RCMBB13 5-4 (+1),,"GOOD LAYUP by GALOW,ANDREW(in the paint)",1
16:07,,,,,"FOUL  by HARTWELL,THEO",,,"FOUL  by HARTWELL,THEO",1
16:07,"GOOD FT by CARTER,KESHONN",6 (+2),,4,,SEWANE~2 6-4 (+2),,"GOOD FT by CARTER,KESHONN",1
16:07,"MISS FT by CARTER,KESHONN",,,,,,,"MISS FT by CARTER,KESHONN",1
--,,,,,"REBOUND DEF by LIVSEY,GEOFF",,,"REBOUND DEF by LIVSEY,GEOFF",1
15:53,,,,,"MISS JUMPER by MILLER,DREW",,,"MISS JUMPER by MILLER,DREW",1
--,,,,,"REBOUND OFF by MCGRAIL,PATRICK",,,"REBOUND OFF by MCGRAIL,PATRICK",1
15:33,,,,,"MISS 3PTR by GALOW,ANDREW",,,"MISS 3PTR by GALOW,ANDREW",1
--,"REBOUND DEF by CARTER,KESHONN",,,,,,,"REBOUND DEF by CARTER,KESHONN",1
15:11,"GOOD 3PTR by BRYANT,VALENTINO",9 (+5),,4,,SEWANE~2 9-4 (+5),,"GOOD 3PTR by BRYANT,VALENTINO",1
--,"ASSIST  by BOULDIN,BRETT",,,,,,,"ASSIST  by BOULDIN,BRETT",1
14:36,,,,,"MISS LAYUP by GALOW,ANDREW",,,"MISS LAYUP by GALOW,ANDREW",1
--,"REBOUND DEF by BROWN,TYLER",,,,,,,"REBOUND DEF by BROWN,TYLER",1
14:34,"TURNOVER  by BROWN,TYLER",,,,,,,"TURNOVER  by BROWN,TYLER",1
14:34,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,1
14:34,"SUB IN by BROWN,SETH",,,,,,,"SUB IN by BROWN,SETH",1
14:34,"SUB IN by CALDWELL,MARCELLUS",,,,,,,"SUB IN by CALDWELL,MARCELLUS",1
14:34,"SUB IN by BORN,LEO",,,,,,,"SUB IN by BORN,LEO",1
14:34,"SUB OUT by BROWN,TYLER",,,,,,,"SUB OUT by BROWN,TYLER",1
14:34,"SUB OUT by BOULDIN,BRETT",,,,,,,"SUB OUT by BOULDIN,BRETT",1
14:34,"SUB OUT by AFFRONTI,LEWIS",,,,,,,"SUB OUT by AFFRONTI,LEWIS",1
14:24,,,,,"MISS 3PTR by MCGRAIL,PATRICK",,,"MISS 3PTR by MCGRAIL,PATRICK",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
14:23,"FOUL  by CALDWELL,MARCELLUS",,,,,,,"FOUL  by CALDWELL,MARCELLUS",1
14:12,,,,,"MISS LAYUP by HARTWELL,THEO",,,"MISS LAYUP by HARTWELL,THEO",1
--,"REBOUND DEF by BRYANT,VALENTINO",,,,,,,"REBOUND DEF by BRYANT,VALENTINO",1
14:03,"MISS JUMPER by BRYANT,VALENTINO",,,,,,,"MISS JUMPER by BRYANT,VALENTINO",1
--,,,,,"REBOUND DEF by MILLER,DREW",,,"REBOUND DEF by MILLER,DREW",1
13:57,"FOUL  by CALDWELL,MARCELLUS",,,,,,,"FOUL  by CALDWELL,MARCELLUS",1
13:57,"SUB IN by BOULDIN,BRETT",,,,,,,"SUB IN by BOULDIN,BRETT",1
13:57,"SUB IN by HODGE,NILAN",,,,,,,"SUB IN by HODGE,NILAN",1
13:57,"SUB OUT by BRYANT,VALENTINO",,,,,,,"SUB OUT by BRYANT,VALENTINO",1
13:57,"SUB OUT by CALDWELL,MARCELLUS",,,,,,,"SUB OUT by CALDWELL,MARCELLUS",1
13:36,,,,,"MISS LAYUP by GALOW,ANDREW",,,"MISS LAYUP by GALOW,ANDREW",1
--,,,,,"REBOUND OFF by HARTWELL,THEO",,,"REBOUND OFF by HARTWELL,THEO",1
13:34,,,,,"MISS LAYUP by HARTWELL,THEO",,,"MISS LAYUP by HARTWELL,THEO",1
--,"REBOUND DEF by HODGE,NILAN",,,,,,,"REBOUND DEF by HODGE,NILAN",1
13:16,"TURNOVER  by CARTER,KESHONN",,,,,,,"TURNOVER  by CARTER,KESHONN",1
13:16,,,,,"STEAL  by HARTWELL,THEO",,,"STEAL  by HARTWELL,THEO",1
13:16,"SUB IN by VEAL,ROBERT",,,,,,,"SUB IN by VEAL,ROBERT",1
13:16,"SUB OUT by CARTER,KESHONN",,,,,,,"SUB OUT by CARTER,KESHONN",1
13:16,,,,,"SUB IN by GALLAGHER,MICHAEL",,,"SUB IN by GALLAGHER,MICHAEL",1
13:16,,,,,"SUB IN by HOECK,RYAN VAN",,,"SUB IN by HOECK,RYAN VAN",1
13:16,,,,,"SUB OUT by HARTWELL,THEO",,,"SUB OUT by HARTWELL,THEO",1
13:16,,,,,"SUB OUT by MILLER,DREW",,,"SUB OUT by MILLER,DREW",1
13:04,,9 (+2),,7,"GOOD 3PTR by GALLAGHER,MICHAEL",RCMBB13 9-7 (+2),,"GOOD 3PTR by GALLAGHER,MICHAEL",1
--,,,,,"ASSIST  by GALOW,ANDREW",,,"ASSIST  by GALOW,ANDREW",1
12:40,"MISS 3PTR by BROWN,SETH",,,,,,,"MISS 3PTR by BROWN,SETH",1
--,,,,,"REBOUND DEF by HOECK,RYAN VAN",,,"REBOUND DEF by HOECK,RYAN VAN",1
12:26,,,,,"MISS JUMPER by LIVSEY,GEOFF",,,"MISS JUMPER by LIVSEY,GEOFF",1
--,"REBOUND DEF by VEAL,ROBERT",,,,,,,"REBOUND DEF by VEAL,ROBERT",1
11:58,"MISS 3PTR by HODGE,NILAN",,,,,,,"MISS 3PTR by HODGE,NILAN",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
11:55,"SUB IN by BROWN,TYLER",,,,,,,"SUB IN by BROWN,TYLER",1
11:55,"SUB OUT by BORN,LEO",,,,,,,"SUB OUT by BORN,LEO",1
11:55,,,,,"SUB IN by SLEDGE,TATE",,,"SUB IN by SLEDGE,TATE",1
11:55,,,,,"SUB OUT by LIVSEY,GEOFF",,,"SUB OUT by LIVSEY,GEOFF",1
11:42,,,,,"MISS LAYUP by SLEDGE,TATE",,,"MISS LAYUP by SLEDGE,TATE",1
--,,,,,"REBOUND OFF by SLEDGE,TATE",,,"REBOUND OFF by SLEDGE,TATE",1
11:29,,9,,9,"GOOD JUMPER by GALOW,ANDREW",RCMBB13 9-9 (0),,"GOOD JUMPER by GALOW,ANDREW",1
11:08,,,,,"FOUL  by HOECK,RYAN VAN",,,"FOUL  by HOECK,RYAN VAN",1
11:08,"SUB IN by BRYANT,VALENTINO",,,,,,,"SUB IN by BRYANT,VALENTINO",1
11:08,"SUB IN by AFFRONTI,LEWIS",,,,,,,"SUB IN by AFFRONTI,LEWIS",1
11:08,"SUB OUT by BROWN,SETH",,,,,,,"SUB OUT by BROWN,SETH",1
11:08,"SUB OUT by HODGE,NILAN",,,,,,,"SUB OUT by HODGE,NILAN",1
11:07,"MISS LAYUP by BOULDIN,BRETT",,,,,,,"MISS LAYUP by BOULDIN,BRETT",1
11:07,,,,,"BLOCK  by HOECK,RYAN VAN",,,"BLOCK  by HOECK,RYAN VAN",1
--,,,,,"REBOUND DEF by SLEDGE,TATE",,,"REBOUND DEF by SLEDGE,TATE",1
10:35,,9,,11 (+2),"GOOD DUNK by HOECK,RYAN VAN(in the paint)",RCMBB13 9-11 (-2),,"GOOD DUNK by HOECK,RYAN VAN(in the paint)",1
--,,,,,"ASSIST  by GALOW,ANDREW",,,"ASSIST  by GALOW,ANDREW",1
10:22,"MISS LAYUP by BRYANT,VALENTINO",,,,,,,"MISS LAYUP by BRYANT,VALENTINO",1
--,"REBOUND OFF by BRYANT,VALENTINO",,,,,,,"REBOUND OFF by BRYANT,VALENTINO",1
10:20,"GOOD LAYUP by BRYANT,VALENTINO(in the paint)",11,,11,,SEWANE~2 11-11 (0),,"GOOD LAYUP by BRYANT,VALENTINO(in the paint)",1
09:56,,,,,"MISS JUMPER by GALOW,ANDREW",,,"MISS JUMPER by GALOW,ANDREW",1
--,"REBOUND DEF by BRYANT,VALENTINO",,,,,,,"REBOUND DEF by BRYANT,VALENTINO",1
09:48,,,,,"FOUL  by GALLAGHER,MICHAEL",,,"FOUL  by GALLAGHER,MICHAEL",1
09:48,"MISS FT by BRYANT,VALENTINO",,,,,,,"MISS FT by BRYANT,VALENTINO",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
09:48,"MISS FT by BRYANT,VALENTINO",,,,,,,"MISS FT by BRYANT,VALENTINO",1
--,,,,,"REBOUND DEF by GALLAGHER,MICHAEL",,,"REBOUND DEF by GALLAGHER,MICHAEL",1
09:48,"SUB IN by CARTER,KESHONN",,,,,,,"SUB IN by CARTER,KESHONN",1
09:48,"SUB OUT by VEAL,ROBERT",,,,,,,"SUB OUT by VEAL,ROBERT",1
09:48,,,,,"SUB IN by COLLINS,LUKE",,,"SUB IN by COLLINS,LUKE",1
09:48,,,,,"SUB IN by MILLER,DREW",,,"SUB IN by MILLER,DREW",1
09:48,,,,,"SUB OUT by MCGRAIL,PATRICK",,,"SUB OUT by MCGRAIL,PATRICK",1
09:48,,,,,"SUB OUT by GALOW,ANDREW",,,"SUB OUT by GALOW,ANDREW",1
09:22,,,,,"TURNOVER  by COLLINS,LUKE",,,"TURNOVER  by COLLINS,LUKE",1
09:21,"STEAL  by BRYANT,VALENTINO",,,,,,,"STEAL  by BRYANT,VALENTINO",1
09:18,"GOOD LAYUP by BRYANT,VALENTINO(fastbreak)(in the paint)",13 (+2),,11,,SEWANE~2 13-11 (+2),,"GOOD LAYUP by BRYANT,VALENTINO(fastbreak)(in the paint)",1
08:47,,,,,"MISS LAYUP by SLEDGE,TATE",,,"MISS LAYUP by SLEDGE,TATE",1
--,,,,,"REBOUND OFF by SLEDGE,TATE",,,"REBOUND OFF by SLEDGE,TATE",1
08:46,"FOUL  by AFFRONTI,LEWIS",,,,,,,"FOUL  by AFFRONTI,LEWIS",1
08:46,,13 (+1),,12,"GOOD FT by SLEDGE,TATE",RCMBB13 13-12 (+1),,"GOOD FT by SLEDGE,TATE",1
08:46,,13,,13,"GOOD FT by SLEDGE,TATE",RCMBB13 13-13 (0),,"GOOD FT by SLEDGE,TATE",1
08:46,"SUB IN by BORN,LEO",,,,,,,"SUB IN by BORN,LEO",1
08:46,"SUB OUT by AFFRONTI,LEWIS",,,,,,,"SUB OUT by AFFRONTI,LEWIS",1
08:46,,,,,"SUB IN by HARTWELL,THEO",,,"SUB IN by HARTWELL,THEO",1
08:46,,,,,"SUB OUT by HOECK,RYAN VAN",,,"SUB OUT by HOECK,RYAN VAN",1
08:26,"GOOD 3PTR by BOULDIN,BRETT",16 (+3),,13,,SEWANE~2 16-13 (+3),,"GOOD 3PTR by BOULDIN,BRETT",1
08:08,,,,,"MISS 3PTR by GALLAGHER,MICHAEL",,,"MISS 3PTR by GALLAGHER,MICHAEL",1
--,"REBOUND DEF by CARTER,KESHONN",,,,,,,"REBOUND DEF by CARTER,KESHONN",1
07:35,"MISS JUMPER by CARTER,KESHONN",,,,,,,"MISS JUMPER by CARTER,KESHONN",1
--,,,,,"REBOUND DEF by HARTWELL,THEO",,,"REBOUND DEF by HARTWELL,THEO",1
07:09,,,,,"MISS 3PTR by GALLAGHER,MICHAEL",,,"MISS 3PTR by GALLAGHER,MICHAEL",1
--,"REBOUND DEF by CARTER,KESHONN",,,,,,,"REBOUND DEF by CARTER,KESHONN",1
06:57,"MISS LAYUP by BROWN,TYLER",,,,,,,"MISS LAYUP by BROWN,TYLER",1
--,,,,,"REBOUND DEF by SLEDGE,TATE",,,"REBOUND DEF by SLEDGE,TATE",1
06:42,,16 (+1),,15,"GOOD LAYUP by HARTWELL,THEO(in the paint)",RCMBB13 16-15 (+1),,"GOOD LAYUP by HARTWELL,THEO(in the paint)",1
06:14,"MISS 3PTR by BRYANT,VALENTINO",,,,,,,"MISS 3PTR by BRYANT,VALENTINO",1
--,,,,,"REBOUND DEF by MILLER,DREW",,,"REBOUND DEF by MILLER,DREW",1
06:01,"FOUL  by CARTER,KESHONN",,,,,,,"FOUL  by CARTER,KESHONN",1
06:01,,16,,16,"GOOD FT by SLEDGE,TATE",RCMBB13 16-16 (0),,"GOOD FT by SLEDGE,TATE",1
06:01,,16,,17 (+1),"GOOD FT by SLEDGE,TATE",RCMBB13 16-17 (-1),,"GOOD FT by SLEDGE,TATE",1
06:01,"SUB IN by HODGE,NILAN",,,,,,,"SUB IN by HODGE,NILAN",1
06:01,"SUB IN by VEAL,ROBERT",,,,,,,"SUB IN by VEAL,ROBERT",1
06:01,"SUB IN by BROWN,SETH",,,,,,,"SUB IN by BROWN,SETH",1
06:01,"SUB OUT by BRYANT,VALENTINO",,,,,,,"SUB OUT by BRYANT,VALENTINO",1
06:01,"SUB OUT by BROWN,TYLER",,,,,,,"SUB OUT by BROWN,TYLER",1
06:01,"SUB OUT by CARTER,KESHONN",,,,,,,"SUB OUT by CARTER,KESHONN",1
06:01,,,,,"SUB IN by GALOW,ANDREW",,,"SUB IN by GALOW,ANDREW",1
06:01,,,,,"SUB OUT by COLLINS,LUKE",,,"SUB OUT by COLLINS,LUKE",1
05:44,,,,,"FOUL  by MILLER,DREW",,,"FOUL  by MILLER,DREW",1
05:38,"TURNOVER  by VEAL,ROBERT",,,,,,,"TURNOVER  by VEAL,ROBERT",1
05:25,,,,,"MISS 3PTR by MILLER,DREW",,,"MISS 3PTR by MILLER,DREW",1
--,"REBOUND DEF by BORN,LEO",,,,,,,"REBOUND DEF by BORN,LEO",1
04:50,,,,,"SUB IN by LIVSEY,GEOFF",,,"SUB IN by LIVSEY,GEOFF",1
04:50,,,,,"SUB OUT by SLEDGE,TATE",,,"SUB OUT by SLEDGE,TATE",1
04:49,"MISS LAYUP by BROWN,SETH",,,,,,,"MISS LAYUP by BROWN,SETH",1
--,,,,,"REBOUND DEF by MILLER,DREW",,,"REBOUND DEF by MILLER,DREW",1
04:37,,16,,19 (+3),"GOOD LAYUP by LIVSEY,GEOFF(in the paint)",RCMBB13 16-19 (-3),,"GOOD LAYUP by LIVSEY,GEOFF(in the paint)",1
--,,,,,"ASSIST  by HARTWELL,THEO",,,"ASSIST  by HARTWELL,THEO",1
04:37,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
04:20,"MISS LAYUP by BROWN,SETH",,,,,,,"MISS LAYUP by BROWN,SETH",1
--,,,,,"REBOUND DEF by HARTWELL,THEO",,,"REBOUND DEF by HARTWELL,THEO",1
04:17,"SUB IN by CARTER,KESHONN",,,,,,,"SUB IN by CARTER,KESHONN",1
04:17,"SUB IN by BRYANT,VALENTINO",,,,,,,"SUB IN by BRYANT,VALENTINO",1
04:17,"SUB OUT by BOULDIN,BRETT",,,,,,,"SUB OUT by BOULDIN,BRETT",1
04:17,"SUB OUT by VEAL,ROBERT",,,,,,,"SUB OUT by VEAL,ROBERT",1
03:48,,16,,21 (+5),"GOOD JUMPER by LIVSEY,GEOFF(in the paint)",RCMBB13 16-21 (-5),,"GOOD JUMPER by LIVSEY,GEOFF(in the paint)",1
--,,,,,"ASSIST  by GALLAGHER,MICHAEL",,,"ASSIST  by GALLAGHER,MICHAEL",1
03:26,,,,,"FOUL  by GALLAGHER,MICHAEL",,,"FOUL  by GALLAGHER,MICHAEL",1
03:26,"GOOD FT by BRYANT,VALENTINO",17,,21 (+4),,SEWANE~2 17-21 (-4),,"GOOD FT by BRYANT,VALENTINO",1
03:26,"GOOD FT by BRYANT,VALENTINO",18,,21 (+3),,SEWANE~2 18-21 (-3),,"GOOD FT by BRYANT,VALENTINO",1
03:26,,,,,"SUB IN by CATES,REID",,,"SUB IN by CATES,REID",1
03:26,,,,,"SUB IN by CHIEN,KEVIN",,,"SUB IN by CHIEN,KEVIN",1
03:26,,,,,"SUB OUT by GALLAGHER,MICHAEL",,,"SUB OUT by GALLAGHER,MICHAEL",1
03:14,,,,,"MISS LAYUP by HARTWELL,THEO",,,"MISS LAYUP by HARTWELL,THEO",1
--,,,,,"REBOUND OFF by GALOW,ANDREW",,,"REBOUND OFF by GALOW,ANDREW",1
03:01,,,,,"MISS 3PTR by CHIEN,KEVIN",,,"MISS 3PTR by CHIEN,KEVIN",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
02:56,,18,,24 (+6),"GOOD 3PTR by MILLER,DREW",RCMBB13 18-24 (-6),,"GOOD 3PTR by MILLER,DREW",1
--,,,,,"ASSIST  by GALOW,ANDREW",,,"ASSIST  by GALOW,ANDREW",1
02:16,"MISS 3PTR by BORN,LEO",,,,,,,"MISS 3PTR by BORN,LEO",1
--,"REBOUND OFF by BROWN,TYLER",,,,,,,"REBOUND OFF by BROWN,TYLER",1
01:58,"SUB IN by CALDWELL,MARCELLUS",,,,,,,"SUB IN by CALDWELL,MARCELLUS",1
01:58,"SUB IN by BOULDIN,BRETT",,,,,,,"SUB IN by BOULDIN,BRETT",1
01:58,"SUB OUT by BORN,LEO",,,,,,,"SUB OUT by BORN,LEO",1
01:58,"SUB OUT by HODGE,NILAN",,,,,,,"SUB OUT by HODGE,NILAN",1
01:43,"GOOD 3PTR by BRYANT,VALENTINO",21,,24 (+3),,SEWANE~2 21-24 (-3),,"GOOD 3PTR by BRYANT,VALENTINO",1
01:10,,,,,"MISS LAYUP by LIVSEY,GEOFF",,,"MISS LAYUP by LIVSEY,GEOFF",1
--,"REBOUND DEF by CARTER,KESHONN",,,,,,,"REBOUND DEF by CARTER,KESHONN",1
00:56,"TURNOVER  by BRYANT,VALENTINO",,,,,,,"TURNOVER  by BRYANT,VALENTINO",1
00:56,,,,,"SUB IN by MCGRAIL,PATRICK",,,"SUB IN by MCGRAIL,PATRICK",1
00:56,,,,,"SUB OUT by CHIEN,KEVIN",,,"SUB OUT by CHIEN,KEVIN",1
00:31,,21,,26 (+5),"GOOD LAYUP by HARTWELL,THEO(in the paint)",RCMBB13 21-26 (-5),,"GOOD LAYUP by HARTWELL,THEO(in the paint)",1
--,,,,,"ASSIST  by LIVSEY,GEOFF",,,"ASSIST  by LIVSEY,GEOFF",1
00:03,"GOOD JUMPER by CARTER,KESHONN(in the paint)",23,,26 (+3),,SEWANE~2 23-26 (-3),,"GOOD JUMPER by CARTER,KESHONN(in the paint)",1
20:00,,,,,"SUB IN by MCGRAIL,PATRICK",,,"SUB IN by MCGRAIL,PATRICK",2
20:00,,,,,"SUB OUT by CATES,REID",,,"SUB OUT by CATES,REID",2
19:40,,,,,"FOUL  by MILLER,DREW",,,"FOUL  by MILLER,DREW",2
19:38,"GOOD JUMPER by BOULDIN,BRETT",25,,26 (+1),,SEWANE~2 25-26 (-1),,"GOOD JUMPER by BOULDIN,BRETT",2
--,"ASSIST  by BRYANT,VALENTINO",,,,,,,"ASSIST  by BRYANT,VALENTINO",2
19:22,,,,,"MISS LAYUP by HARTWELL,THEO",,,"MISS LAYUP by HARTWELL,THEO",2
--,"REBOUND DEF by BROWN,TYLER",,,,,,,"REBOUND DEF by BROWN,TYLER",2
19:04,"GOOD 3PTR by AFFRONTI,LEWIS",28 (+2),,26,,SEWANE~2 28-26 (+2),,"GOOD 3PTR by AFFRONTI,LEWIS",2
--,"ASSIST  by CARTER,KESHONN",,,,,,,"ASSIST  by CARTER,KESHONN",2
18:43,"FOUL  by CARTER,KESHONN",,,,,,,"FOUL  by CARTER,KESHONN",2
18:43,,28 (+1),,27,"GOOD FT by HARTWELL,THEO",RCMBB13 28-27 (+1),,"GOOD FT by HARTWELL,THEO",2
18:43,,28,,28,"GOOD FT by HARTWELL,THEO",RCMBB13 28-28 (0),,"GOOD FT by HARTWELL,THEO",2
18:28,"MISS 3PTR by AFFRONTI,LEWIS",,,,,,,"MISS 3PTR by AFFRONTI,LEWIS",2
--,"REBOUND OFF by BROWN,TYLER",,,,,,,"REBOUND OFF by BROWN,TYLER",2
18:19,"GOOD LAYUP by BRYANT,VALENTINO(in the paint)",30 (+2),,28,,SEWANE~2 30-28 (+2),,"GOOD LAYUP by BRYANT,VALENTINO(in the paint)",2
18:12,,,,,"TURNOVER  by GALOW,ANDREW",,,"TURNOVER  by GALOW,ANDREW",2
18:11,,,,,"SUB IN by CHIEN,KEVIN",,,"SUB IN by CHIEN,KEVIN",2
18:11,,,,,"SUB OUT by GALOW,ANDREW",,,"SUB OUT by GALOW,ANDREW",2
17:51,"MISS LAYUP by BROWN,TYLER",,,,,,,"MISS LAYUP by BROWN,TYLER",2
--,,,,,"REBOUND DEF by MILLER,DREW",,,"REBOUND DEF by MILLER,DREW",2
17:38,,30,,30,"GOOD LAYUP by HARTWELL,THEO(in the paint)",RCMBB13 30-30 (0),,"GOOD LAYUP by HARTWELL,THEO(in the paint)",2
17:24,"TURNOVER  by BRYANT,VALENTINO",,,,,,,"TURNOVER  by BRYANT,VALENTINO",2
17:24,"FOUL  by BRYANT,VALENTINO",,,,,,,"FOUL  by BRYANT,VALENTINO",2
17:13,,30,,32 (+2),"GOOD LAYUP by HARTWELL,THEO(in the paint)",RCMBB13 30-32 (-2),,"GOOD LAYUP by HARTWELL,THEO(in the paint)",2
--,,,,,"ASSIST  by MILLER,DREW",,,"ASSIST  by MILLER,DREW",2
17:13,"FOUL  by CARTER,KESHONN",,,,,,,"FOUL  by CARTER,KESHONN",2
17:13,,,,,"MISS FT by HARTWELL,THEO",,,"MISS FT by HARTWELL,THEO",2
--,"REBOUND DEF by BOULDIN,BRETT",,,,,,,"REBOUND DEF by BOULDIN,BRETT",2
16:55,"TURNOVER  by CARTER,KESHONN",,,,,,,"TURNOVER  by CARTER,KESHONN",2
16:55,,,,,"STEAL  by CHIEN,KEVIN",,,"STEAL  by CHIEN,KEVIN",2
16:55,"FOUL  by AFFRONTI,LEWIS",,,,,,,"FOUL  by AFFRONTI,LEWIS",2
16:55,"SUB IN by BORN,LEO",,,,,,,"SUB IN by BORN,LEO",2
16:55,"SUB IN by VEAL,ROBERT",,,,,,,"SUB IN by VEAL,ROBERT",2
16:55,"SUB OUT by CARTER,KESHONN",,,,,,,"SUB OUT by CARTER,KESHONN",2
16:55,"SUB OUT by AFFRONTI,LEWIS",,,,,,,"SUB OUT by AFFRONTI,LEWIS",2
16:36,,30,,34 (+4),"GOOD JUMPER by MILLER,DREW(in the paint)",RCMBB13 30-34 (-4),,"GOOD JUMPER by MILLER,DREW(in the paint)",2
16:18,"GOOD LAYUP by BROWN,TYLER(in the paint)",32,,34 (+2),,SEWANE~2 32-34 (-2),,"GOOD LAYUP by BROWN,TYLER(in the paint)",2
--,"ASSIST  by VEAL,ROBERT",,,,,,,"ASSIST  by VEAL,ROBERT",2
16:03,,,,,"MISS LAYUP by HARTWELL,THEO",,,"MISS LAYUP by HARTWELL,THEO",2
--,"REBOUND DEF by BOULDIN,BRETT",,,,,,,"REBOUND DEF by BOULDIN,BRETT",2
15:44,"TURNOVER  by BRYANT,VALENTINO",,,,,,,"TURNOVER  by BRYANT,VALENTINO",2
15:43,,,,,"STEAL  by HARTWELL,THEO",,,"STEAL  by HARTWELL,THEO",2
15:22,,,,,"TURNOVER  by LIVSEY,GEOFF",,,"TURNOVER  by LIVSEY,GEOFF",2
