Time Remaining,BERRY,Away Team Score,Play Team Indicator,Home Team Score,SEWANEE,Game Score,Team Indicator,Play,Period
19:32,,,,,"TURNOVER  by BROWN,TYLER",,,"TURNOVER  by BROWN,TYLER",1
19:23,"MISS LAYUP by ABRAMS,JONATHAN",,,,,,,"MISS LAYUP by ABRAMS,JONATHAN",1
--,,,,,"REBOUND DEF by BROWN,TYLER",,,"REBOUND DEF by BROWN,TYLER",1
19:05,,0,,2 (+2),"GOOD LAYUP by BROWN,TYLER(in the paint)",SEWANEE 0-2 (+2),,"GOOD LAYUP by BROWN,TYLER(in the paint)",1
--,,,,,"ASSIST  by CARTER,KESHONN",,,"ASSIST  by CARTER,KESHONN",1
18:43,"MISS 3PTR by WHALEN,MAC",,,,,,,"MISS 3PTR by WHALEN,MAC",1
--,,,,,"REBOUND DEF by BROWN,TYLER",,,"REBOUND DEF by BROWN,TYLER",1
18:24,,,,,"MISS JUMPER by HODGE,NILAN",,,"MISS JUMPER by HODGE,NILAN",1
--,"REBOUND DEF by ABRAMS,JONATHAN",,,,,,,"REBOUND DEF by ABRAMS,JONATHAN",1
17:56,"MISS 3PTR by SMOAK,HUNTER",,,,,,,"MISS 3PTR by SMOAK,HUNTER",1
--,"REBOUND OFF by WHALEN,MAC",,,,,,,"REBOUND OFF by WHALEN,MAC",1
17:47,"GOOD JUMPER by HOWARD,MAC",2,,2,,BERRY 2-2 (0),,"GOOD JUMPER by HOWARD,MAC",1
--,"ASSIST  by ABRAMS,JONATHAN",,,,,,,"ASSIST  by ABRAMS,JONATHAN",1
17:20,,,,,"MISS LAYUP by BROWN,TYLER",,,"MISS LAYUP by BROWN,TYLER",1
--,"REBOUND DEF by GRAHAM,LAKE",,,,,,,"REBOUND DEF by GRAHAM,LAKE",1
17:10,"MISS JUMPER by HOWARD,MAC",,,,,,,"MISS JUMPER by HOWARD,MAC",1
--,,,,,"REBOUND DEF by CARTER,KESHONN",,,"REBOUND DEF by CARTER,KESHONN",1
16:46,,2,,4 (+2),"GOOD LAYUP by CALDWELL,MARCELLUS(in the paint)",SEWANEE 2-4 (+2),,"GOOD LAYUP by CALDWELL,MARCELLUS(in the paint)",1
16:18,"MISS 3PTR by WHALEN,MAC",,,,,,,"MISS 3PTR by WHALEN,MAC",1
--,"REBOUND OFF by GRAHAM,LAKE",,,,,,,"REBOUND OFF by GRAHAM,LAKE",1
16:17,,,,,"FOUL  by CARTER,KESHONN",,,"FOUL  by CARTER,KESHONN",1
16:02,"GOOD 3PTR by ABRAMS,JONATHAN",5 (+1),,4,,BERRY 5-4 (-1),,"GOOD 3PTR by ABRAMS,JONATHAN",1
--,"ASSIST  by SMOAK,HUNTER",,,,,,,"ASSIST  by SMOAK,HUNTER",1
15:29,"FOUL  by WHALEN,MAC",,,,,,,"FOUL  by WHALEN,MAC",1
15:29,,5,,5,"GOOD FT by BROWN,TYLER",SEWANEE 5-5 (0),,"GOOD FT by BROWN,TYLER",1
15:29,,,,,"MISS FT by BROWN,TYLER",,,"MISS FT by BROWN,TYLER",1
--,"REBOUND DEF by SMOAK,HUNTER",,,,,,,"REBOUND DEF by SMOAK,HUNTER",1
15:29,,,,,"SUB IN by BRYANT,VALENTINO",,,"SUB IN by BRYANT,VALENTINO",1
15:29,,,,,"SUB IN by AFFRONTI,LEWIS",,,"SUB IN by AFFRONTI,LEWIS",1
