Time Remaining,SEWANEE,Away Team Score,Play Team Indicator,Home Team Score,MER,Game Score,Team Indicator,Play,Period
19:50,,0,,2 (+2),"GOOD LAYUP by GOLLON,JAKOB(in the paint)",MER 0-2 (-2),,"GOOD LAYUP by GOLLON,JAKOB(in the paint)",1
--,,,,,"ASSIST  by THOMAS,BUD",,,"ASSIST  by THOMAS,BUD",1
19:24,"GOOD JUMPER by BROWN,TYLER",2,,2,,SEWANEE 2-2 (0),,"GOOD JUMPER by BROWN,TYLER",1
18:50,,2,,5 (+3),"GOOD 3PTR by SMITH,TRAVIS",MER 2-5 (-3),,"GOOD 3PTR by SMITH,TRAVIS",1
18:30,,,,,"FOUL  by GOLLON,JAKOB",,,"FOUL  by GOLLON,JAKOB",1
18:00,"MISS 3PTR by BOULDIN,BRETT",,,,,,,"MISS 3PTR by BOULDIN,BRETT",1
--,,,,,"REBOUND DEF by THOMAS,BUD",,,"REBOUND DEF by THOMAS,BUD",1
17:55,,,,,"TURNOVER  by THOMAS,BUD",,,"TURNOVER  by THOMAS,BUD",1
17:39,"GOOD JUMPER by BROWN,TYLER",4,,5 (+1),,SEWANEE 4-5 (-1),,"GOOD JUMPER by BROWN,TYLER",1
17:08,,4,,8 (+4),"GOOD 3PTR by THOMAS,BUD",MER 4-8 (-4),,"GOOD 3PTR by THOMAS,BUD",1
--,,,,,"ASSIST  by BROWN,MONTY",,,"ASSIST  by BROWN,MONTY",1
16:47,"MISS 3PTR by BROWN,TYLER",,,,,,,"MISS 3PTR by BROWN,TYLER",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
16:24,,,,,"MISS 3PTR by SMITH,CHRIS",,,"MISS 3PTR by SMITH,CHRIS",1
--,,,,,"REBOUND OFF by BROWN,MONTY",,,"REBOUND OFF by BROWN,MONTY",1
16:20,"FOUL  by AFFRONTI,LEWIS",,,,,,,"FOUL  by AFFRONTI,LEWIS",1
16:20,,4,,9 (+5),"GOOD FT by BROWN,MONTY",MER 4-9 (-5),,"GOOD FT by BROWN,MONTY",1
16:20,,,,,"MISS FT by BROWN,MONTY",,,"MISS FT by BROWN,MONTY",1
--,"REBOUND DEF by BROWN,TYLER",,,,,,,"REBOUND DEF by BROWN,TYLER",1
15:59,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
15:59,"GOOD FT by BOULDIN,BRETT",5,,9 (+4),,SEWANEE 5-9 (-4),,"GOOD FT by BOULDIN,BRETT",1
15:59,"GOOD FT by BOULDIN,BRETT",6,,9 (+3),,SEWANEE 6-9 (-3),,"GOOD FT by BOULDIN,BRETT",1
15:59,,,,,"SUB IN by HALLICE,TJ",,,"SUB IN by HALLICE,TJ",1
15:59,,,,,"SUB IN by WHITE,ANTHONY JR",,,"SUB IN by WHITE,ANTHONY JR",1
15:59,,,,,"SUB OUT by BROWN,MONTY",,,"SUB OUT by BROWN,MONTY",1
15:59,,,,,"SUB OUT by SMITH,CHRIS",,,"SUB OUT by SMITH,CHRIS",1
15:57,,,,,"FOUL  by BROWN,MONTY",,,"FOUL  by BROWN,MONTY",1
15:48,,6,,11 (+5),"GOOD LAYUP by SMITH,TRAVIS(in the paint)",MER 6-11 (-5),,"GOOD LAYUP by SMITH,TRAVIS(in the paint)",1
15:38,"MISS 3PTR by BOULDIN,BRETT",,,,,,,"MISS 3PTR by BOULDIN,BRETT",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
15:20,,,,,"TURNOVER  by SMITH,TRAVIS",,,"TURNOVER  by SMITH,TRAVIS",1
15:02,"MISS LAYUP by BROWN,TYLER",,,,,,,"MISS LAYUP by BROWN,TYLER",1
--,,,,,"REBOUND DEF by HALLICE,TJ",,,"REBOUND DEF by HALLICE,TJ",1
14:50,,,,,"TURNOVER  by SMITH,TRAVIS",,,"TURNOVER  by SMITH,TRAVIS",1
14:50,"STEAL  by BRYANT,VALENTINO",,,,,,,"STEAL  by BRYANT,VALENTINO",1
14:47,"MISS JUMPER by BRYANT,VALENTINO",,,,,,,"MISS JUMPER by BRYANT,VALENTINO",1
14:47,,,,,"BLOCK  by THOMAS,BUD",,,"BLOCK  by THOMAS,BUD",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
14:44,"MISS 3PTR by AFFRONTI,LEWIS",,,,,,,"MISS 3PTR by AFFRONTI,LEWIS",1
--,,,,,"REBOUND DEF by THOMAS,BUD",,,"REBOUND DEF by THOMAS,BUD",1
14:22,,,,,"TURNOVER  by SMITH,TRAVIS",,,"TURNOVER  by SMITH,TRAVIS",1
14:21,"STEAL  by BRYANT,VALENTINO",,,,,,,"STEAL  by BRYANT,VALENTINO",1
14:13,"GOOD JUMPER by BROWN,TYLER",8,,11 (+3),,SEWANEE 8-11 (-3),,"GOOD JUMPER by BROWN,TYLER",1
13:53,,,,,"MISS 3PTR by WHITE,ANTHONY JR",,,"MISS 3PTR by WHITE,ANTHONY JR",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
13:50,"SUB IN by BROWN,SETH",,,,,,,"SUB IN by BROWN,SETH",1
13:50,"SUB IN by HODGE,NILAN",,,,,,,"SUB IN by HODGE,NILAN",1
13:50,"SUB OUT by AFFRONTI,LEWIS",,,,,,,"SUB OUT by AFFRONTI,LEWIS",1
13:50,"SUB OUT by BOULDIN,BRETT",,,,,,,"SUB OUT by BOULDIN,BRETT",1
13:50,,,,,"SUB IN by MOTEN,DARIOUS",,,"SUB IN by MOTEN,DARIOUS",1
13:50,,,,,"SUB IN by SMITH,CHRIS",,,"SUB IN by SMITH,CHRIS",1
13:50,,,,,"SUB IN by BRYAN,JIBRI",,,"SUB IN by BRYAN,JIBRI",1
13:50,,,,,"SUB IN by BROWN,MONTY",,,"SUB IN by BROWN,MONTY",1
13:50,,,,,"SUB OUT by GOLLON,JAKOB",,,"SUB OUT by GOLLON,JAKOB",1
13:50,,,,,"SUB OUT by HALLICE,TJ",,,"SUB OUT by HALLICE,TJ",1
13:50,,,,,"SUB OUT by SMITH,TRAVIS",,,"SUB OUT by SMITH,TRAVIS",1
13:50,,,,,"SUB OUT by THOMAS,BUD",,,"SUB OUT by THOMAS,BUD",1
13:25,"MISS 3PTR by BROWN,TYLER",,,,,,,"MISS 3PTR by BROWN,TYLER",1
--,"REBOUND OFF by HODGE,NILAN",,,,,,,"REBOUND OFF by HODGE,NILAN",1
13:01,"MISS 3PTR by BROWN,SETH",,,,,,,"MISS 3PTR by BROWN,SETH",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
12:59,"SUB IN by NELSON,ANVIL",,,,,,,"SUB IN by NELSON,ANVIL",1
12:59,"SUB OUT by CARTER,KESHONN",,,,,,,"SUB OUT by CARTER,KESHONN",1
12:59,,,,,"SUB IN by CANEVARI,KEVIN",,,"SUB IN by CANEVARI,KEVIN",1
12:59,,,,,"SUB OUT by WHITE,ANTHONY JR",,,"SUB OUT by WHITE,ANTHONY JR",1
12:36,,8,,13 (+5),"GOOD LAYUP by SMITH,TRAVIS(in the paint)",MER 8-13 (-5),,"GOOD LAYUP by SMITH,TRAVIS(in the paint)",1
12:16,"MISS LAYUP by BROWN,TYLER",,,,,,,"MISS LAYUP by BROWN,TYLER",1
12:16,,,,,"BLOCK  by BROWN,MONTY",,,"BLOCK  by BROWN,MONTY",1
--,,,,,"REBOUND DEF by SMITH,TRAVIS",,,"REBOUND DEF by SMITH,TRAVIS",1
12:12,,,,,"MISS JUMPER by CANEVARI,KEVIN",,,"MISS JUMPER by CANEVARI,KEVIN",1
--,,,,,"REBOUND OFF by MOTEN,DARIOUS",,,"REBOUND OFF by MOTEN,DARIOUS",1
12:09,,8,,15 (+7),"GOOD TIPIN by MOTEN,DARIOUS(in the paint)",MER 8-15 (-7),,"GOOD TIPIN by MOTEN,DARIOUS(in the paint)",1
11:49,"MISS 3PTR by BRYANT,VALENTINO",,,,,,,"MISS 3PTR by BRYANT,VALENTINO",1
--,,,,,"REBOUND DEF by BRYAN,JIBRI",,,"REBOUND DEF by BRYAN,JIBRI",1
11:36,,,,,"MISS 3PTR by SMITH,TRAVIS",,,"MISS 3PTR by SMITH,TRAVIS",1
--,"REBOUND DEF by BROWN,SETH",,,,,,,"REBOUND DEF by BROWN,SETH",1
11:03,"TURNOVER  by BROWN,TYLER",,,,,,,"TURNOVER  by BROWN,TYLER",1
11:03,,,,,TIMEOUT MEDIA by TEAM,,,TIMEOUT MEDIA by TEAM,1
11:03,"SUB IN by BORN,LEO",,,,,,,"SUB IN by BORN,LEO",1
11:03,"SUB IN by BOULDIN,BRETT",,,,,,,"SUB IN by BOULDIN,BRETT",1
11:03,"SUB OUT by BROWN,TYLER",,,,,,,"SUB OUT by BROWN,TYLER",1
11:03,"SUB OUT by BRYANT,VALENTINO",,,,,,,"SUB OUT by BRYANT,VALENTINO",1
11:03,,,,,"SUB IN by GOLLON,JAKOB",,,"SUB IN by GOLLON,JAKOB",1
11:03,,,,,"SUB IN by WHITE,ANTHONY JR",,,"SUB IN by WHITE,ANTHONY JR",1
11:03,,,,,"SUB IN by HALLICE,TJ",,,"SUB IN by HALLICE,TJ",1
11:03,,,,,"SUB IN by THOMAS,BUD",,,"SUB IN by THOMAS,BUD",1
11:03,,,,,"SUB IN by SMITH,TRAVIS",,,"SUB IN by SMITH,TRAVIS",1
11:03,,,,,"SUB OUT by MOTEN,DARIOUS",,,"SUB OUT by MOTEN,DARIOUS",1
11:03,,,,,"SUB OUT by SMITH,CHRIS",,,"SUB OUT by SMITH,CHRIS",1
11:03,,,,,"SUB OUT by BRYAN,JIBRI",,,"SUB OUT by BRYAN,JIBRI",1
11:03,,,,,"SUB OUT by BROWN,MONTY",,,"SUB OUT by BROWN,MONTY",1
