Time Remaining,COVENANT,Away Team Score,Play Team Indicator,Home Team Score,SEWANEE,Game Score,Team Indicator,Play,Period
19:30,,,,,"MISS LAYUP by BROWN,TYLER",,,"MISS LAYUP by BROWN,TYLER",1
--,"REBOUND DEF by BOWMAN,SAM",,,,,,,"REBOUND DEF by BOWMAN,SAM",1
19:12,"MISS JUMPER by MCGRIFF,COLTON",,,,,,,"MISS JUMPER by MCGRIFF,COLTON",1
--,"REBOUND OFF by BOWMAN,SAM",,,,,,,"REBOUND OFF by BOWMAN,SAM",1
19:06,,,,,"FOUL  by CARTER,KESHONN",,,"FOUL  by CARTER,KESHONN",1
19:04,"TURNOVER  by COX,TJ",,,,,,,"TURNOVER  by COX,TJ",1
19:01,,,,,"TURNOVER  by BOULDIN,BRETT",,,"TURNOVER  by BOULDIN,BRETT",1
18:52,"MISS 3PTR by COX,TJ",,,,,,,"MISS 3PTR by COX,TJ",1
--,,,,,"REBOUND DEF by BOULDIN,BRETT",,,"REBOUND DEF by BOULDIN,BRETT",1
18:46,"FOUL  by MCGRIFF,COLTON",,,,,,,"FOUL  by MCGRIFF,COLTON",1
18:31,,,,,"TURNOVER  by BROWN,TYLER",,,"TURNOVER  by BROWN,TYLER",1
18:01,"GOOD LAYUP by BOWMAN,SAM(in the paint)",2 (+2),,0,,COVENANT 2-0 (-2),,"GOOD LAYUP by BOWMAN,SAM(in the paint)",1
--,"ASSIST  by DEVRIES,JON",,,,,,,"ASSIST  by DEVRIES,JON",1
17:33,,,,,"MISS JUMPER by BROWN,TYLER",,,"MISS JUMPER by BROWN,TYLER",1
17:33,"BLOCK  by BOWMAN,SAM",,,,,,,"BLOCK  by BOWMAN,SAM",1
--,,,,,"REBOUND OFF by CARTER,KESHONN",,,"REBOUND OFF by CARTER,KESHONN",1
17:24,"FOUL  by COX,TJ",,,,,,,"FOUL  by COX,TJ",1
17:14,,,,,"MISS LAYUP by CARTER,KESHONN",,,"MISS LAYUP by CARTER,KESHONN",1
--,,,,,"REBOUND OFF by CALDWELL,MARCELLUS",,,"REBOUND OFF by CALDWELL,MARCELLUS",1
16:47,,,,,"TURNOVER  by CARTER,KESHONN",,,"TURNOVER  by CARTER,KESHONN",1
16:47,,,,,"FOUL  by CARTER,KESHONN",,,"FOUL  by CARTER,KESHONN",1
16:47,,,,,"SUB IN by HEATHERLY,GARRETT",,,"SUB IN by HEATHERLY,GARRETT",1
16:47,,,,,"SUB OUT by CARTER,KESHONN",,,"SUB OUT by CARTER,KESHONN",1
16:21,"GOOD 3PTR by COX,TJ",5 (+5),,0,,COVENANT 5-0 (-5),,"GOOD 3PTR by COX,TJ",1
16:07,,,,,"TURNOVER  by CALDWELL,MARCELLUS",,,"TURNOVER  by CALDWELL,MARCELLUS",1
16:05,"STEAL  by BOWMAN,SAM",,,,,,,"STEAL  by BOWMAN,SAM",1
16:02,"GOOD LAYUP by DEVRIES,JON(in the paint)",7 (+7),,0,,COVENANT 7-0 (-7),,"GOOD LAYUP by DEVRIES,JON(in the paint)",1
--,"ASSIST  by BOWMAN,SAM",,,,,,,"ASSIST  by BOWMAN,SAM",1
15:57,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
15:57,"SUB IN by BOWMAN,SAM",,,,,,,"SUB IN by BOWMAN,SAM",1
