Time Remaining,SEWANEE,Away Team Score,Play Team Indicator,Home Team Score,MCMB,Game Score,Team Indicator,Play,Period
19:32,"TURNOVER  by CARTER,KESHONN",,,,,,,"TURNOVER  by CARTER,KESHONN",1
19:08,"FOUL  by CARTER,KESHONN",,,,,,,"FOUL  by CARTER,KESHONN",1
18:50,,,,,"MISS JUMPER by SLAGLE, BRADY",,,"MISS JUMPER by SLAGLE, BRADY",1
--,,,,,"REBOUND OFF by WHITLOCK, CLAYTON",,,"REBOUND OFF by WHITLOCK, CLAYTON",1
18:47,,0,,2 (+2),"GOOD JUMPER by WHITLOCK, CLAYTON",MCMB 0-2 (-2),,"GOOD JUMPER by WHITLOCK, CLAYTON",1
18:23,"GOOD JUMPER by BROWN,TYLER",2,,2,,SEWANEE 2-2 (0),,"GOOD JUMPER by BROWN,TYLER",1
18:08,,2,,4 (+2),"GOOD JUMPER by GUTHRIE, DYLAN",MCMB 2-4 (-2),,"GOOD JUMPER by GUTHRIE, DYLAN",1
--,,,,,"ASSIST  by BEST, CODY",,,"ASSIST  by BEST, CODY",1
17:53,"MISS 3PTR by BRYANT,VALENTINO",,,,,,,"MISS 3PTR by BRYANT,VALENTINO",1
--,"REBOUND OFF by BROWN,TYLER",,,,,,,"REBOUND OFF by BROWN,TYLER",1
17:49,"MISS JUMPER by BROWN,TYLER",,,,,,,"MISS JUMPER by BROWN,TYLER",1
--,,,,,"REBOUND DEF by SLAGLE, BRADY",,,"REBOUND DEF by SLAGLE, BRADY",1
17:25,,,,,"TURNOVER  by WHITLOCK, CLAYTON",,,"TURNOVER  by WHITLOCK, CLAYTON",1
17:25,"STEAL  by AFFRONTI,LEWIS",,,,,,,"STEAL  by AFFRONTI,LEWIS",1
17:25,"GOOD JUMPER by BRYANT,VALENTINO",4,,4,,SEWANEE 4-4 (0),,"GOOD JUMPER by BRYANT,VALENTINO",1
17:25,,,,,"MISS JUMPER by WHITLOCK, CLAYTON",,,"MISS JUMPER by WHITLOCK, CLAYTON",1
--,"REBOUND DEF by CARTER,KESHONN",,,,,,,"REBOUND DEF by CARTER,KESHONN",1
17:23,"GOOD JUMPER by BOULDIN,BRETT",6 (+2),,4,,SEWANEE 6-4 (+2),,"GOOD JUMPER by BOULDIN,BRETT",1
17:03,,6,,6,"GOOD JUMPER by WHITLOCK, CLAYTON",MCMB 6-6 (0),,"GOOD JUMPER by WHITLOCK, CLAYTON",1
--,,,,,"ASSIST  by BISHOP, LUKE",,,"ASSIST  by BISHOP, LUKE",1
16:36,"GOOD DUNK by BROWN,TYLER(in the paint)",8 (+2),,6,,SEWANEE 8-6 (+2),,"GOOD DUNK by BROWN,TYLER(in the paint)",1
--,"ASSIST  by BRYANT,VALENTINO",,,,,,,"ASSIST  by BRYANT,VALENTINO",1
16:24,,8,,8,"GOOD JUMPER by SLAGLE, BRADY",MCMB 8-8 (0),,"GOOD JUMPER by SLAGLE, BRADY",1
16:07,"MISS JUMPER by BRYANT,VALENTINO",,,,,,,"MISS JUMPER by BRYANT,VALENTINO",1
--,,,,,"REBOUND DEF by BISHOP, LUKE",,,"REBOUND DEF by BISHOP, LUKE",1
16:02,,,,,"MISS JUMPER by WHITLOCK, CLAYTON",,,"MISS JUMPER by WHITLOCK, CLAYTON",1
--,"REBOUND DEF by CARTER,KESHONN",,,,,,,"REBOUND DEF by CARTER,KESHONN",1
15:52,"GOOD 3PTR by BOULDIN,BRETT",11 (+3),,8,,SEWANEE 11-8 (+3),,"GOOD 3PTR by BOULDIN,BRETT",1
--,"ASSIST  by BRYANT,VALENTINO",,,,,,,"ASSIST  by BRYANT,VALENTINO",1
15:39,"FOUL  by CARTER,KESHONN",,,,,,,"FOUL  by CARTER,KESHONN",1
15:39,"SUB IN by BROWN,SETH",,,,,,,"SUB IN by BROWN,SETH",1
15:39,"SUB IN by VEAL,ROBERT",,,,,,,"SUB IN by VEAL,ROBERT",1
15:39,"SUB OUT by BROWN,TYLER",,,,,,,"SUB OUT by BROWN,TYLER",1
15:39,"SUB OUT by CARTER,KESHONN",,,,,,,"SUB OUT by CARTER,KESHONN",1
15:23,,11 (+1),,10,"GOOD JUMPER by WHITLOCK, CLAYTON",MCMB 11-10 (+1),,"GOOD JUMPER by WHITLOCK, CLAYTON",1
--,,,,,"ASSIST  by BEST, CODY",,,"ASSIST  by BEST, CODY",1
15:02,"MISS JUMPER by VEAL,ROBERT",,,,,,,"MISS JUMPER by VEAL,ROBERT",1
