Time Remaining,EHCM,Away Team Score,Play Team Indicator,Home Team Score,SEWANEE,Game Score,Team Indicator,Play,Period
19:33,"FOUL  by TURNER, MYLES",,,,,,,"FOUL  by TURNER, MYLES",1
19:33,,0,,1 (+1),"GOOD FT by AFFRONTI,LEWIS",SEWANEE 0-1 (+1),,"GOOD FT by AFFRONTI,LEWIS",1
19:33,,0,,2 (+2),"GOOD FT by AFFRONTI,LEWIS",SEWANEE 0-2 (+2),,"GOOD FT by AFFRONTI,LEWIS",1
19:14,"TURNOVER  by GIBSON, ONELL",,,,,,,"TURNOVER  by GIBSON, ONELL",1
19:12,,,,,"STEAL  by CARTER,KESHONN",,,"STEAL  by CARTER,KESHONN",1
19:03,,0,,4 (+4),"GOOD LAYUP by BROWN,TYLER(in the paint)",SEWANEE 0-4 (+4),,"GOOD LAYUP by BROWN,TYLER(in the paint)",1
18:38,"MISS 3PTR by TURNER, MYLES",,,,,,,"MISS 3PTR by TURNER, MYLES",1
--,"REBOUND OFF by MULLINS, TYLER",,,,,,,"REBOUND OFF by MULLINS, TYLER",1
18:24,"TURNOVER  by GIBSON, ONELL",,,,,,,"TURNOVER  by GIBSON, ONELL",1
18:22,,,,,"STEAL  by CARTER,KESHONN",,,"STEAL  by CARTER,KESHONN",1
18:16,,,,,"MISS 3PTR by BOULDIN,BRETT",,,"MISS 3PTR by BOULDIN,BRETT",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
18:03,"MISS 3PTR by GIBSON, ONELL",,,,,,,"MISS 3PTR by GIBSON, ONELL",1
--,"REBOUND OFF by MULLINS, TYLER",,,,,,,"REBOUND OFF by MULLINS, TYLER",1
17:45,"MISS JUMPER by BROWN, STEPHEN",,,,,,,"MISS JUMPER by BROWN, STEPHEN",1
--,,,,,"REBOUND DEF by HODGE,NILAN",,,"REBOUND DEF by HODGE,NILAN",1
17:33,,,,,"MISS JUMPER by CARTER,KESHONN",,,"MISS JUMPER by CARTER,KESHONN",1
--,"REBOUND DEF by GIBSON, ONELL",,,,,,,"REBOUND DEF by GIBSON, ONELL",1
17:24,"GOOD LAYUP by SMITH, CHARLES(in the paint)",2,,4 (+2),,EHCM 2-4 (+2),,"GOOD LAYUP by SMITH, CHARLES(in the paint)",1
--,"ASSIST  by TURNER, MYLES",,,,,,,"ASSIST  by TURNER, MYLES",1
17:01,,2,,6 (+4),"GOOD JUMPER by HODGE,NILAN",SEWANEE 2-6 (+4),,"GOOD JUMPER by HODGE,NILAN",1
16:42,"MISS 3PTR by TURNER, MYLES",,,,,,,"MISS 3PTR by TURNER, MYLES",1
--,"REBOUND OFF by BROWN, STEPHEN",,,,,,,"REBOUND OFF by BROWN, STEPHEN",1
16:37,"MISS JUMPER by BROWN, STEPHEN",,,,,,,"MISS JUMPER by BROWN, STEPHEN",1
--,,,,,"REBOUND DEF by BROWN,TYLER",,,"REBOUND DEF by BROWN,TYLER",1
16:33,,,,,"TURNOVER  by BROWN,TYLER",,,"TURNOVER  by BROWN,TYLER",1
16:31,"STEAL  by GIBSON, ONELL",,,,,,,"STEAL  by GIBSON, ONELL",1
16:26,"GOOD LAYUP by TURNER, MYLES(in the paint)",4,,6 (+2),,EHCM 4-6 (+2),,"GOOD LAYUP by TURNER, MYLES(in the paint)",1
16:03,,,,,"MISS 3PTR by BROWN,TYLER",,,"MISS 3PTR by BROWN,TYLER",1
--,"REBOUND DEF by GIBSON, ONELL",,,,,,,"REBOUND DEF by GIBSON, ONELL",1
15:53,"TURNOVER  by BROWN, STEPHEN",,,,,,,"TURNOVER  by BROWN, STEPHEN",1
15:53,"FOUL  by BROWN, STEPHEN",,,,,,,"FOUL  by BROWN, STEPHEN",1
15:48,,,,,"MISS LAYUP by VEAL,ROBERT",,,"MISS LAYUP by VEAL,ROBERT",1
--,"REBOUND DEF by MULLINS, TYLER",,,,,,,"REBOUND DEF by MULLINS, TYLER",1
15:36,"GOOD JUMPER by SMITH, CHARLES(in the paint)",6,,6,,EHCM 6-6 (0),,"GOOD JUMPER by SMITH, CHARLES(in the paint)",1
15:22,,6,,8 (+2),"GOOD LAYUP by AFFRONTI,LEWIS(in the paint)",SEWANEE 6-8 (+2),,"GOOD LAYUP by AFFRONTI,LEWIS(in the paint)",1
15:07,"MISS 3PTR by BROWN, STEPHEN",,,,,,,"MISS 3PTR by BROWN, STEPHEN",1
--,,,,,"REBOUND DEF by BRYANT,VALENTINO",,,"REBOUND DEF by BRYANT,VALENTINO",1
14:55,,,,,"TURNOVER  by BRYANT,VALENTINO",,,"TURNOVER  by BRYANT,VALENTINO",1
14:52,"STEAL  by GIBSON, ONELL",,,,,,,"STEAL  by GIBSON, ONELL",1
14:49,"TURNOVER  by GIBSON, ONELL",,,,,,,"TURNOVER  by GIBSON, ONELL",1
14:49,"FOUL  by GIBSON, ONELL",,,,,,,"FOUL  by GIBSON, ONELL",1
14:19,,6,,10 (+4),"GOOD LAYUP by BROWN,SETH(in the paint)",SEWANEE 6-10 (+4),,"GOOD LAYUP by BROWN,SETH(in the paint)",1
--,,,,,"ASSIST  by BRYANT,VALENTINO",,,"ASSIST  by BRYANT,VALENTINO",1
14:13,,,,,"FOUL  by VEAL,ROBERT",,,"FOUL  by VEAL,ROBERT",1
14:12,"MISS FT by MURRELL, ARMANDO",,,,,,,"MISS FT by MURRELL, ARMANDO",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
14:12,"GOOD FT by MURRELL, ARMANDO",7,,10 (+3),,EHCM 7-10 (+3),,"GOOD FT by MURRELL, ARMANDO",1
14:07,,7,,12 (+5),"GOOD LAYUP by CALDWELL,MARCELLUS(in the paint)",SEWANEE 7-12 (+5),,"GOOD LAYUP by CALDWELL,MARCELLUS(in the paint)",1
--,,,,,"ASSIST  by VEAL,ROBERT",,,"ASSIST  by VEAL,ROBERT",1
13:53,"MISS JUMPER by MURRELL, ARMANDO",,,,,,,"MISS JUMPER by MURRELL, ARMANDO",1
--,,,,,"REBOUND DEF by CALDWELL,MARCELLUS",,,"REBOUND DEF by CALDWELL,MARCELLUS",1
13:40,,7,,15 (+8),"GOOD 3PTR by BOULDIN,BRETT",SEWANEE 7-15 (+8),,"GOOD 3PTR by BOULDIN,BRETT",1
--,,,,,"ASSIST  by BRYANT,VALENTINO",,,"ASSIST  by BRYANT,VALENTINO",1
13:13,"TURNOVER  by MURRELL, ARMANDO",,,,,,,"TURNOVER  by MURRELL, ARMANDO",1
13:11,,,,,"STEAL  by BRYANT,VALENTINO",,,"STEAL  by BRYANT,VALENTINO",1
13:03,,,,,"MISS 3PTR by BORN,LEO",,,"MISS 3PTR by BORN,LEO",1
--,,,,,"REBOUND OFF by BRYANT,VALENTINO",,,"REBOUND OFF by BRYANT,VALENTINO",1
12:57,,,,,"MISS LAYUP by BRYANT,VALENTINO",,,"MISS LAYUP by BRYANT,VALENTINO",1
--,"REBOUND DEF by MURRELL, ARMANDO",,,,,,,"REBOUND DEF by MURRELL, ARMANDO",1
12:51,"MISS LAYUP by GIBSON, ONELL",,,,,,,"MISS LAYUP by GIBSON, ONELL",1
--,"REBOUND OFF by COLES, CAMERON",,,,,,,"REBOUND OFF by COLES, CAMERON",1
12:40,,,,,"FOUL  by BROWN,SETH",,,"FOUL  by BROWN,SETH",1
12:26,"TURNOVER  by COLES, CAMERON",,,,,,,"TURNOVER  by COLES, CAMERON",1
12:24,,,,,"STEAL  by HODGE,NILAN",,,"STEAL  by HODGE,NILAN",1
12:17,,7,,17 (+10),"GOOD LAYUP by HODGE,NILAN(in the paint)",SEWANEE 7-17 (+10),,"GOOD LAYUP by HODGE,NILAN(in the paint)",1
12:11,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,1
12:07,"TURNOVER  by BROWN, STEPHEN",,,,,,,"TURNOVER  by BROWN, STEPHEN",1
12:06,,,,,"STEAL  by BORN,LEO",,,"STEAL  by BORN,LEO",1
11:40,,,,,"TURNOVER  by CALDWELL,MARCELLUS",,,"TURNOVER  by CALDWELL,MARCELLUS",1
11:38,"STEAL  by MURRELL, ARMANDO",,,,,,,"STEAL  by MURRELL, ARMANDO",1
10:56,"GOOD 3PTR by MULLINS, TYLER",10,,17 (+7),,EHCM 10-17 (+7),,"GOOD 3PTR by MULLINS, TYLER",1
--,"ASSIST  by TURNER, MYLES",,,,,,,"ASSIST  by TURNER, MYLES",1
--,,,,,"ASSIST  by AFFRONTI,LEWIS",,,"ASSIST  by AFFRONTI,LEWIS",1
10:37,,10,,19 (+9),"GOOD JUMPER by NELSON,ANVIL",SEWANEE 10-19 (+9),,"GOOD JUMPER by NELSON,ANVIL",1
10:23,,,,,"FOUL  by NELSON,ANVIL",,,"FOUL  by NELSON,ANVIL",1
10:23,"MISS FT by COLES, CAMERON",,,,,,,"MISS FT by COLES, CAMERON",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
