Time Remaining,HIWASSEE,Away Team Score,Play Team Indicator,Home Team Score,SEWANEE,Game Score,Team Indicator,Play,Period
19:33,,0,,3 (+3),"GOOD 3PTR by AFFRONTI,LEWIS",SEWANEE 0-3 (+3),,"GOOD 3PTR by AFFRONTI,LEWIS",1
--,,,,,"ASSIST  by BRYANT,VALENTINO",,,"ASSIST  by BRYANT,VALENTINO",1
19:23,"GOOD LAYUP by GOLDEN,JEFF(in the paint)",2,,3 (+1),,HIWASSEE 2-3 (+1),,"GOOD LAYUP by GOLDEN,JEFF(in the paint)",1
--,"ASSIST  by BROWNER,JUSTIN",,,,,,,"ASSIST  by BROWNER,JUSTIN",1
19:01,,,,,"MISS JUMPER by BRYANT,VALENTINO",,,"MISS JUMPER by BRYANT,VALENTINO",1
--,"REBOUND DEF by GOLDEN,JEFF",,,,,,,"REBOUND DEF by GOLDEN,JEFF",1
18:51,"MISS LAYUP by BROWNER,JUSTIN",,,,,,,"MISS LAYUP by BROWNER,JUSTIN",1
--,,,,,"REBOUND DEF by CARTER,KESHONN",,,"REBOUND DEF by CARTER,KESHONN",1
18:39,,,,,"MISS JUMPER by CARTER,KESHONN",,,"MISS JUMPER by CARTER,KESHONN",1
--,"REBOUND DEF by BOYD,LAZERICK",,,,,,,"REBOUND DEF by BOYD,LAZERICK",1
18:18,"MISS JUMPER by BOYD,LAZERICK",,,,,,,"MISS JUMPER by BOYD,LAZERICK",1
--,,,,,"REBOUND DEF by CARTER,KESHONN",,,"REBOUND DEF by CARTER,KESHONN",1
18:04,,2,,6 (+4),"GOOD 3PTR by AFFRONTI,LEWIS",SEWANEE 2-6 (+4),,"GOOD 3PTR by AFFRONTI,LEWIS",1
--,,,,,"ASSIST  by BRYANT,VALENTINO",,,"ASSIST  by BRYANT,VALENTINO",1
17:35,"MISS JUMPER by BAILEY,JOEL",,,,,,,"MISS JUMPER by BAILEY,JOEL",1
--,,,,,"REBOUND DEF by BOULDIN,BRETT",,,"REBOUND DEF by BOULDIN,BRETT",1
17:25,,,,,"TURNOVER  by CARTER,KESHONN",,,"TURNOVER  by CARTER,KESHONN",1
17:23,"STEAL  by BROWNER,JUSTIN",,,,,,,"STEAL  by BROWNER,JUSTIN",1
17:21,"GOOD LAYUP by BAILEY,JOEL(in the paint)",4,,6 (+2),,HIWASSEE 4-6 (+2),,"GOOD LAYUP by BAILEY,JOEL(in the paint)",1
16:53,,,,,"MISS LAYUP by BROWN,TYLER",,,"MISS LAYUP by BROWN,TYLER",1
--,"REBOUND DEF by BOYD,LAZERICK",,,,,,,"REBOUND DEF by BOYD,LAZERICK",1
16:40,"GOOD 3PTR by BROWNER,JUSTIN",7 (+1),,6,,HIWASSEE 7-6 (-1),,"GOOD 3PTR by BROWNER,JUSTIN",1
--,"ASSIST  by CARSON,CODY",,,,,,,"ASSIST  by CARSON,CODY",1
16:25,,7,,9 (+2),"GOOD 3PTR by BOULDIN,BRETT",SEWANEE 7-9 (+2),,"GOOD 3PTR by BOULDIN,BRETT",1
16:07,"GOOD LAYUP by BOYD,LAZERICK(in the paint)",9,,9,,HIWASSEE 9-9 (0),,"GOOD LAYUP by BOYD,LAZERICK(in the paint)",1
--,"ASSIST  by GOLDEN,JEFF",,,,,,,"ASSIST  by GOLDEN,JEFF",1
15:47,,,,,"MISS LAYUP by BOULDIN,BRETT",,,"MISS LAYUP by BOULDIN,BRETT",1
15:47,"BLOCK  by GOLDEN,JEFF",,,,,,,"BLOCK  by GOLDEN,JEFF",1
--,,,,,"REBOUND OFF by BROWN,TYLER",,,"REBOUND OFF by BROWN,TYLER",1
15:34,,,,,"MISS 3PTR by BOULDIN,BRETT",,,"MISS 3PTR by BOULDIN,BRETT",1
