Time Remaining,HENDRIX,Away Team Score,Play Team Indicator,Home Team Score,BSC,Game Score,Team Indicator,Play,Period
19:45,,,,,"MISS JUMPER by STEWART,CHRISTIAN",,,"MISS JUMPER by STEWART,CHRISTIAN",1
--,,,,,"REBOUND OFF by SPENCE,BEN",,,"REBOUND OFF by SPENCE,BEN",1
19:39,,,,,"MISS JUMPER by SPENCE,BEN",,,"MISS JUMPER by SPENCE,BEN",1
--,"REBOUND DEF by COMAN,SEAN",,,,,,,"REBOUND DEF by COMAN,SEAN",1
19:20,"MISS JUMPER by COMAN,SEAN",,,,,,,"MISS JUMPER by COMAN,SEAN",1
--,"REBOUND OFF by FITCH,CARL",,,,,,,"REBOUND OFF by FITCH,CARL",1
19:14,"MISS 3PTR by PARKS,JACKSON",,,,,,,"MISS 3PTR by PARKS,JACKSON",1
--,,,,,"REBOUND DEF by GONDA,MATT",,,"REBOUND DEF by GONDA,MATT",1
18:48,,,,,"MISS 3PTR by O'SULLIVAN,CONOR",,,"MISS 3PTR by O'SULLIVAN,CONOR",1
--,"REBOUND DEF by STANLEY,SETH",,,,,,,"REBOUND DEF by STANLEY,SETH",1
18:46,,,,,"FOUL  by SPENCE,BEN",,,"FOUL  by SPENCE,BEN",1
18:22,"MISS JUMPER by PARKS,JACKSON",,,,,,,"MISS JUMPER by PARKS,JACKSON",1
18:22,,,,,"BLOCK  by SPENCE,BEN",,,"BLOCK  by SPENCE,BEN",1
--,,,,,"REBOUND DEF by GONDA,MATT",,,"REBOUND DEF by GONDA,MATT",1
17:48,,,,,"MISS JUMPER by GONDA,MATT",,,"MISS JUMPER by GONDA,MATT",1
--,,,,,"REBOUND OFF by O'SULLIVAN,CONOR",,,"REBOUND OFF by O'SULLIVAN,CONOR",1
17:40,"FOUL  by FITCH,CARL",,,,,,,"FOUL  by FITCH,CARL",1
17:40,,0,,1 (+1),"GOOD FT by SIGLER,EVAN",BSC 0-1 (-1),,"GOOD FT by SIGLER,EVAN",1
17:40,,,,,"MISS FT by SIGLER,EVAN",,,"MISS FT by SIGLER,EVAN",1
17:40,,,,,"SUB IN by GARRIDO,BRANDAN",,,"SUB IN by GARRIDO,BRANDAN",1
17:40,,,,,"SUB OUT by O'SULLIVAN,CONOR",,,"SUB OUT by O'SULLIVAN,CONOR",1
--,"REBOUND DEF by COMAN,SEAN",,,,,,,"REBOUND DEF by COMAN,SEAN",1
17:29,"GOOD 3PTR by II,ROD CUMMINGS",3 (+2),,1,,HENDRIX 3-1 (+2),,"GOOD 3PTR by II,ROD CUMMINGS",1
--,"ASSIST  by STANLEY,SETH",,,,,,,"ASSIST  by STANLEY,SETH",1
17:08,,,,,"MISS 3PTR by GONDA,MATT",,,"MISS 3PTR by GONDA,MATT",1
--,,,,,"REBOUND OFF by SPENCE,BEN",,,"REBOUND OFF by SPENCE,BEN",1
17:04,"FOUL  by II,ROD CUMMINGS",,,,,,,"FOUL  by II,ROD CUMMINGS",1
17:04,,3 (+1),,2,"GOOD FT by GARRIDO,BRANDAN",BSC 3-2 (+1),,"GOOD FT by GARRIDO,BRANDAN",1
