Time Remaining,HENDRIX,Away Team Score,Play Team Indicator,Home Team Score,BERRY,Game Score,Team Indicator,Play,Period
15:29,,,,,"SUB OUT by WEHUNT,DAWSON",,,"SUB OUT by WEHUNT,DAWSON",1
15:29,,,,,"SUB OUT by JOHNSON,MICHAEL",,,"SUB OUT by JOHNSON,MICHAEL",1
15:29,,,,,"SUB OUT by JONES,DREW",,,"SUB OUT by JONES,DREW",1
15:29,,,,,"SUB OUT by BROOKS,AUSTIN",,,"SUB OUT by BROOKS,AUSTIN",1
15:18,"TURNOVER  by STANLEY,SETH",,,,,,,"TURNOVER  by STANLEY,SETH",1
14:54,,,,,"MISS JUMPER by COSTAS,RILEY",,,"MISS JUMPER by COSTAS,RILEY",1
--,,,,,"REBOUND OFF by ELLIS,CHASE",,,"REBOUND OFF by ELLIS,CHASE",1
14:44,,,,,"MISS 3PTR by KRUEGER,JORDAN",,,"MISS 3PTR by KRUEGER,JORDAN",1
--,,,,,"REBOUND OFF by KRUEGER,JORDAN",,,"REBOUND OFF by KRUEGER,JORDAN",1
14:31,,8,,13 (+5),"GOOD 3PTR by MBENOUN,ROB",BERRY 8-13 (-5),,"GOOD 3PTR by MBENOUN,ROB",1
--,,,,,"ASSIST  by ELLIS,CHASE",,,"ASSIST  by ELLIS,CHASE",1
14:15,"MISS 3PTR by STANLEY,SETH",,,,,,,"MISS 3PTR by STANLEY,SETH",1
--,,,,,"REBOUND DEF by ELLIS,CHASE",,,"REBOUND DEF by ELLIS,CHASE",1
13:50,,,,,"MISS 3PTR by MBENOUN,ROB",,,"MISS 3PTR by MBENOUN,ROB",1
--,"REBOUND DEF by II,ROD CUMMINGS",,,,,,,"REBOUND DEF by II,ROD CUMMINGS",1
13:35,"GOOD LAYUP by CONRAD,ALEX(in the paint)",10,,13 (+3),,HENDRIX 10-13 (-3),,"GOOD LAYUP by CONRAD,ALEX(in the paint)",1
--,"ASSIST  by JOHNSON,DAMECKO",,,,,,,"ASSIST  by JOHNSON,DAMECKO",1
13:20,,,,,"MISS 3PTR by HONROTH,OWEN",,,"MISS 3PTR by HONROTH,OWEN",1
--,"REBOUND DEF by CONRAD,ALEX",,,,,,,"REBOUND DEF by CONRAD,ALEX",1
12:56,"GOOD LAYUP by STANLEY,SETH(in the paint)",12,,13 (+1),,HENDRIX 12-13 (-1),,"GOOD LAYUP by STANLEY,SETH(in the paint)",1
12:36,,,,,"TURNOVER  by ELLIS,CHASE",,,"TURNOVER  by ELLIS,CHASE",1
12:36,"STEAL  by PHILLIP,ADAM",,,,,,,"STEAL  by PHILLIP,ADAM",1
12:24,"GOOD JUMPER by II,ROD CUMMINGS(in the paint)",14 (+1),,13,,HENDRIX 14-13 (+1),,"GOOD JUMPER by II,ROD CUMMINGS(in the paint)",1
11:55,,,,,"TURNOVER  by MBENOUN,ROB",,,"TURNOVER  by MBENOUN,ROB",1
11:55,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
11:55,"SUB IN by II,CRAIG COLLIER",,,,,,,"SUB IN by II,CRAIG COLLIER",1
11:55,"SUB IN by PARKS,JACKSON",,,,,,,"SUB IN by PARKS,JACKSON",1
11:55,"SUB IN by FITCH,CARL",,,,,,,"SUB IN by FITCH,CARL",1
11:55,"SUB OUT by II,ROD CUMMINGS",,,,,,,"SUB OUT by II,ROD CUMMINGS",1
11:55,"SUB OUT by STANLEY,SETH",,,,,,,"SUB OUT by STANLEY,SETH",1
11:55,"SUB OUT by CONRAD,ALEX",,,,,,,"SUB OUT by CONRAD,ALEX",1
11:55,,,,,"SUB IN by BROOKS,AUSTIN",,,"SUB IN by BROOKS,AUSTIN",1
11:55,,,,,"SUB IN by JONES,DREW",,,"SUB IN by JONES,DREW",1
11:55,,,,,"SUB IN by JOHNSON,MICHAEL",,,"SUB IN by JOHNSON,MICHAEL",1
11:55,,,,,"SUB IN by WEHUNT,DAWSON",,,"SUB IN by WEHUNT,DAWSON",1
11:55,,,,,"SUB IN by JOHNSON,MICAH",,,"SUB IN by JOHNSON,MICAH",1
11:55,,,,,"SUB OUT by MBENOUN,ROB",,,"SUB OUT by MBENOUN,ROB",1
11:55,,,,,"SUB OUT by ELLIS,CHASE",,,"SUB OUT by ELLIS,CHASE",1
11:55,,,,,"SUB OUT by HONROTH,OWEN",,,"SUB OUT by HONROTH,OWEN",1
11:55,,,,,"SUB OUT by KRUEGER,JORDAN",,,"SUB OUT by KRUEGER,JORDAN",1
11:55,,,,,"SUB OUT by COSTAS,RILEY",,,"SUB OUT by COSTAS,RILEY",1
11:24,TURNOVER  by TEAM,,,,,,,TURNOVER  by TEAM,1
11:10,,,,,"MISS LAYUP by BROOKS,AUSTIN",,,"MISS LAYUP by BROOKS,AUSTIN",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
11:10,,,,,"FOUL  by BROOKS,AUSTIN",,,"FOUL  by BROOKS,AUSTIN",1
10:58,"GOOD DUNK by FITCH,CARL(in the paint)",16 (+3),,13,,HENDRIX 16-13 (+3),,"GOOD DUNK by FITCH,CARL(in the paint)",1
--,"ASSIST  by JOHNSON,DAMECKO",,,,,,,"ASSIST  by JOHNSON,DAMECKO",1
10:41,,,,,"MISS 3PTR by JONES,DREW",,,"MISS 3PTR by JONES,DREW",1
--,"REBOUND DEF by JOHNSON,DAMECKO",,,,,,,"REBOUND DEF by JOHNSON,DAMECKO",1
10:34,"MISS LAYUP by FITCH,CARL",,,,,,,"MISS LAYUP by FITCH,CARL",1
10:34,,,,,"BLOCK  by BROOKS,AUSTIN",,,"BLOCK  by BROOKS,AUSTIN",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
10:18,"GOOD JUMPER by PARKS,JACKSON",18 (+5),,13,,HENDRIX 18-13 (+5),,"GOOD JUMPER by PARKS,JACKSON",1
10:03,,,,,"TURNOVER  by JOHNSON,MICHAEL",,,"TURNOVER  by JOHNSON,MICHAEL",1
09:44,"MISS 3PTR by JOHNSON,DAMECKO",,,,,,,"MISS 3PTR by JOHNSON,DAMECKO",1
--,,,,,"REBOUND DEF by BROOKS,AUSTIN",,,"REBOUND DEF by BROOKS,AUSTIN",1
09:34,,18 (+3),,15,"GOOD LAYUP by JONES,DREW(in the paint)",BERRY 18-15 (+3),,"GOOD LAYUP by JONES,DREW(in the paint)",1
09:34,"FOUL  by PHILLIP,ADAM",,,,,,,"FOUL  by PHILLIP,ADAM",1
09:34,,18 (+2),,16,"GOOD FT by JONES,DREW",BERRY 18-16 (+2),,"GOOD FT by JONES,DREW",1
09:33,"SUB IN by STANLEY,SETH",,,,,,,"SUB IN by STANLEY,SETH",1
09:33,"SUB OUT by PHILLIP,ADAM",,,,,,,"SUB OUT by PHILLIP,ADAM",1
09:33,,,,,"SUB IN by COSTAS,RILEY",,,"SUB IN by COSTAS,RILEY",1
09:33,,,,,"SUB OUT by BROOKS,AUSTIN",,,"SUB OUT by BROOKS,AUSTIN",1
09:25,"MISS JUMPER by II,CRAIG COLLIER",,,,,,,"MISS JUMPER by II,CRAIG COLLIER",1
--,,,,,"REBOUND DEF by JOHNSON,MICAH",,,"REBOUND DEF by JOHNSON,MICAH",1
09:19,,18,,18,"GOOD LAYUP by WEHUNT,DAWSON(fastbreak)(in the paint)",BERRY 18-18 (0),,"GOOD LAYUP by WEHUNT,DAWSON(fastbreak)(in the paint)",1
--,,,,,"ASSIST  by JOHNSON,MICAH",,,"ASSIST  by JOHNSON,MICAH",1
09:01,"TURNOVER  by II,CRAIG COLLIER",,,,,,,"TURNOVER  by II,CRAIG COLLIER",1
08:48,"FOUL  by FITCH,CARL",,,,,,,"FOUL  by FITCH,CARL",1
08:48,,18,,19 (+1),"GOOD FT by JOHNSON,MICHAEL",BERRY 18-19 (-1),,"GOOD FT by JOHNSON,MICHAEL",1
08:48,,18,,20 (+2),"GOOD FT by JOHNSON,MICHAEL",BERRY 18-20 (-2),,"GOOD FT by JOHNSON,MICHAEL",1
08:48,"SUB IN by II,ROD CUMMINGS",,,,,,,"SUB IN by II,ROD CUMMINGS",1
08:48,"SUB IN by COMAN,SEAN",,,,,,,"SUB IN by COMAN,SEAN",1
08:48,"SUB IN by CONRAD,ALEX",,,,,,,"SUB IN by CONRAD,ALEX",1
08:48,"SUB OUT by II,CRAIG COLLIER",,,,,,,"SUB OUT by II,CRAIG COLLIER",1
08:48,"SUB OUT by JOHNSON,DAMECKO",,,,,,,"SUB OUT by JOHNSON,DAMECKO",1
08:48,"SUB OUT by FITCH,CARL",,,,,,,"SUB OUT by FITCH,CARL",1
08:46,"TURNOVER  by II,ROD CUMMINGS",,,,,,,"TURNOVER  by II,ROD CUMMINGS",1
08:36,,,,,"MISS 3PTR by JONES,DREW",,,"MISS 3PTR by JONES,DREW",1
--,,,,,"REBOUND OFF by COSTAS,RILEY",,,"REBOUND OFF by COSTAS,RILEY",1
08:32,,,,,"MISS 3PTR by WEHUNT,DAWSON",,,"MISS 3PTR by WEHUNT,DAWSON",1
--,,,,,"REBOUND OFF by JONES,DREW",,,"REBOUND OFF by JONES,DREW",1
08:28,,,,,"MISS LAYUP by JONES,DREW",,,"MISS LAYUP by JONES,DREW",1
--,"REBOUND DEF by CONRAD,ALEX",,,,,,,"REBOUND DEF by CONRAD,ALEX",1
08:09,"GOOD LAYUP by CONRAD,ALEX(in the paint)",20,,20,,HENDRIX 20-20 (0),,"GOOD LAYUP by CONRAD,ALEX(in the paint)",1
08:09,,,,,"FOUL  by COSTAS,RILEY",,,"FOUL  by COSTAS,RILEY",1
08:09,"MISS FT by CONRAD,ALEX",,,,,,,"MISS FT by CONRAD,ALEX",1
--,"REBOUND OFF by II,ROD CUMMINGS",,,,,,,"REBOUND OFF by II,ROD CUMMINGS",1
08:09,,,,,"SUB IN by HONROTH,OWEN",,,"SUB IN by HONROTH,OWEN",1
08:09,,,,,"SUB OUT by WEHUNT,DAWSON",,,"SUB OUT by WEHUNT,DAWSON",1
08:01,"GOOD LAYUP by CONRAD,ALEX(in the paint)",22 (+2),,20,,HENDRIX 22-20 (+2),,"GOOD LAYUP by CONRAD,ALEX(in the paint)",1
07:44,,,,,"MISS 3PTR by JOHNSON,MICAH",,,"MISS 3PTR by JOHNSON,MICAH",1
--,"REBOUND DEF by STANLEY,SETH",,,,,,,"REBOUND DEF by STANLEY,SETH",1
07:33,,,,,"FOUL  by JOHNSON,MICHAEL",,,"FOUL  by JOHNSON,MICHAEL",1
07:33,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
07:33,"GOOD FT by II,ROD CUMMINGS",23 (+3),,20,,HENDRIX 23-20 (+3),,"GOOD FT by II,ROD CUMMINGS",1
07:33,"GOOD FT by II,ROD CUMMINGS",24 (+4),,20,,HENDRIX 24-20 (+4),,"GOOD FT by II,ROD CUMMINGS",1
07:30,,,,,"SUB IN by BROOKS,AUSTIN",,,"SUB IN by BROOKS,AUSTIN",1
07:30,,,,,"SUB OUT by COSTAS,RILEY",,,"SUB OUT by COSTAS,RILEY",1
07:17,,24 (+2),,22,"GOOD JUMPER by JOHNSON,MICAH(in the paint)",BERRY 24-22 (+2),,"GOOD JUMPER by JOHNSON,MICAH(in the paint)",1
07:04,"MISS 3PTR by II,ROD CUMMINGS",,,,,,,"MISS 3PTR by II,ROD CUMMINGS",1
--,,,,,"REBOUND DEF by JOHNSON,MICHAEL",,,"REBOUND DEF by JOHNSON,MICHAEL",1
06:51,,,,,"SUB IN by MBENOUN,ROB",,,"SUB IN by MBENOUN,ROB",1
06:51,,,,,"SUB OUT by JOHNSON,MICHAEL",,,"SUB OUT by JOHNSON,MICHAEL",1
06:45,,,,,"MISS LAYUP by BROOKS,AUSTIN",,,"MISS LAYUP by BROOKS,AUSTIN",1
06:45,"BLOCK  by CONRAD,ALEX",,,,,,,"BLOCK  by CONRAD,ALEX",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
06:45,"SUB IN by DEITHLOFF,TYLER",,,,,,,"SUB IN by DEITHLOFF,TYLER",1
06:45,"SUB OUT by CONRAD,ALEX",,,,,,,"SUB OUT by CONRAD,ALEX",1
