Time Remaining,FCM13,Away Team Score,Play Team Indicator,Home Team Score,CENTRE_M,Game Score,Team Indicator,Play,Period
19:51,,,,,"TURNOVER  by KARSNER,JOSH",,,"TURNOVER  by KARSNER,JOSH",1
19:51,"STEAL  by ERWIN,GUNNER",,,,,,,"STEAL  by ERWIN,GUNNER",1
19:23,"TURNOVER  by SARGENT,TERRY",,,,,,,"TURNOVER  by SARGENT,TERRY",1
19:04,,,,,"MISS 3PTR by ELLIS,BRYON",,,"MISS 3PTR by ELLIS,BRYON",1
--,"REBOUND DEF by SARGENT,TERRY",,,,,,,"REBOUND DEF by SARGENT,TERRY",1
18:47,"GOOD JUMPER by ERWIN,GUNNER",2 (+2),,0,,FCM13 2-0 (-2),,"GOOD JUMPER by ERWIN,GUNNER",1
18:31,,2,,2,"GOOD LAYUP by WESLEY,TYLER(in the paint)",CENTRE_M 2-2 (0),,"GOOD LAYUP by WESLEY,TYLER(in the paint)",1
--,,,,,"ASSIST  by TAYLOR,CHRIS",,,"ASSIST  by TAYLOR,CHRIS",1
17:54,"TURNOVER  by ERWIN,GUNNER",,,,,,,"TURNOVER  by ERWIN,GUNNER",1
17:51,,,,,"STEAL  by WHITESIDE,DONOVAN",,,"STEAL  by WHITESIDE,DONOVAN",1
17:48,,2,,4 (+2),"GOOD LAYUP by WHITESIDE,DONOVAN(in the paint)",CENTRE_M 2-4 (+2),,"GOOD LAYUP by WHITESIDE,DONOVAN(in the paint)",1
17:31,"MISS JUMPER by PORTER,TROY",,,,,,,"MISS JUMPER by PORTER,TROY",1
--,,,,,"REBOUND DEF by KARSNER,JOSH",,,"REBOUND DEF by KARSNER,JOSH",1
17:13,,2,,6 (+4),"GOOD LAYUP by WESLEY,TYLER(in the paint)",CENTRE_M 2-6 (+4),,"GOOD LAYUP by WESLEY,TYLER(in the paint)",1
17:03,"GOOD JUMPER by HOWARD,BAILEY",4,,6 (+2),,FCM13 4-6 (+2),,"GOOD JUMPER by HOWARD,BAILEY",1
16:33,,4,,8 (+4),"GOOD LAYUP by TAYLOR,CHRIS(in the paint)",CENTRE_M 4-8 (+4),,"GOOD LAYUP by TAYLOR,CHRIS(in the paint)",1
16:18,"GOOD LAYUP by HOWARD,BAILEY(in the paint)",6,,8 (+2),,FCM13 6-8 (+2),,"GOOD LAYUP by HOWARD,BAILEY(in the paint)",1
16:02,,,,,"MISS 3PTR by KARSNER,JOSH",,,"MISS 3PTR by KARSNER,JOSH",1
--,,,,,"REBOUND OFF by WESLEY,TYLER",,,"REBOUND OFF by WESLEY,TYLER",1
15:58,"FOUL  by BARTON,JT",,,,,,,"FOUL  by BARTON,JT",1
15:58,,,,,"MISS FT by WESLEY,TYLER",,,"MISS FT by WESLEY,TYLER",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
15:58,,,,,"MISS FT by WESLEY,TYLER",,,"MISS FT by WESLEY,TYLER",1
--,"REBOUND DEF by ERWIN,GUNNER",,,,,,,"REBOUND DEF by ERWIN,GUNNER",1
15:58,"SUB IN by SMITH,DION",,,,,,,"SUB IN by SMITH,DION",1
15:58,"SUB OUT by BARTON,JT",,,,,,,"SUB OUT by BARTON,JT",1
15:58,,,,,"SUB IN by SCINTA,BLAKE",,,"SUB IN by SCINTA,BLAKE",1
