Time Remaining,CENTRE_M,Away Team Score,Play Team Indicator,Home Team Score,HANOVER,Game Score,Team Indicator,Play,Period
19:44,,,,,"MISS JUMPER by HENDRICKS, DRAKE",,,"MISS JUMPER by HENDRICKS, DRAKE",1
--,"REBOUND DEF by WHITESIDE,DONOVAN",,,,,,,"REBOUND DEF by WHITESIDE,DONOVAN",1
19:29,"MISS 3PTR by KARSNER,JOSH",,,,,,,"MISS 3PTR by KARSNER,JOSH",1
--,,,,,"REBOUND DEF by GUNTER, BRIAN",,,"REBOUND DEF by GUNTER, BRIAN",1
19:21,,,,,"TURNOVER  by BASS, TIM",,,"TURNOVER  by BASS, TIM",1
18:46,"MISS 3PTR by ELLIS,BRYON",,,,,,,"MISS 3PTR by ELLIS,BRYON",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
18:45,TURNOVER  by TEAM,,,,,,,TURNOVER  by TEAM,1
18:30,,,,,"MISS JUMPER by MARKS, DESMOND",,,"MISS JUMPER by MARKS, DESMOND",1
--,"REBOUND DEF by TAYLOR,CHRIS",,,,,,,"REBOUND DEF by TAYLOR,CHRIS",1
18:23,"TURNOVER  by WESLEY,TYLER",,,,,,,"TURNOVER  by WESLEY,TYLER",1
18:21,,,,,"STEAL  by NOWICKI, RYAN",,,"STEAL  by NOWICKI, RYAN",1
18:14,,,,,"MISS JUMPER by BASS, TIM",,,"MISS JUMPER by BASS, TIM",1
--,"REBOUND DEF by ELLIS,BRYON",,,,,,,"REBOUND DEF by ELLIS,BRYON",1
17:41,"MISS JUMPER by WHITESIDE,DONOVAN",,,,,,,"MISS JUMPER by WHITESIDE,DONOVAN",1
--,"REBOUND OFF by WHITESIDE,DONOVAN",,,,,,,"REBOUND OFF by WHITESIDE,DONOVAN",1
17:38,"GOOD JUMPER by WHITESIDE,DONOVAN(in the paint)",2 (+2),,0,,CENTRE_M 2-0 (+2),,"GOOD JUMPER by WHITESIDE,DONOVAN(in the paint)",1
17:27,,2,,2,"GOOD LAYUP by HENDRICKS, DRAKE(in the paint)",HANOVER 2-2 (0),,"GOOD LAYUP by HENDRICKS, DRAKE(in the paint)",1
17:06,"TURNOVER  by KARSNER,JOSH",,,,,,,"TURNOVER  by KARSNER,JOSH",1
17:06,,,,,"SUB IN by KRING, MICHAEL",,,"SUB IN by KRING, MICHAEL",1
17:06,,,,,"SUB OUT by BASS, TIM",,,"SUB OUT by BASS, TIM",1
16:42,,2,,4 (+2),"GOOD JUMPER by MARKS, DESMOND(in the paint)",HANOVER 2-4 (-2),,"GOOD JUMPER by MARKS, DESMOND(in the paint)",1
16:23,"TURNOVER  by WHITESIDE,DONOVAN",,,,,,,"TURNOVER  by WHITESIDE,DONOVAN",1
16:22,,,,,"STEAL  by MARKS, DESMOND",,,"STEAL  by MARKS, DESMOND",1
16:16,,,,,"MISS LAYUP by KRING, MICHAEL",,,"MISS LAYUP by KRING, MICHAEL",1
--,,,,,"REBOUND OFF by GUNTER, BRIAN",,,"REBOUND OFF by GUNTER, BRIAN",1
16:15,,2,,6 (+4),"GOOD LAYUP by GUNTER, BRIAN(in the paint)",HANOVER 2-6 (-4),,"GOOD LAYUP by GUNTER, BRIAN(in the paint)",1
16:15,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
16:15,"SUB IN by GEEGAN,MIKE",,,,,,,"SUB IN by GEEGAN,MIKE",1
16:15,"SUB IN by SCINTA,BLAKE",,,,,,,"SUB IN by SCINTA,BLAKE",1
16:15,"SUB OUT by KARSNER,JOSH",,,,,,,"SUB OUT by KARSNER,JOSH",1
16:15,"SUB OUT by WHITESIDE,DONOVAN",,,,,,,"SUB OUT by WHITESIDE,DONOVAN",1
16:15,,,,,"SUB IN by VAN KLEUNEN, MICHAEL",,,"SUB IN by VAN KLEUNEN, MICHAEL",1
16:15,,,,,"SUB IN by JAMES, KYLE",,,"SUB IN by JAMES, KYLE",1
16:15,,,,,"SUB OUT by MARKS, DESMOND",,,"SUB OUT by MARKS, DESMOND",1
16:15,,,,,"SUB OUT by HENDRICKS, DRAKE",,,"SUB OUT by HENDRICKS, DRAKE",1
15:54,"MISS JUMPER by WESLEY,TYLER",,,,,,,"MISS JUMPER by WESLEY,TYLER",1
--,,,,,"REBOUND DEF by GUNTER, BRIAN",,,"REBOUND DEF by GUNTER, BRIAN",1
15:44,,2,,9 (+7),"GOOD 3PTR by VAN KLEUNEN, MICHAEL",HANOVER 2-9 (-7),,"GOOD 3PTR by VAN KLEUNEN, MICHAEL",1
--,,,,,"ASSIST  by GUNTER, BRIAN",,,"ASSIST  by GUNTER, BRIAN",1
15:16,"TURNOVER  by TAYLOR,CHRIS",,,,,,,"TURNOVER  by TAYLOR,CHRIS",1
15:16,"SUB IN by GRIGGS,MATT",,,,,,,"SUB IN by GRIGGS,MATT",1
15:16,"SUB OUT by TAYLOR,CHRIS",,,,,,,"SUB OUT by TAYLOR,CHRIS",1
15:01,,2,,11 (+9),"GOOD JUMPER by GUNTER, BRIAN(in the paint)",HANOVER 2-11 (-9),,"GOOD JUMPER by GUNTER, BRIAN(in the paint)",1
14:29,,,,,"FOUL  by KRING, MICHAEL",,,"FOUL  by KRING, MICHAEL",1
14:14,,,,,"FOUL  by GUNTER, BRIAN",,,"FOUL  by GUNTER, BRIAN",1
14:14,"GOOD FT by SCINTA,BLAKE",3,,11 (+8),,CENTRE_M 3-11 (-8),,"GOOD FT by SCINTA,BLAKE",1
14:14,"GOOD FT by SCINTA,BLAKE",4,,11 (+7),,CENTRE_M 4-11 (-7),,"GOOD FT by SCINTA,BLAKE",1
14:14,"SUB IN by NEWSOME,TAYLOR",,,,,,,"SUB IN by NEWSOME,TAYLOR",1
14:14,"SUB OUT by WESLEY,TYLER",,,,,,,"SUB OUT by WESLEY,TYLER",1
14:14,,,,,"SUB IN by WEHNER, MATT",,,"SUB IN by WEHNER, MATT",1
14:14,,,,,"SUB IN by BASS, TIM",,,"SUB IN by BASS, TIM",1
14:14,,,,,"SUB OUT by NOWICKI, RYAN",,,"SUB OUT by NOWICKI, RYAN",1
14:14,,,,,"SUB OUT by KRING, MICHAEL",,,"SUB OUT by KRING, MICHAEL",1
14:02,,,,,"MISS 3PTR by GUNTER, BRIAN",,,"MISS 3PTR by GUNTER, BRIAN",1
--,"REBOUND DEF by GEEGAN,MIKE",,,,,,,"REBOUND DEF by GEEGAN,MIKE",1
13:37,"GOOD JUMPER by NEWSOME,TAYLOR",6,,11 (+5),,CENTRE_M 6-11 (-5),,"GOOD JUMPER by NEWSOME,TAYLOR",1
--,"ASSIST  by GEEGAN,MIKE",,,,,,,"ASSIST  by GEEGAN,MIKE",1
13:26,,,,,"TURNOVER  by JAMES, KYLE",,,"TURNOVER  by JAMES, KYLE",1
13:25,"STEAL  by GEEGAN,MIKE",,,,,,,"STEAL  by GEEGAN,MIKE",1
12:59,"MISS 3PTR by ELLIS,BRYON",,,,,,,"MISS 3PTR by ELLIS,BRYON",1
--,,,,,"REBOUND DEF by GUNTER, BRIAN",,,"REBOUND DEF by GUNTER, BRIAN",1
12:50,,6,,13 (+7),"GOOD LAYUP by BASS, TIM(in the paint)",HANOVER 6-13 (-7),,"GOOD LAYUP by BASS, TIM(in the paint)",1
12:16,"MISS JUMPER by GRIGGS,MATT",,,,,,,"MISS JUMPER by GRIGGS,MATT",1
--,,,,,"REBOUND DEF by WEHNER, MATT",,,"REBOUND DEF by WEHNER, MATT",1
12:04,,,,,"MISS JUMPER by WEHNER, MATT",,,"MISS JUMPER by WEHNER, MATT",1
--,"REBOUND DEF by GRIGGS,MATT",,,,,,,"REBOUND DEF by GRIGGS,MATT",1
11:40,"MISS JUMPER by GRIGGS,MATT",,,,,,,"MISS JUMPER by GRIGGS,MATT",1
--,,,,,"REBOUND DEF by WEHNER, MATT",,,"REBOUND DEF by WEHNER, MATT",1
11:33,"FOUL  by NEWSOME,TAYLOR",,,,,,,"FOUL  by NEWSOME,TAYLOR",1
11:33,,6,,14 (+8),"GOOD FT by VAN KLEUNEN, MICHAEL",HANOVER 6-14 (-8),,"GOOD FT by VAN KLEUNEN, MICHAEL",1
11:33,,6,,15 (+9),"GOOD FT by VAN KLEUNEN, MICHAEL",HANOVER 6-15 (-9),,"GOOD FT by VAN KLEUNEN, MICHAEL",1
11:33,"SUB IN by LOHR,MATT",,,,,,,"SUB IN by LOHR,MATT",1
11:33,"SUB IN by SAGRAVES,AUSTIN",,,,,,,"SUB IN by SAGRAVES,AUSTIN",1
11:33,"SUB IN by TAYLOR,CHRIS",,,,,,,"SUB IN by TAYLOR,CHRIS",1
11:33,"SUB OUT by GEEGAN,MIKE",,,,,,,"SUB OUT by GEEGAN,MIKE",1
11:33,"SUB OUT by GRIGGS,MATT",,,,,,,"SUB OUT by GRIGGS,MATT",1
11:33,"SUB OUT by ELLIS,BRYON",,,,,,,"SUB OUT by ELLIS,BRYON",1
11:33,,,,,"SUB IN by MARKS, DESMOND",,,"SUB IN by MARKS, DESMOND",1
11:33,,,,,"SUB IN by STEINHART, JACOB",,,"SUB IN by STEINHART, JACOB",1
11:33,,,,,"SUB IN by HENDRICKS, DRAKE",,,"SUB IN by HENDRICKS, DRAKE",1
11:33,,,,,"SUB OUT by VAN KLEUNEN, MICHAEL",,,"SUB OUT by VAN KLEUNEN, MICHAEL",1
11:33,,,,,"SUB OUT by GUNTER, BRIAN",,,"SUB OUT by GUNTER, BRIAN",1
11:33,,,,,"SUB OUT by JAMES, KYLE",,,"SUB OUT by JAMES, KYLE",1
11:02,"GOOD LAYUP by NEWSOME,TAYLOR(in the paint)",8,,15 (+7),,CENTRE_M 8-15 (-7),,"GOOD LAYUP by NEWSOME,TAYLOR(in the paint)",1
--,"ASSIST  by SCINTA,BLAKE",,,,,,,"ASSIST  by SCINTA,BLAKE",1
10:52,,8,,18 (+10),"GOOD 3PTR by STEINHART, JACOB",HANOVER 8-18 (-10),,"GOOD 3PTR by STEINHART, JACOB",1
--,,,,,"ASSIST  by WEHNER, MATT",,,"ASSIST  by WEHNER, MATT",1
10:35,"MISS JUMPER by SCINTA,BLAKE",,,,,,,"MISS JUMPER by SCINTA,BLAKE",1
--,,,,,"REBOUND DEF by MARKS, DESMOND",,,"REBOUND DEF by MARKS, DESMOND",1
10:12,,,,,"MISS 3PTR by STEINHART, JACOB",,,"MISS 3PTR by STEINHART, JACOB",1
--,,,,,"REBOUND OFF by HENDRICKS, DRAKE",,,"REBOUND OFF by HENDRICKS, DRAKE",1
10:00,,8,,20 (+12),"GOOD JUMPER by MARKS, DESMOND(in the paint)",HANOVER 8-20 (-12),,"GOOD JUMPER by MARKS, DESMOND(in the paint)",1
09:58,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,1
09:58,"SUB IN by WESLEY,TYLER",,,,,,,"SUB IN by WESLEY,TYLER",1
09:58,"SUB IN by KARSNER,JOSH",,,,,,,"SUB IN by KARSNER,JOSH",1
09:58,"SUB IN by WHITESIDE,DONOVAN",,,,,,,"SUB IN by WHITESIDE,DONOVAN",1
09:58,"SUB OUT by NEWSOME,TAYLOR",,,,,,,"SUB OUT by NEWSOME,TAYLOR",1
09:58,"SUB OUT by SAGRAVES,AUSTIN",,,,,,,"SUB OUT by SAGRAVES,AUSTIN",1
09:58,"SUB OUT by SCINTA,BLAKE",,,,,,,"SUB OUT by SCINTA,BLAKE",1
09:58,,,,,"SUB IN by NOWICKI, RYAN",,,"SUB IN by NOWICKI, RYAN",1
09:58,,,,,"SUB IN by KRING, MICHAEL",,,"SUB IN by KRING, MICHAEL",1
09:58,,,,,"SUB OUT by WEHNER, MATT",,,"SUB OUT by WEHNER, MATT",1
09:58,,,,,"SUB OUT by BASS, TIM",,,"SUB OUT by BASS, TIM",1
09:35,"MISS JUMPER by WHITESIDE,DONOVAN",,,,,,,"MISS JUMPER by WHITESIDE,DONOVAN",1
09:35,,,,,"BLOCK  by MARKS, DESMOND",,,"BLOCK  by MARKS, DESMOND",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
09:33,"SUB IN by ELLIS,BRYON",,,,,,,"SUB IN by ELLIS,BRYON",1
09:33,"SUB OUT by LOHR,MATT",,,,,,,"SUB OUT by LOHR,MATT",1
09:25,"TURNOVER  by TAYLOR,CHRIS",,,,,,,"TURNOVER  by TAYLOR,CHRIS",1
09:23,,,,,"STEAL  by HENDRICKS, DRAKE",,,"STEAL  by HENDRICKS, DRAKE",1
09:18,,,,,"MISS 3PTR by HENDRICKS, DRAKE",,,"MISS 3PTR by HENDRICKS, DRAKE",1
--,"REBOUND DEF by WESLEY,TYLER",,,,,,,"REBOUND DEF by WESLEY,TYLER",1
08:47,"GOOD JUMPER by WHITESIDE,DONOVAN(in the paint)",10,,20 (+10),,CENTRE_M 10-20 (-10),,"GOOD JUMPER by WHITESIDE,DONOVAN(in the paint)",1
08:27,,,,,"MISS JUMPER by KRING, MICHAEL",,,"MISS JUMPER by KRING, MICHAEL",1
--,"REBOUND DEF by WESLEY,TYLER",,,,,,,"REBOUND DEF by WESLEY,TYLER",1
08:15,"GOOD 3PTR by ELLIS,BRYON",13,,20 (+7),,CENTRE_M 13-20 (-7),,"GOOD 3PTR by ELLIS,BRYON",1
