Time Remaining,MUM,Away Team Score,Play Team Indicator,Home Team Score,CENTRE_M,Game Score,Team Indicator,Play,Period
19:40,"MISS 3PTR by WOODS,JEFF",,,,,,,"MISS 3PTR by WOODS,JEFF",1
--,,,,,"REBOUND DEF by WHITESIDE,DONOVAN",,,"REBOUND DEF by WHITESIDE,DONOVAN",1
19:22,,,,,"MISS 3PTR by ELLIS,BRYON",,,"MISS 3PTR by ELLIS,BRYON",1
--,"REBOUND DEF by WOODS,JEFF",,,,,,,"REBOUND DEF by WOODS,JEFF",1
19:18,,,,,"FOUL  by WHITESIDE,DONOVAN",,,"FOUL  by WHITESIDE,DONOVAN",1
18:49,"MISS 3PTR by ANTONIO FERRELL,JR",,,,,,,"MISS 3PTR by ANTONIO FERRELL,JR",1
--,"REBOUND OFF by ANTONIO FERRELL,JR",,,,,,,"REBOUND OFF by ANTONIO FERRELL,JR",1
18:35,"GOOD JUMPER by ANTONIO FERRELL,JR(in the paint)",2 (+2),,0,,MUM 2-0 (-2),,"GOOD JUMPER by ANTONIO FERRELL,JR(in the paint)",1
--,"ASSIST  by WOODS,JEFF",,,,,,,"ASSIST  by WOODS,JEFF",1
18:11,,,,,"TURNOVER  by WESLEY,TYLER",,,"TURNOVER  by WESLEY,TYLER",1
18:09,"STEAL  by ZUKOWITZ,MAX",,,,,,,"STEAL  by ZUKOWITZ,MAX",1
18:07,"MISS LAYUP by ZUKOWITZ,MAX",,,,,,,"MISS LAYUP by ZUKOWITZ,MAX",1
--,,,,,"REBOUND DEF by TAYLOR,CHRIS",,,"REBOUND DEF by TAYLOR,CHRIS",1
17:55,,,,,"TURNOVER  by TAYLOR,CHRIS",,,"TURNOVER  by TAYLOR,CHRIS",1
17:43,"MISS JUMPER by ZUKOWITZ,MAX",,,,,,,"MISS JUMPER by ZUKOWITZ,MAX",1
--,,,,,"REBOUND DEF by WHITESIDE,DONOVAN",,,"REBOUND DEF by WHITESIDE,DONOVAN",1
17:33,,,,,"MISS LAYUP by WESLEY,TYLER",,,"MISS LAYUP by WESLEY,TYLER",1
--,,,,,"REBOUND OFF by WESLEY,TYLER",,,"REBOUND OFF by WESLEY,TYLER",1
17:30,,,,,"MISS LAYUP by WESLEY,TYLER",,,"MISS LAYUP by WESLEY,TYLER",1
--,"REBOUND DEF by ANTONIO FERRELL,JR",,,,,,,"REBOUND DEF by ANTONIO FERRELL,JR",1
17:23,"TURNOVER  by WOODS,JEFF",,,,,,,"TURNOVER  by WOODS,JEFF",1
17:22,,,,,"STEAL  by WHITESIDE,DONOVAN",,,"STEAL  by WHITESIDE,DONOVAN",1
17:20,,,,,"MISS LAYUP by WHITESIDE,DONOVAN",,,"MISS LAYUP by WHITESIDE,DONOVAN",1
17:20,"BLOCK  by ANTONIO FERRELL,JR",,,,,,,"BLOCK  by ANTONIO FERRELL,JR",1
--,,,,,"REBOUND OFF by WESLEY,TYLER",,,"REBOUND OFF by WESLEY,TYLER",1
17:16,"FOUL  by WOODS,JEFF",,,,,,,"FOUL  by WOODS,JEFF",1
17:16,,2 (+1),,1,"GOOD FT by WESLEY,TYLER",CENTRE_M 2-1 (-1),,"GOOD FT by WESLEY,TYLER",1
17:16,,2,,2,"GOOD FT by WESLEY,TYLER",CENTRE_M 2-2 (0),,"GOOD FT by WESLEY,TYLER",1
17:16,"SUB IN by HILL,ERIC",,,,,,,"SUB IN by HILL,ERIC",1
17:16,"SUB OUT by WOODS,JEFF",,,,,,,"SUB OUT by WOODS,JEFF",1
16:58,"GOOD 3PTR by ZUKOWITZ,MAX",5 (+3),,2,,MUM 5-2 (-3),,"GOOD 3PTR by ZUKOWITZ,MAX",1
--,"ASSIST  by MARTINEZ,ZACH",,,,,,,"ASSIST  by MARTINEZ,ZACH",1
16:32,,,,,"TURNOVER  by TAYLOR,CHRIS",,,"TURNOVER  by TAYLOR,CHRIS",1
16:32,,,,,"SUB IN by SAGRAVES,AUSTIN",,,"SUB IN by SAGRAVES,AUSTIN",1
16:32,,,,,"SUB OUT by WHITESIDE,DONOVAN",,,"SUB OUT by WHITESIDE,DONOVAN",1
16:22,"MISS JUMPER by ANTONIO FERRELL,JR",,,,,,,"MISS JUMPER by ANTONIO FERRELL,JR",1
--,,,,,"REBOUND DEF by TAYLOR,CHRIS",,,"REBOUND DEF by TAYLOR,CHRIS",1
15:57,,5,,5,"GOOD 3PTR by SAGRAVES,AUSTIN",CENTRE_M 5-5 (0),,"GOOD 3PTR by SAGRAVES,AUSTIN",1
--,,,,,"ASSIST  by TAYLOR,CHRIS",,,"ASSIST  by TAYLOR,CHRIS",1
15:34,"MISS JUMPER by ZUKOWITZ,MAX",,,,,,,"MISS JUMPER by ZUKOWITZ,MAX",1
--,,,,,"REBOUND DEF by WESLEY,TYLER",,,"REBOUND DEF by WESLEY,TYLER",1
15:28,,,,,"TURNOVER  by WESLEY,TYLER",,,"TURNOVER  by WESLEY,TYLER",1
15:26,"STEAL  by ZUKOWITZ,MAX",,,,,,,"STEAL  by ZUKOWITZ,MAX",1
15:20,"TURNOVER  by MARTIN,DEWAYNE",,,,,,,"TURNOVER  by MARTIN,DEWAYNE",1
15:18,,,,,"STEAL  by SAGRAVES,AUSTIN",,,"STEAL  by SAGRAVES,AUSTIN",1
15:12,,,,,"MISS 3PTR by ELLIS,BRYON",,,"MISS 3PTR by ELLIS,BRYON",1
--,"REBOUND DEF by MARTIN,DEWAYNE",,,,,,,"REBOUND DEF by MARTIN,DEWAYNE",1
15:06,"MISS LAYUP by ZUKOWITZ,MAX",,,,,,,"MISS LAYUP by ZUKOWITZ,MAX",1
--,,,,,"REBOUND DEF by WESLEY,TYLER",,,"REBOUND DEF by WESLEY,TYLER",1
14:48,,,,,"MISS JUMPER by TAYLOR,CHRIS",,,"MISS JUMPER by TAYLOR,CHRIS",1
--,"REBOUND DEF by ZUKOWITZ,MAX",,,,,,,"REBOUND DEF by ZUKOWITZ,MAX",1
14:37,"GOOD LAYUP by ANTONIO FERRELL,JR(in the paint)",7 (+2),,5,,MUM 7-5 (-2),,"GOOD LAYUP by ANTONIO FERRELL,JR(in the paint)",1
--,"ASSIST  by ZUKOWITZ,MAX",,,,,,,"ASSIST  by ZUKOWITZ,MAX",1
14:36,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
14:36,,,,,"SUB IN by HERTZEL,HOLDEN",,,"SUB IN by HERTZEL,HOLDEN",1
14:36,,,,,"SUB IN by NEWSOME,TAYLOR",,,"SUB IN by NEWSOME,TAYLOR",1
14:36,,,,,"SUB IN by LOPEZ,COLLIN",,,"SUB IN by LOPEZ,COLLIN",1
14:36,,,,,"SUB OUT by ELLIS,BRYON",,,"SUB OUT by ELLIS,BRYON",1
14:36,,,,,"SUB OUT by KARSNER,JOSH",,,"SUB OUT by KARSNER,JOSH",1
14:36,,,,,"SUB OUT by WESLEY,TYLER",,,"SUB OUT by WESLEY,TYLER",1
14:22,,,,,"TURNOVER  by SAGRAVES,AUSTIN",,,"TURNOVER  by SAGRAVES,AUSTIN",1
14:22,,,,,"SUB IN by WHITESIDE,DONOVAN",,,"SUB IN by WHITESIDE,DONOVAN",1
14:22,,,,,"SUB OUT by SAGRAVES,AUSTIN",,,"SUB OUT by SAGRAVES,AUSTIN",1
14:10,"GOOD 3PTR by MARTIN,DEWAYNE",10 (+5),,5,,MUM 10-5 (-5),,"GOOD 3PTR by MARTIN,DEWAYNE",1
--,"ASSIST  by ZUKOWITZ,MAX",,,,,,,"ASSIST  by ZUKOWITZ,MAX",1
13:56,,,,,"MISS JUMPER by NEWSOME,TAYLOR",,,"MISS JUMPER by NEWSOME,TAYLOR",1
--,"REBOUND DEF by ANTONIO FERRELL,JR",,,,,,,"REBOUND DEF by ANTONIO FERRELL,JR",1
13:48,"MISS JUMPER by MARTINEZ,ZACH",,,,,,,"MISS JUMPER by MARTINEZ,ZACH",1
--,,,,,"REBOUND DEF by LOPEZ,COLLIN",,,"REBOUND DEF by LOPEZ,COLLIN",1
13:32,,,,,"MISS 3PTR by WHITESIDE,DONOVAN",,,"MISS 3PTR by WHITESIDE,DONOVAN",1
--,"REBOUND DEF by ZUKOWITZ,MAX",,,,,,,"REBOUND DEF by ZUKOWITZ,MAX",1
13:12,"MISS LAYUP by ANTONIO FERRELL,JR",,,,,,,"MISS LAYUP by ANTONIO FERRELL,JR",1
--,,,,,"REBOUND DEF by HERTZEL,HOLDEN",,,"REBOUND DEF by HERTZEL,HOLDEN",1
13:07,,,,,"TURNOVER  by WHITESIDE,DONOVAN",,,"TURNOVER  by WHITESIDE,DONOVAN",1
13:06,"STEAL  by MARTINEZ,ZACH",,,,,,,"STEAL  by MARTINEZ,ZACH",1
13:03,"GOOD LAYUP by MARTINEZ,ZACH(fastbreak)(in the paint)",12 (+7),,5,,MUM 12-5 (-7),,"GOOD LAYUP by MARTINEZ,ZACH(fastbreak)(in the paint)",1
13:00,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,1
13:00,"SUB IN by JOHNSON,DONNELLE",,,,,,,"SUB IN by JOHNSON,DONNELLE",1
13:00,"SUB OUT by MARTINEZ,ZACH",,,,,,,"SUB OUT by MARTINEZ,ZACH",1
13:00,,,,,"SUB IN by GRIGGS,MATT",,,"SUB IN by GRIGGS,MATT",1
13:00,,,,,"SUB OUT by TAYLOR,CHRIS",,,"SUB OUT by TAYLOR,CHRIS",1
12:45,,12 (+5),,7,"GOOD DUNK by WHITESIDE,DONOVAN(in the paint)",CENTRE_M 12-7 (-5),,"GOOD DUNK by WHITESIDE,DONOVAN(in the paint)",1
12:31,"TURNOVER  by JOHNSON,DONNELLE",,,,,,,"TURNOVER  by JOHNSON,DONNELLE",1
12:14,,,,,"MISS JUMPER by HERTZEL,HOLDEN",,,"MISS JUMPER by HERTZEL,HOLDEN",1
--,"REBOUND DEF by ANTONIO FERRELL,JR",,,,,,,"REBOUND DEF by ANTONIO FERRELL,JR",1
12:03,"GOOD JUMPER by HILL,ERIC",14 (+7),,7,,MUM 14-7 (-7),,"GOOD JUMPER by HILL,ERIC",1
--,"ASSIST  by ZUKOWITZ,MAX",,,,,,,"ASSIST  by ZUKOWITZ,MAX",1
11:40,,,,,"MISS LAYUP by LOPEZ,COLLIN",,,"MISS LAYUP by LOPEZ,COLLIN",1
--,"REBOUND DEF by ANTONIO FERRELL,JR",,,,,,,"REBOUND DEF by ANTONIO FERRELL,JR",1
11:34,"GOOD LAYUP by ZUKOWITZ,MAX(in the paint)",16 (+9),,7,,MUM 16-7 (-9),,"GOOD LAYUP by ZUKOWITZ,MAX(in the paint)",1
--,"ASSIST  by HILL,ERIC",,,,,,,"ASSIST  by HILL,ERIC",1
11:19,,16 (+7),,9,"GOOD LAYUP by LOPEZ,COLLIN(in the paint)",CENTRE_M 16-9 (-7),,"GOOD LAYUP by LOPEZ,COLLIN(in the paint)",1
11:09,"MISS LAYUP by HILL,ERIC",,,,,,,"MISS LAYUP by HILL,ERIC",1
--,,,,,"REBOUND DEF by NEWSOME,TAYLOR",,,"REBOUND DEF by NEWSOME,TAYLOR",1
10:54,,,,,"MISS LAYUP by NEWSOME,TAYLOR",,,"MISS LAYUP by NEWSOME,TAYLOR",1
10:54,"BLOCK  by ANTONIO FERRELL,JR",,,,,,,"BLOCK  by ANTONIO FERRELL,JR",1
--,"REBOUND DEF by JOHNSON,DONNELLE",,,,,,,"REBOUND DEF by JOHNSON,DONNELLE",1
10:46,"MISS 3PTR by JOHNSON,DONNELLE",,,,,,,"MISS 3PTR by JOHNSON,DONNELLE",1
--,"REBOUND OFF by MARTIN,DEWAYNE",,,,,,,"REBOUND OFF by MARTIN,DEWAYNE",1
10:42,"MISS JUMPER by MARTIN,DEWAYNE",,,,,,,"MISS JUMPER by MARTIN,DEWAYNE",1
--,,,,,"REBOUND DEF by HERTZEL,HOLDEN",,,"REBOUND DEF by HERTZEL,HOLDEN",1
10:24,"FOUL  by MARTIN,DEWAYNE",,,,,,,"FOUL  by MARTIN,DEWAYNE",1
10:24,"SUB IN by MONTGOMERY,VERNON",,,,,,,"SUB IN by MONTGOMERY,VERNON",1
10:24,"SUB OUT by MARTIN,DEWAYNE",,,,,,,"SUB OUT by MARTIN,DEWAYNE",1
10:24,,,,,"SUB IN by WESLEY,TYLER",,,"SUB IN by WESLEY,TYLER",1
10:24,,,,,"SUB IN by KARSNER,JOSH",,,"SUB IN by KARSNER,JOSH",1
10:24,,,,,"SUB IN by ELLIS,BRYON",,,"SUB IN by ELLIS,BRYON",1
10:24,,,,,"SUB IN by LOHR,MATT",,,"SUB IN by LOHR,MATT",1
10:24,,,,,"SUB OUT by HERTZEL,HOLDEN",,,"SUB OUT by HERTZEL,HOLDEN",1
10:24,,,,,"SUB OUT by NEWSOME,TAYLOR",,,"SUB OUT by NEWSOME,TAYLOR",1
10:24,,,,,"SUB OUT by LOPEZ,COLLIN",,,"SUB OUT by LOPEZ,COLLIN",1
10:24,,,,,"SUB OUT by WHITESIDE,DONOVAN",,,"SUB OUT by WHITESIDE,DONOVAN",1
10:16,,,,,"MISS LAYUP by KARSNER,JOSH",,,"MISS LAYUP by KARSNER,JOSH",1
10:16,"BLOCK  by ANTONIO FERRELL,JR",,,,,,,"BLOCK  by ANTONIO FERRELL,JR",1
--,"REBOUND DEF by ANTONIO FERRELL,JR",,,,,,,"REBOUND DEF by ANTONIO FERRELL,JR",1
10:08,"TURNOVER  by HILL,ERIC",,,,,,,"TURNOVER  by HILL,ERIC",1
10:08,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
09:48,,,,,"MISS 3PTR by KARSNER,JOSH",,,"MISS 3PTR by KARSNER,JOSH",1
--,"REBOUND DEF by ANTONIO FERRELL,JR",,,,,,,"REBOUND DEF by ANTONIO FERRELL,JR",1
09:31,"TURNOVER  by ANTONIO FERRELL,JR",,,,,,,"TURNOVER  by ANTONIO FERRELL,JR",1
09:29,,,,,"STEAL  by KARSNER,JOSH",,,"STEAL  by KARSNER,JOSH",1
09:26,,,,,"TURNOVER  by KARSNER,JOSH",,,"TURNOVER  by KARSNER,JOSH",1
09:25,"STEAL  by MONTGOMERY,VERNON",,,,,,,"STEAL  by MONTGOMERY,VERNON",1
09:23,"GOOD LAYUP by MONTGOMERY,VERNON(fastbreak)(in the paint)",18 (+9),,9,,MUM 18-9 (-9),,"GOOD LAYUP by MONTGOMERY,VERNON(fastbreak)(in the paint)",1
09:02,,18 (+6),,12,"GOOD 3PTR by GRIGGS,MATT",CENTRE_M 18-12 (-6),,"GOOD 3PTR by GRIGGS,MATT",1
08:42,"SUB IN by MARTINEZ,ZACH",,,,,,,"SUB IN by MARTINEZ,ZACH",1
08:42,"SUB IN by MARTIN,DEWAYNE",,,,,,,"SUB IN by MARTIN,DEWAYNE",1
08:42,"SUB OUT by JOHNSON,DONNELLE",,,,,,,"SUB OUT by JOHNSON,DONNELLE",1
08:42,"SUB OUT by ANTONIO FERRELL,JR",,,,,,,"SUB OUT by ANTONIO FERRELL,JR",1
08:42,,,,,"SUB IN by TAYLOR,CHRIS",,,"SUB IN by TAYLOR,CHRIS",1
08:42,,,,,"SUB OUT by GRIGGS,MATT",,,"SUB OUT by GRIGGS,MATT",1
08:32,"TURNOVER  by MONTGOMERY,VERNON",,,,,,,"TURNOVER  by MONTGOMERY,VERNON",1
08:29,,,,,"STEAL  by WESLEY,TYLER",,,"STEAL  by WESLEY,TYLER",1
08:01,,,,,"MISS 3PTR by KARSNER,JOSH",,,"MISS 3PTR by KARSNER,JOSH",1
