Time Remaining,BRESCIA,Away Team Score,Play Team Indicator,Home Team Score,CENTRE_M,Game Score,Team Indicator,Play,Period
11:55,"SUB IN by CHRISTIAN,MYRON",,,,,,,"SUB IN by CHRISTIAN,MYRON",1
11:55,"SUB OUT by ROWE,HUNTER",,,,,,,"SUB OUT by ROWE,HUNTER",1
11:55,"SUB OUT by LANGLEY,JERMAIN",,,,,,,"SUB OUT by LANGLEY,JERMAIN",1
11:55,,,,,"SUB IN by KARSNER,JOSH",,,"SUB IN by KARSNER,JOSH",1
11:55,,,,,"SUB OUT by NEWSOME,TAYLOR",,,"SUB OUT by NEWSOME,TAYLOR",1
11:43,"TURNOVER  by JACKSON,BRETT",,,,,,,"TURNOVER  by JACKSON,BRETT",1
11:40,,,,,"STEAL  by KARSNER,JOSH",,,"STEAL  by KARSNER,JOSH",1
11:30,,6,,9 (+3),"GOOD LAYUP by LOHR,MATT(in the paint)",CENTRE_M 6-9 (+3),,"GOOD LAYUP by LOHR,MATT(in the paint)",1
--,,,,,"ASSIST  by TAYLOR,CHRIS",,,"ASSIST  by TAYLOR,CHRIS",1
11:22,"TURNOVER  by HALCOMB,TROY",,,,,,,"TURNOVER  by HALCOMB,TROY",1
11:09,,,,,"MISS 3PTR by KARSNER,JOSH",,,"MISS 3PTR by KARSNER,JOSH",1
--,"REBOUND DEF by NIXON,KYLE",,,,,,,"REBOUND DEF by NIXON,KYLE",1
10:54,"MISS LAYUP by JACKSON,BRETT",,,,,,,"MISS LAYUP by JACKSON,BRETT",1
--,,,,,"REBOUND DEF by KARSNER,JOSH",,,"REBOUND DEF by KARSNER,JOSH",1
10:52,"FOUL  by MORRIS,AUSTIN",,,,,,,"FOUL  by MORRIS,AUSTIN",1
10:52,,,,,"SUB IN by WHITESIDE,DONOVAN",,,"SUB IN by WHITESIDE,DONOVAN",1
10:52,,,,,"SUB OUT by LOHR,MATT",,,"SUB OUT by LOHR,MATT",1
10:40,"FOUL  by CHRISTIAN,MYRON",,,,,,,"FOUL  by CHRISTIAN,MYRON",1
10:40,,,,,"MISS FT by WHITESIDE,DONOVAN",,,"MISS FT by WHITESIDE,DONOVAN",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
10:40,,6,,10 (+4),"GOOD FT by WHITESIDE,DONOVAN",CENTRE_M 6-10 (+4),,"GOOD FT by WHITESIDE,DONOVAN",1
10:23,"MISS 3PTR by CHRISTIAN,MYRON",,,,,,,"MISS 3PTR by CHRISTIAN,MYRON",1
--,,,,,"REBOUND DEF by TAYLOR,CHRIS",,,"REBOUND DEF by TAYLOR,CHRIS",1
10:18,,,,,"MISS 3PTR by WHITESIDE,DONOVAN",,,"MISS 3PTR by WHITESIDE,DONOVAN",1
--,"REBOUND DEF by JACKSON,BRETT",,,,,,,"REBOUND DEF by JACKSON,BRETT",1
10:08,"MISS JUMPER by NIXON,KYLE",,,,,,,"MISS JUMPER by NIXON,KYLE",1
--,,,,,"REBOUND DEF by TAYLOR,CHRIS",,,"REBOUND DEF by TAYLOR,CHRIS",1
09:54,,,,,"TURNOVER  by SAGRAVES,AUSTIN",,,"TURNOVER  by SAGRAVES,AUSTIN",1
09:50,"STEAL  by CHRISTIAN,MYRON",,,,,,,"STEAL  by CHRISTIAN,MYRON",1
09:27,"MISS JUMPER by HALCOMB,TROY",,,,,,,"MISS JUMPER by HALCOMB,TROY",1
09:27,,,,,"BLOCK  by WESLEY,TYLER",,,"BLOCK  by WESLEY,TYLER",1
--,"REBOUND OFF by HALCOMB,TROY",,,,,,,"REBOUND OFF by HALCOMB,TROY",1
09:21,,,,,"STEAL  by WHITESIDE,DONOVAN",,,"STEAL  by WHITESIDE,DONOVAN",1
09:19,"TURNOVER  by CHRISTIAN,MYRON",,,,,,,"TURNOVER  by CHRISTIAN,MYRON",1
09:17,,6,,12 (+6),"GOOD LAYUP by WHITESIDE,DONOVAN(in the paint)",CENTRE_M 6-12 (+6),,"GOOD LAYUP by WHITESIDE,DONOVAN(in the paint)",1
09:02,"TURNOVER  by JACKSON,BRETT",,,,,,,"TURNOVER  by JACKSON,BRETT",1
09:00,,,,,"STEAL  by TAYLOR,CHRIS",,,"STEAL  by TAYLOR,CHRIS",1
08:57,"FOUL  by CHRISTIAN,MYRON",,,,,,,"FOUL  by CHRISTIAN,MYRON",1
08:57,,,,,"MISS FT by WHITESIDE,DONOVAN",,,"MISS FT by WHITESIDE,DONOVAN",1
