Time Remaining,TRANSY,Away Team Score,Play Team Indicator,Home Team Score,CENTRE_M,Game Score,Team Indicator,Play,Period
19:42,"MISS 3PTR by FUDGE,NICK",,,,,,,"MISS 3PTR by FUDGE,NICK",1
--,,,,,"REBOUND DEF by WESLEY,TYLER",,,"REBOUND DEF by WESLEY,TYLER",1
19:17,,0,,2 (+2),"GOOD LAYUP by WHITESIDE,DONOVAN(in the paint)",CENTRE_M 0-2 (+2),,"GOOD LAYUP by WHITESIDE,DONOVAN(in the paint)",1
18:48,"GOOD 3PTR by MEYER,BARRETT",3 (+1),,2,,TRANSY 3-2 (-1),,"GOOD 3PTR by MEYER,BARRETT",1
--,"ASSIST  by FUDGE,NICK",,,,,,,"ASSIST  by FUDGE,NICK",1
18:25,,,,,"MISS 3PTR by KARSNER,JOSH",,,"MISS 3PTR by KARSNER,JOSH",1
--,,,,,"REBOUND OFF by WESLEY,TYLER",,,"REBOUND OFF by WESLEY,TYLER",1
18:21,,,,,"MISS LAYUP by WESLEY,TYLER",,,"MISS LAYUP by WESLEY,TYLER",1
--,,,,,"REBOUND OFF by WESLEY,TYLER",,,"REBOUND OFF by WESLEY,TYLER",1
18:16,,3,,5 (+2),"GOOD 3PTR by ELLIS,BRYON",CENTRE_M 3-5 (+2),,"GOOD 3PTR by ELLIS,BRYON",1
--,,,,,"ASSIST  by WHITESIDE,DONOVAN",,,"ASSIST  by WHITESIDE,DONOVAN",1
17:59,,,,,"FOUL  by WHITESIDE,DONOVAN",,,"FOUL  by WHITESIDE,DONOVAN",1
17:59,"GOOD FT by SPURLIN,ETHAN",4,,5 (+1),,TRANSY 4-5 (+1),,"GOOD FT by SPURLIN,ETHAN",1
17:59,"GOOD FT by SPURLIN,ETHAN",5,,5,,TRANSY 5-5 (0),,"GOOD FT by SPURLIN,ETHAN",1
17:46,,,,,"MISS LAYUP by KARSNER,JOSH",,,"MISS LAYUP by KARSNER,JOSH",1
17:46,"BLOCK  by SPURLIN,ETHAN",,,,,,,"BLOCK  by SPURLIN,ETHAN",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
17:36,,,,,"MISS LAYUP by TAYLOR,CHRIS",,,"MISS LAYUP by TAYLOR,CHRIS",1
--,,,,,"REBOUND OFF by WHITESIDE,DONOVAN",,,"REBOUND OFF by WHITESIDE,DONOVAN",1
17:32,,,,,"MISS LAYUP by WHITESIDE,DONOVAN",,,"MISS LAYUP by WHITESIDE,DONOVAN",1
--,"REBOUND DEF by RASH,BRANDON",,,,,,,"REBOUND DEF by RASH,BRANDON",1
17:06,"TURNOVER  by SPURLIN,ETHAN",,,,,,,"TURNOVER  by SPURLIN,ETHAN",1
17:05,,,,,"STEAL  by WHITESIDE,DONOVAN",,,"STEAL  by WHITESIDE,DONOVAN",1
16:58,,,,,"MISS LAYUP by WHITESIDE,DONOVAN",,,"MISS LAYUP by WHITESIDE,DONOVAN",1
--,"REBOUND DEF by FUDGE,NICK",,,,,,,"REBOUND DEF by FUDGE,NICK",1
16:49,"MISS 3PTR by STANSBERRY,PARKER",,,,,,,"MISS 3PTR by STANSBERRY,PARKER",1
--,"REBOUND OFF by SPURLIN,ETHAN",,,,,,,"REBOUND OFF by SPURLIN,ETHAN",1
16:44,,,,,"FOUL  by WESLEY,TYLER",,,"FOUL  by WESLEY,TYLER",1
16:44,,,,,"SUB IN by SCINTA,BLAKE",,,"SUB IN by SCINTA,BLAKE",1
16:44,,,,,"SUB OUT by WHITESIDE,DONOVAN",,,"SUB OUT by WHITESIDE,DONOVAN",1
16:42,"MISS 3PTR by MEYER,BARRETT",,,,,,,"MISS 3PTR by MEYER,BARRETT",1
--,"REBOUND OFF by SPURLIN,ETHAN",,,,,,,"REBOUND OFF by SPURLIN,ETHAN",1
16:37,"TURNOVER  by SPURLIN,ETHAN",,,,,,,"TURNOVER  by SPURLIN,ETHAN",1
16:36,,,,,"STEAL  by KARSNER,JOSH",,,"STEAL  by KARSNER,JOSH",1
16:32,,5,,7 (+2),"GOOD LAYUP by SCINTA,BLAKE(in the paint)",CENTRE_M 5-7 (+2),,"GOOD LAYUP by SCINTA,BLAKE(in the paint)",1
--,,,,,"ASSIST  by TAYLOR,CHRIS",,,"ASSIST  by TAYLOR,CHRIS",1
16:17,"MISS JUMPER by SPURLIN,ETHAN",,,,,,,"MISS JUMPER by SPURLIN,ETHAN",1
--,,,,,"REBOUND DEF by TAYLOR,CHRIS",,,"REBOUND DEF by TAYLOR,CHRIS",1
16:07,,,,,"MISS JUMPER by TAYLOR,CHRIS",,,"MISS JUMPER by TAYLOR,CHRIS",1
--,"REBOUND DEF by RASH,BRANDON",,,,,,,"REBOUND DEF by RASH,BRANDON",1
16:00,"GOOD JUMPER by MEYER,BARRETT",7,,7,,TRANSY 7-7 (0),,"GOOD JUMPER by MEYER,BARRETT",1
16:00,,,,,"FOUL  by ELLIS,BRYON",,,"FOUL  by ELLIS,BRYON",1
16:00,"MISS FT by MEYER,BARRETT",,,,,,,"MISS FT by MEYER,BARRETT",1
--,,,,,"REBOUND DEF by KARSNER,JOSH",,,"REBOUND DEF by KARSNER,JOSH",1
16:00,"SUB IN by BOTKIN,TAYLOR",,,,,,,"SUB IN by BOTKIN,TAYLOR",1
16:00,"SUB OUT by SPURLIN,ETHAN",,,,,,,"SUB OUT by SPURLIN,ETHAN",1
15:36,"FOUL  by RASH,BRANDON",,,,,,,"FOUL  by RASH,BRANDON",1
15:31,,,,,"MISS 3PTR by ELLIS,BRYON",,,"MISS 3PTR by ELLIS,BRYON",1
--,"REBOUND DEF by FUDGE,NICK",,,,,,,"REBOUND DEF by FUDGE,NICK",1
15:07,"GOOD 3PTR by STANSBERRY,PARKER",10 (+3),,7,,TRANSY 10-7 (-3),,"GOOD 3PTR by STANSBERRY,PARKER",1
--,"ASSIST  by FUDGE,NICK",,,,,,,"ASSIST  by FUDGE,NICK",1
14:40,,,,,"MISS 3PTR by ELLIS,BRYON",,,"MISS 3PTR by ELLIS,BRYON",1
--,"REBOUND DEF by FUDGE,NICK",,,,,,,"REBOUND DEF by FUDGE,NICK",1
