Time Remaining,CENTRE_M,Away Team Score,Play Team Indicator,Home Team Score,HC,Game Score,Team Indicator,Play,Period
19:42,"MISS 3PTR by KARSNER,JOSH",,,,,,,"MISS 3PTR by KARSNER,JOSH",1
--,,,,,"REBOUND DEF by RILEY,JAREN",,,"REBOUND DEF by RILEY,JAREN",1
19:25,"FOUL  by WESLEY,TYLER",,,,,,,"FOUL  by WESLEY,TYLER",1
19:25,,0,,1 (+1),"GOOD FT by PRIMM,COLTON",HC 0-1 (-1),,"GOOD FT by PRIMM,COLTON",1
19:25,,0,,2 (+2),"GOOD FT by PRIMM,COLTON",HC 0-2 (-2),,"GOOD FT by PRIMM,COLTON",1
18:49,"GOOD LAYUP by TAYLOR,CHRIS(in the paint)",2,,2,,CENTRE_M 2-2 (0),,"GOOD LAYUP by TAYLOR,CHRIS(in the paint)",1
18:33,,2,,4 (+2),"GOOD LAYUP by PRIMM,COLTON(in the paint)",HC 2-4 (-2),,"GOOD LAYUP by PRIMM,COLTON(in the paint)",1
18:17,"MISS LAYUP by SCINTA,BLAKE",,,,,,,"MISS LAYUP by SCINTA,BLAKE",1
--,,,,,"REBOUND DEF by TAULTON,JORDAN",,,"REBOUND DEF by TAULTON,JORDAN",1
18:07,,2,,7 (+5),"GOOD 3PTR by TAULTON,JORDAN",HC 2-7 (-5),,"GOOD 3PTR by TAULTON,JORDAN",1
--,,,,,"ASSIST  by PRIMM,COLTON",,,"ASSIST  by PRIMM,COLTON",1
17:49,,,,,"FOUL  by RILEY,JAREN",,,"FOUL  by RILEY,JAREN",1
17:44,"TURNOVER  by ELLIS,BRYON",,,,,,,"TURNOVER  by ELLIS,BRYON",1
17:42,,,,,"STEAL  by RILEY,JAREN",,,"STEAL  by RILEY,JAREN",1
17:40,,2,,9 (+7),"GOOD LAYUP by RILEY,JAREN(fastbreak)(in the paint)",HC 2-9 (-7),,"GOOD LAYUP by RILEY,JAREN(fastbreak)(in the paint)",1
17:36,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
17:36,,,,,"SUB IN by PRIMM,COLTON",,,"SUB IN by PRIMM,COLTON",1
17:36,,,,,"SUB OUT by SHERIDAN,DAYTON",,,"SUB OUT by SHERIDAN,DAYTON",1
17:05,"MISS LAYUP by SCINTA,BLAKE",,,,,,,"MISS LAYUP by SCINTA,BLAKE",1
--,"REBOUND OFF by WESLEY,TYLER",,,,,,,"REBOUND OFF by WESLEY,TYLER",1
17:02,,,,,"FOUL  by VANCE,LUKE",,,"FOUL  by VANCE,LUKE",1
17:02,"MISS FT by WESLEY,TYLER",,,,,,,"MISS FT by WESLEY,TYLER",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
17:02,"GOOD FT by WESLEY,TYLER",3,,9 (+6),,CENTRE_M 3-9 (-6),,"GOOD FT by WESLEY,TYLER",1
17:02,"SUB IN by WHITESIDE,DONOVAN",,,,,,,"SUB IN by WHITESIDE,DONOVAN",1
17:02,"SUB OUT by KARSNER,JOSH",,,,,,,"SUB OUT by KARSNER,JOSH",1
16:47,,,,,"MISS 3PTR by RILEY,JAREN",,,"MISS 3PTR by RILEY,JAREN",1
--,,,,,"REBOUND OFF by RILEY,JAREN",,,"REBOUND OFF by RILEY,JAREN",1
16:39,,,,,"TURNOVER  by PRIMM,COLTON",,,"TURNOVER  by PRIMM,COLTON",1
16:37,"STEAL  by WESLEY,TYLER",,,,,,,"STEAL  by WESLEY,TYLER",1
16:28,"GOOD LAYUP by WESLEY,TYLER(in the paint)",5,,9 (+4),,CENTRE_M 5-9 (-4),,"GOOD LAYUP by WESLEY,TYLER(in the paint)",1
16:11,"FOUL  by SCINTA,BLAKE",,,,,,,"FOUL  by SCINTA,BLAKE",1
16:11,,,,,"MISS FT by VANCE,LUKE",,,"MISS FT by VANCE,LUKE",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
16:11,,5,,10 (+5),"GOOD FT by VANCE,LUKE",HC 5-10 (-5),,"GOOD FT by VANCE,LUKE",1
15:46,"GOOD LAYUP by SCINTA,BLAKE(in the paint)",7,,10 (+3),,CENTRE_M 7-10 (-3),,"GOOD LAYUP by SCINTA,BLAKE(in the paint)",1
15:26,"SUB IN by HERTZEL,HOLDEN",,,,,,,"SUB IN by HERTZEL,HOLDEN",1
15:26,"SUB IN by GRIGGS,MATT",,,,,,,"SUB IN by GRIGGS,MATT",1
15:26,"SUB OUT by WESLEY,TYLER",,,,,,,"SUB OUT by WESLEY,TYLER",1
15:26,"SUB OUT by TAYLOR,CHRIS",,,,,,,"SUB OUT by TAYLOR,CHRIS",1
15:13,,,,,"MISS JUMPER by VANCE,LUKE",,,"MISS JUMPER by VANCE,LUKE",1
--,"REBOUND DEF by WHITESIDE,DONOVAN",,,,,,,"REBOUND DEF by WHITESIDE,DONOVAN",1
15:05,"TURNOVER  by WHITESIDE,DONOVAN",,,,,,,"TURNOVER  by WHITESIDE,DONOVAN",1
15:02,,,,,"STEAL  by TAULTON,JORDAN",,,"STEAL  by TAULTON,JORDAN",1
14:43,,,,,"TURNOVER  by GRAM,ANDY",,,"TURNOVER  by GRAM,ANDY",1
14:42,"STEAL  by WHITESIDE,DONOVAN",,,,,,,"STEAL  by WHITESIDE,DONOVAN",1
14:39,"GOOD LAYUP by ELLIS,BRYON(fastbreak)(in the paint)",9,,10 (+1),,CENTRE_M 9-10 (-1),,"GOOD LAYUP by ELLIS,BRYON(fastbreak)(in the paint)",1
--,"ASSIST  by WHITESIDE,DONOVAN",,,,,,,"ASSIST  by WHITESIDE,DONOVAN",1
14:17,,,,,"TURNOVER  by VANCE,LUKE",,,"TURNOVER  by VANCE,LUKE",1
14:17,"SUB IN by KARSNER,JOSH",,,,,,,"SUB IN by KARSNER,JOSH",1
14:17,"SUB IN by LOPEZ,COLLIN",,,,,,,"SUB IN by LOPEZ,COLLIN",1
14:17,"SUB OUT by SCINTA,BLAKE",,,,,,,"SUB OUT by SCINTA,BLAKE",1
14:17,"SUB OUT by ELLIS,BRYON",,,,,,,"SUB OUT by ELLIS,BRYON",1
14:17,,,,,"SUB IN by NIKOLOVSKI,DREW",,,"SUB IN by NIKOLOVSKI,DREW",1
14:17,,,,,"SUB IN by CONARD,ALEC",,,"SUB IN by CONARD,ALEC",1
14:17,,,,,"SUB OUT by GRAM,ANDY",,,"SUB OUT by GRAM,ANDY",1
14:17,,,,,"SUB OUT by VANCE,LUKE",,,"SUB OUT by VANCE,LUKE",1
14:02,,,,,"FOUL  by TAULTON,JORDAN",,,"FOUL  by TAULTON,JORDAN",1
13:56,,,,,"SUB IN by BARRETT,JORDAN",,,"SUB IN by BARRETT,JORDAN",1
13:56,,,,,"SUB OUT by TAULTON,JORDAN",,,"SUB OUT by TAULTON,JORDAN",1
13:42,"MISS LAYUP by WHITESIDE,DONOVAN",,,,,,,"MISS LAYUP by WHITESIDE,DONOVAN",1
--,,,,,"REBOUND DEF by NIKOLOVSKI,DREW",,,"REBOUND DEF by NIKOLOVSKI,DREW",1
13:28,,9,,13 (+4),"GOOD 3PTR by RILEY,JAREN",HC 9-13 (-4),,"GOOD 3PTR by RILEY,JAREN",1
