Time Remaining,BSC,Away Team Score,Play Team Indicator,Home Team Score,CENTRE_M,Game Score,Team Indicator,Play,Period
12:38,"SUB IN by THOMAS,LARRY",,,,,,,"SUB IN by THOMAS,LARRY",1
12:38,"SUB IN by KEGARISE,KEVIN",,,,,,,"SUB IN by KEGARISE,KEVIN",1
12:38,"SUB OUT by WELCH,ROSS",,,,,,,"SUB OUT by WELCH,ROSS",1
12:38,"SUB OUT by HOLLAND,JASON",,,,,,,"SUB OUT by HOLLAND,JASON",1
12:38,,,,,"SUB IN by ELLIS,BRYON",,,"SUB IN by ELLIS,BRYON",1
12:38,,,,,"SUB OUT by LOPEZ,COLLIN",,,"SUB OUT by LOPEZ,COLLIN",1
12:29,,,,,"MISS 3PTR by GRIGGS,MATT",,,"MISS 3PTR by GRIGGS,MATT",1
--,,,,,"REBOUND OFF by WHITESIDE,DONOVAN",,,"REBOUND OFF by WHITESIDE,DONOVAN",1
12:09,,,,,"MISS LAYUP by KARSNER,JOSH",,,"MISS LAYUP by KARSNER,JOSH",1
--,"REBOUND DEF by AVERY,ALEX",,,,,,,"REBOUND DEF by AVERY,ALEX",1
11:56,"GOOD LAYUP by FREEMAN,SCHYLAR(in the paint)",6 (+1),,5,,BSC 6-5 (-1),,"GOOD LAYUP by FREEMAN,SCHYLAR(in the paint)",1
11:45,,6,,7 (+1),"GOOD LAYUP by HERTZEL,HOLDEN(in the paint)",CENTRE_M 6-7 (+1),,"GOOD LAYUP by HERTZEL,HOLDEN(in the paint)",1
--,,,,,"ASSIST  by WHITESIDE,DONOVAN",,,"ASSIST  by WHITESIDE,DONOVAN",1
11:32,"GOOD LAYUP by AVERY,ALEX(in the paint)",8 (+1),,7,,BSC 8-7 (-1),,"GOOD LAYUP by AVERY,ALEX(in the paint)",1
--,"ASSIST  by FREEMAN,SCHYLAR",,,,,,,"ASSIST  by FREEMAN,SCHYLAR",1
11:06,,,,,"MISS 3PTR by KARSNER,JOSH",,,"MISS 3PTR by KARSNER,JOSH",1
--,"REBOUND DEF by KEGARISE,KEVIN",,,,,,,"REBOUND DEF by KEGARISE,KEVIN",1
10:53,"MISS JUMPER by THOMAS,LARRY",,,,,,,"MISS JUMPER by THOMAS,LARRY",1
--,,,,,"REBOUND DEF by HERTZEL,HOLDEN",,,"REBOUND DEF by HERTZEL,HOLDEN",1
10:46,"FOUL  by THOMAS,LARRY",,,,,,,"FOUL  by THOMAS,LARRY",1
10:46,"SUB IN by WHITE,BLAISE",,,,,,,"SUB IN by WHITE,BLAISE",1
10:46,"SUB IN by SCHAMP,GRIFFIN",,,,,,,"SUB IN by SCHAMP,GRIFFIN",1
10:46,"SUB IN by RICHARDS,ZAC",,,,,,,"SUB IN by RICHARDS,ZAC",1
10:46,"SUB OUT by ASSINESI,KELLY",,,,,,,"SUB OUT by ASSINESI,KELLY",1
10:46,"SUB OUT by FREEMAN,SCHYLAR",,,,,,,"SUB OUT by FREEMAN,SCHYLAR",1
10:46,"SUB OUT by AVERY,ALEX",,,,,,,"SUB OUT by AVERY,ALEX",1
10:46,,,,,"SUB IN by SCINTA,BLAKE",,,"SUB IN by SCINTA,BLAKE",1
10:46,,,,,"SUB IN by WESLEY,TYLER",,,"SUB IN by WESLEY,TYLER",1
10:46,,,,,"SUB IN by TAYLOR,CHRIS",,,"SUB IN by TAYLOR,CHRIS",1
10:46,,,,,"SUB OUT by GRIGGS,MATT",,,"SUB OUT by GRIGGS,MATT",1
10:46,,,,,"SUB OUT by HERTZEL,HOLDEN",,,"SUB OUT by HERTZEL,HOLDEN",1
10:46,,,,,"SUB OUT by WHITESIDE,DONOVAN",,,"SUB OUT by WHITESIDE,DONOVAN",1
10:32,,,,,"MISS LAYUP by SCINTA,BLAKE",,,"MISS LAYUP by SCINTA,BLAKE",1
--,"REBOUND DEF by WHITE,BLAISE",,,,,,,"REBOUND DEF by WHITE,BLAISE",1
10:23,"GOOD 3PTR by KEGARISE,KEVIN",11 (+4),,7,,BSC 11-7 (-4),,"GOOD 3PTR by KEGARISE,KEVIN",1
--,"ASSIST  by WHITE,BLAISE",,,,,,,"ASSIST  by WHITE,BLAISE",1
10:19,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,1
10:15,,,,,"TURNOVER  by KARSNER,JOSH",,,"TURNOVER  by KARSNER,JOSH",1
10:14,"STEAL  by WHITE,BLAISE",,,,,,,"STEAL  by WHITE,BLAISE",1
09:49,"MISS LAYUP by SCHAMP,GRIFFIN",,,,,,,"MISS LAYUP by SCHAMP,GRIFFIN",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
09:47,"FOUL  by RICHARDS,ZAC",,,,,,,"FOUL  by RICHARDS,ZAC",1
09:47,,,,,"MISS FT by WESLEY,TYLER",,,"MISS FT by WESLEY,TYLER",1
--,"REBOUND DEF by WHITE,BLAISE",,,,,,,"REBOUND DEF by WHITE,BLAISE",1
09:47,"SUB IN by FREEMAN,SCHYLAR",,,,,,,"SUB IN by FREEMAN,SCHYLAR",1
09:47,"SUB OUT by RICHARDS,ZAC",,,,,,,"SUB OUT by RICHARDS,ZAC",1
09:47,,,,,"SUB IN by WHITESIDE,DONOVAN",,,"SUB IN by WHITESIDE,DONOVAN",1
09:47,,,,,"SUB OUT by KARSNER,JOSH",,,"SUB OUT by KARSNER,JOSH",1
09:12,"MISS 3PTR by WHITE,BLAISE",,,,,,,"MISS 3PTR by WHITE,BLAISE",1
--,,,,,"REBOUND DEF by WESLEY,TYLER",,,"REBOUND DEF by WESLEY,TYLER",1
08:54,,11 (+1),,10,"GOOD 3PTR by ELLIS,BRYON",CENTRE_M 11-10 (-1),,"GOOD 3PTR by ELLIS,BRYON",1
--,,,,,"ASSIST  by WHITESIDE,DONOVAN",,,"ASSIST  by WHITESIDE,DONOVAN",1
08:25,"MISS 3PTR by THOMAS,LARRY",,,,,,,"MISS 3PTR by THOMAS,LARRY",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
08:08,"FOUL  by WHITE,BLAISE",,,,,,,"FOUL  by WHITE,BLAISE",1
08:08,,11,,11,"GOOD FT by SCINTA,BLAKE",CENTRE_M 11-11 (0),,"GOOD FT by SCINTA,BLAKE",1
08:08,,11,,12 (+1),"GOOD FT by SCINTA,BLAKE",CENTRE_M 11-12 (+1),,"GOOD FT by SCINTA,BLAKE",1
08:08,"SUB IN by ASSINESI,KELLY",,,,,,,"SUB IN by ASSINESI,KELLY",1
08:08,"SUB OUT by WHITE,BLAISE",,,,,,,"SUB OUT by WHITE,BLAISE",1
07:55,"TURNOVER  by KEGARISE,KEVIN",,,,,,,"TURNOVER  by KEGARISE,KEVIN",1
07:53,,,,,"STEAL  by SCINTA,BLAKE",,,"STEAL  by SCINTA,BLAKE",1
07:39,,11,,15 (+4),"GOOD 3PTR by ELLIS,BRYON",CENTRE_M 11-15 (+4),,"GOOD 3PTR by ELLIS,BRYON",1
--,,,,,"ASSIST  by TAYLOR,CHRIS",,,"ASSIST  by TAYLOR,CHRIS",1
07:22,"MISS 3PTR by SCHAMP,GRIFFIN",,,,,,,"MISS 3PTR by SCHAMP,GRIFFIN",1
--,,,,,"REBOUND DEF by WHITESIDE,DONOVAN",,,"REBOUND DEF by WHITESIDE,DONOVAN",1
07:20,"MISS 3PTR by KEGARISE,KEVIN",,,,,,,"MISS 3PTR by KEGARISE,KEVIN",1
--,"REBOUND OFF by THOMAS,LARRY",,,,,,,"REBOUND OFF by THOMAS,LARRY",1
07:17,,,,,"MISS LAYUP by SCINTA,BLAKE",,,"MISS LAYUP by SCINTA,BLAKE",1
07:17,"BLOCK  by SCHAMP,GRIFFIN",,,,,,,"BLOCK  by SCHAMP,GRIFFIN",1
07:15,"GOOD JUMPER by THOMAS,LARRY",13,,15 (+2),,BSC 13-15 (+2),,"GOOD JUMPER by THOMAS,LARRY",1
--,"REBOUND DEF by KEGARISE,KEVIN",,,,,,,"REBOUND DEF by KEGARISE,KEVIN",1
06:38,"MISS 3PTR by KEGARISE,KEVIN",,,,,,,"MISS 3PTR by KEGARISE,KEVIN",1
--,,,,,"REBOUND DEF by WHITESIDE,DONOVAN",,,"REBOUND DEF by WHITESIDE,DONOVAN",1
06:34,,13,,17 (+4),"GOOD JUMPER by KARSNER,JOSH",CENTRE_M 13-17 (+4),,"GOOD JUMPER by KARSNER,JOSH",1
06:28,,,,,"FOUL  by KARSNER,JOSH",,,"FOUL  by KARSNER,JOSH",1
06:07,,,,,"FOUL  by LOPEZ,COLLIN",,,"FOUL  by LOPEZ,COLLIN",1
06:07,"MISS FT by SCHAMP,GRIFFIN",,,,,,,"MISS FT by SCHAMP,GRIFFIN",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
06:07,"GOOD FT by SCHAMP,GRIFFIN",14,,17 (+3),,BSC 14-17 (+3),,"GOOD FT by SCHAMP,GRIFFIN",1
06:07,"SUB IN by AVERY,ALEX",,,,,,,"SUB IN by AVERY,ALEX",1
06:07,"SUB IN by HOLLAND,JASON",,,,,,,"SUB IN by HOLLAND,JASON",1
06:07,"SUB OUT by FREEMAN,SCHYLAR",,,,,,,"SUB OUT by FREEMAN,SCHYLAR",1
06:07,"SUB OUT by KEGARISE,KEVIN",,,,,,,"SUB OUT by KEGARISE,KEVIN",1
06:07,,,,,"SUB IN by LOPEZ,COLLIN",,,"SUB IN by LOPEZ,COLLIN",1
06:07,,,,,"SUB IN by GRIGGS,MATT",,,"SUB IN by GRIGGS,MATT",1
06:07,,,,,"SUB IN by HERTZEL,HOLDEN",,,"SUB IN by HERTZEL,HOLDEN",1
06:07,,,,,"SUB IN by KARSNER,JOSH",,,"SUB IN by KARSNER,JOSH",1
06:07,,,,,"SUB OUT by SCINTA,BLAKE",,,"SUB OUT by SCINTA,BLAKE",1
06:07,,,,,"SUB OUT by WHITESIDE,DONOVAN",,,"SUB OUT by WHITESIDE,DONOVAN",1
06:07,,,,,"SUB OUT by WESLEY,TYLER",,,"SUB OUT by WESLEY,TYLER",1
06:07,,,,,"SUB OUT by TAYLOR,CHRIS",,,"SUB OUT by TAYLOR,CHRIS",1
05:43,,,,,"MISS LAYUP by LOPEZ,COLLIN",,,"MISS LAYUP by LOPEZ,COLLIN",1
--,"REBOUND DEF by THOMAS,LARRY",,,,,,,"REBOUND DEF by THOMAS,LARRY",1
05:34,"MISS 3PTR by HOLLAND,JASON",,,,,,,"MISS 3PTR by HOLLAND,JASON",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
05:30,"SUB IN by MARSCHNER,BRENDAN",,,,,,,"SUB IN by MARSCHNER,BRENDAN",1
05:30,"SUB OUT by SCHAMP,GRIFFIN",,,,,,,"SUB OUT by SCHAMP,GRIFFIN",1
05:30,,,,,"SUB IN by WHITESIDE,DONOVAN",,,"SUB IN by WHITESIDE,DONOVAN",1
05:30,,,,,"SUB OUT by LOPEZ,COLLIN",,,"SUB OUT by LOPEZ,COLLIN",1
05:24,"FOUL  by MARSCHNER,BRENDAN",,,,,,,"FOUL  by MARSCHNER,BRENDAN",1
05:24,,14,,18 (+4),"GOOD FT by HERTZEL,HOLDEN",CENTRE_M 14-18 (+4),,"GOOD FT by HERTZEL,HOLDEN",1
05:24,,,,,"MISS FT by HERTZEL,HOLDEN",,,"MISS FT by HERTZEL,HOLDEN",1
--,"REBOUND DEF by MARSCHNER,BRENDAN",,,,,,,"REBOUND DEF by MARSCHNER,BRENDAN",1
05:24,"GOOD LAYUP by THOMAS,LARRY(in the paint)",16,,18 (+2),,BSC 16-18 (+2),,"GOOD LAYUP by THOMAS,LARRY(in the paint)",1
05:24,,,,,"FOUL  by HERTZEL,HOLDEN",,,"FOUL  by HERTZEL,HOLDEN",1
05:24,"GOOD FT by THOMAS,LARRY",17,,18 (+1),,BSC 17-18 (+1),,"GOOD FT by THOMAS,LARRY",1
05:18,"SUB IN by WELCH,ROSS",,,,,,,"SUB IN by WELCH,ROSS",1
05:18,"SUB OUT by THOMAS,LARRY",,,,,,,"SUB OUT by THOMAS,LARRY",1
04:59,,17,,20 (+3),"GOOD LAYUP by WESLEY,TYLER(in the paint)",CENTRE_M 17-20 (+3),,"GOOD LAYUP by WESLEY,TYLER(in the paint)",1
--,,,,,"ASSIST  by WHITESIDE,DONOVAN",,,"ASSIST  by WHITESIDE,DONOVAN",1
04:20,,,,,"FOUL  by SCINTA,BLAKE",,,"FOUL  by SCINTA,BLAKE",1
04:20,"MISS FT by MARSCHNER,BRENDAN",,,,,,,"MISS FT by MARSCHNER,BRENDAN",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
04:20,"GOOD FT by MARSCHNER,BRENDAN",18,,20 (+2),,BSC 18-20 (+2),,"GOOD FT by MARSCHNER,BRENDAN",1
04:20,,,,,"SUB IN by SCINTA,BLAKE",,,"SUB IN by SCINTA,BLAKE",1
04:20,,,,,"SUB IN by TAYLOR,CHRIS",,,"SUB IN by TAYLOR,CHRIS",1
04:20,,,,,"SUB OUT by GRIGGS,MATT",,,"SUB OUT by GRIGGS,MATT",1
04:20,,,,,"SUB OUT by KARSNER,JOSH",,,"SUB OUT by KARSNER,JOSH",1
04:02,,18,,22 (+4),"GOOD LAYUP by TAYLOR,CHRIS(in the paint)",CENTRE_M 18-22 (+4),,"GOOD LAYUP by TAYLOR,CHRIS(in the paint)",1
03:43,"MISS LAYUP by MARSCHNER,BRENDAN",,,,,,,"MISS LAYUP by MARSCHNER,BRENDAN",1
03:43,,,,,"BLOCK  by WESLEY,TYLER",,,"BLOCK  by WESLEY,TYLER",1
--,,,,,"REBOUND DEF by KARSNER,JOSH",,,"REBOUND DEF by KARSNER,JOSH",1
03:40,,18,,24 (+6),"GOOD JUMPER by TAYLOR,CHRIS",CENTRE_M 18-24 (+6),,"GOOD JUMPER by TAYLOR,CHRIS",1
03:29,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,1
03:17,"GOOD LAYUP by THOMAS,LARRY(in the paint)",20,,24 (+4),,BSC 20-24 (+4),,"GOOD LAYUP by THOMAS,LARRY(in the paint)",1
03:09,"SUB IN by KEGARISE,KEVIN",,,,,,,"SUB IN by KEGARISE,KEVIN",1
03:09,"SUB OUT by WELCH,ROSS",,,,,,,"SUB OUT by WELCH,ROSS",1
03:04,,,,,"MISS JUMPER by TAYLOR,CHRIS",,,"MISS JUMPER by TAYLOR,CHRIS",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
03:00,"SUB IN by THOMAS,LARRY",,,,,,,"SUB IN by THOMAS,LARRY",1
03:00,"SUB IN by SCHAMP,GRIFFIN",,,,,,,"SUB IN by SCHAMP,GRIFFIN",1
03:00,"SUB OUT by MARSCHNER,BRENDAN",,,,,,,"SUB OUT by MARSCHNER,BRENDAN",1
03:00,"SUB OUT by ASSINESI,KELLY",,,,,,,"SUB OUT by ASSINESI,KELLY",1
03:00,,,,,"SUB IN by WESLEY,TYLER",,,"SUB IN by WESLEY,TYLER",1
03:00,,,,,"SUB IN by KARSNER,JOSH",,,"SUB IN by KARSNER,JOSH",1
03:00,,,,,"SUB OUT by SCINTA,BLAKE",,,"SUB OUT by SCINTA,BLAKE",1
03:00,,,,,"SUB OUT by HERTZEL,HOLDEN",,,"SUB OUT by HERTZEL,HOLDEN",1
02:52,,,,,"TURNOVER  by TAYLOR,CHRIS",,,"TURNOVER  by TAYLOR,CHRIS",1
02:50,"STEAL  by THOMAS,LARRY",,,,,,,"STEAL  by THOMAS,LARRY",1
02:50,,,,,"FOUL  by TAYLOR,CHRIS",,,"FOUL  by TAYLOR,CHRIS",1
02:23,,,,,"FOUL  by KARSNER,JOSH",,,"FOUL  by KARSNER,JOSH",1
02:21,"GOOD FT by SCHAMP,GRIFFIN",21,,24 (+3),,BSC 21-24 (+3),,"GOOD FT by SCHAMP,GRIFFIN",1
02:21,"GOOD FT by SCHAMP,GRIFFIN",22,,24 (+2),,BSC 22-24 (+2),,"GOOD FT by SCHAMP,GRIFFIN",1
02:21,,,,,"SUB IN by HERTZEL,HOLDEN",,,"SUB IN by HERTZEL,HOLDEN",1
02:21,,,,,"SUB OUT by WESLEY,TYLER",,,"SUB OUT by WESLEY,TYLER",1
02:12,,,,,"TURNOVER  by ELLIS,BRYON",,,"TURNOVER  by ELLIS,BRYON",1
02:12,,,,,"SUB IN by SCINTA,BLAKE",,,"SUB IN by SCINTA,BLAKE",1
02:12,,,,,"SUB IN by WESLEY,TYLER",,,"SUB IN by WESLEY,TYLER",1
02:12,,,,,"SUB OUT by HERTZEL,HOLDEN",,,"SUB OUT by HERTZEL,HOLDEN",1
02:12,,,,,"SUB OUT by KARSNER,JOSH",,,"SUB OUT by KARSNER,JOSH",1
02:08,"GOOD JUMPER by THOMAS,LARRY",24,,24,,BSC 24-24 (0),,"GOOD JUMPER by THOMAS,LARRY",1
01:54,,,,,"MISS LAYUP by WHITESIDE,DONOVAN",,,"MISS LAYUP by WHITESIDE,DONOVAN",1
--,"REBOUND DEF by KEGARISE,KEVIN",,,,,,,"REBOUND DEF by KEGARISE,KEVIN",1
01:27,"MISS JUMPER by THOMAS,LARRY",,,,,,,"MISS JUMPER by THOMAS,LARRY",1
--,,,,,"REBOUND DEF by WESLEY,TYLER",,,"REBOUND DEF by WESLEY,TYLER",1
00:52,,,,,"MISS LAYUP by SCINTA,BLAKE",,,"MISS LAYUP by SCINTA,BLAKE",1
00:52,"BLOCK  by SCHAMP,GRIFFIN",,,,,,,"BLOCK  by SCHAMP,GRIFFIN",1
--,"REBOUND DEF by THOMAS,LARRY",,,,,,,"REBOUND DEF by THOMAS,LARRY",1
00:46,"GOOD 3PTR by KEGARISE,KEVIN",27 (+3),,24,,BSC 27-24 (-3),,"GOOD 3PTR by KEGARISE,KEVIN",1
--,"ASSIST  by THOMAS,LARRY",,,,,,,"ASSIST  by THOMAS,LARRY",1
00:33,,27 (+1),,26,"GOOD LAYUP by SCINTA,BLAKE(in the paint)",CENTRE_M 27-26 (-1),,"GOOD LAYUP by SCINTA,BLAKE(in the paint)",1
--,"ASSIST  by SCHAMP,GRIFFIN",,,,,,,"ASSIST  by SCHAMP,GRIFFIN",1
00:33,,27,,27,"GOOD FT by SCINTA,BLAKE",CENTRE_M 27-27 (0),,"GOOD FT by SCINTA,BLAKE",1
00:33,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,1
00:33,,,,,"SUB IN by GRIGGS,MATT",,,"SUB IN by GRIGGS,MATT",1
00:33,,,,,"SUB IN by NEWSOME,TAYLOR",,,"SUB IN by NEWSOME,TAYLOR",1
00:33,,,,,"SUB OUT by SCINTA,BLAKE",,,"SUB OUT by SCINTA,BLAKE",1
00:33,,,,,"SUB OUT by WHITESIDE,DONOVAN",,,"SUB OUT by WHITESIDE,DONOVAN",1
00:05,,,,,"FOUL  by ELLIS,BRYON",,,"FOUL  by ELLIS,BRYON",1
00:05,"GOOD FT by THOMAS,LARRY",28 (+1),,27,,BSC 28-27 (-1),,"GOOD FT by THOMAS,LARRY",1
00:05,"GOOD FT by THOMAS,LARRY",29 (+2),,27,,BSC 29-27 (-2),,"GOOD FT by THOMAS,LARRY",1
00:05,"SUB IN by FREEMAN,SCHYLAR",,,,,,,"SUB IN by FREEMAN,SCHYLAR",1
00:05,"SUB IN by ASSINESI,KELLY",,,,,,,"SUB IN by ASSINESI,KELLY",1
00:05,"SUB IN by PLAYER,MATT",,,,,,,"SUB IN by PLAYER,MATT",1
00:05,"SUB OUT by KEGARISE,KEVIN",,,,,,,"SUB OUT by KEGARISE,KEVIN",1
00:05,"SUB OUT by AVERY,ALEX",,,,,,,"SUB OUT by AVERY,ALEX",1
00:05,"SUB OUT by SCHAMP,GRIFFIN",,,,,,,"SUB OUT by SCHAMP,GRIFFIN",1
