Time Remaining,CENTRE_M,Away Team Score,Play Team Indicator,Home Team Score,MVCM,Game Score,Team Indicator,Play,Period
19:41,"GOOD 3PTR by KARSNER,JOSH",3 (+3),,0,,CENTRE_M 3-0 (+3),,"GOOD 3PTR by KARSNER,JOSH",1
--,"ASSIST  by WESLEY,TYLER",,,,,,,"ASSIST  by WESLEY,TYLER",1
19:18,,,,,"MISS LAYUP by BODEWIG,JOEY",,,"MISS LAYUP by BODEWIG,JOEY",1
--,"REBOUND DEF by WESLEY,TYLER",,,,,,,"REBOUND DEF by WESLEY,TYLER",1
19:02,"TURNOVER  by KARSNER,JOSH",,,,,,,"TURNOVER  by KARSNER,JOSH",1
18:47,,,,,"MISS JUMPER by AGOSTO,JOSE",,,"MISS JUMPER by AGOSTO,JOSE",1
--,,,,,"REBOUND OFF by AGOSTO,JOSE",,,"REBOUND OFF by AGOSTO,JOSE",1
18:41,,3 (+1),,2,"GOOD LAYUP by BODEWIG,JOEY(in the paint)",MVCM 3-2 (+1),,"GOOD LAYUP by BODEWIG,JOEY(in the paint)",1
18:41,"FOUL  by WHITESIDE,DONOVAN",,,,,,,"FOUL  by WHITESIDE,DONOVAN",1
18:41,,3,,3,"GOOD FT by BODEWIG,JOEY",MVCM 3-3 (0),,"GOOD FT by BODEWIG,JOEY",1
18:28,"MISS 3PTR by ELLIS,BRYON",,,,,,,"MISS 3PTR by ELLIS,BRYON",1
--,,,,,"REBOUND DEF by FORD,CHRISTIAN",,,"REBOUND DEF by FORD,CHRISTIAN",1
18:15,,,,,"MISS JUMPER by AGOSTO,JOSE",,,"MISS JUMPER by AGOSTO,JOSE",1
--,"REBOUND DEF by KARSNER,JOSH",,,,,,,"REBOUND DEF by KARSNER,JOSH",1
18:05,"MISS JUMPER by WESLEY,TYLER",,,,,,,"MISS JUMPER by WESLEY,TYLER",1
--,,,,,"REBOUND DEF by FORD,CHRISTIAN",,,"REBOUND DEF by FORD,CHRISTIAN",1
17:55,,,,,"MISS JUMPER by FORD,CHRISTIAN",,,"MISS JUMPER by FORD,CHRISTIAN",1
--,"REBOUND DEF by TAYLOR,CHRIS",,,,,,,"REBOUND DEF by TAYLOR,CHRIS",1
