Time Remaining,AU,Away Team Score,Play Team Indicator,Home Team Score,CENTRE_M,Game Score,Team Indicator,Play,Period
16:53,"FOUL  by BAIR,KYLE",,,,,,,"FOUL  by BAIR,KYLE",1
16:28,,,,,"MISS 3PTR by ELLIS,BRYON",,,"MISS 3PTR by ELLIS,BRYON",1
--,,,,,"REBOUND OFF by WESLEY,TYLER",,,"REBOUND OFF by WESLEY,TYLER",1
16:17,,,,,"MISS 3PTR by KARSNER,JOSH",,,"MISS 3PTR by KARSNER,JOSH",1
--,"REBOUND DEF by EUTON,DAKOTAH",,,,,,,"REBOUND DEF by EUTON,DAKOTAH",1
16:09,,,,,"FOUL  by KARSNER,JOSH",,,"FOUL  by KARSNER,JOSH",1
15:53,"MISS JUMPER by FLANNERY,AUSTIN",,,,,,,"MISS JUMPER by FLANNERY,AUSTIN",1
--,,,,,"REBOUND DEF by TAYLOR,CHRIS",,,"REBOUND DEF by TAYLOR,CHRIS",1
15:34,,6,,8 (+2),"GOOD 3PTR by WHITESIDE,DONOVAN",CENTRE_M 6-8 (+2),,"GOOD 3PTR by WHITESIDE,DONOVAN",1
15:17,"GOOD 3PTR by DELPH,ADAM",9 (+1),,8,,AU 9-8 (-1),,"GOOD 3PTR by DELPH,ADAM",1
14:58,,9,,10 (+1),"GOOD JUMPER by TAYLOR,CHRIS",CENTRE_M 9-10 (+1),,"GOOD JUMPER by TAYLOR,CHRIS",1
--,,,,,"ASSIST  by KARSNER,JOSH",,,"ASSIST  by KARSNER,JOSH",1
14:40,,,,,"STEAL  by WHITESIDE,DONOVAN",,,"STEAL  by WHITESIDE,DONOVAN",1
14:38,"TURNOVER  by DELPH,ADAM",,,,,,,"TURNOVER  by DELPH,ADAM",1
14:34,,9,,12 (+3),"GOOD LAYUP by WESLEY,TYLER(in the paint)",CENTRE_M 9-12 (+3),,"GOOD LAYUP by WESLEY,TYLER(in the paint)",1
--,,,,,"ASSIST  by ELLIS,BRYON",,,"ASSIST  by ELLIS,BRYON",1
14:10,"MISS JUMPER by FLANNERY,AUSTIN",,,,,,,"MISS JUMPER by FLANNERY,AUSTIN",1
--,,,,,"REBOUND DEF by WESLEY,TYLER",,,"REBOUND DEF by WESLEY,TYLER",1
14:03,,9,,14 (+5),"GOOD JUMPER by KARSNER,JOSH",CENTRE_M 9-14 (+5),,"GOOD JUMPER by KARSNER,JOSH",1
--,,,,,"ASSIST  by WESLEY,TYLER",,,"ASSIST  by WESLEY,TYLER",1
14:03,"MISS 3PTR by BAIR,KYLE",,,,,,,"MISS 3PTR by BAIR,KYLE",1
--,,,,,"REBOUND DEF by LOPEZ,COLLIN",,,"REBOUND DEF by LOPEZ,COLLIN",1
14:03,,,,,"SUB OUT by WHITESIDE,DONOVAN",,,"SUB OUT by WHITESIDE,DONOVAN",1
14:03,,,,,"SUB OUT by KARSNER,JOSH",,,"SUB OUT by KARSNER,JOSH",1
14:03,,,,,"SUB OUT by TAYLOR,CHRIS",,,"SUB OUT by TAYLOR,CHRIS",1
14:03,,,,,"SUB OUT by ELLIS,BRYON",,,"SUB OUT by ELLIS,BRYON",1
14:03,,,,,"SUB OUT by WESLEY,TYLER",,,"SUB OUT by WESLEY,TYLER",1
14:01,,,,,"MISS LAYUP by LOPEZ,COLLIN",,,"MISS LAYUP by LOPEZ,COLLIN",1
--,"REBOUND DEF by EUTON,DAKOTAH",,,,,,,"REBOUND DEF by EUTON,DAKOTAH",1
13:50,"MISS JUMPER by DELPH,ADAM",,,,,,,"MISS JUMPER by DELPH,ADAM",1
--,,,,,"REBOUND DEF by SCINTA,BLAKE",,,"REBOUND DEF by SCINTA,BLAKE",1
13:38,,,,,"MISS 3PTR by SCINTA,BLAKE",,,"MISS 3PTR by SCINTA,BLAKE",1
--,"REBOUND DEF by JONES,JUSTIN",,,,,,,"REBOUND DEF by JONES,JUSTIN",1
13:38,"GOOD JUMPER by EUTON,DAKOTAH",11,,14 (+3),,AU 11-14 (+3),,"GOOD JUMPER by EUTON,DAKOTAH",1
--,"ASSIST  by DELPH,ADAM",,,,,,,"ASSIST  by DELPH,ADAM",1
13:38,,,,,"SUB IN by SCINTA,BLAKE",,,"SUB IN by SCINTA,BLAKE",1
13:38,,,,,"SUB IN by KARSNER,JOSH",,,"SUB IN by KARSNER,JOSH",1
13:38,,,,,"SUB IN by LOPEZ,COLLIN",,,"SUB IN by LOPEZ,COLLIN",1
13:24,,11,,16 (+5),"GOOD JUMPER by GRIGGS,MATT",CENTRE_M 11-16 (+5),,"GOOD JUMPER by GRIGGS,MATT",1
13:03,"MISS 3PTR by MCLEISH,MITCH",,,,,,,"MISS 3PTR by MCLEISH,MITCH",1
--,,,,,"REBOUND DEF by GRIGGS,MATT",,,"REBOUND DEF by GRIGGS,MATT",1
13:03,,,,,"TURNOVER  by LOPEZ,COLLIN",,,"TURNOVER  by LOPEZ,COLLIN",1
13:03,"STEAL  by JONES,JUSTIN",,,,,,,"STEAL  by JONES,JUSTIN",1
13:03,"SUB IN by MCLEISH,MITCH",,,,,,,"SUB IN by MCLEISH,MITCH",1
13:03,"SUB IN by MORRIS,LEE'VAUGHN",,,,,,,"SUB IN by MORRIS,LEE'VAUGHN",1
13:03,"SUB OUT by EUTON,DAKOTAH",,,,,,,"SUB OUT by EUTON,DAKOTAH",1
13:03,,,,,"SUB IN by GRIGGS,MATT",,,"SUB IN by GRIGGS,MATT",1
13:03,,,,,"SUB IN by NEWSOME,TAYLOR",,,"SUB IN by NEWSOME,TAYLOR",1
13:03,,,,,"SUB IN by ELLIS,BRYON",,,"SUB IN by ELLIS,BRYON",1
13:03,,,,,"SUB OUT by KARSNER,JOSH",,,"SUB OUT by KARSNER,JOSH",1
12:59,"FOUL  by DELPH,ADAM",,,,,,,"FOUL  by DELPH,ADAM",1
12:59,"TURNOVER  by DELPH,ADAM",,,,,,,"TURNOVER  by DELPH,ADAM",1
12:59,,,,,"SUB IN by GEEGAN,MIKE",,,"SUB IN by GEEGAN,MIKE",1
12:59,,,,,"SUB OUT by LOPEZ,COLLIN",,,"SUB OUT by LOPEZ,COLLIN",1
11:33,"FOUL  by DELPH,ADAM",,,,,,,"FOUL  by DELPH,ADAM",1
11:33,,11,,17 (+6),"GOOD FT by SCINTA,BLAKE",CENTRE_M 11-17 (+6),,"GOOD FT by SCINTA,BLAKE",1
11:33,,11,,18 (+7),"GOOD FT by SCINTA,BLAKE",CENTRE_M 11-18 (+7),,"GOOD FT by SCINTA,BLAKE",1
11:11,"MISS 3PTR by MORRIS,LEE'VAUGHN",,,,,,,"MISS 3PTR by MORRIS,LEE'VAUGHN",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
10:59,,11,,21 (+10),"GOOD 3PTR by WHITESIDE,DONOVAN",CENTRE_M 11-21 (+10),,"GOOD 3PTR by WHITESIDE,DONOVAN",1
--,,,,,"ASSIST  by NEWSOME,TAYLOR",,,"ASSIST  by NEWSOME,TAYLOR",1
10:50,,,,,"SUB IN by WHITESIDE,DONOVAN",,,"SUB IN by WHITESIDE,DONOVAN",1
10:50,,,,,"SUB IN by TAYLOR,CHRIS",,,"SUB IN by TAYLOR,CHRIS",1
10:50,,,,,"SUB IN by KARSNER,JOSH",,,"SUB IN by KARSNER,JOSH",1
10:50,,,,,"SUB IN by WESLEY,TYLER",,,"SUB IN by WESLEY,TYLER",1
10:50,,,,,"SUB OUT by SCINTA,BLAKE",,,"SUB OUT by SCINTA,BLAKE",1
10:50,,,,,"SUB OUT by GRIGGS,MATT",,,"SUB OUT by GRIGGS,MATT",1
10:50,,,,,"SUB OUT by NEWSOME,TAYLOR",,,"SUB OUT by NEWSOME,TAYLOR",1
10:50,,,,,"SUB OUT by ELLIS,BRYON",,,"SUB OUT by ELLIS,BRYON",1
10:44,"SUB IN by EUTON,DAKOTAH",,,,,,,"SUB IN by EUTON,DAKOTAH",1
10:44,"SUB OUT by JONES,JUSTIN",,,,,,,"SUB OUT by JONES,JUSTIN",1
10:41,"GOOD LAYUP by JONES,JUSTIN(in the paint)",13,,21 (+8),,AU 13-21 (+8),,"GOOD LAYUP by JONES,JUSTIN(in the paint)",1
10:16,,,,,"MISS JUMPER by SCINTA,BLAKE",,,"MISS JUMPER by SCINTA,BLAKE",1
--,"REBOUND DEF by JONES,JUSTIN",,,,,,,"REBOUND DEF by JONES,JUSTIN",1
09:57,"MISS LAYUP by JONES,JUSTIN",,,,,,,"MISS LAYUP by JONES,JUSTIN",1
09:57,,,,,"BLOCK  by NEWSOME,TAYLOR",,,"BLOCK  by NEWSOME,TAYLOR",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
09:42,,,,,"FOUL  by GEEGAN,MIKE",,,"FOUL  by GEEGAN,MIKE",1
09:31,"MISS LAYUP by MCLEISH,MITCH",,,,,,,"MISS LAYUP by MCLEISH,MITCH",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
09:26,"MISS LAYUP by MCLEISH,MITCH",,,,,,,"MISS LAYUP by MCLEISH,MITCH",1
--,,,,,"REBOUND DEF by WHITESIDE,DONOVAN",,,"REBOUND DEF by WHITESIDE,DONOVAN",1
09:08,SUB IN by 1,,,,,,,SUB IN by 1,1
09:08,,,,,"SUB IN by ELLIS,BRYON",,,"SUB IN by ELLIS,BRYON",1
09:08,,,,,"SUB OUT by GEEGAN,MIKE",,,"SUB OUT by GEEGAN,MIKE",1
09:02,,13,,24 (+11),"GOOD 3PTR by ELLIS,BRYON",CENTRE_M 13-24 (+11),,"GOOD 3PTR by ELLIS,BRYON",1
--,,,,,"ASSIST  by KARSNER,JOSH",,,"ASSIST  by KARSNER,JOSH",1
08:55,"SUB OUT by DELPH,ADAM",,,,,,,"SUB OUT by DELPH,ADAM",1
08:48,"MISS 3PTR by EUTON,DAKOTAH",,,,,,,"MISS 3PTR by EUTON,DAKOTAH",1
--,,,,,"REBOUND DEF by KARSNER,JOSH",,,"REBOUND DEF by KARSNER,JOSH",1
08:35,,,,,"MISS JUMPER by WHITESIDE,DONOVAN",,,"MISS JUMPER by WHITESIDE,DONOVAN",1
--,"REBOUND DEF by MORRIS,LEE'VAUGHN",,,,,,,"REBOUND DEF by MORRIS,LEE'VAUGHN",1
08:27,"GOOD LAYUP by BRAUNER,SHAWN(in the paint)",15,,24 (+9),,AU 15-24 (+9),,"GOOD LAYUP by BRAUNER,SHAWN(in the paint)",1
08:14,,15,,27 (+12),"GOOD 3PTR by KARSNER,JOSH",CENTRE_M 15-27 (+12),,"GOOD 3PTR by KARSNER,JOSH",1
--,,,,,"ASSIST  by ELLIS,BRYON",,,"ASSIST  by ELLIS,BRYON",1
07:53,"MISS JUMPER by BRAUNER,SHAWN",,,,,,,"MISS JUMPER by BRAUNER,SHAWN",1
--,,,,,"REBOUND DEF by WESLEY,TYLER",,,"REBOUND DEF by WESLEY,TYLER",1
07:40,"FOUL  by MCLEISH,MITCH",,,,,,,"FOUL  by MCLEISH,MITCH",1
07:39,"SUB IN by DELPH,ADAM",,,,,,,"SUB IN by DELPH,ADAM",1
07:39,"SUB OUT by MORRIS,LEE'VAUGHN",,,,,,,"SUB OUT by MORRIS,LEE'VAUGHN",1
07:26,,,,,"MISS 3PTR by ELLIS,BRYON",,,"MISS 3PTR by ELLIS,BRYON",1
--,,,,,"REBOUND OFF by WESLEY,TYLER",,,"REBOUND OFF by WESLEY,TYLER",1
07:10,,,,,"TURNOVER  by WHITESIDE,DONOVAN",,,"TURNOVER  by WHITESIDE,DONOVAN",1
07:08,"STEAL  by MCLEISH,MITCH",,,,,,,"STEAL  by MCLEISH,MITCH",1
07:06,,,,,"FOUL  by WHITESIDE,DONOVAN",,,"FOUL  by WHITESIDE,DONOVAN",1
07:06,"GOOD FT by FLANNERY,AUSTIN",16,,27 (+11),,AU 16-27 (+11),,"GOOD FT by FLANNERY,AUSTIN",1
07:06,"MISS FT by FLANNERY,AUSTIN",,,,,,,"MISS FT by FLANNERY,AUSTIN",1
--,,,,,"REBOUND DEF by KARSNER,JOSH",,,"REBOUND DEF by KARSNER,JOSH",1
07:06,,,,,"SUB IN by SCINTA,BLAKE",,,"SUB IN by SCINTA,BLAKE",1
07:06,,,,,"SUB IN by LOPEZ,COLLIN",,,"SUB IN by LOPEZ,COLLIN",1
07:06,,,,,"SUB OUT by WESLEY,TYLER",,,"SUB OUT by WESLEY,TYLER",1
06:44,,16,,29 (+13),"GOOD LAYUP by TAYLOR,CHRIS(in the paint)",CENTRE_M 16-29 (+13),,"GOOD LAYUP by TAYLOR,CHRIS(in the paint)",1
06:36,"GOOD 3PTR by FLANNERY,AUSTIN",19,,29 (+10),,AU 19-29 (+10),,"GOOD 3PTR by FLANNERY,AUSTIN",1
--,"ASSIST  by BAIR,KYLE",,,,,,,"ASSIST  by BAIR,KYLE",1
06:22,,,,,"MISS JUMPER by KARSNER,JOSH",,,"MISS JUMPER by KARSNER,JOSH",1
06:22,"BLOCK  by EUTON,DAKOTAH",,,,,,,"BLOCK  by EUTON,DAKOTAH",1
--,"REBOUND DEF by MCLEISH,MITCH",,,,,,,"REBOUND DEF by MCLEISH,MITCH",1
06:06,"MISS 3PTR by MCLEISH,MITCH",,,,,,,"MISS 3PTR by MCLEISH,MITCH",1
--,"REBOUND OFF by EUTON,DAKOTAH",,,,,,,"REBOUND OFF by EUTON,DAKOTAH",1
06:02,"MISS JUMPER by EUTON,DAKOTAH",,,,,,,"MISS JUMPER by EUTON,DAKOTAH",1
--,,,,,"REBOUND DEF by TAYLOR,CHRIS",,,"REBOUND DEF by TAYLOR,CHRIS",1
05:43,,,,,"MISS LAYUP by LOPEZ,COLLIN",,,"MISS LAYUP by LOPEZ,COLLIN",1
--,"REBOUND DEF by EUTON,DAKOTAH",,,,,,,"REBOUND DEF by EUTON,DAKOTAH",1
05:36,"MISS JUMPER by BRAUNER,SHAWN",,,,,,,"MISS JUMPER by BRAUNER,SHAWN",1
--,,,,,"REBOUND DEF by SCINTA,BLAKE",,,"REBOUND DEF by SCINTA,BLAKE",1
05:06,,,,,"MISS LAYUP by SCINTA,BLAKE",,,"MISS LAYUP by SCINTA,BLAKE",1
--,,,,,"REBOUND OFF by NEWSOME,TAYLOR",,,"REBOUND OFF by NEWSOME,TAYLOR",1
05:06,,,,,"MISS JUMPER by NEWSOME,TAYLOR",,,"MISS JUMPER by NEWSOME,TAYLOR",1
--,"REBOUND DEF by MCLEISH,MITCH",,,,,,,"REBOUND DEF by MCLEISH,MITCH",1
05:06,,,,,"SUB IN by NEWSOME,TAYLOR",,,"SUB IN by NEWSOME,TAYLOR",1
05:06,,,,,"SUB OUT by WHITESIDE,DONOVAN",,,"SUB OUT by WHITESIDE,DONOVAN",1
05:06,,,,,"SUB OUT by KARSNER,JOSH",,,"SUB OUT by KARSNER,JOSH",1
05:02,"MISS LAYUP by FLANNERY,AUSTIN",,,,,,,"MISS LAYUP by FLANNERY,AUSTIN",1
05:02,,,,,"BLOCK  by SCINTA,BLAKE",,,"BLOCK  by SCINTA,BLAKE",1
--,,,,,"REBOUND DEF by LOPEZ,COLLIN",,,"REBOUND DEF by LOPEZ,COLLIN",1
04:55,,19,,31 (+12),"GOOD JUMPER by LOPEZ,COLLIN",CENTRE_M 19-31 (+12),,"GOOD JUMPER by LOPEZ,COLLIN",1
04:55,"FOUL  by BAIR,KYLE",,,,,,,"FOUL  by BAIR,KYLE",1
04:22,,19,,32 (+13),"GOOD FT by LOPEZ,COLLIN",CENTRE_M 19-32 (+13),,"GOOD FT by LOPEZ,COLLIN",1
04:22,,,,,"SUB IN by GRIGGS,MATT",,,"SUB IN by GRIGGS,MATT",1
04:22,,,,,"SUB OUT by TAYLOR,CHRIS",,,"SUB OUT by TAYLOR,CHRIS",1
04:12,"GOOD JUMPER by GORDON,DEQUANN",21,,32 (+11),,AU 21-32 (+11),,"GOOD JUMPER by GORDON,DEQUANN",1
03:41,,,,,"MISS JUMPER by WESLEY,TYLER",,,"MISS JUMPER by WESLEY,TYLER",1
--,,,,,"REBOUND OFF by NEWSOME,TAYLOR",,,"REBOUND OFF by NEWSOME,TAYLOR",1
03:33,,,,,"TURNOVER  by NEWSOME,TAYLOR",,,"TURNOVER  by NEWSOME,TAYLOR",1
03:31,"STEAL  by MCLEISH,MITCH",,,,,,,"STEAL  by MCLEISH,MITCH",1
03:29,"MISS JUMPER by MCLEISH,MITCH",,,,,,,"MISS JUMPER by MCLEISH,MITCH",1
--,,,,,"REBOUND DEF by GRIGGS,MATT",,,"REBOUND DEF by GRIGGS,MATT",1
03:17,,,,,"TURNOVER  by WESLEY,TYLER",,,"TURNOVER  by WESLEY,TYLER",1
03:16,"STEAL  by GORDON,DEQUANN",,,,,,,"STEAL  by GORDON,DEQUANN",1
03:13,"MISS JUMPER by FLANNERY,AUSTIN",,,,,,,"MISS JUMPER by FLANNERY,AUSTIN",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
03:09,,,,,"FOUL  by LOPEZ,COLLIN",,,"FOUL  by LOPEZ,COLLIN",1
03:03,"MISS JUMPER by MCLEISH,MITCH",,,,,,,"MISS JUMPER by MCLEISH,MITCH",1
--,,,,,"REBOUND DEF by WESLEY,TYLER",,,"REBOUND DEF by WESLEY,TYLER",1
02:42,,,,,"MISS 3PTR by LOPEZ,COLLIN",,,"MISS 3PTR by LOPEZ,COLLIN",1
--,"REBOUND DEF by GORDON,DEQUANN",,,,,,,"REBOUND DEF by GORDON,DEQUANN",1
02:29,"MISS JUMPER by GORDON,DEQUANN",,,,,,,"MISS JUMPER by GORDON,DEQUANN",1
--,,,,,"REBOUND DEF by ELLIS,BRYON",,,"REBOUND DEF by ELLIS,BRYON",1
02:09,,,,,"MISS 3PTR by ELLIS,BRYON",,,"MISS 3PTR by ELLIS,BRYON",1
--,"REBOUND DEF by MCLEISH,MITCH",,,,,,,"REBOUND DEF by MCLEISH,MITCH",1
01:48,"MISS JUMPER by GORDON,DEQUANN",,,,,,,"MISS JUMPER by GORDON,DEQUANN",1
01:48,,,,,"BLOCK  by WESLEY,TYLER",,,"BLOCK  by WESLEY,TYLER",1
--,,,,,"REBOUND DEF by LOPEZ,COLLIN",,,"REBOUND DEF by LOPEZ,COLLIN",1
01:39,,,,,"TURNOVER  by LOPEZ,COLLIN",,,"TURNOVER  by LOPEZ,COLLIN",1
01:37,"STEAL  by MCLEISH,MITCH",,,,,,,"STEAL  by MCLEISH,MITCH",1
01:37,"GOOD LAYUP by MCLEISH,MITCH(in the paint)",23,,32 (+9),,AU 23-32 (+9),,"GOOD LAYUP by MCLEISH,MITCH(in the paint)",1
01:37,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,1
01:37,,,,,"SUB IN by KARSNER,JOSH",,,"SUB IN by KARSNER,JOSH",1
01:37,,,,,"SUB IN by TAYLOR,CHRIS",,,"SUB IN by TAYLOR,CHRIS",1
01:37,,,,,"SUB OUT by NEWSOME,TAYLOR",,,"SUB OUT by NEWSOME,TAYLOR",1
01:37,,,,,"SUB OUT by GRIGGS,MATT",,,"SUB OUT by GRIGGS,MATT",1
--,"REBOUND DEF by MORRIS,LEE'VAUGHN",,,,,,,"REBOUND DEF by MORRIS,LEE'VAUGHN",1
01:10,,,,,"MISS LAYUP by KARSNER,JOSH",,,"MISS LAYUP by KARSNER,JOSH",1
01:10,"BLOCK  by JONES,JUSTIN",,,,,,,"BLOCK  by JONES,JUSTIN",1
--,,,,,"REBOUND DEF by TAYLOR,CHRIS",,,"REBOUND DEF by TAYLOR,CHRIS",1
01:00,"MISS 3PTR by EUTON,DAKOTAH",,,,,,,"MISS 3PTR by EUTON,DAKOTAH",1
00:46,,23,,35 (+12),"GOOD 3PTR by KARSNER,JOSH",CENTRE_M 23-35 (+12),,"GOOD 3PTR by KARSNER,JOSH",1
--,,,,,"ASSIST  by SCINTA,BLAKE",,,"ASSIST  by SCINTA,BLAKE",1
00:26,,,,,"FOUL  by KARSNER,JOSH",,,"FOUL  by KARSNER,JOSH",1
00:26,SUB IN by 3,,,,,,,SUB IN by 3,1
00:26,,,,,"SUB IN by WESLEY,TYLER",,,"SUB IN by WESLEY,TYLER",1
00:26,,,,,"SUB OUT by KARSNER,JOSH",,,"SUB OUT by KARSNER,JOSH",1
00:06,"MISS 3PTR by EUTON,DAKOTAH",,,,,,,"MISS 3PTR by EUTON,DAKOTAH",1
--,"REBOUND OFF by BAIR,KYLE",,,,,,,"REBOUND OFF by BAIR,KYLE",1
00:00,"MISS 3PTR by BAIR,KYLE",,,,,,,"MISS 3PTR by BAIR,KYLE",1
--,,,,,"REBOUND DEF by SCINTA,BLAKE",,,"REBOUND DEF by SCINTA,BLAKE",1
19:41,,,,,"TURNOVER  by WESLEY,TYLER",,,"TURNOVER  by WESLEY,TYLER",2
19:38,"STEAL  by BAIR,KYLE",,,,,,,"STEAL  by BAIR,KYLE",2
19:30,"MISS LAYUP by DELPH,ADAM",,,,,,,"MISS LAYUP by DELPH,ADAM",2
--,"REBOUND OFF by JONES,JUSTIN",,,,,,,"REBOUND OFF by JONES,JUSTIN",2
19:25,"GOOD LAYUP by JONES,JUSTIN(in the paint)",25,,35 (+10),,AU 25-35 (+10),,"GOOD LAYUP by JONES,JUSTIN(in the paint)",2
19:20,,,,,"TURNOVER  by WHITESIDE,DONOVAN",,,"TURNOVER  by WHITESIDE,DONOVAN",2
19:18,"STEAL  by BAIR,KYLE",,,,,,,"STEAL  by BAIR,KYLE",2
19:17,,,,,"FOUL  by TAYLOR,CHRIS",,,"FOUL  by TAYLOR,CHRIS",2
19:17,"GOOD FT by DELPH,ADAM",26,,35 (+9),,AU 26-35 (+9),,"GOOD FT by DELPH,ADAM",2
19:17,"GOOD FT by DELPH,ADAM",27,,35 (+8),,AU 27-35 (+8),,"GOOD FT by DELPH,ADAM",2
18:52,,27,,37 (+10),"GOOD LAYUP by WHITESIDE,DONOVAN(in the paint)",CENTRE_M 27-37 (+10),,"GOOD LAYUP by WHITESIDE,DONOVAN(in the paint)",2
18:34,"GOOD 3PTR by DELPH,ADAM",30,,37 (+7),,AU 30-37 (+7),,"GOOD 3PTR by DELPH,ADAM",2
--,"ASSIST  by EUTON,DAKOTAH",,,,,,,"ASSIST  by EUTON,DAKOTAH",2
18:19,"FOUL  by JONES,JUSTIN",,,,,,,"FOUL  by JONES,JUSTIN",2
18:19,,,,,"MISS FT by WESLEY,TYLER",,,"MISS FT by WESLEY,TYLER",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
18:19,,,,,"MISS FT by WESLEY,TYLER",,,"MISS FT by WESLEY,TYLER",2
--,"REBOUND DEF by DELPH,ADAM",,,,,,,"REBOUND DEF by DELPH,ADAM",2
18:02,"MISS LAYUP by JONES,JUSTIN",,,,,,,"MISS LAYUP by JONES,JUSTIN",2
--,,,,,"REBOUND DEF by WHITESIDE,DONOVAN",,,"REBOUND DEF by WHITESIDE,DONOVAN",2
17:40,,,,,"TURNOVER  by WHITESIDE,DONOVAN",,,"TURNOVER  by WHITESIDE,DONOVAN",2
17:40,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
17:18,"TURNOVER  by DELPH,ADAM",,,,,,,"TURNOVER  by DELPH,ADAM",2
17:16,,,,,"STEAL  by ELLIS,BRYON",,,"STEAL  by ELLIS,BRYON",2
17:02,,30,,39 (+9),"GOOD JUMPER by KARSNER,JOSH",CENTRE_M 30-39 (+9),,"GOOD JUMPER by KARSNER,JOSH",2
16:47,"GOOD JUMPER by JONES,JUSTIN",32,,39 (+7),,AU 32-39 (+7),,"GOOD JUMPER by JONES,JUSTIN",2
--,"ASSIST  by EUTON,DAKOTAH",,,,,,,"ASSIST  by EUTON,DAKOTAH",2
16:20,"FOUL  by BAIR,KYLE",,,,,,,"FOUL  by BAIR,KYLE",2
16:20,,32,,40 (+8),"GOOD FT by ELLIS,BRYON",CENTRE_M 32-40 (+8),,"GOOD FT by ELLIS,BRYON",2
16:20,,32,,41 (+9),"GOOD FT by ELLIS,BRYON",CENTRE_M 32-41 (+9),,"GOOD FT by ELLIS,BRYON",2
16:20,,,,,"SUB IN by SCINTA,BLAKE",,,"SUB IN by SCINTA,BLAKE",2
16:20,,,,,"SUB OUT by WESLEY,TYLER",,,"SUB OUT by WESLEY,TYLER",2
16:01,"TURNOVER  by EUTON,DAKOTAH",,,,,,,"TURNOVER  by EUTON,DAKOTAH",2
15:59,,,,,"STEAL  by WHITESIDE,DONOVAN",,,"STEAL  by WHITESIDE,DONOVAN",2
15:37,,32,,43 (+11),"GOOD LAYUP by SCINTA,BLAKE(in the paint)",CENTRE_M 32-43 (+11),,"GOOD LAYUP by SCINTA,BLAKE(in the paint)",2
--,,,,,"ASSIST  by WHITESIDE,DONOVAN",,,"ASSIST  by WHITESIDE,DONOVAN",2
15:09,"GOOD 3PTR by BAIR,KYLE",35,,43 (+8),,AU 35-43 (+8),,"GOOD 3PTR by BAIR,KYLE",2
--,"ASSIST  by JONES,JUSTIN",,,,,,,"ASSIST  by JONES,JUSTIN",2
