Time Remaining,CENM,Away Team Score,Play Team Indicator,Home Team Score,OUM,Game Score,Team Indicator,Play,Period
19:30,"GOOD JUMPER by KARSNER,JOSH",2 (+2),,0,,CENM 2-0 (+2),,"GOOD JUMPER by KARSNER,JOSH",1
19:01,,,,,"TURNOVER  by KINNEY,JORDAN",,,"TURNOVER  by KINNEY,JORDAN",1
18:45,"GOOD LAYUP by WESLEY,TYLER(in the paint)",4 (+4),,0,,CENM 4-0 (+4),,"GOOD LAYUP by WESLEY,TYLER(in the paint)",1
--,"ASSIST  by TAYLOR,CHRIS",,,,,,,"ASSIST  by TAYLOR,CHRIS",1
18:27,,,,,"MISS JUMPER by KINNEY,JORDAN",,,"MISS JUMPER by KINNEY,JORDAN",1
--,"REBOUND DEF by TAYLOR,CHRIS",,,,,,,"REBOUND DEF by TAYLOR,CHRIS",1
18:11,"GOOD 3PTR by ELLIS,BRYON",7 (+7),,0,,CENM 7-0 (+7),,"GOOD 3PTR by ELLIS,BRYON",1
18:02,,7 (+5),,2,"GOOD LAYUP by MOLINET,CHRISTIAN(in the paint)",OUM 7-2 (+5),,"GOOD LAYUP by MOLINET,CHRISTIAN(in the paint)",1
17:32,"TURNOVER  by WESLEY,TYLER",,,,,,,"TURNOVER  by WESLEY,TYLER",1
17:32,,,,,"STEAL  by PURDY,SAM",,,"STEAL  by PURDY,SAM",1
17:32,"FOUL  by WHITESIDE,DONOVAN",,,,,,,"FOUL  by WHITESIDE,DONOVAN",1
17:10,,7 (+2),,5,"GOOD 3PTR by PURDY,SAM",OUM 7-5 (+2),,"GOOD 3PTR by PURDY,SAM",1
--,,,,,"ASSIST  by DAVIS,ALEX",,,"ASSIST  by DAVIS,ALEX",1
16:53,"GOOD JUMPER by ELLIS,BRYON",9 (+4),,5,,CENM 9-5 (+4),,"GOOD JUMPER by ELLIS,BRYON",1
16:42,,,,,"MISS JUMPER by MOLINET,CHRISTIAN",,,"MISS JUMPER by MOLINET,CHRISTIAN",1
--,"REBOUND DEF by KARSNER,JOSH",,,,,,,"REBOUND DEF by KARSNER,JOSH",1
16:34,"GOOD JUMPER by TAYLOR,CHRIS(fastbreak)(in the paint)",11 (+6),,5,,CENM 11-5 (+6),,"GOOD JUMPER by TAYLOR,CHRIS(fastbreak)(in the paint)",1
16:10,,11 (+4),,7,"GOOD JUMPER by DAVIS,ALEX(in the paint)",OUM 11-7 (+4),,"GOOD JUMPER by DAVIS,ALEX(in the paint)",1
15:50,"TURNOVER  by TAYLOR,CHRIS",,,,,,,"TURNOVER  by TAYLOR,CHRIS",1
