Time Remaining,CENTRE_M,Away Team Score,Play Team Indicator,Home Team Score,CCU,Game Score,Team Indicator,Play,Period
19:24,"MISS JUMPER by WESLEY,TYLER",,,,,,,"MISS JUMPER by WESLEY,TYLER",1
19:24,,,,,"BLOCK  by GAYNOR,KENNY",,,"BLOCK  by GAYNOR,KENNY",1
--,,,,,"REBOUND DEF by GAYNOR,KENNY",,,"REBOUND DEF by GAYNOR,KENNY",1
19:17,,,,,"MISS LAYUP by SHELLMAN,JOE",,,"MISS LAYUP by SHELLMAN,JOE",1
--,"REBOUND DEF by TAYLOR,CHRIS",,,,,,,"REBOUND DEF by TAYLOR,CHRIS",1
19:07,"GOOD 3PTR by WHITESIDE,DONOVAN",3 (+3),,0,,CENTRE_M 3-0 (+3),,"GOOD 3PTR by WHITESIDE,DONOVAN",1
--,"ASSIST  by TAYLOR,CHRIS",,,,,,,"ASSIST  by TAYLOR,CHRIS",1
18:29,,,,,"TURNOVER  by SHELLMAN,JOE",,,"TURNOVER  by SHELLMAN,JOE",1
18:27,"STEAL  by WHITESIDE,DONOVAN",,,,,,,"STEAL  by WHITESIDE,DONOVAN",1
18:19,"MISS 3PTR by KARSNER,JOSH",,,,,,,"MISS 3PTR by KARSNER,JOSH",1
--,,,,,"REBOUND DEF by SHELLMAN,JOE",,,"REBOUND DEF by SHELLMAN,JOE",1
17:54,,,,,"TURNOVER  by GAYNOR,KENNY",,,"TURNOVER  by GAYNOR,KENNY",1
17:52,"STEAL  by TAYLOR,CHRIS",,,,,,,"STEAL  by TAYLOR,CHRIS",1
17:46,"GOOD 3PTR by ELLIS,BRYON",6 (+6),,0,,CENTRE_M 6-0 (+6),,"GOOD 3PTR by ELLIS,BRYON",1
--,"ASSIST  by TAYLOR,CHRIS",,,,,,,"ASSIST  by TAYLOR,CHRIS",1
17:18,,6 (+4),,2,"GOOD JUMPER by SHELLMAN,JOE(in the paint)",CCU 6-2 (+4),,"GOOD JUMPER by SHELLMAN,JOE(in the paint)",1
--,,,,,"ASSIST  by GAYNOR,KENNY",,,"ASSIST  by GAYNOR,KENNY",1
16:54,"GOOD LAYUP by KARSNER,JOSH(in the paint)",8 (+6),,2,,CENTRE_M 8-2 (+6),,"GOOD LAYUP by KARSNER,JOSH(in the paint)",1
--,"ASSIST  by ELLIS,BRYON",,,,,,,"ASSIST  by ELLIS,BRYON",1
16:51,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
16:15,,,,,TURNOVER  by TEAM,,,TURNOVER  by TEAM,1
16:01,"GOOD LAYUP by ELLIS,BRYON(in the paint)",10 (+8),,2,,CENTRE_M 10-2 (+8),,"GOOD LAYUP by ELLIS,BRYON(in the paint)",1
--,"ASSIST  by WHITESIDE,DONOVAN",,,,,,,"ASSIST  by WHITESIDE,DONOVAN",1
16:01,,,,,"FOUL  by WAKE,NICK",,,"FOUL  by WAKE,NICK",1
16:01,"GOOD FT by ELLIS,BRYON",11 (+9),,2,,CENTRE_M 11-2 (+9),,"GOOD FT by ELLIS,BRYON",1
15:31,,,,,"MISS JUMPER by GAYNOR,KENNY",,,"MISS JUMPER by GAYNOR,KENNY",1
15:31,"BLOCK  by WESLEY,TYLER",,,,,,,"BLOCK  by WESLEY,TYLER",1
--,,,,,"REBOUND OFF by GAYNOR,KENNY",,,"REBOUND OFF by GAYNOR,KENNY",1
15:25,,,,,"MISS JUMPER by GAYNOR,KENNY",,,"MISS JUMPER by GAYNOR,KENNY",1
--,"REBOUND DEF by WHITESIDE,DONOVAN",,,,,,,"REBOUND DEF by WHITESIDE,DONOVAN",1
15:25,,,,,"FOUL  by SHELLMAN,JOE",,,"FOUL  by SHELLMAN,JOE",1
15:25,,,,,"SUB IN by MCCLINTIC,JEFF",,,"SUB IN by MCCLINTIC,JEFF",1
15:25,,,,,"SUB OUT by WAKE,NICK",,,"SUB OUT by WAKE,NICK",1
15:07,"GOOD 3PTR by KARSNER,JOSH",14 (+12),,2,,CENTRE_M 14-2 (+12),,"GOOD 3PTR by KARSNER,JOSH",1
--,"ASSIST  by TAYLOR,CHRIS",,,,,,,"ASSIST  by TAYLOR,CHRIS",1
14:45,,,,,"MISS 3PTR by MCCOMMONS,DJ",,,"MISS 3PTR by MCCOMMONS,DJ",1
--,"REBOUND DEF by WESLEY,TYLER",,,,,,,"REBOUND DEF by WESLEY,TYLER",1
14:37,"GOOD LAYUP by WHITESIDE,DONOVAN(in the paint)",16 (+14),,2,,CENTRE_M 16-2 (+14),,"GOOD LAYUP by WHITESIDE,DONOVAN(in the paint)",1
14:10,,,,,"MISS LAYUP by GAYNOR,KENNY",,,"MISS LAYUP by GAYNOR,KENNY",1
--,"REBOUND DEF by WHITESIDE,DONOVAN",,,,,,,"REBOUND DEF by WHITESIDE,DONOVAN",1
14:02,"MISS LAYUP by WHITESIDE,DONOVAN",,,,,,,"MISS LAYUP by WHITESIDE,DONOVAN",1
--,,,,,"REBOUND DEF by GAYNOR,KENNY",,,"REBOUND DEF by GAYNOR,KENNY",1
13:57,,16 (+12),,4,"GOOD LAYUP by SHELLMAN,JOE(fastbreak)(in the paint)",CCU 16-4 (+12),,"GOOD LAYUP by SHELLMAN,JOE(fastbreak)(in the paint)",1
--,,,,,"ASSIST  by GAYNOR,KENNY",,,"ASSIST  by GAYNOR,KENNY",1
13:35,"GOOD JUMPER by WESLEY,TYLER",18 (+14),,4,,CENTRE_M 18-4 (+14),,"GOOD JUMPER by WESLEY,TYLER",1
--,"ASSIST  by TAYLOR,CHRIS",,,,,,,"ASSIST  by TAYLOR,CHRIS",1
13:13,,,,,"MISS 3PTR by MCCLINTIC,JEFF",,,"MISS 3PTR by MCCLINTIC,JEFF",1
--,"REBOUND DEF by TAYLOR,CHRIS",,,,,,,"REBOUND DEF by TAYLOR,CHRIS",1
13:01,"MISS LAYUP by TAYLOR,CHRIS",,,,,,,"MISS LAYUP by TAYLOR,CHRIS",1
--,,,,,"REBOUND DEF by MCCOMMONS,DJ",,,"REBOUND DEF by MCCOMMONS,DJ",1
13:01,,,,,"BLOCK  by MCCOMMONS,DJ",,,"BLOCK  by MCCOMMONS,DJ",1
12:50,"FOUL  by KARSNER,JOSH",,,,,,,"FOUL  by KARSNER,JOSH",1
12:50,"SUB IN by NEWSOME,TAYLOR",,,,,,,"SUB IN by NEWSOME,TAYLOR",1
12:50,"SUB IN by GRIGGS,MATT",,,,,,,"SUB IN by GRIGGS,MATT",1
12:50,"SUB IN by SAGRAVES,AUSTIN",,,,,,,"SUB IN by SAGRAVES,AUSTIN",1
12:50,"SUB IN by HERTZEL,HOLDEN",,,,,,,"SUB IN by HERTZEL,HOLDEN",1
12:50,"SUB IN by LOPEZ,COLLIN",,,,,,,"SUB IN by LOPEZ,COLLIN",1
12:50,"SUB OUT by ELLIS,BRYON",,,,,,,"SUB OUT by ELLIS,BRYON",1
12:50,"SUB OUT by TAYLOR,CHRIS",,,,,,,"SUB OUT by TAYLOR,CHRIS",1
12:50,"SUB OUT by WHITESIDE,DONOVAN",,,,,,,"SUB OUT by WHITESIDE,DONOVAN",1
12:50,"SUB OUT by KARSNER,JOSH",,,,,,,"SUB OUT by KARSNER,JOSH",1
12:50,"SUB OUT by WESLEY,TYLER",,,,,,,"SUB OUT by WESLEY,TYLER",1
12:50,,,,,"SUB IN by PERRY SMITH,JR",,,"SUB IN by PERRY SMITH,JR",1
12:50,,,,,"SUB IN by IRRER,AUSTIN",,,"SUB IN by IRRER,AUSTIN",1
12:50,,,,,"SUB IN by MILLER,NIK",,,"SUB IN by MILLER,NIK",1
12:50,,,,,"SUB OUT by GAYNOR,KENNY",,,"SUB OUT by GAYNOR,KENNY",1
12:50,,,,,"SUB OUT by SHELLMAN,JOE",,,"SUB OUT by SHELLMAN,JOE",1
12:50,,,,,"SUB OUT by MASSE,WILL",,,"SUB OUT by MASSE,WILL",1
12:39,,,,,"TURNOVER  by IRRER,AUSTIN",,,"TURNOVER  by IRRER,AUSTIN",1
12:38,"STEAL  by GRIGGS,MATT",,,,,,,"STEAL  by GRIGGS,MATT",1
12:29,"TURNOVER  by HERTZEL,HOLDEN",,,,,,,"TURNOVER  by HERTZEL,HOLDEN",1
12:13,,,,,"MISS LAYUP by IRRER,AUSTIN",,,"MISS LAYUP by IRRER,AUSTIN",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
12:11,,,,,"MISS JUMPER by MCCLINTIC,JEFF",,,"MISS JUMPER by MCCLINTIC,JEFF",1
--,"REBOUND DEF by NEWSOME,TAYLOR",,,,,,,"REBOUND DEF by NEWSOME,TAYLOR",1
11:36,"TURNOVER  by GRIGGS,MATT",,,,,,,"TURNOVER  by GRIGGS,MATT",1
11:13,,,,,"MISS JUMPER by IRRER,AUSTIN",,,"MISS JUMPER by IRRER,AUSTIN",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
11:12,,,,,"FOUL  by PERRY SMITH,JR",,,"FOUL  by PERRY SMITH,JR",1
11:12,,,,,"SUB IN by GAYNOR,KENNY",,,"SUB IN by GAYNOR,KENNY",1
11:12,,,,,"SUB OUT by IRRER,AUSTIN",,,"SUB OUT by IRRER,AUSTIN",1
10:58,"MISS LAYUP by HERTZEL,HOLDEN",,,,,,,"MISS LAYUP by HERTZEL,HOLDEN",1
--,,,,,"REBOUND DEF by GAYNOR,KENNY",,,"REBOUND DEF by GAYNOR,KENNY",1
10:48,,18 (+12),,6,"GOOD LAYUP by GAYNOR,KENNY(in the paint)",CCU 18-6 (+12),,"GOOD LAYUP by GAYNOR,KENNY(in the paint)",1
10:29,"FOUL  by HERTZEL,HOLDEN",,,,,,,"FOUL  by HERTZEL,HOLDEN",1
10:29,"TURNOVER  by HERTZEL,HOLDEN",,,,,,,"TURNOVER  by HERTZEL,HOLDEN",1
10:29,"SUB IN by WESLEY,TYLER",,,,,,,"SUB IN by WESLEY,TYLER",1
10:29,"SUB IN by KARSNER,JOSH",,,,,,,"SUB IN by KARSNER,JOSH",1
10:29,"SUB IN by ELLIS,BRYON",,,,,,,"SUB IN by ELLIS,BRYON",1
