Time Remaining,OUM,Away Team Score,Play Team Indicator,Home Team Score,CENTRE_M,Game Score,Team Indicator,Play,Period
19:41,,,,,"MISS LAYUP by WESLEY,TYLER",,,"MISS LAYUP by WESLEY,TYLER",1
--,,,,,"REBOUND OFF by WESLEY,TYLER",,,"REBOUND OFF by WESLEY,TYLER",1
19:24,,0,,2 (+2),"GOOD LAYUP by WHITESIDE,DONOVAN(in the paint)",CENTRE_M 0-2 (+2),,"GOOD LAYUP by WHITESIDE,DONOVAN(in the paint)",1
--,,,,,"ASSIST  by WESLEY,TYLER",,,"ASSIST  by WESLEY,TYLER",1
19:04,"GOOD 3PTR by DAVIS,ALEX",3 (+1),,2,,OUM 3-2 (-1),,"GOOD 3PTR by DAVIS,ALEX",1
--,"ASSIST  by MOLINET,CHRISTIAN",,,,,,,"ASSIST  by MOLINET,CHRISTIAN",1
18:45,,,,,"TURNOVER  by TAYLOR,CHRIS",,,"TURNOVER  by TAYLOR,CHRIS",1
18:45,"STEAL  by DAVIS,ALEX",,,,,,,"STEAL  by DAVIS,ALEX",1
18:45,,,,,"FOUL  by TAYLOR,CHRIS",,,"FOUL  by TAYLOR,CHRIS",1
18:32,"MISS LAYUP by JOVAAG,BRANDEN",,,,,,,"MISS LAYUP by JOVAAG,BRANDEN",1
--,"REBOUND OFF by KINNEY,JORDAN",,,,,,,"REBOUND OFF by KINNEY,JORDAN",1
18:27,"GOOD LAYUP by KINNEY,JORDAN(in the paint)",5 (+3),,2,,OUM 5-2 (-3),,"GOOD LAYUP by KINNEY,JORDAN(in the paint)",1
18:03,"FOUL  by JOVAAG,BRANDEN",,,,,,,"FOUL  by JOVAAG,BRANDEN",1
18:03,,5 (+2),,3,"GOOD FT by TAYLOR,CHRIS",CENTRE_M 5-3 (-2),,"GOOD FT by TAYLOR,CHRIS",1
18:03,,5 (+1),,4,"GOOD FT by TAYLOR,CHRIS",CENTRE_M 5-4 (-1),,"GOOD FT by TAYLOR,CHRIS",1
17:49,"MISS 3PTR by PURDY,SAM",,,,,,,"MISS 3PTR by PURDY,SAM",1
--,,,,,"REBOUND DEF by WHITESIDE,DONOVAN",,,"REBOUND DEF by WHITESIDE,DONOVAN",1
17:42,,,,,"MISS LAYUP by WHITESIDE,DONOVAN",,,"MISS LAYUP by WHITESIDE,DONOVAN",1
--,,,,,"REBOUND OFF by WESLEY,TYLER",,,"REBOUND OFF by WESLEY,TYLER",1
17:39,,,,,"MISS LAYUP by WESLEY,TYLER",,,"MISS LAYUP by WESLEY,TYLER",1
--,"REBOUND DEF by KINNEY,JORDAN",,,,,,,"REBOUND DEF by KINNEY,JORDAN",1
17:31,"GOOD JUMPER by MOLINET,CHRISTIAN",7 (+3),,4,,OUM 7-4 (-3),,"GOOD JUMPER by MOLINET,CHRISTIAN",1
17:03,,,,,"MISS 3PTR by KARSNER,JOSH",,,"MISS 3PTR by KARSNER,JOSH",1
--,,,,,"REBOUND OFF by WESLEY,TYLER",,,"REBOUND OFF by WESLEY,TYLER",1
16:58,,7 (+1),,6,"GOOD LAYUP by WESLEY,TYLER(in the paint)",CENTRE_M 7-6 (-1),,"GOOD LAYUP by WESLEY,TYLER(in the paint)",1
16:49,"MISS 3PTR by JOVAAG,BRANDEN",,,,,,,"MISS 3PTR by JOVAAG,BRANDEN",1
--,,,,,"REBOUND DEF by KARSNER,JOSH",,,"REBOUND DEF by KARSNER,JOSH",1
16:42,,7,,8 (+1),"GOOD LAYUP by WESLEY,TYLER(in the paint)",CENTRE_M 7-8 (+1),,"GOOD LAYUP by WESLEY,TYLER(in the paint)",1
--,,,,,"ASSIST  by TAYLOR,CHRIS",,,"ASSIST  by TAYLOR,CHRIS",1
16:30,"MISS LAYUP by KINNEY,JORDAN",,,,,,,"MISS LAYUP by KINNEY,JORDAN",1
--,,,,,"REBOUND DEF by KARSNER,JOSH",,,"REBOUND DEF by KARSNER,JOSH",1
16:10,,,,,"MISS LAYUP by WHITESIDE,DONOVAN",,,"MISS LAYUP by WHITESIDE,DONOVAN",1
--,"REBOUND DEF by JOVAAG,BRANDEN",,,,,,,"REBOUND DEF by JOVAAG,BRANDEN",1
16:01,"GOOD LAYUP by KINNEY,JORDAN(in the paint)",9 (+1),,8,,OUM 9-8 (-1),,"GOOD LAYUP by KINNEY,JORDAN(in the paint)",1
--,"ASSIST  by MOLINET,CHRISTIAN",,,,,,,"ASSIST  by MOLINET,CHRISTIAN",1
15:58,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,1
15:58,"SUB IN by PITTS,ALEC",,,,,,,"SUB IN by PITTS,ALEC",1
15:58,"SUB OUT by DAVIS,ALEX",,,,,,,"SUB OUT by DAVIS,ALEX",1
15:49,,9,,10 (+1),"GOOD LAYUP by WESLEY,TYLER(in the paint)",CENTRE_M 9-10 (+1),,"GOOD LAYUP by WESLEY,TYLER(in the paint)",1
--,,,,,"ASSIST  by ELLIS,BRYON",,,"ASSIST  by ELLIS,BRYON",1
15:34,"TURNOVER  by JOVAAG,BRANDEN",,,,,,,"TURNOVER  by JOVAAG,BRANDEN",1
15:33,,,,,"STEAL  by WHITESIDE,DONOVAN",,,"STEAL  by WHITESIDE,DONOVAN",1
15:16,,,,,"MISS JUMPER by KARSNER,JOSH",,,"MISS JUMPER by KARSNER,JOSH",1
--,"REBOUND DEF by JOVAAG,BRANDEN",,,,,,,"REBOUND DEF by JOVAAG,BRANDEN",1
14:53,"MISS LAYUP by KINNEY,JORDAN",,,,,,,"MISS LAYUP by KINNEY,JORDAN",1
--,,,,,"REBOUND DEF by WHITESIDE,DONOVAN",,,"REBOUND DEF by WHITESIDE,DONOVAN",1
14:46,,9,,12 (+3),"GOOD LAYUP by WESLEY,TYLER(in the paint)",CENTRE_M 9-12 (+3),,"GOOD LAYUP by WESLEY,TYLER(in the paint)",1
--,,,,,"ASSIST  by WHITESIDE,DONOVAN",,,"ASSIST  by WHITESIDE,DONOVAN",1
14:45,"FOUL  by KINNEY,JORDAN",,,,,,,"FOUL  by KINNEY,JORDAN",1
14:45,,9,,13 (+4),"GOOD FT by WESLEY,TYLER",CENTRE_M 9-13 (+4),,"GOOD FT by WESLEY,TYLER",1
14:45,"SUB IN by HAMILTON,PRICE",,,,,,,"SUB IN by HAMILTON,PRICE",1
14:45,,,,,"SUB IN by HERTZEL,HOLDEN",,,"SUB IN by HERTZEL,HOLDEN",1
14:45,,,,,"SUB IN by NEWSOME,TAYLOR",,,"SUB IN by NEWSOME,TAYLOR",1
14:45,,,,,"SUB IN by GRIGGS,MATT",,,"SUB IN by GRIGGS,MATT",1
14:45,,,,,"SUB OUT by TAYLOR,CHRIS",,,"SUB OUT by TAYLOR,CHRIS",1
14:45,,,,,"SUB OUT by KARSNER,JOSH",,,"SUB OUT by KARSNER,JOSH",1
14:45,,,,,"SUB OUT by WESLEY,TYLER",,,"SUB OUT by WESLEY,TYLER",1
14:33,"MISS LAYUP by PITTS,ALEC",,,,,,,"MISS LAYUP by PITTS,ALEC",1
--,,,,,"REBOUND DEF by HERTZEL,HOLDEN",,,"REBOUND DEF by HERTZEL,HOLDEN",1
14:26,"SUB OUT by KINNEY,JORDAN",,,,,,,"SUB OUT by KINNEY,JORDAN",1
14:16,,9,,16 (+7),"GOOD 3PTR by WHITESIDE,DONOVAN",CENTRE_M 9-16 (+7),,"GOOD 3PTR by WHITESIDE,DONOVAN",1
--,,,,,"ASSIST  by HERTZEL,HOLDEN",,,"ASSIST  by HERTZEL,HOLDEN",1
13:53,"TURNOVER  by MOLINET,CHRISTIAN",,,,,,,"TURNOVER  by MOLINET,CHRISTIAN",1
13:51,,,,,"STEAL  by NEWSOME,TAYLOR",,,"STEAL  by NEWSOME,TAYLOR",1
13:32,"FOUL  by PITTS,ALEC",,,,,,,"FOUL  by PITTS,ALEC",1
13:32,,9,,17 (+8),"GOOD FT by NEWSOME,TAYLOR",CENTRE_M 9-17 (+8),,"GOOD FT by NEWSOME,TAYLOR",1
13:23,,,,,"MISS FT by NEWSOME,TAYLOR",,,"MISS FT by NEWSOME,TAYLOR",1
--,"REBOUND DEF by PITTS,ALEC",,,,,,,"REBOUND DEF by PITTS,ALEC",1
13:23,"SUB IN by COURSON,TYLER",,,,,,,"SUB IN by COURSON,TYLER",1
13:23,"SUB OUT by JOVAAG,BRANDEN",,,,,,,"SUB OUT by JOVAAG,BRANDEN",1
13:23,,,,,"SUB IN by LOPEZ,COLLIN",,,"SUB IN by LOPEZ,COLLIN",1
13:23,,,,,"SUB OUT by ELLIS,BRYON",,,"SUB OUT by ELLIS,BRYON",1
13:12,"TURNOVER  by HAMILTON,PRICE",,,,,,,"TURNOVER  by HAMILTON,PRICE",1
13:10,,,,,"STEAL  by WHITESIDE,DONOVAN",,,"STEAL  by WHITESIDE,DONOVAN",1
13:08,,,,,"MISS LAYUP by NEWSOME,TAYLOR",,,"MISS LAYUP by NEWSOME,TAYLOR",1
--,"REBOUND DEF by HAMILTON,PRICE",,,,,,,"REBOUND DEF by HAMILTON,PRICE",1
12:54,"TURNOVER  by PITTS,ALEC",,,,,,,"TURNOVER  by PITTS,ALEC",1
12:53,,,,,"STEAL  by WHITESIDE,DONOVAN",,,"STEAL  by WHITESIDE,DONOVAN",1
12:48,"FOUL  by HAMILTON,PRICE",,,,,,,"FOUL  by HAMILTON,PRICE",1
12:48,"SUB IN by DAVIS,ALEX",,,,,,,"SUB IN by DAVIS,ALEX",1
12:48,"SUB IN by JOVAAG,BRANDEN",,,,,,,"SUB IN by JOVAAG,BRANDEN",1
12:48,"SUB OUT by MOLINET,CHRISTIAN",,,,,,,"SUB OUT by MOLINET,CHRISTIAN",1
12:48,"SUB OUT by PITTS,ALEC",,,,,,,"SUB OUT by PITTS,ALEC",1
12:48,,,,,"SUB IN by KARSNER,JOSH",,,"SUB IN by KARSNER,JOSH",1
12:48,,,,,"SUB OUT by NEWSOME,TAYLOR",,,"SUB OUT by NEWSOME,TAYLOR",1
12:31,,,,,"MISS 3PTR by KARSNER,JOSH",,,"MISS 3PTR by KARSNER,JOSH",1
--,,,,,"REBOUND OFF by HERTZEL,HOLDEN",,,"REBOUND OFF by HERTZEL,HOLDEN",1
