Time Remaining,CENTRE_M,Away Team Score,Play Team Indicator,Home Team Score,NCC,Game Score,Team Indicator,Play,Period
19:49,,,,,"TURNOVER  by RARIDON,DEREK",,,"TURNOVER  by RARIDON,DEREK",1
19:31,"GOOD JUMPER by SCINTA,BLAKE(in the paint)",2 (+2),,0,,CENTRE_M 2-0 (+2),,"GOOD JUMPER by SCINTA,BLAKE(in the paint)",1
19:09,,,,,"MISS LAYUP by ROURKE,PAT",,,"MISS LAYUP by ROURKE,PAT",1
--,,,,,"REBOUND OFF by ROURKE,PAT",,,"REBOUND OFF by ROURKE,PAT",1
19:05,,,,,"MISS JUMPER by GAMBLE,LANDON",,,"MISS JUMPER by GAMBLE,LANDON",1
--,"REBOUND DEF by WESLEY,TYLER",,,,,,,"REBOUND DEF by WESLEY,TYLER",1
18:58,"MISS JUMPER by TAYLOR,CHRIS",,,,,,,"MISS JUMPER by TAYLOR,CHRIS",1
--,,,,,"REBOUND DEF by TIKNIS,AARON",,,"REBOUND DEF by TIKNIS,AARON",1
18:48,,,,,"TURNOVER  by TIKNIS,AARON",,,"TURNOVER  by TIKNIS,AARON",1
18:27,"GOOD JUMPER by SCINTA,BLAKE(in the paint)",4 (+4),,0,,CENTRE_M 4-0 (+4),,"GOOD JUMPER by SCINTA,BLAKE(in the paint)",1
18:03,,,,,"TURNOVER  by GAMBLE,LANDON",,,"TURNOVER  by GAMBLE,LANDON",1
18:00,"STEAL  by KARSNER,JOSH",,,,,,,"STEAL  by KARSNER,JOSH",1
17:41,"TURNOVER  by TAYLOR,CHRIS",,,,,,,"TURNOVER  by TAYLOR,CHRIS",1
17:39,,,,,"STEAL  by TIKNIS,AARON",,,"STEAL  by TIKNIS,AARON",1
17:32,,4 (+2),,2,"GOOD LAYUP by ROURKE,PAT(in the paint)",NCC 4-2 (+2),,"GOOD LAYUP by ROURKE,PAT(in the paint)",1
--,,,,,"ASSIST  by GAMBLE,LANDON",,,"ASSIST  by GAMBLE,LANDON",1
17:11,"TURNOVER  by WESLEY,TYLER",,,,,,,"TURNOVER  by WESLEY,TYLER",1
17:11,"SUB IN by GRIGGS,MATT",,,,,,,"SUB IN by GRIGGS,MATT",1
17:11,"SUB OUT by TAYLOR,CHRIS",,,,,,,"SUB OUT by TAYLOR,CHRIS",1
17:01,,,,,"MISS JUMPER by RARIDON,DEREK",,,"MISS JUMPER by RARIDON,DEREK",1
--,,,,,"REBOUND OFF by TIKNIS,AARON",,,"REBOUND OFF by TIKNIS,AARON",1
16:57,,4,,4,"GOOD LAYUP by TIKNIS,AARON(in the paint)",NCC 4-4 (0),,"GOOD LAYUP by TIKNIS,AARON(in the paint)",1
16:39,"MISS 3PTR by ELLIS,BRYON",,,,,,,"MISS 3PTR by ELLIS,BRYON",1
--,"REBOUND OFF by GRIGGS,MATT",,,,,,,"REBOUND OFF by GRIGGS,MATT",1
16:20,"MISS LAYUP by GRIGGS,MATT",,,,,,,"MISS LAYUP by GRIGGS,MATT",1
16:20,,,,,"BLOCK  by GAMBLE,LANDON",,,"BLOCK  by GAMBLE,LANDON",1
--,"REBOUND OFF by WESLEY,TYLER",,,,,,,"REBOUND OFF by WESLEY,TYLER",1
16:16,"MISS LAYUP by WESLEY,TYLER",,,,,,,"MISS LAYUP by WESLEY,TYLER",1
--,,,,,"REBOUND DEF by ROURKE,PAT",,,"REBOUND DEF by ROURKE,PAT",1
16:16,"FOUL  by GRIGGS,MATT",,,,,,,"FOUL  by GRIGGS,MATT",1
16:16,"SUB IN by WHITESIDE,DONOVAN",,,,,,,"SUB IN by WHITESIDE,DONOVAN",1
16:16,"SUB OUT by KARSNER,JOSH",,,,,,,"SUB OUT by KARSNER,JOSH",1
16:00,,,,,"MISS LAYUP by GAMBLE,LANDON",,,"MISS LAYUP by GAMBLE,LANDON",1
--,"REBOUND DEF by GRIGGS,MATT",,,,,,,"REBOUND DEF by GRIGGS,MATT",1
15:53,"GOOD LAYUP by WESLEY,TYLER(fastbreak)(in the paint)",6 (+2),,4,,CENTRE_M 6-4 (+2),,"GOOD LAYUP by WESLEY,TYLER(fastbreak)(in the paint)",1
--,"ASSIST  by WHITESIDE,DONOVAN",,,,,,,"ASSIST  by WHITESIDE,DONOVAN",1
15:53,,,,,"FOUL  by GAMBLE,LANDON",,,"FOUL  by GAMBLE,LANDON",1
15:53,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
15:53,"MISS FT by WESLEY,TYLER",,,,,,,"MISS FT by WESLEY,TYLER",1
--,,,,,"REBOUND DEF by KMIEC,VINCE",,,"REBOUND DEF by KMIEC,VINCE",1
15:53,,,,,"SUB IN by ROSENBERG,CHARLIE",,,"SUB IN by ROSENBERG,CHARLIE",1
15:53,,,,,"SUB OUT by GAMBLE,LANDON",,,"SUB OUT by GAMBLE,LANDON",1
15:34,,6,,6,"GOOD JUMPER by ROSENBERG,CHARLIE(in the paint)",NCC 6-6 (0),,"GOOD JUMPER by ROSENBERG,CHARLIE(in the paint)",1
15:18,"TURNOVER  by SCINTA,BLAKE",,,,,,,"TURNOVER  by SCINTA,BLAKE",1
15:17,,,,,"STEAL  by ROSENBERG,CHARLIE",,,"STEAL  by ROSENBERG,CHARLIE",1
15:14,,6,,8 (+2),"GOOD DUNK by ROSENBERG,CHARLIE(in the paint)",NCC 6-8 (-2),,"GOOD DUNK by ROSENBERG,CHARLIE(in the paint)",1
14:59,"MISS JUMPER by ELLIS,BRYON",,,,,,,"MISS JUMPER by ELLIS,BRYON",1
--,,,,,"REBOUND DEF by TIKNIS,AARON",,,"REBOUND DEF by TIKNIS,AARON",1
14:50,,,,,"MISS 3PTR by TIKNIS,AARON",,,"MISS 3PTR by TIKNIS,AARON",1
--,"REBOUND DEF by GRIGGS,MATT",,,,,,,"REBOUND DEF by GRIGGS,MATT",1
14:39,"SUB IN by KARSNER,JOSH",,,,,,,"SUB IN by KARSNER,JOSH",1
14:39,"SUB OUT by SCINTA,BLAKE",,,,,,,"SUB OUT by SCINTA,BLAKE",1
14:39,,,,,"SUB IN by MERRITHEY,JACK",,,"SUB IN by MERRITHEY,JACK",1
14:39,,,,,"SUB OUT by ROURKE,PAT",,,"SUB OUT by ROURKE,PAT",1
14:31,"MISS LAYUP by ELLIS,BRYON",,,,,,,"MISS LAYUP by ELLIS,BRYON",1
14:31,,,,,"BLOCK  by KMIEC,VINCE",,,"BLOCK  by KMIEC,VINCE",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
14:17,"MISS JUMPER by WESLEY,TYLER",,,,,,,"MISS JUMPER by WESLEY,TYLER",1
--,,,,,"REBOUND DEF by TIKNIS,AARON",,,"REBOUND DEF by TIKNIS,AARON",1
13:54,,6,,10 (+4),"GOOD JUMPER by ROSENBERG,CHARLIE(in the paint)",NCC 6-10 (-4),,"GOOD JUMPER by ROSENBERG,CHARLIE(in the paint)",1
13:35,"MISS JUMPER by GRIGGS,MATT",,,,,,,"MISS JUMPER by GRIGGS,MATT",1
--,"REBOUND OFF by GRIGGS,MATT",,,,,,,"REBOUND OFF by GRIGGS,MATT",1
13:28,"MISS 3PTR by KARSNER,JOSH",,,,,,,"MISS 3PTR by KARSNER,JOSH",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
13:24,"SUB IN by LOPEZ,COLLIN",,,,,,,"SUB IN by LOPEZ,COLLIN",1
13:24,"SUB IN by HERTZEL,HOLDEN",,,,,,,"SUB IN by HERTZEL,HOLDEN",1
13:24,"SUB OUT by ELLIS,BRYON",,,,,,,"SUB OUT by ELLIS,BRYON",1
13:24,"SUB OUT by WESLEY,TYLER",,,,,,,"SUB OUT by WESLEY,TYLER",1
13:15,,,,,"TURNOVER  by MERRITHEY,JACK",,,"TURNOVER  by MERRITHEY,JACK",1
13:13,"STEAL  by WHITESIDE,DONOVAN",,,,,,,"STEAL  by WHITESIDE,DONOVAN",1
13:11,"MISS LAYUP by WHITESIDE,DONOVAN",,,,,,,"MISS LAYUP by WHITESIDE,DONOVAN",1
--,"REBOUND OFF by LOPEZ,COLLIN",,,,,,,"REBOUND OFF by LOPEZ,COLLIN",1
13:09,,,,,"FOUL  by TIKNIS,AARON",,,"FOUL  by TIKNIS,AARON",1
13:09,,,,,"SUB IN by BURCHETT,JACK",,,"SUB IN by BURCHETT,JACK",1
13:09,,,,,"SUB OUT by TIKNIS,AARON",,,"SUB OUT by TIKNIS,AARON",1
13:00,"MISS 3PTR by WHITESIDE,DONOVAN",,,,,,,"MISS 3PTR by WHITESIDE,DONOVAN",1
--,,,,,"REBOUND DEF by KMIEC,VINCE",,,"REBOUND DEF by KMIEC,VINCE",1
12:47,"FOUL  by HERTZEL,HOLDEN",,,,,,,"FOUL  by HERTZEL,HOLDEN",1
12:47,,,,,"MISS FT by ROSENBERG,CHARLIE",,,"MISS FT by ROSENBERG,CHARLIE",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
12:47,,6,,11 (+5),"GOOD FT by ROSENBERG,CHARLIE",NCC 6-11 (-5),,"GOOD FT by ROSENBERG,CHARLIE",1
12:47,"SUB IN by WESLEY,TYLER",,,,,,,"SUB IN by WESLEY,TYLER",1
12:47,"SUB OUT by HERTZEL,HOLDEN",,,,,,,"SUB OUT by HERTZEL,HOLDEN",1
12:35,"TURNOVER  by GRIGGS,MATT",,,,,,,"TURNOVER  by GRIGGS,MATT",1
12:35,,,,,"STEAL  by MERRITHEY,JACK",,,"STEAL  by MERRITHEY,JACK",1
12:31,"FOUL  by GRIGGS,MATT",,,,,,,"FOUL  by GRIGGS,MATT",1
12:31,,6,,12 (+6),"GOOD FT by MERRITHEY,JACK",NCC 6-12 (-6),,"GOOD FT by MERRITHEY,JACK",1
12:31,,6,,13 (+7),"GOOD FT by MERRITHEY,JACK",NCC 6-13 (-7),,"GOOD FT by MERRITHEY,JACK",1
12:31,"SUB IN by SCINTA,BLAKE",,,,,,,"SUB IN by SCINTA,BLAKE",1
12:31,"SUB IN by TAYLOR,CHRIS",,,,,,,"SUB IN by TAYLOR,CHRIS",1
12:31,"SUB OUT by GRIGGS,MATT",,,,,,,"SUB OUT by GRIGGS,MATT",1
12:31,"SUB OUT by WHITESIDE,DONOVAN",,,,,,,"SUB OUT by WHITESIDE,DONOVAN",1
12:31,,,,,"SUB IN by TIKNIS,AARON",,,"SUB IN by TIKNIS,AARON",1
12:31,,,,,"SUB IN by GAMBLE,LANDON",,,"SUB IN by GAMBLE,LANDON",1
12:31,,,,,"SUB OUT by RARIDON,DEREK",,,"SUB OUT by RARIDON,DEREK",1
12:31,,,,,"SUB OUT by ROSENBERG,CHARLIE",,,"SUB OUT by ROSENBERG,CHARLIE",1
12:12,"GOOD 3PTR by KARSNER,JOSH",9,,13 (+4),,CENTRE_M 9-13 (-4),,"GOOD 3PTR by KARSNER,JOSH",1
--,"ASSIST  by TAYLOR,CHRIS",,,,,,,"ASSIST  by TAYLOR,CHRIS",1
11:57,,9,,15 (+6),"GOOD LAYUP by GAMBLE,LANDON(in the paint)",NCC 9-15 (-6),,"GOOD LAYUP by GAMBLE,LANDON(in the paint)",1
--,,,,,"ASSIST  by BURCHETT,JACK",,,"ASSIST  by BURCHETT,JACK",1
11:43,"GOOD LAYUP by WESLEY,TYLER(in the paint)",11,,15 (+4),,CENTRE_M 11-15 (-4),,"GOOD LAYUP by WESLEY,TYLER(in the paint)",1
--,"ASSIST  by TAYLOR,CHRIS",,,,,,,"ASSIST  by TAYLOR,CHRIS",1
11:21,,,,,"MISS LAYUP by BURCHETT,JACK",,,"MISS LAYUP by BURCHETT,JACK",1
--,,,,,"REBOUND OFF by BURCHETT,JACK",,,"REBOUND OFF by BURCHETT,JACK",1
11:09,,11,,17 (+6),"GOOD LAYUP by TIKNIS,AARON(in the paint)",NCC 11-17 (-6),,"GOOD LAYUP by TIKNIS,AARON(in the paint)",1
--,,,,,"ASSIST  by BURCHETT,JACK",,,"ASSIST  by BURCHETT,JACK",1
11:05,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
11:05,"SUB IN by WHITESIDE,DONOVAN",,,,,,,"SUB IN by WHITESIDE,DONOVAN",1
11:05,"SUB IN by ELLIS,BRYON",,,,,,,"SUB IN by ELLIS,BRYON",1
11:05,"SUB OUT by LOPEZ,COLLIN",,,,,,,"SUB OUT by LOPEZ,COLLIN",1
11:05,"SUB OUT by KARSNER,JOSH",,,,,,,"SUB OUT by KARSNER,JOSH",1
10:59,"MISS 3PTR by ELLIS,BRYON",,,,,,,"MISS 3PTR by ELLIS,BRYON",1
