Time Remaining,OUM,Away Team Score,Play Team Indicator,Home Team Score,CENTRE_M,Game Score,Team Indicator,Play,Period
19:35,"GOOD JUMPER by DAVIS,ALEX(in the paint)",2 (+2),,0,,OUM 2-0 (-2),,"GOOD JUMPER by DAVIS,ALEX(in the paint)",1
19:08,,,,,"MISS LAYUP by SCINTA,BLAKE",,,"MISS LAYUP by SCINTA,BLAKE",1
--,"REBOUND DEF by JOVAAG,BRANDEN",,,,,,,"REBOUND DEF by JOVAAG,BRANDEN",1
18:58,,,,,"FOUL  by WESLEY,TYLER",,,"FOUL  by WESLEY,TYLER",1
18:58,"MISS FT by DAVIS,ALEX",,,,,,,"MISS FT by DAVIS,ALEX",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
18:58,"GOOD FT by DAVIS,ALEX",3 (+3),,0,,OUM 3-0 (-3),,"GOOD FT by DAVIS,ALEX",1
18:38,,,,,"MISS 3PTR by KARSNER,JOSH",,,"MISS 3PTR by KARSNER,JOSH",1
--,"REBOUND DEF by KINNEY,JORDAN",,,,,,,"REBOUND DEF by KINNEY,JORDAN",1
18:25,"GOOD JUMPER by KINNEY,JORDAN",5 (+5),,0,,OUM 5-0 (-5),,"GOOD JUMPER by KINNEY,JORDAN",1
17:58,,5 (+2),,3,"GOOD 3PTR by ELLIS,BRYON",CENTRE_M 5-3 (-2),,"GOOD 3PTR by ELLIS,BRYON",1
--,,,,,"ASSIST  by SCINTA,BLAKE",,,"ASSIST  by SCINTA,BLAKE",1
17:36,"GOOD JUMPER by KINNEY,JORDAN",7 (+4),,3,,OUM 7-3 (-4),,"GOOD JUMPER by KINNEY,JORDAN",1
--,"ASSIST  by PURDY,SAM",,,,,,,"ASSIST  by PURDY,SAM",1
17:11,,,,,"MISS 3PTR by ELLIS,BRYON",,,"MISS 3PTR by ELLIS,BRYON",1
--,,,,,"REBOUND OFF by WESLEY,TYLER",,,"REBOUND OFF by WESLEY,TYLER",1
17:10,"FOUL  by PURDY,SAM",,,,,,,"FOUL  by PURDY,SAM",1
17:10,"SUB IN by PITTS,ALEC",,,,,,,"SUB IN by PITTS,ALEC",1
17:10,"SUB OUT by DAVIS,ALEX",,,,,,,"SUB OUT by DAVIS,ALEX",1
17:10,,,,,"SUB IN by WHITESIDE,DONOVAN",,,"SUB IN by WHITESIDE,DONOVAN",1
17:10,,,,,"SUB OUT by SCINTA,BLAKE",,,"SUB OUT by SCINTA,BLAKE",1
17:00,,7 (+2),,5,"GOOD JUMPER by ELLIS,BRYON(in the paint)",CENTRE_M 7-5 (-2),,"GOOD JUMPER by ELLIS,BRYON(in the paint)",1
16:53,"MISS 3PTR by JOVAAG,BRANDEN",,,,,,,"MISS 3PTR by JOVAAG,BRANDEN",1
--,,,,,"REBOUND DEF by WHITESIDE,DONOVAN",,,"REBOUND DEF by WHITESIDE,DONOVAN",1
16:45,,,,,"MISS 3PTR by KARSNER,JOSH",,,"MISS 3PTR by KARSNER,JOSH",1
--,"REBOUND DEF by PITTS,ALEC",,,,,,,"REBOUND DEF by PITTS,ALEC",1
16:33,"MISS 3PTR by MOLINET,CHRISTIAN",,,,,,,"MISS 3PTR by MOLINET,CHRISTIAN",1
--,,,,,"REBOUND DEF by WESLEY,TYLER",,,"REBOUND DEF by WESLEY,TYLER",1
16:15,"SUB IN by COURSON,TYLER",,,,,,,"SUB IN by COURSON,TYLER",1
16:15,"SUB IN by PATRICK,DREW",,,,,,,"SUB IN by PATRICK,DREW",1
16:15,"SUB OUT by PURDY,SAM",,,,,,,"SUB OUT by PURDY,SAM",1
16:15,"SUB OUT by KINNEY,JORDAN",,,,,,,"SUB OUT by KINNEY,JORDAN",1
16:06,,7,,7,"GOOD JUMPER by ELLIS,BRYON(in the paint)",CENTRE_M 7-7 (0),,"GOOD JUMPER by ELLIS,BRYON(in the paint)",1
15:48,"MISS LAYUP by COURSON,TYLER",,,,,,,"MISS LAYUP by COURSON,TYLER",1
15:48,,,,,"BLOCK  by WESLEY,TYLER",,,"BLOCK  by WESLEY,TYLER",1
--,,,,,"REBOUND DEF by TAYLOR,CHRIS",,,"REBOUND DEF by TAYLOR,CHRIS",1
15:42,,7,,10 (+3),"GOOD 3PTR by WHITESIDE,DONOVAN",CENTRE_M 7-10 (+3),,"GOOD 3PTR by WHITESIDE,DONOVAN",1
--,,,,,"ASSIST  by TAYLOR,CHRIS",,,"ASSIST  by TAYLOR,CHRIS",1
15:30,"MISS 3PTR by COURSON,TYLER",,,,,,,"MISS 3PTR by COURSON,TYLER",1
--,,,,,"REBOUND DEF by WESLEY,TYLER",,,"REBOUND DEF by WESLEY,TYLER",1
15:16,,,,,"MISS JUMPER by WESLEY,TYLER",,,"MISS JUMPER by WESLEY,TYLER",1
15:16,"BLOCK  by PATRICK,DREW",,,,,,,"BLOCK  by PATRICK,DREW",1
--,,,,,"REBOUND OFF by WHITESIDE,DONOVAN",,,"REBOUND OFF by WHITESIDE,DONOVAN",1
15:12,,,,,"TURNOVER  by WHITESIDE,DONOVAN",,,"TURNOVER  by WHITESIDE,DONOVAN",1
15:11,"STEAL  by COURSON,TYLER",,,,,,,"STEAL  by COURSON,TYLER",1
15:01,"MISS 3PTR by PITTS,ALEC",,,,,,,"MISS 3PTR by PITTS,ALEC",1
--,,,,,"REBOUND DEF by ELLIS,BRYON",,,"REBOUND DEF by ELLIS,BRYON",1
14:51,,,,,"MISS JUMPER by TAYLOR,CHRIS",,,"MISS JUMPER by TAYLOR,CHRIS",1
