Time Remaining,CENTRE,Away Team Score,Play Team Indicator,Home Team Score,KALAMAZO,Game Score,Team Indicator,Play,Period
19:36,,,,,"MISS 3PTR by BLYLY,TANNER",,,"MISS 3PTR by BLYLY,TANNER",1
--,"REBOUND DEF by BATES,JACOB",,,,,,,"REBOUND DEF by BATES,JACOB",1
19:29,"TURNOVER  by AYERS,PERRY",,,,,,,"TURNOVER  by AYERS,PERRY",1
19:22,,,,,"TURNOVER  by BLYLY,TANNER",,,"TURNOVER  by BLYLY,TANNER",1
19:21,"STEAL  by AYERS,PERRY",,,,,,,"STEAL  by AYERS,PERRY",1
19:19,"GOOD LAYUP by AYERS,PERRY(in the paint)",2 (+2),,0,,CENTRE 2-0 (+2),,"GOOD LAYUP by AYERS,PERRY(in the paint)",1
19:07,,,,,"MISS JUMPER by VINCENT,JEREMIAH",,,"MISS JUMPER by VINCENT,JEREMIAH",1
--,"REBOUND DEF by BATES,JACOB",,,,,,,"REBOUND DEF by BATES,JACOB",1
18:57,"MISS 3PTR by SINE,TUCKER",,,,,,,"MISS 3PTR by SINE,TUCKER",1
--,,,,,"REBOUND DEF by OLLIE,BASS",,,"REBOUND DEF by OLLIE,BASS",1
18:48,,,,,"MISS LAYUP by OLLIE,BASS",,,"MISS LAYUP by OLLIE,BASS",1
--,"REBOUND DEF by BATES,JACOB",,,,,,,"REBOUND DEF by BATES,JACOB",1
18:27,"TURNOVER  by BATES,JACOB",,,,,,,"TURNOVER  by BATES,JACOB",1
18:26,,,,,"STEAL  by OLLIE,BASS",,,"STEAL  by OLLIE,BASS",1
18:24,,2,,2,"GOOD LAYUP by OLLIE,BASS(in the paint)",KALAMAZO 2-2 (0),,"GOOD LAYUP by OLLIE,BASS(in the paint)",1
17:53,"MISS 3PTR by AYERS,PERRY",,,,,,,"MISS 3PTR by AYERS,PERRY",1
--,"REBOUND OFF by SINE,TUCKER",,,,,,,"REBOUND OFF by SINE,TUCKER",1
17:50,"MISS 3PTR by WALKER,ART",,,,,,,"MISS 3PTR by WALKER,ART",1
--,,,,,"REBOUND DEF by OLLIE,BASS",,,"REBOUND DEF by OLLIE,BASS",1
17:32,"FOUL  by AYERS,PERRY",,,,,,,"FOUL  by AYERS,PERRY",1
17:32,,2,,3 (+1),"GOOD FT by HAMANN,MERRITT",KALAMAZO 2-3 (-1),,"GOOD FT by HAMANN,MERRITT",1
17:32,,2,,4 (+2),"GOOD FT by HAMANN,MERRITT",KALAMAZO 2-4 (-2),,"GOOD FT by HAMANN,MERRITT",1
17:15,"GOOD LAYUP by WALKER,ART(in the paint)",4,,4,,CENTRE 4-4 (0),,"GOOD LAYUP by WALKER,ART(in the paint)",1
--,"ASSIST  by BATES,JACOB",,,,,,,"ASSIST  by BATES,JACOB",1
17:04,,,,,"MISS 3PTR by HUMES,TRE",,,"MISS 3PTR by HUMES,TRE",1
