Time Remaining,BCM,Away Team Score,Play Team Indicator,Home Team Score,CENTRE-M,Game Score,Team Indicator,Play,Period
19:31,"MISS LAYUP by HIRSH,ELIJAH",,,,,,,"MISS LAYUP by HIRSH,ELIJAH",1
--,"REBOUND OFF by HIRSH,ELIJAH",,,,,,,"REBOUND OFF by HIRSH,ELIJAH",1
19:26,"GOOD 3PTR by JOHNSON,CORY",3 (+3),,0,,BCM 3-0 (-3),,"GOOD 3PTR by JOHNSON,CORY",1
--,"ASSIST  by HIRSH,ELIJAH",,,,,,,"ASSIST  by HIRSH,ELIJAH",1
19:08,,,,,"MISS 3PTR by WALKER,ART",,,"MISS 3PTR by WALKER,ART",1
--,"REBOUND DEF by CLARK,ETHAN",,,,,,,"REBOUND DEF by CLARK,ETHAN",1
18:49,"GOOD LAYUP by HAYNES,CALEB(in the paint)",5 (+5),,0,,BCM 5-0 (-5),,"GOOD LAYUP by HAYNES,CALEB(in the paint)",1
18:21,,,,,"MISS 3PTR by GRIFFIN,JAROD",,,"MISS 3PTR by GRIFFIN,JAROD",1
--,"REBOUND DEF by JOHNSON,CORY",,,,,,,"REBOUND DEF by JOHNSON,CORY",1
17:53,"GOOD 3PTR by MOORE,MYLES",8 (+8),,0,,BCM 8-0 (-8),,"GOOD 3PTR by MOORE,MYLES",1
--,"ASSIST  by CLARK,ETHAN",,,,,,,"ASSIST  by CLARK,ETHAN",1
17:43,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
17:43,,,,,"SUB IN by RAKES,BAILEY",,,"SUB IN by RAKES,BAILEY",1
17:43,,,,,"SUB IN by SPITZER,JAKOB",,,"SUB IN by SPITZER,JAKOB",1
17:43,,,,,"SUB OUT by GRIFFIN,JAROD",,,"SUB OUT by GRIFFIN,JAROD",1
17:43,,,,,"SUB OUT by BATES,JACOB",,,"SUB OUT by BATES,JACOB",1
17:27,,,,,"MISS 3PTR by SINE,TUCKER",,,"MISS 3PTR by SINE,TUCKER",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
17:11,"MISS 3PTR by HIRSH,ELIJAH",,,,,,,"MISS 3PTR by HIRSH,ELIJAH",1
--,,,,,"REBOUND DEF by WALKER,ART",,,"REBOUND DEF by WALKER,ART",1
17:02,,,,,"MISS JUMPER by AYERS,PERRY",,,"MISS JUMPER by AYERS,PERRY",1
--,,,,,"REBOUND OFF by SINE,TUCKER",,,"REBOUND OFF by SINE,TUCKER",1
16:58,"FOUL  by CLARK,ETHAN",,,,,,,"FOUL  by CLARK,ETHAN",1
16:58,,8 (+7),,1,"GOOD FT by SINE,TUCKER",CENTRE-M 8-1 (-7),,"GOOD FT by SINE,TUCKER",1
16:58,,8 (+6),,2,"GOOD FT by SINE,TUCKER",CENTRE-M 8-2 (-6),,"GOOD FT by SINE,TUCKER",1
16:36,"TURNOVER  by HIRSH,ELIJAH",,,,,,,"TURNOVER  by HIRSH,ELIJAH",1
16:09,,,,,"MISS JUMPER by RAKES,BAILEY",,,"MISS JUMPER by RAKES,BAILEY",1
--,"REBOUND DEF by CLARK,ETHAN",,,,,,,"REBOUND DEF by CLARK,ETHAN",1
15:48,"GOOD LAYUP by HIRSH,ELIJAH(in the paint)",10 (+8),,2,,BCM 10-2 (-8),,"GOOD LAYUP by HIRSH,ELIJAH(in the paint)",1
15:35,,10 (+5),,5,"GOOD 3PTR by RAKES,BAILEY",CENTRE-M 10-5 (-5),,"GOOD 3PTR by RAKES,BAILEY",1
--,,,,,"ASSIST  by SINE,TUCKER",,,"ASSIST  by SINE,TUCKER",1
15:09,"TURNOVER  by JOHNSON,CORY",,,,,,,"TURNOVER  by JOHNSON,CORY",1
15:05,,,,,"STEAL  by SINE,TUCKER",,,"STEAL  by SINE,TUCKER",1
15:04,,,,,"MISS LAYUP by SINE,TUCKER",,,"MISS LAYUP by SINE,TUCKER",1
--,"REBOUND DEF by CLARK,ETHAN",,,,,,,"REBOUND DEF by CLARK,ETHAN",1
14:45,"GOOD JUMPER by MOORE,MYLES(in the paint)",12 (+7),,5,,BCM 12-5 (-7),,"GOOD JUMPER by MOORE,MYLES(in the paint)",1
14:23,,12 (+5),,7,"GOOD LAYUP by AYERS,PERRY(in the paint)",CENTRE-M 12-7 (-5),,"GOOD LAYUP by AYERS,PERRY(in the paint)",1
13:58,"GOOD 3PTR by MOORE,MYLES",15 (+8),,7,,BCM 15-7 (-8),,"GOOD 3PTR by MOORE,MYLES",1
13:31,,,,,"MISS 3PTR by SINE,TUCKER",,,"MISS 3PTR by SINE,TUCKER",1
--,"REBOUND DEF by CLARK,ETHAN",,,,,,,"REBOUND DEF by CLARK,ETHAN",1
13:03,"TURNOVER  by JOHNSON,CORY",,,,,,,"TURNOVER  by JOHNSON,CORY",1
13:01,,,,,"STEAL  by RAKES,BAILEY",,,"STEAL  by RAKES,BAILEY",1
12:59,"FOUL  by MOORE,MYLES",,,,,,,"FOUL  by MOORE,MYLES",1
12:59,,,,,TIMEOUT MEDIA by TEAM,,,TIMEOUT MEDIA by TEAM,1
12:57,,15 (+7),,8,"GOOD FT by RAKES,BAILEY",CENTRE-M 15-8 (-7),,"GOOD FT by RAKES,BAILEY",1
12:57,,15 (+6),,9,"GOOD FT by RAKES,BAILEY",CENTRE-M 15-9 (-6),,"GOOD FT by RAKES,BAILEY",1
12:57,"SUB IN by WEHUNT,DAWSON",,,,,,,"SUB IN by WEHUNT,DAWSON",1
12:57,"SUB IN by ATKINSON,QUINN",,,,,,,"SUB IN by ATKINSON,QUINN",1
12:57,"SUB OUT by JOHNSON,CORY",,,,,,,"SUB OUT by JOHNSON,CORY",1
12:57,"SUB OUT by HAYNES,CALEB",,,,,,,"SUB OUT by HAYNES,CALEB",1
12:57,,,,,"SUB IN by GRIFFIN,JAROD",,,"SUB IN by GRIFFIN,JAROD",1
12:57,,,,,"SUB IN by GERALD,DUSTIN",,,"SUB IN by GERALD,DUSTIN",1
12:57,,,,,"SUB IN by CRUMP,DAWSON",,,"SUB IN by CRUMP,DAWSON",1
12:57,,,,,"SUB OUT by RAKES,BAILEY",,,"SUB OUT by RAKES,BAILEY",1
12:57,,,,,"SUB OUT by SINE,TUCKER",,,"SUB OUT by SINE,TUCKER",1
12:57,,,,,"SUB OUT by AYERS,PERRY",,,"SUB OUT by AYERS,PERRY",1
12:30,"MISS LAYUP by HIRSH,ELIJAH",,,,,,,"MISS LAYUP by HIRSH,ELIJAH",1
--,"REBOUND OFF by ATKINSON,QUINN",,,,,,,"REBOUND OFF by ATKINSON,QUINN",1
12:06,"TURNOVER  by HIRSH,ELIJAH",,,,,,,"TURNOVER  by HIRSH,ELIJAH",1
12:05,,,,,"STEAL  by SPITZER,JAKOB",,,"STEAL  by SPITZER,JAKOB",1
11:50,,15 (+3),,12,"GOOD 3PTR by WALKER,ART",CENTRE-M 15-12 (-3),,"GOOD 3PTR by WALKER,ART",1
--,,,,,"ASSIST  by GRIFFIN,JAROD",,,"ASSIST  by GRIFFIN,JAROD",1
11:27,,,,,"FOUL  by SPITZER,JAKOB",,,"FOUL  by SPITZER,JAKOB",1
11:27,,,,,TIMEOUT MEDIA by TEAM,,,TIMEOUT MEDIA by TEAM,1
11:27,"GOOD FT by HIRSH,ELIJAH",16 (+4),,12,,BCM 16-12 (-4),,"GOOD FT by HIRSH,ELIJAH",1
11:27,"MISS FT by HIRSH,ELIJAH",,,,,,,"MISS FT by HIRSH,ELIJAH",1
--,,,,,"REBOUND DEF by GERALD,DUSTIN",,,"REBOUND DEF by GERALD,DUSTIN",1
11:27,"SUB IN by CUMMINGS,DREW",,,,,,,"SUB IN by CUMMINGS,DREW",1
11:27,"SUB IN by HASLAM,ETHAN",,,,,,,"SUB IN by HASLAM,ETHAN",1
11:27,"SUB OUT by MOORE,MYLES",,,,,,,"SUB OUT by MOORE,MYLES",1
11:27,"SUB OUT by CLARK,ETHAN",,,,,,,"SUB OUT by CLARK,ETHAN",1
11:27,,,,,"SUB IN by BATES,JACOB",,,"SUB IN by BATES,JACOB",1
11:27,,,,,"SUB OUT by SPITZER,JAKOB",,,"SUB OUT by SPITZER,JAKOB",1
11:12,,,,,"MISS LAYUP by GERALD,DUSTIN",,,"MISS LAYUP by GERALD,DUSTIN",1
--,"REBOUND DEF by HIRSH,ELIJAH",,,,,,,"REBOUND DEF by HIRSH,ELIJAH",1
11:03,,,,,"FOUL  by CRUMP,DAWSON",,,"FOUL  by CRUMP,DAWSON",1
11:03,"SUB IN by HAYNES,CALEB",,,,,,,"SUB IN by HAYNES,CALEB",1
11:03,"SUB OUT by HIRSH,ELIJAH",,,,,,,"SUB OUT by HIRSH,ELIJAH",1
10:45,"GOOD LAYUP by HASLAM,ETHAN(in the paint)",18 (+6),,12,,BCM 18-12 (-6),,"GOOD LAYUP by HASLAM,ETHAN(in the paint)",1
10:24,,,,,"MISS 3PTR by CRUMP,DAWSON",,,"MISS 3PTR by CRUMP,DAWSON",1
--,"REBOUND DEF by HAYNES,CALEB",,,,,,,"REBOUND DEF by HAYNES,CALEB",1
10:19,"FOUL  by ATKINSON,QUINN",,,,,,,"FOUL  by ATKINSON,QUINN",1
10:19,"TURNOVER  by ATKINSON,QUINN",,,,,,,"TURNOVER  by ATKINSON,QUINN",1
10:03,,18 (+3),,15,"GOOD 3PTR by WALKER,ART",CENTRE-M 18-15 (-3),,"GOOD 3PTR by WALKER,ART",1
--,,,,,"ASSIST  by GRIFFIN,JAROD",,,"ASSIST  by GRIFFIN,JAROD",1
09:41,"MISS LAYUP by HAYNES,CALEB",,,,,,,"MISS LAYUP by HAYNES,CALEB",1
09:41,,,,,"BLOCK  by BATES,JACOB",,,"BLOCK  by BATES,JACOB",1
--,,,,,"REBOUND DEF by BATES,JACOB",,,"REBOUND DEF by BATES,JACOB",1
09:30,,,,,"SUB IN by AYERS,PERRY",,,"SUB IN by AYERS,PERRY",1
09:30,,,,,"SUB IN by PURVIS,KC",,,"SUB IN by PURVIS,KC",1
09:30,,,,,"SUB IN by RAKES,BAILEY",,,"SUB IN by RAKES,BAILEY",1
09:30,,,,,"SUB OUT by WALKER,ART",,,"SUB OUT by WALKER,ART",1
09:30,,,,,"SUB OUT by GERALD,DUSTIN",,,"SUB OUT by GERALD,DUSTIN",1
09:30,,,,,"SUB OUT by CRUMP,DAWSON",,,"SUB OUT by CRUMP,DAWSON",1
09:28,"FOUL  by HASLAM,ETHAN",,,,,,,"FOUL  by HASLAM,ETHAN",1
09:26,,,,,"MISS FT by BATES,JACOB",,,"MISS FT by BATES,JACOB",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
09:25,,18 (+2),,16,"GOOD FT by BATES,JACOB",CENTRE-M 18-16 (-2),,"GOOD FT by BATES,JACOB",1
09:17,"GOOD LAYUP by ATKINSON,QUINN(in the paint)",20 (+4),,16,,BCM 20-16 (-4),,"GOOD LAYUP by ATKINSON,QUINN(in the paint)",1
08:57,,20 (+2),,18,"GOOD LAYUP by PURVIS,KC(in the paint)",CENTRE-M 20-18 (-2),,"GOOD LAYUP by PURVIS,KC(in the paint)",1
--,,,,,"ASSIST  by BATES,JACOB",,,"ASSIST  by BATES,JACOB",1
08:47,"MISS 3PTR by ATKINSON,QUINN",,,,,,,"MISS 3PTR by ATKINSON,QUINN",1
--,,,,,"REBOUND DEF by AYERS,PERRY",,,"REBOUND DEF by AYERS,PERRY",1
08:35,,,,,"TURNOVER  by AYERS,PERRY",,,"TURNOVER  by AYERS,PERRY",1
08:33,"STEAL  by HASLAM,ETHAN",,,,,,,"STEAL  by HASLAM,ETHAN",1
08:20,"MISS 3PTR by CUMMINGS,DREW",,,,,,,"MISS 3PTR by CUMMINGS,DREW",1
--,,,,,"REBOUND DEF by GRIFFIN,JAROD",,,"REBOUND DEF by GRIFFIN,JAROD",1
07:52,,20,,20,"GOOD JUMPER by AYERS,PERRY",CENTRE-M 20-20 (0),,"GOOD JUMPER by AYERS,PERRY",1
07:31,"TURNOVER  by CUMMINGS,DREW",,,,,,,"TURNOVER  by CUMMINGS,DREW",1
07:30,,,,,"STEAL  by RAKES,BAILEY",,,"STEAL  by RAKES,BAILEY",1
07:24,,,,,"MISS JUMPER by AYERS,PERRY",,,"MISS JUMPER by AYERS,PERRY",1
--,,,,,"REBOUND OFF by RAKES,BAILEY",,,"REBOUND OFF by RAKES,BAILEY",1
07:17,,20,,22 (+2),"GOOD TIPIN by RAKES,BAILEY(in the paint)",CENTRE-M 20-22 (+2),,"GOOD TIPIN by RAKES,BAILEY(in the paint)",1
07:08,,,,,"FOUL  by BATES,JACOB",,,"FOUL  by BATES,JACOB",1
07:08,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
07:08,"MISS FT by ATKINSON,QUINN",,,,,,,"MISS FT by ATKINSON,QUINN",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
07:08,"GOOD FT by ATKINSON,QUINN",21,,22 (+1),,BCM 21-22 (+1),,"GOOD FT by ATKINSON,QUINN",1
07:08,"SUB IN by CLARK,ETHAN",,,,,,,"SUB IN by CLARK,ETHAN",1
07:08,"SUB IN by MOORE,MYLES",,,,,,,"SUB IN by MOORE,MYLES",1
07:08,"SUB IN by HIRSH,ELIJAH",,,,,,,"SUB IN by HIRSH,ELIJAH",1
07:08,"SUB IN by JOHNSON,CORY",,,,,,,"SUB IN by JOHNSON,CORY",1
07:08,"SUB OUT by WEHUNT,DAWSON",,,,,,,"SUB OUT by WEHUNT,DAWSON",1
07:08,"SUB OUT by CUMMINGS,DREW",,,,,,,"SUB OUT by CUMMINGS,DREW",1
07:08,"SUB OUT by HASLAM,ETHAN",,,,,,,"SUB OUT by HASLAM,ETHAN",1
07:08,"SUB OUT by ATKINSON,QUINN",,,,,,,"SUB OUT by ATKINSON,QUINN",1
07:08,,,,,"SUB IN by GERALD,DUSTIN",,,"SUB IN by GERALD,DUSTIN",1
07:08,,,,,"SUB IN by SPITZER,JAKOB",,,"SUB IN by SPITZER,JAKOB",1
07:08,,,,,"SUB IN by SINE,TUCKER",,,"SUB IN by SINE,TUCKER",1
07:08,,,,,"SUB IN by CRUMP,DAWSON",,,"SUB IN by CRUMP,DAWSON",1
07:08,,,,,"SUB IN by WALKER,ART",,,"SUB IN by WALKER,ART",1
07:08,,,,,"SUB OUT by GRIFFIN,JAROD",,,"SUB OUT by GRIFFIN,JAROD",1
07:08,,,,,"SUB OUT by PURVIS,KC",,,"SUB OUT by PURVIS,KC",1
07:08,,,,,"SUB OUT by BATES,JACOB",,,"SUB OUT by BATES,JACOB",1
06:51,,,,,"MISS 3PTR by AYERS,PERRY",,,"MISS 3PTR by AYERS,PERRY",1
06:51,"BLOCK  by MOORE,MYLES",,,,,,,"BLOCK  by MOORE,MYLES",1
--,"REBOUND DEF by MOORE,MYLES",,,,,,,"REBOUND DEF by MOORE,MYLES",1
06:27,"MISS 3PTR by HIRSH,ELIJAH",,,,,,,"MISS 3PTR by HIRSH,ELIJAH",1
--,,,,,"REBOUND DEF by SINE,TUCKER",,,"REBOUND DEF by SINE,TUCKER",1
06:12,,,,,"MISS LAYUP by SINE,TUCKER",,,"MISS LAYUP by SINE,TUCKER",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
05:55,,,,,"TURNOVER  by AYERS,PERRY",,,"TURNOVER  by AYERS,PERRY",1
05:53,"STEAL  by MOORE,MYLES",,,,,,,"STEAL  by MOORE,MYLES",1
05:51,"GOOD LAYUP by MOORE,MYLES(fastbreak)(in the paint)",23 (+1),,22,,BCM 23-22 (-1),,"GOOD LAYUP by MOORE,MYLES(fastbreak)(in the paint)",1
05:29,,,,,"MISS JUMPER by SPITZER,JAKOB",,,"MISS JUMPER by SPITZER,JAKOB",1
--,"REBOUND DEF by CLARK,ETHAN",,,,,,,"REBOUND DEF by CLARK,ETHAN",1
05:11,"MISS 3PTR by CLARK,ETHAN",,,,,,,"MISS 3PTR by CLARK,ETHAN",1
--,,,,,"REBOUND DEF by SPITZER,JAKOB",,,"REBOUND DEF by SPITZER,JAKOB",1
05:01,,23,,25 (+2),"GOOD 3PTR by SINE,TUCKER",CENTRE-M 23-25 (+2),,"GOOD 3PTR by SINE,TUCKER",1
--,,,,,"ASSIST  by WALKER,ART",,,"ASSIST  by WALKER,ART",1
04:43,"GOOD JUMPER by JOHNSON,CORY",25,,25,,BCM 25-25 (0),,"GOOD JUMPER by JOHNSON,CORY",1
04:12,,25,,27 (+2),"GOOD LAYUP by SPITZER,JAKOB(in the paint)",CENTRE-M 25-27 (+2),,"GOOD LAYUP by SPITZER,JAKOB(in the paint)",1
--,,,,,"ASSIST  by SINE,TUCKER",,,"ASSIST  by SINE,TUCKER",1
03:47,"TURNOVER  by HIRSH,ELIJAH",,,,,,,"TURNOVER  by HIRSH,ELIJAH",1
03:46,,,,,"STEAL  by SINE,TUCKER",,,"STEAL  by SINE,TUCKER",1
03:44,"FOUL  by CLARK,ETHAN",,,,,,,"FOUL  by CLARK,ETHAN",1
03:44,,,,,TIMEOUT MEDIA by TEAM,,,TIMEOUT MEDIA by TEAM,1
03:44,"SUB IN by HASLAM,ETHAN",,,,,,,"SUB IN by HASLAM,ETHAN",1
03:44,"SUB OUT by CLARK,ETHAN",,,,,,,"SUB OUT by CLARK,ETHAN",1
03:44,,,,,"SUB IN by GRIFFIN,JAROD",,,"SUB IN by GRIFFIN,JAROD",1
03:44,,,,,"SUB IN by BATES,JACOB",,,"SUB IN by BATES,JACOB",1
03:44,,,,,"SUB OUT by RAKES,BAILEY",,,"SUB OUT by RAKES,BAILEY",1
03:44,,,,,"SUB OUT by SPITZER,JAKOB",,,"SUB OUT by SPITZER,JAKOB",1
03:44,,,,,"SUB OUT by SINE,TUCKER",,,"SUB OUT by SINE,TUCKER",1
03:20,,,,,"MISS 3PTR by CRUMP,DAWSON",,,"MISS 3PTR by CRUMP,DAWSON",1
--,"REBOUND DEF by HASLAM,ETHAN",,,,,,,"REBOUND DEF by HASLAM,ETHAN",1
02:54,"GOOD LAYUP by HASLAM,ETHAN(in the paint)",27,,27,,BCM 27-27 (0),,"GOOD LAYUP by HASLAM,ETHAN(in the paint)",1
02:45,,,,,"MISS LAYUP by AYERS,PERRY",,,"MISS LAYUP by AYERS,PERRY",1
