Time Remaining,CENTRE-M,Away Team Score,Play Team Indicator,Home Team Score,BC,Game Score,Team Indicator,Play,Period
19:43,,,,,"MISS LAYUP by MINNICK-TUCKER,DEMET",,,"MISS LAYUP by MINNICK-TUCKER,DEMET",1
--,"REBOUND DEF by RAKES,BAILEY",,,,,,,"REBOUND DEF by RAKES,BAILEY",1
19:33,"GOOD 3PTR by SINE,TUCKER",3 (+3),,0,,CENTRE-M 3-0 (+3),,"GOOD 3PTR by SINE,TUCKER",1
--,"ASSIST  by AYERS,PERRY",,,,,,,"ASSIST  by AYERS,PERRY",1
19:15,,,,,"MISS JUMPER by KIRBY,KEVIN",,,"MISS JUMPER by KIRBY,KEVIN",1
--,"REBOUND DEF by WALKER,ART",,,,,,,"REBOUND DEF by WALKER,ART",1
19:06,"TURNOVER  by BATES,JACOB",,,,,,,"TURNOVER  by BATES,JACOB",1
19:05,,,,,"STEAL  by BENHAM,BAILEY",,,"STEAL  by BENHAM,BAILEY",1
18:55,,,,,"MISS 3PTR by BENHAM,BAILEY",,,"MISS 3PTR by BENHAM,BAILEY",1
--,"REBOUND DEF by BATES,JACOB",,,,,,,"REBOUND DEF by BATES,JACOB",1
18:36,"MISS JUMPER by BATES,JACOB",,,,,,,"MISS JUMPER by BATES,JACOB",1
--,,,,,"REBOUND DEF by KIRBY,KEVIN",,,"REBOUND DEF by KIRBY,KEVIN",1
18:17,,3 (+1),,2,"GOOD LAYUP by CALDWELL,AJ(in the paint)",BC 3-2 (+1),,"GOOD LAYUP by CALDWELL,AJ(in the paint)",1
17:59,"GOOD 3PTR by SINE,TUCKER",6 (+4),,2,,CENTRE-M 6-2 (+4),,"GOOD 3PTR by SINE,TUCKER",1
--,"ASSIST  by RAKES,BAILEY",,,,,,,"ASSIST  by RAKES,BAILEY",1
17:35,,,,,"MISS JUMPER by BENHAM,BAILEY",,,"MISS JUMPER by BENHAM,BAILEY",1
--,,,,,"REBOUND OFF by ALEXAKOS,LEONIDAS",,,"REBOUND OFF by ALEXAKOS,LEONIDAS",1
17:30,,6 (+2),,4,"GOOD LAYUP by ALEXAKOS,LEONIDAS(in the paint)",BC 6-4 (+2),,"GOOD LAYUP by ALEXAKOS,LEONIDAS(in the paint)",1
17:08,"TURNOVER  by WALKER,ART",,,,,,,"TURNOVER  by WALKER,ART",1
17:06,,,,,"STEAL  by ALEXAKOS,LEONIDAS",,,"STEAL  by ALEXAKOS,LEONIDAS",1
17:02,,,,,"MISS JUMPER by ALEXAKOS,LEONIDAS",,,"MISS JUMPER by ALEXAKOS,LEONIDAS",1
--,"REBOUND DEF by BATES,JACOB",,,,,,,"REBOUND DEF by BATES,JACOB",1
16:55,"GOOD LAYUP by WALKER,ART(fastbreak)(in the paint)",8 (+4),,4,,CENTRE-M 8-4 (+4),,"GOOD LAYUP by WALKER,ART(fastbreak)(in the paint)",1
--,"ASSIST  by BATES,JACOB",,,,,,,"ASSIST  by BATES,JACOB",1
16:36,,,,,"TURNOVER  by CALDWELL,AJ",,,"TURNOVER  by CALDWELL,AJ",1
16:34,"STEAL  by RAKES,BAILEY",,,,,,,"STEAL  by RAKES,BAILEY",1
16:31,"FOUL  by AYERS,PERRY",,,,,,,"FOUL  by AYERS,PERRY",1
16:31,"TURNOVER  by AYERS,PERRY",,,,,,,"TURNOVER  by AYERS,PERRY",1
16:31,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
16:31,,,,,"SUB IN by GIBSON,ISAAC",,,"SUB IN by GIBSON,ISAAC",1
16:31,,,,,"SUB OUT by KIRBY,KEVIN",,,"SUB OUT by KIRBY,KEVIN",1
16:30,,,,,"MISS LAYUP by GIBSON,ISAAC",,,"MISS LAYUP by GIBSON,ISAAC",1
16:29,"BLOCK  by BATES,JACOB",,,,,,,"BLOCK  by BATES,JACOB",1
--,,,,,"REBOUND OFF by GIBSON,ISAAC",,,"REBOUND OFF by GIBSON,ISAAC",1
16:20,,,,,"MISS LAYUP by GIBSON,ISAAC",,,"MISS LAYUP by GIBSON,ISAAC",1
--,,,,,"REBOUND OFF by ALEXAKOS,LEONIDAS",,,"REBOUND OFF by ALEXAKOS,LEONIDAS",1
16:15,,,,,"MISS LAYUP by MINNICK-TUCKER,DEMET",,,"MISS LAYUP by MINNICK-TUCKER,DEMET",1
--,"REBOUND DEF by BATES,JACOB",,,,,,,"REBOUND DEF by BATES,JACOB",1
16:12,"GOOD 3PTR by SINE,TUCKER",11 (+7),,4,,CENTRE-M 11-4 (+7),,"GOOD 3PTR by SINE,TUCKER",1
--,"ASSIST  by BATES,JACOB",,,,,,,"ASSIST  by BATES,JACOB",1
15:53,"FOUL  by WALKER,ART",,,,,,,"FOUL  by WALKER,ART",1
15:53,,11 (+6),,5,"GOOD FT by BENHAM,BAILEY",BC 11-5 (+6),,"GOOD FT by BENHAM,BAILEY",1
15:44,,,,,"MISS FT by BENHAM,BAILEY",,,"MISS FT by BENHAM,BAILEY",1
--,"REBOUND DEF by PURVIS,KC",,,,,,,"REBOUND DEF by PURVIS,KC",1
15:44,"SUB IN by PURVIS,KC",,,,,,,"SUB IN by PURVIS,KC",1
15:44,"SUB IN by CRUMP,DAWSON",,,,,,,"SUB IN by CRUMP,DAWSON",1
15:33,,,,,"FOUL  by MINNICK-TUCKER,DEMET",,,"FOUL  by MINNICK-TUCKER,DEMET",1
15:12,"MISS 3PTR by SINE,TUCKER",,,,,,,"MISS 3PTR by SINE,TUCKER",1
--,,,,,"REBOUND DEF by MINNICK-TUCKER,DEMET",,,"REBOUND DEF by MINNICK-TUCKER,DEMET",1
14:54,,,,,"TURNOVER  by CALDWELL,AJ",,,"TURNOVER  by CALDWELL,AJ",1
14:52,"STEAL  by PURVIS,KC",,,,,,,"STEAL  by PURVIS,KC",1
14:50,"GOOD LAYUP by SINE,TUCKER(fastbreak)(in the paint)",13 (+8),,5,,CENTRE-M 13-5 (+8),,"GOOD LAYUP by SINE,TUCKER(fastbreak)(in the paint)",1
--,"ASSIST  by PURVIS,KC",,,,,,,"ASSIST  by PURVIS,KC",1
14:37,,13 (+6),,7,"GOOD LAYUP by BENHAM,BAILEY(in the paint)",BC 13-7 (+6),,"GOOD LAYUP by BENHAM,BAILEY(in the paint)",1
--,,,,,"ASSIST  by MINNICK-TUCKER,DEMET",,,"ASSIST  by MINNICK-TUCKER,DEMET",1
14:29,"MISS 3PTR by WALKER,ART",,,,,,,"MISS 3PTR by WALKER,ART",1
--,,,,,"REBOUND DEF by MINNICK-TUCKER,DEMET",,,"REBOUND DEF by MINNICK-TUCKER,DEMET",1
13:46,,,,,"MISS JUMPER by GIBSON,ISAAC",,,"MISS JUMPER by GIBSON,ISAAC",1
--,,,,,"REBOUND OFF by ALEXAKOS,LEONIDAS",,,"REBOUND OFF by ALEXAKOS,LEONIDAS",1
13:46,,13 (+4),,9,"GOOD LAYUP by ALEXAKOS,LEONIDAS(in the paint)",BC 13-9 (+4),,"GOOD LAYUP by ALEXAKOS,LEONIDAS(in the paint)",1
13:46,,,,,"FOUL  by KIRBY,KEVIN",,,"FOUL  by KIRBY,KEVIN",1
13:46,"MISS FT by PURVIS,KC",,,,,,,"MISS FT by PURVIS,KC",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
13:46,"GOOD FT by PURVIS,KC",14 (+5),,9,,CENTRE-M 14-9 (+5),,"GOOD FT by PURVIS,KC",1
13:46,"SUB IN by GRIFFIN,JAROD",,,,,,,"SUB IN by GRIFFIN,JAROD",1
13:46,"SUB IN by GERALD,DUSTIN",,,,,,,"SUB IN by GERALD,DUSTIN",1
13:46,"SUB IN by BROWNLEY,HOGAN",,,,,,,"SUB IN by BROWNLEY,HOGAN",1
13:46,,,,,"SUB IN by KIRBY,KEVIN",,,"SUB IN by KIRBY,KEVIN",1
13:46,,,,,"SUB IN by WRIGHT,SCOTT",,,"SUB IN by WRIGHT,SCOTT",1
13:43,"FOUL  by GRIFFIN,JAROD",,,,,,,"FOUL  by GRIFFIN,JAROD",1
13:43,,14 (+4),,10,"GOOD FT by GIBSON,ISAAC",BC 14-10 (+4),,"GOOD FT by GIBSON,ISAAC",1
13:43,,,,,"MISS FT by GIBSON,ISAAC",,,"MISS FT by GIBSON,ISAAC",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
13:43,,14 (+3),,11,"GOOD FT by GIBSON,ISAAC",BC 14-11 (+3),,"GOOD FT by GIBSON,ISAAC",1
13:10,,,,,"SUB IN by TURNER,NICKOLAS",,,"SUB IN by TURNER,NICKOLAS",1
13:10,,,,,"SUB IN by NAUERT,TYLER",,,"SUB IN by NAUERT,TYLER",1
13:08,"MISS LAYUP by GERALD,DUSTIN",,,,,,,"MISS LAYUP by GERALD,DUSTIN",1
--,"REBOUND OFF by BROWNLEY,HOGAN",,,,,,,"REBOUND OFF by BROWNLEY,HOGAN",1
13:02,"GOOD JUMPER by GERALD,DUSTIN",16 (+5),,11,,CENTRE-M 16-11 (+5),,"GOOD JUMPER by GERALD,DUSTIN",1
12:55,,,,,"MISS LAYUP by BENHAM,BAILEY",,,"MISS LAYUP by BENHAM,BAILEY",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
12:21,"TURNOVER  by GERALD,DUSTIN",,,,,,,"TURNOVER  by GERALD,DUSTIN",1
12:19,,,,,"STEAL  by WRIGHT,SCOTT",,,"STEAL  by WRIGHT,SCOTT",1
12:13,"FOUL  by CRUMP,DAWSON",,,,,,,"FOUL  by CRUMP,DAWSON",1
12:08,,16 (+4),,12,"GOOD FT by TURNER,NICKOLAS",BC 16-12 (+4),,"GOOD FT by TURNER,NICKOLAS",1
12:08,,16 (+3),,13,"GOOD FT by TURNER,NICKOLAS",BC 16-13 (+3),,"GOOD FT by TURNER,NICKOLAS",1
12:07,,,,,"FOUL  by NAUERT,TYLER",,,"FOUL  by NAUERT,TYLER",1
12:00,"GOOD 3PTR by CRUMP,DAWSON",19 (+6),,13,,CENTRE-M 19-13 (+6),,"GOOD 3PTR by CRUMP,DAWSON",1
--,"ASSIST  by GRIFFIN,JAROD",,,,,,,"ASSIST  by GRIFFIN,JAROD",1
11:47,,,,,"MISS 3PTR by WRIGHT,SCOTT",,,"MISS 3PTR by WRIGHT,SCOTT",1
--,"REBOUND DEF by BROWNLEY,HOGAN",,,,,,,"REBOUND DEF by BROWNLEY,HOGAN",1
11:07,"SUB IN by SPITZER,JAKOB",,,,,,,"SUB IN by SPITZER,JAKOB",1
11:07,"SUB OUT by PURVIS,KC",,,,,,,"SUB OUT by PURVIS,KC",1
11:06,"GOOD JUMPER by SPITZER,JAKOB",21 (+8),,13,,CENTRE-M 21-13 (+8),,"GOOD JUMPER by SPITZER,JAKOB",1
11:04,,,,,"TURNOVER  by WRIGHT,SCOTT",,,"TURNOVER  by WRIGHT,SCOTT",1
10:41,,,,,"SUB IN by KAYS,SAM",,,"SUB IN by KAYS,SAM",1
10:39,"GOOD LAYUP by CRUMP,DAWSON(in the paint)",23 (+10),,13,,CENTRE-M 23-13 (+10),,"GOOD LAYUP by CRUMP,DAWSON(in the paint)",1
--,"ASSIST  by BROWNLEY,HOGAN",,,,,,,"ASSIST  by BROWNLEY,HOGAN",1
10:31,,23 (+7),,16,"GOOD 3PTR by TURNER,NICKOLAS",BC 23-16 (+7),,"GOOD 3PTR by TURNER,NICKOLAS",1
--,,,,,"ASSIST  by GIBSON,ISAAC",,,"ASSIST  by GIBSON,ISAAC",1
10:21,"MISS LAYUP by SINE,TUCKER",,,,,,,"MISS LAYUP by SINE,TUCKER",1
--,,,,,"REBOUND OFF by KIRBY,KEVIN",,,"REBOUND OFF by KIRBY,KEVIN",1
10:11,,23 (+5),,18,"GOOD LAYUP by CALDWELL,AJ(in the paint)",BC 23-18 (+5),,"GOOD LAYUP by CALDWELL,AJ(in the paint)",1
09:57,"MISS LAYUP by SPITZER,JAKOB",,,,,,,"MISS LAYUP by SPITZER,JAKOB",1
--,,,,,"REBOUND DEF by KIRBY,KEVIN",,,"REBOUND DEF by KIRBY,KEVIN",1
09:51,,,,,"MISS 3PTR by CALDWELL,AJ",,,"MISS 3PTR by CALDWELL,AJ",1
--,,,,,"REBOUND OFF by TURNER,NICKOLAS",,,"REBOUND OFF by TURNER,NICKOLAS",1
09:34,,23 (+3),,20,"GOOD LAYUP by TURNER,NICKOLAS(in the paint)",BC 23-20 (+3),,"GOOD LAYUP by TURNER,NICKOLAS(in the paint)",1
09:18,,,,,"FOUL  by CALDWELL,AJ",,,"FOUL  by CALDWELL,AJ",1
09:08,"TURNOVER  by AYERS,PERRY",,,,,,,"TURNOVER  by AYERS,PERRY",1
09:07,,,,,"STEAL  by KIRBY,KEVIN",,,"STEAL  by KIRBY,KEVIN",1
09:04,"FOUL  by BATES,JACOB",,,,,,,"FOUL  by BATES,JACOB",1
08:21,,,,,"SUB OUT by TURNER,NICKOLAS",,,"SUB OUT by TURNER,NICKOLAS",1
08:18,,23 (+1),,22,"GOOD JUMPER by KIRBY,KEVIN",BC 23-22 (+1),,"GOOD JUMPER by KIRBY,KEVIN",1
--,,,,,"ASSIST  by CALDWELL,AJ",,,"ASSIST  by CALDWELL,AJ",1
08:10,"MISS JUMPER by SINE,TUCKER",,,,,,,"MISS JUMPER by SINE,TUCKER",1
--,,,,,"REBOUND DEF by KIRBY,KEVIN",,,"REBOUND DEF by KIRBY,KEVIN",1
08:02,,,,,"MISS 3PTR by GIBSON,ISAAC",,,"MISS 3PTR by GIBSON,ISAAC",1
--,"REBOUND DEF by BATES,JACOB",,,,,,,"REBOUND DEF by BATES,JACOB",1
07:53,"GOOD 3PTR by AYERS,PERRY",26 (+4),,22,,CENTRE-M 26-22 (+4),,"GOOD 3PTR by AYERS,PERRY",1
--,"ASSIST  by SINE,TUCKER",,,,,,,"ASSIST  by SINE,TUCKER",1
07:30,,,,,"SUB OUT by KIRBY,KEVIN",,,"SUB OUT by KIRBY,KEVIN",1
07:29,,,,,"TURNOVER  by KAYS,SAM",,,"TURNOVER  by KAYS,SAM",1
07:24,"MISS 3PTR by SINE,TUCKER",,,,,,,"MISS 3PTR by SINE,TUCKER",1
--,"REBOUND OFF by WALKER,ART",,,,,,,"REBOUND OFF by WALKER,ART",1
07:17,,,,,"FOUL  by KAYS,SAM",,,"FOUL  by KAYS,SAM",1
06:58,,,,,"SUB OUT by GIBSON,ISAAC",,,"SUB OUT by GIBSON,ISAAC",1
06:56,"MISS 3PTR by RAKES,BAILEY",,,,,,,"MISS 3PTR by RAKES,BAILEY",1
--,,,,,"REBOUND DEF by CALDWELL,AJ",,,"REBOUND DEF by CALDWELL,AJ",1
06:56,,,,,"MISS 3PTR by WRIGHT,SCOTT",,,"MISS 3PTR by WRIGHT,SCOTT",1
--,"REBOUND DEF by AYERS,PERRY",,,,,,,"REBOUND DEF by AYERS,PERRY",1
06:56,,,,,"FOUL  by BENHAM,BAILEY",,,"FOUL  by BENHAM,BAILEY",1
06:56,"TURNOVER  by AYERS,PERRY",,,,,,,"TURNOVER  by AYERS,PERRY",1
06:56,,,,,"SUB IN by TURNER,NICKOLAS",,,"SUB IN by TURNER,NICKOLAS",1
06:56,,,,,"SUB OUT by MINNICK-TUCKER,DEMET",,,"SUB OUT by MINNICK-TUCKER,DEMET",1
06:54,,26 (+2),,24,"GOOD LAYUP by BENHAM,BAILEY(in the paint)",BC 26-24 (+2),,"GOOD LAYUP by BENHAM,BAILEY(in the paint)",1
06:44,,,,,"FOUL  by BENHAM,BAILEY",,,"FOUL  by BENHAM,BAILEY",1
06:44,"GOOD FT by WALKER,ART",27 (+3),,24,,CENTRE-M 27-24 (+3),,"GOOD FT by WALKER,ART",1
06:44,"GOOD FT by WALKER,ART",28 (+4),,24,,CENTRE-M 28-24 (+4),,"GOOD FT by WALKER,ART",1
06:44,"SUB IN by PURVIS,KC",,,,,,,"SUB IN by PURVIS,KC",1
06:44,"SUB OUT by BATES,JACOB",,,,,,,"SUB OUT by BATES,JACOB",1
06:44,,,,,"SUB OUT by BENHAM,BAILEY",,,"SUB OUT by BENHAM,BAILEY",1
06:39,,,,,"FOUL  by WRIGHT,SCOTT",,,"FOUL  by WRIGHT,SCOTT",1
06:39,,,,,"TURNOVER  by WRIGHT,SCOTT",,,"TURNOVER  by WRIGHT,SCOTT",1
06:31,"MISS JUMPER by WALKER,ART",,,,,,,"MISS JUMPER by WALKER,ART",1
--,"REBOUND OFF by SINE,TUCKER",,,,,,,"REBOUND OFF by SINE,TUCKER",1
06:20,"MISS 3PTR by WALKER,ART",,,,,,,"MISS 3PTR by WALKER,ART",1
--,"REBOUND OFF by PURVIS,KC",,,,,,,"REBOUND OFF by PURVIS,KC",1
06:11,"GOOD LAYUP by WALKER,ART(in the paint)",30 (+6),,24,,CENTRE-M 30-24 (+6),,"GOOD LAYUP by WALKER,ART(in the paint)",1
06:06,,,,,"FOUL  by KAYS,SAM",,,"FOUL  by KAYS,SAM",1
05:57,"GOOD FT by WALKER,ART",31 (+7),,24,,CENTRE-M 31-24 (+7),,"GOOD FT by WALKER,ART",1
05:36,,,,,"TURNOVER  by CALDWELL,AJ",,,"TURNOVER  by CALDWELL,AJ",1
05:36,,,,,"SUB IN by HAMBY,RONYELL",,,"SUB IN by HAMBY,RONYELL",1
05:36,,,,,"SUB IN by KIRBY,KEVIN",,,"SUB IN by KIRBY,KEVIN",1
05:35,"MISS 3PTR by SINE,TUCKER",,,,,,,"MISS 3PTR by SINE,TUCKER",1
--,,,,,"REBOUND DEF by TURNER,NICKOLAS",,,"REBOUND DEF by TURNER,NICKOLAS",1
05:34,,,,,"MISS LAYUP by ALEXAKOS,LEONIDAS",,,"MISS LAYUP by ALEXAKOS,LEONIDAS",1
--,"REBOUND DEF by WALKER,ART",,,,,,,"REBOUND DEF by WALKER,ART",1
05:28,"GOOD LAYUP by AYERS,PERRY(fastbreak)(in the paint)",33 (+9),,24,,CENTRE-M 33-24 (+9),,"GOOD LAYUP by AYERS,PERRY(fastbreak)(in the paint)",1
--,"ASSIST  by WALKER,ART",,,,,,,"ASSIST  by WALKER,ART",1
05:12,,,,,"TURNOVER  by GIBSON,ISAAC",,,"TURNOVER  by GIBSON,ISAAC",1
05:10,"STEAL  by SINE,TUCKER",,,,,,,"STEAL  by SINE,TUCKER",1
05:06,"GOOD LAYUP by SINE,TUCKER(fastbreak)(in the paint)",35 (+11),,24,,CENTRE-M 35-24 (+11),,"GOOD LAYUP by SINE,TUCKER(fastbreak)(in the paint)",1
05:06,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
05:06,"SUB OUT by RAKES,BAILEY",,,,,,,"SUB OUT by RAKES,BAILEY",1
05:06,,,,,"SUB IN by BENHAM,BAILEY",,,"SUB IN by BENHAM,BAILEY",1
05:06,,,,,"SUB IN by MINNICK-TUCKER,DEMET",,,"SUB IN by MINNICK-TUCKER,DEMET",1
05:06,,,,,"SUB OUT by HAMBY,RONYELL",,,"SUB OUT by HAMBY,RONYELL",1
05:03,,35 (+9),,26,"GOOD LAYUP by KIRBY,KEVIN(in the paint)",BC 35-26 (+9),,"GOOD LAYUP by KIRBY,KEVIN(in the paint)",1
04:39,,,,,"FOUL  by KAYS,SAM",,,"FOUL  by KAYS,SAM",1
04:39,"GOOD FT by SINE,TUCKER",36 (+10),,26,,CENTRE-M 36-26 (+10),,"GOOD FT by SINE,TUCKER",1
04:33,"GOOD FT by SINE,TUCKER",37 (+11),,26,,CENTRE-M 37-26 (+11),,"GOOD FT by SINE,TUCKER",1
04:33,,,,,"SUB OUT by KAYS,SAM",,,"SUB OUT by KAYS,SAM",1
04:19,,37 (+9),,28,"GOOD JUMPER by MINNICK-TUCKER,DEMET",BC 37-28 (+9),,"GOOD JUMPER by MINNICK-TUCKER,DEMET",1
--,,,,,"ASSIST  by KIRBY,KEVIN",,,"ASSIST  by KIRBY,KEVIN",1
04:05,"GOOD LAYUP by GRIFFIN,JAROD(in the paint)",39 (+11),,28,,CENTRE-M 39-28 (+11),,"GOOD LAYUP by GRIFFIN,JAROD(in the paint)",1
03:45,,,,,"MISS JUMPER by BENHAM,BAILEY",,,"MISS JUMPER by BENHAM,BAILEY",1
--,"REBOUND DEF by AYERS,PERRY",,,,,,,"REBOUND DEF by AYERS,PERRY",1
03:39,"GOOD LAYUP by PURVIS,KC(fastbreak)(in the paint)",41 (+13),,28,,CENTRE-M 41-28 (+13),,"GOOD LAYUP by PURVIS,KC(fastbreak)(in the paint)",1
--,"ASSIST  by AYERS,PERRY",,,,,,,"ASSIST  by AYERS,PERRY",1
03:27,,,,,"TURNOVER  by CALDWELL,AJ",,,"TURNOVER  by CALDWELL,AJ",1
03:24,"STEAL  by AYERS,PERRY",,,,,,,"STEAL  by AYERS,PERRY",1
03:22,"MISS 3PTR by CRUMP,DAWSON",,,,,,,"MISS 3PTR by CRUMP,DAWSON",1
--,,,,,"REBOUND DEF by MINNICK-TUCKER,DEMET",,,"REBOUND DEF by MINNICK-TUCKER,DEMET",1
03:15,,,,,"MISS LAYUP by MINNICK-TUCKER,DEMET",,,"MISS LAYUP by MINNICK-TUCKER,DEMET",1
--,"REBOUND DEF by CRUMP,DAWSON",,,,,,,"REBOUND DEF by CRUMP,DAWSON",1
03:08,"MISS 3PTR by GRIFFIN,JAROD",,,,,,,"MISS 3PTR by GRIFFIN,JAROD",1
--,,,,,"REBOUND DEF by CALDWELL,AJ",,,"REBOUND DEF by CALDWELL,AJ",1
02:50,,,,,"MISS 3PTR by WRIGHT,SCOTT",,,"MISS 3PTR by WRIGHT,SCOTT",1
