Time Remaining,CENTRE-M,Away Team Score,Play Team Indicator,Home Team Score,HENDRIX,Game Score,Team Indicator,Play,Period
10:56,,,,,"MISS JUMPER by EATON,JACK",,,"MISS JUMPER by EATON,JACK",1
--,"REBOUND DEF by CRUMP,DAWSON",,,,,,,"REBOUND DEF by CRUMP,DAWSON",1
10:42,"MISS 3PTR by CRUMP,DAWSON",,,,,,,"MISS 3PTR by CRUMP,DAWSON",1
--,,,,,"REBOUND DEF by ROUSE,TREY",,,"REBOUND DEF by ROUSE,TREY",1
10:31,,,,,"FOUL  by ROUSE,TREY",,,"FOUL  by ROUSE,TREY",1
10:31,"SUB IN by RAKES,BAILEY",,,,,,,"SUB IN by RAKES,BAILEY",1
10:31,"SUB OUT by PURVIS,KC",,,,,,,"SUB OUT by PURVIS,KC",1
10:31,,,,,"SUB IN by FITCH,CARL",,,"SUB IN by FITCH,CARL",1
10:31,,,,,"SUB OUT by STANLEY,SETH",,,"SUB OUT by STANLEY,SETH",1
10:13,"GOOD LAYUP by WALKER,ART(in the paint)",12 (+8),,4,,CENTRE-M 12-4 (+8),,"GOOD LAYUP by WALKER,ART(in the paint)",1
09:57,,,,,"TURNOVER  by CALAMESE,MICHAEL",,,"TURNOVER  by CALAMESE,MICHAEL",1
09:47,"TURNOVER  by GRIFFIN,JAROD",,,,,,,"TURNOVER  by GRIFFIN,JAROD",1
09:47,"SUB IN by PURVIS,KC",,,,,,,"SUB IN by PURVIS,KC",1
09:47,"SUB OUT by WALKER,ART",,,,,,,"SUB OUT by WALKER,ART",1
09:39,,,,,"MISS LAYUP by RIDING,JAKE",,,"MISS LAYUP by RIDING,JAKE",1
--,"REBOUND DEF by GERALD,DUSTIN",,,,,,,"REBOUND DEF by GERALD,DUSTIN",1
09:23,"FOUL  by GERALD,DUSTIN",,,,,,,"FOUL  by GERALD,DUSTIN",1
09:10,,,,,"MISS JUMPER by EATON,JACK",,,"MISS JUMPER by EATON,JACK",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
09:04,"SUB IN by WALKER,ART",,,,,,,"SUB IN by WALKER,ART",1
09:04,"SUB IN by AYERS,PERRY",,,,,,,"SUB IN by AYERS,PERRY",1
09:04,"SUB IN by SPITZER,JAKOB",,,,,,,"SUB IN by SPITZER,JAKOB",1
09:04,"SUB OUT by CRUMP,DAWSON",,,,,,,"SUB OUT by CRUMP,DAWSON",1
09:04,"SUB OUT by GERALD,DUSTIN",,,,,,,"SUB OUT by GERALD,DUSTIN",1
09:04,"SUB OUT by PURVIS,KC",,,,,,,"SUB OUT by PURVIS,KC",1
09:04,,,,,"SUB IN by COMAN,SEAN",,,"SUB IN by COMAN,SEAN",1
09:04,,,,,"SUB IN by SMITH,PRESTON",,,"SUB IN by SMITH,PRESTON",1
09:04,,,,,"SUB IN by LINK,JACOB",,,"SUB IN by LINK,JACOB",1
09:04,,,,,"SUB OUT by ROUSE,TREY",,,"SUB OUT by ROUSE,TREY",1
09:04,,,,,"SUB OUT by CALAMESE,MICHAEL",,,"SUB OUT by CALAMESE,MICHAEL",1
09:04,,,,,"SUB OUT by EATON,JACK",,,"SUB OUT by EATON,JACK",1
09:01,"GOOD JUMPER by SPITZER,JAKOB(in the paint)",14 (+10),,4,,CENTRE-M 14-4 (+10),,"GOOD JUMPER by SPITZER,JAKOB(in the paint)",1
08:43,,,,,"TURNOVER  by RIDING,JAKE",,,"TURNOVER  by RIDING,JAKE",1
08:30,"STEAL  by SPITZER,JAKOB",,,,,,,"STEAL  by SPITZER,JAKOB",1
08:30,,,,,"FOUL  by RIDING,JAKE",,,"FOUL  by RIDING,JAKE",1
08:30,"GOOD FT by WALKER,ART",15 (+11),,4,,CENTRE-M 15-4 (+11),,"GOOD FT by WALKER,ART",1
08:30,"GOOD FT by WALKER,ART",16 (+12),,4,,CENTRE-M 16-4 (+12),,"GOOD FT by WALKER,ART",1
08:30,"SUB IN by PURVIS,KC",,,,,,,"SUB IN by PURVIS,KC",1
08:30,"SUB OUT by WALKER,ART",,,,,,,"SUB OUT by WALKER,ART",1
08:30,,,,,"SUB IN by STANLEY,SETH",,,"SUB IN by STANLEY,SETH",1
08:30,,,,,"SUB OUT by RIDING,JAKE",,,"SUB OUT by RIDING,JAKE",1
08:23,,,,,"TURNOVER  by STANLEY,SETH",,,"TURNOVER  by STANLEY,SETH",1
08:23,"SUB IN by WALKER,ART",,,,,,,"SUB IN by WALKER,ART",1
08:23,"SUB OUT by PURVIS,KC",,,,,,,"SUB OUT by PURVIS,KC",1
08:08,"GOOD 3PTR by RAKES,BAILEY",19 (+15),,4,,CENTRE-M 19-4 (+15),,"GOOD 3PTR by RAKES,BAILEY",1
--,"ASSIST  by WALKER,ART",,,,,,,"ASSIST  by WALKER,ART",1
07:41,"FOUL  by SPITZER,JAKOB",,,,,,,"FOUL  by SPITZER,JAKOB",1
07:38,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,1
07:38,,,,,"MISS FT by LINK,JACOB",,,"MISS FT by LINK,JACOB",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
07:38,,,,,"MISS FT by LINK,JACOB",,,"MISS FT by LINK,JACOB",1
--,"REBOUND DEF by SPITZER,JAKOB",,,,,,,"REBOUND DEF by SPITZER,JAKOB",1
07:22,"GOOD JUMPER by SPITZER,JAKOB",21 (+17),,4,,CENTRE-M 21-4 (+17),,"GOOD JUMPER by SPITZER,JAKOB",1
--,"ASSIST  by RAKES,BAILEY",,,,,,,"ASSIST  by RAKES,BAILEY",1
07:03,"FOUL  by RAKES,BAILEY",,,,,,,"FOUL  by RAKES,BAILEY",1
06:58,,21 (+16),,5,"GOOD FT by SMITH,PRESTON",HENDRIX 21-5 (+16),,"GOOD FT by SMITH,PRESTON",1
06:51,,21 (+15),,6,"GOOD FT by SMITH,PRESTON",HENDRIX 21-6 (+15),,"GOOD FT by SMITH,PRESTON",1
06:35,"GOOD LAYUP by RAKES,BAILEY(in the paint)",23 (+17),,6,,CENTRE-M 23-6 (+17),,"GOOD LAYUP by RAKES,BAILEY(in the paint)",1
06:11,,23 (+14),,9,"GOOD 3PTR by STANLEY,SETH",HENDRIX 23-9 (+14),,"GOOD 3PTR by STANLEY,SETH",1
--,,,,,"ASSIST  by FITCH,CARL",,,"ASSIST  by FITCH,CARL",1
05:52,"MISS 3PTR by SINE,TUCKER",,,,,,,"MISS 3PTR by SINE,TUCKER",1
--,,,,,"REBOUND DEF by FITCH,CARL",,,"REBOUND DEF by FITCH,CARL",1
05:23,,23 (+11),,12,"GOOD 3PTR by SMITH,PRESTON",HENDRIX 23-12 (+11),,"GOOD 3PTR by SMITH,PRESTON",1
--,,,,,"ASSIST  by LINK,JACOB",,,"ASSIST  by LINK,JACOB",1
05:01,"GOOD LAYUP by WALKER,ART(in the paint)",25 (+13),,12,,CENTRE-M 25-12 (+13),,"GOOD LAYUP by WALKER,ART(in the paint)",1
04:46,,25 (+11),,14,"GOOD JUMPER by FITCH,CARL",HENDRIX 25-14 (+11),,"GOOD JUMPER by FITCH,CARL",1
04:23,"MISS 3PTR by AYERS,PERRY",,,,,,,"MISS 3PTR by AYERS,PERRY",1
--,"REBOUND OFF by SINE,TUCKER",,,,,,,"REBOUND OFF by SINE,TUCKER",1
04:19,,,,,"FOUL  by SMITH,PRESTON",,,"FOUL  by SMITH,PRESTON",1
04:19,"GOOD FT by SINE,TUCKER",26 (+12),,14,,CENTRE-M 26-14 (+12),,"GOOD FT by SINE,TUCKER",1
04:14,"GOOD FT by SINE,TUCKER",27 (+13),,14,,CENTRE-M 27-14 (+13),,"GOOD FT by SINE,TUCKER",1
04:14,,,,,"MISS 3PTR by FITCH,CARL",,,"MISS 3PTR by FITCH,CARL",1
--,"REBOUND DEF by AYERS,PERRY",,,,,,,"REBOUND DEF by AYERS,PERRY",1
04:14,"SUB IN by PURVIS,KC",,,,,,,"SUB IN by PURVIS,KC",1
04:14,"SUB IN by SINE,TUCKER",,,,,,,"SUB IN by SINE,TUCKER",1
04:14,"SUB IN by CRUMP,DAWSON",,,,,,,"SUB IN by CRUMP,DAWSON",1
04:14,"SUB IN by GERALD,DUSTIN",,,,,,,"SUB IN by GERALD,DUSTIN",1
04:14,"SUB OUT by WALKER,ART",,,,,,,"SUB OUT by WALKER,ART",1
04:14,"SUB OUT by SPITZER,JAKOB",,,,,,,"SUB OUT by SPITZER,JAKOB",1
04:14,"SUB OUT by RAKES,BAILEY",,,,,,,"SUB OUT by RAKES,BAILEY",1
04:14,"SUB OUT by GRIFFIN,JAROD",,,,,,,"SUB OUT by GRIFFIN,JAROD",1
04:11,"FOUL  by PURVIS,KC",,,,,,,"FOUL  by PURVIS,KC",1
04:01,"SUB IN by SPITZER,JAKOB",,,,,,,"SUB IN by SPITZER,JAKOB",1
04:01,"SUB IN by GRIFFIN,JAROD",,,,,,,"SUB IN by GRIFFIN,JAROD",1
04:01,"SUB OUT by PURVIS,KC",,,,,,,"SUB OUT by PURVIS,KC",1
04:01,"SUB OUT by SINE,TUCKER",,,,,,,"SUB OUT by SINE,TUCKER",1
04:01,,,,,"SUB IN by ROUSE,TREY",,,"SUB IN by ROUSE,TREY",1
04:01,,,,,"SUB OUT by LINK,JACOB",,,"SUB OUT by LINK,JACOB",1
03:41,,27 (+11),,16,"GOOD LAYUP by ROUSE,TREY(in the paint)",HENDRIX 27-16 (+11),,"GOOD LAYUP by ROUSE,TREY(in the paint)",1
03:22,"TURNOVER  by AYERS,PERRY",,,,,,,"TURNOVER  by AYERS,PERRY",1
03:06,,27 (+9),,18,"GOOD DUNK by FITCH,CARL(in the paint)",HENDRIX 27-18 (+9),,"GOOD DUNK by FITCH,CARL(in the paint)",1
--,,,,,"ASSIST  by ROUSE,TREY",,,"ASSIST  by ROUSE,TREY",1
03:00,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
02:49,"GOOD JUMPER by GERALD,DUSTIN(in the paint)",29 (+11),,18,,CENTRE-M 29-18 (+11),,"GOOD JUMPER by GERALD,DUSTIN(in the paint)",1
02:32,,,,,"MISS JUMPER by SMITH,PRESTON",,,"MISS JUMPER by SMITH,PRESTON",1
--,,,,,"REBOUND OFF by FITCH,CARL",,,"REBOUND OFF by FITCH,CARL",1
02:27,,,,,"MISS JUMPER by FITCH,CARL",,,"MISS JUMPER by FITCH,CARL",1
--,"REBOUND DEF by SPITZER,JAKOB",,,,,,,"REBOUND DEF by SPITZER,JAKOB",1
02:09,,,,,"FOUL  by FITCH,CARL",,,"FOUL  by FITCH,CARL",1
02:09,"MISS FT by SPITZER,JAKOB",,,,,,,"MISS FT by SPITZER,JAKOB",1
--,,,,,"REBOUND DEF by STANLEY,SETH",,,"REBOUND DEF by STANLEY,SETH",1
02:09,,29 (+9),,20,"GOOD JUMPER by STANLEY,SETH",HENDRIX 29-20 (+9),,"GOOD JUMPER by STANLEY,SETH",1
02:09,,,,,"SUB IN by RIDING,JAKE",,,"SUB IN by RIDING,JAKE",1
02:09,,,,,"SUB OUT by FITCH,CARL",,,"SUB OUT by FITCH,CARL",1
02:01,"MISS JUMPER by SPITZER,JAKOB",,,,,,,"MISS JUMPER by SPITZER,JAKOB",1
--,,,,,"REBOUND DEF by ROUSE,TREY",,,"REBOUND DEF by ROUSE,TREY",1
01:55,,,,,"FOUL  by ROUSE,TREY",,,"FOUL  by ROUSE,TREY",1
01:41,"SUB IN by WALKER,ART",,,,,,,"SUB IN by WALKER,ART",1
01:41,"SUB IN by PURVIS,KC",,,,,,,"SUB IN by PURVIS,KC",1
01:41,"SUB OUT by SPITZER,JAKOB",,,,,,,"SUB OUT by SPITZER,JAKOB",1
01:41,"SUB OUT by GERALD,DUSTIN",,,,,,,"SUB OUT by GERALD,DUSTIN",1
01:41,,,,,"SUB IN by LINK,JACOB",,,"SUB IN by LINK,JACOB",1
01:41,,,,,"SUB OUT by ROUSE,TREY",,,"SUB OUT by ROUSE,TREY",1
01:08,"MISS JUMPER by AYERS,PERRY",,,,,,,"MISS JUMPER by AYERS,PERRY",1
--,,,,,"REBOUND DEF by RIDING,JAKE",,,"REBOUND DEF by RIDING,JAKE",1
01:08,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
00:57,,29 (+7),,22,"GOOD JUMPER by STANLEY,SETH(in the paint)",HENDRIX 29-22 (+7),,"GOOD JUMPER by STANLEY,SETH(in the paint)",1
00:15,"MISS JUMPER by SINE,TUCKER",,,,,,,"MISS JUMPER by SINE,TUCKER",1
00:15,,,,,"BLOCK  by COMAN,SEAN",,,"BLOCK  by COMAN,SEAN",1
--,,,,,"REBOUND DEF by STANLEY,SETH",,,"REBOUND DEF by STANLEY,SETH",1
18:58,"TURNOVER  by BATES,JACOB",,,,,,,"TURNOVER  by BATES,JACOB",2
18:58,,,,,"STEAL  by COMAN,SEAN",,,"STEAL  by COMAN,SEAN",2
18:44,"FOUL  by BATES,JACOB",,,,,,,"FOUL  by BATES,JACOB",2
18:44,,,,,"FOUL  by FITCH,CARL",,,"FOUL  by FITCH,CARL",2
18:44,"MISS JUMPER by PURVIS,KC",,,,,,,"MISS JUMPER by PURVIS,KC",2
--,"REBOUND OFF by SPITZER,JAKOB",,,,,,,"REBOUND OFF by SPITZER,JAKOB",2
18:44,"FOUL  by SPITZER,JAKOB",,,,,,,"FOUL  by SPITZER,JAKOB",2
18:44,"SUB IN by GERALD,DUSTIN",,,,,,,"SUB IN by GERALD,DUSTIN",2
18:44,"SUB IN by PURVIS,KC",,,,,,,"SUB IN by PURVIS,KC",2
18:44,"SUB OUT by RAKES,BAILEY",,,,,,,"SUB OUT by RAKES,BAILEY",2
18:44,"SUB OUT by SINE,TUCKER",,,,,,,"SUB OUT by SINE,TUCKER",2
18:44,"SUB OUT by BATES,JACOB",,,,,,,"SUB OUT by BATES,JACOB",2
18:44,,,,,"SUB IN by RIDING,JAKE",,,"SUB IN by RIDING,JAKE",2
18:44,,,,,"SUB OUT by FITCH,CARL",,,"SUB OUT by FITCH,CARL",2
18:37,"MISS JUMPER by WILLIAMS,JALEN",,,,,,,"MISS JUMPER by WILLIAMS,JALEN",2
--,,,,,"REBOUND DEF by ROUSE,TREY",,,"REBOUND DEF by ROUSE,TREY",2
18:37,,,,,"MISS JUMPER by SMITH,PRESTON",,,"MISS JUMPER by SMITH,PRESTON",2
--,,,,,"REBOUND DEF by ROUSE,TREY",,,"REBOUND DEF by ROUSE,TREY",2
18:37,,,,,"MISS 3PTR by PHILLIP,ADAM",,,"MISS 3PTR by PHILLIP,ADAM",2
--,"REBOUND DEF by SPITZER,JAKOB",,,,,,,"REBOUND DEF by SPITZER,JAKOB",2
18:37,,,,,"MISS 3PTR by SMITH,PRESTON",,,"MISS 3PTR by SMITH,PRESTON",2
--,"REBOUND DEF by PURVIS,KC",,,,,,,"REBOUND DEF by PURVIS,KC",2
18:37,"MISS 3PTR by WALKER,ART",,,,,,,"MISS 3PTR by WALKER,ART",2
--,"REBOUND OFF by AYERS,PERRY",,,,,,,"REBOUND OFF by AYERS,PERRY",2
18:37,"MISS 3PTR by SINE,TUCKER",,,,,,,"MISS 3PTR by SINE,TUCKER",2
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,2
18:37,"SUB IN by SINE,TUCKER",,,,,,,"SUB IN by SINE,TUCKER",2
18:37,"SUB IN by RAKES,BAILEY",,,,,,,"SUB IN by RAKES,BAILEY",2
18:37,,,,,"SUB IN by FITCH,CARL",,,"SUB IN by FITCH,CARL",2
18:29,,,,,"FOUL  by STANLEY,SETH",,,"FOUL  by STANLEY,SETH",2
18:03,"MISS JUMPER by WALKER,ART",,,,,,,"MISS JUMPER by WALKER,ART",2
--,,,,,"REBOUND DEF by COMAN,SEAN",,,"REBOUND DEF by COMAN,SEAN",2
17:34,,,,,"MISS JUMPER by RIDING,JAKE",,,"MISS JUMPER by RIDING,JAKE",2
--,"REBOUND DEF by PURVIS,KC",,,,,,,"REBOUND DEF by PURVIS,KC",2
17:30,"GOOD 3PTR by AYERS,PERRY",32 (+10),,22,,CENTRE-M 32-22 (+10),,"GOOD 3PTR by AYERS,PERRY",2
17:16,,32 (+8),,24,"GOOD JUMPER by SMITH,PRESTON(in the paint)",HENDRIX 32-24 (+8),,"GOOD JUMPER by SMITH,PRESTON(in the paint)",2
17:16,"FOUL  by PURVIS,KC",,,,,,,"FOUL  by PURVIS,KC",2
17:04,,,,,"TURNOVER  by SMITH,PRESTON",,,"TURNOVER  by SMITH,PRESTON",2
16:54,"GOOD 3PTR by WALKER,ART",35 (+11),,24,,CENTRE-M 35-24 (+11),,"GOOD 3PTR by WALKER,ART",2
16:27,,,,,"TURNOVER  by RIDING,JAKE",,,"TURNOVER  by RIDING,JAKE",2
15:56,"GOOD 3PTR by RAKES,BAILEY",38 (+14),,24,,CENTRE-M 38-24 (+14),,"GOOD 3PTR by RAKES,BAILEY",2
--,"ASSIST  by AYERS,PERRY",,,,,,,"ASSIST  by AYERS,PERRY",2
15:02,,,,,"TURNOVER  by COMAN,SEAN",,,"TURNOVER  by COMAN,SEAN",2
14:58,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,2
14:58,"MISS 3PTR by AYERS,PERRY",,,,,,,"MISS 3PTR by AYERS,PERRY",2
--,,,,,"REBOUND DEF by FITCH,CARL",,,"REBOUND DEF by FITCH,CARL",2
14:58,,38 (+11),,27,"GOOD 3PTR by STANLEY,SETH",HENDRIX 38-27 (+11),,"GOOD 3PTR by STANLEY,SETH",2
--,,,,,"ASSIST  by SMITH,PRESTON",,,"ASSIST  by SMITH,PRESTON",2
14:58,"GOOD JUMPER by SINE,TUCKER",40 (+13),,27,,CENTRE-M 40-27 (+13),,"GOOD JUMPER by SINE,TUCKER",2
14:43,,40 (+10),,30,"GOOD 3PTR by LINK,JACOB",HENDRIX 40-30 (+10),,"GOOD 3PTR by LINK,JACOB",2
--,,,,,"ASSIST  by FITCH,CARL",,,"ASSIST  by FITCH,CARL",2
14:25,"GOOD JUMPER by SPITZER,JAKOB",42 (+12),,30,,CENTRE-M 42-30 (+12),,"GOOD JUMPER by SPITZER,JAKOB",2
--,"ASSIST  by WALKER,ART",,,,,,,"ASSIST  by WALKER,ART",2
14:08,,,,,"FOUL  by STANLEY,SETH",,,"FOUL  by STANLEY,SETH",2
14:08,"MISS JUMPER by GRIFFIN,JAROD",,,,,,,"MISS JUMPER by GRIFFIN,JAROD",2
14:08,,,,,"BLOCK  by SMITH,PRESTON",,,"BLOCK  by SMITH,PRESTON",2
