Time Remaining,CENTRE-M,Away Team Score,Play Team Indicator,Home Team Score,CCM,Game Score,Team Indicator,Play,Period
--,"ASSIST  by RAKES,BAILEY",,,,,,,"ASSIST  by RAKES,BAILEY",2
17:53,,37,,38 (+1),"GOOD LAYUP by CRUMLY,WILL(in the paint)",CCM 37-38 (-1),,"GOOD LAYUP by CRUMLY,WILL(in the paint)",2
17:32,"MISS 3PTR by SINE,TUCKER",,,,,,,"MISS 3PTR by SINE,TUCKER",2
--,"REBOUND OFF by RAKES,BAILEY",,,,,,,"REBOUND OFF by RAKES,BAILEY",2
17:24,"MISS 3PTR by RAKES,BAILEY",,,,,,,"MISS 3PTR by RAKES,BAILEY",2
--,"REBOUND OFF by BATES,JACOB",,,,,,,"REBOUND OFF by BATES,JACOB",2
17:20,"GOOD LAYUP by BATES,JACOB(in the paint)",39 (+1),,38,,CENTRE-M 39-38 (+1),,"GOOD LAYUP by BATES,JACOB(in the paint)",2
17:09,,,,,"SUB IN by BRYAN,WILLIAM",,,"SUB IN by BRYAN,WILLIAM",2
17:09,,,,,"SUB IN by OETJEN,NOAH",,,"SUB IN by OETJEN,NOAH",2
17:09,,,,,"SUB OUT by CRUMLY,WILL",,,"SUB OUT by CRUMLY,WILL",2
17:09,,,,,"SUB OUT by PALMER,NICK",,,"SUB OUT by PALMER,NICK",2
17:06,,39,,40 (+1),"GOOD JUMPER by BRYAN,WILLIAM(in the paint)",CCM 39-40 (-1),,"GOOD JUMPER by BRYAN,WILLIAM(in the paint)",2
16:50,"MISS LAYUP by BATES,JACOB",,,,,,,"MISS LAYUP by BATES,JACOB",2
--,"REBOUND OFF by WALKER,ART",,,,,,,"REBOUND OFF by WALKER,ART",2
16:46,"GOOD TIPIN by WALKER,ART(in the paint)",41 (+1),,40,,CENTRE-M 41-40 (+1),,"GOOD TIPIN by WALKER,ART(in the paint)",2
16:38,,,,,"TURNOVER  by JAUCH,JARED",,,"TURNOVER  by JAUCH,JARED",2
16:19,"MISS 3PTR by SINE,TUCKER",,,,,,,"MISS 3PTR by SINE,TUCKER",2
--,"REBOUND OFF by AYERS,PERRY",,,,,,,"REBOUND OFF by AYERS,PERRY",2
16:15,"GOOD LAYUP by AYERS,PERRY(in the paint)",43 (+3),,40,,CENTRE-M 43-40 (+3),,"GOOD LAYUP by AYERS,PERRY(in the paint)",2
16:03,,,,,"SUB IN by HENRY,GAGE",,,"SUB IN by HENRY,GAGE",2
16:03,,,,,"SUB OUT by JAUCH,JARED",,,"SUB OUT by JAUCH,JARED",2
16:01,,,,,"TURNOVER  by SPRAGG,BAILEY",,,"TURNOVER  by SPRAGG,BAILEY",2
16:00,"STEAL  by WALKER,ART",,,,,,,"STEAL  by WALKER,ART",2
15:38,"MISS LAYUP by BATES,JACOB",,,,,,,"MISS LAYUP by BATES,JACOB",2
15:38,,,,,"BLOCK  by BRYAN,WILLIAM",,,"BLOCK  by BRYAN,WILLIAM",2
--,,,,,"REBOUND DEF by OETJEN,NOAH",,,"REBOUND DEF by OETJEN,NOAH",2
15:32,"FOUL  by AYERS,PERRY",,,,,,,"FOUL  by AYERS,PERRY",2
15:32,,,,,TIMEOUT 20SEC by TEAM,,,TIMEOUT 20SEC by TEAM,2
15:32,,43 (+2),,41,"GOOD FT by OETJEN,NOAH",CCM 43-41 (+2),,"GOOD FT by OETJEN,NOAH",2
15:32,,43 (+1),,42,"GOOD FT by OETJEN,NOAH",CCM 43-42 (+1),,"GOOD FT by OETJEN,NOAH",2
15:16,"MISS 3PTR by WALKER,ART",,,,,,,"MISS 3PTR by WALKER,ART",2
--,,,,,"REBOUND DEF by SPRAGG,BAILEY",,,"REBOUND DEF by SPRAGG,BAILEY",2
15:03,,43,,45 (+2),"GOOD 3PTR by OETJEN,NOAH",CCM 43-45 (-2),,"GOOD 3PTR by OETJEN,NOAH",2
14:42,"GOOD 3PTR by WALKER,ART",46 (+1),,45,,CENTRE-M 46-45 (+1),,"GOOD 3PTR by WALKER,ART",2
--,"ASSIST  by RAKES,BAILEY",,,,,,,"ASSIST  by RAKES,BAILEY",2
14:20,,46,,47 (+1),"GOOD LAYUP by SPRAGG,BAILEY(in the paint)",CCM 46-47 (-1),,"GOOD LAYUP by SPRAGG,BAILEY(in the paint)",2
14:02,,,,,"FOUL  by HENRY,GAGE",,,"FOUL  by HENRY,GAGE",2
14:02,"GOOD FT by WALKER,ART",47,,47,,CENTRE-M 47-47 (0),,"GOOD FT by WALKER,ART",2
14:02,"GOOD FT by WALKER,ART",48 (+1),,47,,CENTRE-M 48-47 (+1),,"GOOD FT by WALKER,ART",2
14:02,"SUB IN by GERALD,DUSTIN",,,,,,,"SUB IN by GERALD,DUSTIN",2
14:02,"SUB IN by CRUMP,DAWSON",,,,,,,"SUB IN by CRUMP,DAWSON",2
14:02,"SUB IN by PURVIS,KC",,,,,,,"SUB IN by PURVIS,KC",2
14:02,"SUB IN by GRIFFIN,JAROD",,,,,,,"SUB IN by GRIFFIN,JAROD",2
14:02,"SUB OUT by WALKER,ART",,,,,,,"SUB OUT by WALKER,ART",2
14:02,"SUB OUT by RAKES,BAILEY",,,,,,,"SUB OUT by RAKES,BAILEY",2
14:02,"SUB OUT by BATES,JACOB",,,,,,,"SUB OUT by BATES,JACOB",2
14:02,"SUB OUT by SINE,TUCKER",,,,,,,"SUB OUT by SINE,TUCKER",2
14:02,,,,,"SUB IN by CRUMLY,WILL",,,"SUB IN by CRUMLY,WILL",2
14:02,,,,,"SUB OUT by SPRAGG,BAILEY",,,"SUB OUT by SPRAGG,BAILEY",2
13:51,,48,,50 (+2),"GOOD 3PTR by OETJEN,NOAH",CCM 48-50 (-2),,"GOOD 3PTR by OETJEN,NOAH",2
--,,,,,"ASSIST  by CRUMLY,WILL",,,"ASSIST  by CRUMLY,WILL",2
13:30,"GOOD LAYUP by PURVIS,KC(in the paint)",50,,50,,CENTRE-M 50-50 (0),,"GOOD LAYUP by PURVIS,KC(in the paint)",2
--,"ASSIST  by CRUMP,DAWSON",,,,,,,"ASSIST  by CRUMP,DAWSON",2
13:30,,,,,"FOUL  by CRUMLY,WILL",,,"FOUL  by CRUMLY,WILL",2
13:30,"MISS FT by PURVIS,KC",,,,,,,"MISS FT by PURVIS,KC",2
--,,,,,"REBOUND DEF by CRUMLY,WILL",,,"REBOUND DEF by CRUMLY,WILL",2
13:30,"SUB IN by BROWNLEY,HOGAN",,,,,,,"SUB IN by BROWNLEY,HOGAN",2
13:30,"SUB OUT by AYERS,PERRY",,,,,,,"SUB OUT by AYERS,PERRY",2
13:09,,,,,"MISS JUMPER by OETJEN,NOAH",,,"MISS JUMPER by OETJEN,NOAH",2
13:09,"BLOCK  by PURVIS,KC",,,,,,,"BLOCK  by PURVIS,KC",2
--,"REBOUND DEF by GRIFFIN,JAROD",,,,,,,"REBOUND DEF by GRIFFIN,JAROD",2
13:02,"GOOD LAYUP by GRIFFIN,JAROD(fastbreak)(in the paint)",52 (+2),,50,,CENTRE-M 52-50 (+2),,"GOOD LAYUP by GRIFFIN,JAROD(fastbreak)(in the paint)",2
12:50,,52,,52,"GOOD JUMPER by CRUMLY,WILL(in the paint)",CCM 52-52 (0),,"GOOD JUMPER by CRUMLY,WILL(in the paint)",2
12:31,"MISS JUMPER by CRUMP,DAWSON",,,,,,,"MISS JUMPER by CRUMP,DAWSON",2
--,"REBOUND OFF by BROWNLEY,HOGAN",,,,,,,"REBOUND OFF by BROWNLEY,HOGAN",2
12:23,"MISS 3PTR by CRUMP,DAWSON",,,,,,,"MISS 3PTR by CRUMP,DAWSON",2
--,"REBOUND OFF by BROWNLEY,HOGAN",,,,,,,"REBOUND OFF by BROWNLEY,HOGAN",2
12:15,,,,,"FOUL  by OETJEN,NOAH",,,"FOUL  by OETJEN,NOAH",2
12:15,,,,,"SUB IN by SPRAGG,BAILEY",,,"SUB IN by SPRAGG,BAILEY",2
12:15,,,,,"SUB IN by JAUCH,JARED",,,"SUB IN by JAUCH,JARED",2
12:15,,,,,"SUB IN by HOLLIS,MITCHELL",,,"SUB IN by HOLLIS,MITCHELL",2
12:15,,,,,"SUB OUT by BRYAN,WILLIAM",,,"SUB OUT by BRYAN,WILLIAM",2
12:15,,,,,"SUB OUT by MITCHELL,JAMES",,,"SUB OUT by MITCHELL,JAMES",2
12:15,,,,,"SUB OUT by OETJEN,NOAH",,,"SUB OUT by OETJEN,NOAH",2
12:09,"GOOD LAYUP by PURVIS,KC(in the paint)",54 (+2),,52,,CENTRE-M 54-52 (+2),,"GOOD LAYUP by PURVIS,KC(in the paint)",2
12:00,,,,,"TURNOVER  by CRUMLY,WILL",,,"TURNOVER  by CRUMLY,WILL",2
11:58,"STEAL  by BROWNLEY,HOGAN",,,,,,,"STEAL  by BROWNLEY,HOGAN",2
11:35,"MISS LAYUP by PURVIS,KC",,,,,,,"MISS LAYUP by PURVIS,KC",2
--,,,,,"REBOUND DEF by CRUMLY,WILL",,,"REBOUND DEF by CRUMLY,WILL",2
11:27,,54,,54,"GOOD LAYUP by JAUCH,JARED(fastbreak)(in the paint)",CCM 54-54 (0),,"GOOD LAYUP by JAUCH,JARED(fastbreak)(in the paint)",2
11:11,"FOUL  by GRIFFIN,JAROD",,,,,,,"FOUL  by GRIFFIN,JAROD",2
11:11,"TURNOVER  by GRIFFIN,JAROD",,,,,,,"TURNOVER  by GRIFFIN,JAROD",2
11:11,,,,,TIMEOUT 20SEC by TEAM,,,TIMEOUT 20SEC by TEAM,2
11:11,"SUB IN by RAKES,BAILEY",,,,,,,"SUB IN by RAKES,BAILEY",2
11:11,"SUB OUT by CRUMP,DAWSON",,,,,,,"SUB OUT by CRUMP,DAWSON",2
11:11,,,,,"SUB IN by GILBERT,RYAN",,,"SUB IN by GILBERT,RYAN",2
11:11,,,,,"SUB OUT by HENRY,GAGE",,,"SUB OUT by HENRY,GAGE",2
10:55,,,,,"TURNOVER  by SPRAGG,BAILEY",,,"TURNOVER  by SPRAGG,BAILEY",2
10:55,"SUB IN by WALKER,ART",,,,,,,"SUB IN by WALKER,ART",2
10:55,"SUB OUT by BROWNLEY,HOGAN",,,,,,,"SUB OUT by BROWNLEY,HOGAN",2
10:33,"MISS 3PTR by GRIFFIN,JAROD",,,,,,,"MISS 3PTR by GRIFFIN,JAROD",2
--,"REBOUND OFF by PURVIS,KC",,,,,,,"REBOUND OFF by PURVIS,KC",2
10:28,"GOOD LAYUP by PURVIS,KC(in the paint)",56 (+2),,54,,CENTRE-M 56-54 (+2),,"GOOD LAYUP by PURVIS,KC(in the paint)",2
10:19,,,,,"MISS JUMPER by GILBERT,RYAN",,,"MISS JUMPER by GILBERT,RYAN",2
--,"REBOUND DEF by WALKER,ART",,,,,,,"REBOUND DEF by WALKER,ART",2
10:02,"MISS 3PTR by RAKES,BAILEY",,,,,,,"MISS 3PTR by RAKES,BAILEY",2
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,2
09:58,"SUB IN by AYERS,PERRY",,,,,,,"SUB IN by AYERS,PERRY",2
09:58,"SUB IN by SINE,TUCKER",,,,,,,"SUB IN by SINE,TUCKER",2
09:58,"SUB OUT by GERALD,DUSTIN",,,,,,,"SUB OUT by GERALD,DUSTIN",2
09:58,"SUB OUT by GRIFFIN,JAROD",,,,,,,"SUB OUT by GRIFFIN,JAROD",2
09:36,,,,,"MISS 3PTR by JAUCH,JARED",,,"MISS 3PTR by JAUCH,JARED",2
--,"REBOUND DEF by PURVIS,KC",,,,,,,"REBOUND DEF by PURVIS,KC",2
09:06,"MISS 3PTR by RAKES,BAILEY",,,,,,,"MISS 3PTR by RAKES,BAILEY",2
--,,,,,"REBOUND DEF by CRUMLY,WILL",,,"REBOUND DEF by CRUMLY,WILL",2
08:57,,,,,"MISS 3PTR by HOLLIS,MITCHELL",,,"MISS 3PTR by HOLLIS,MITCHELL",2
--,"REBOUND DEF by WALKER,ART",,,,,,,"REBOUND DEF by WALKER,ART",2
08:33,"MISS 3PTR by WALKER,ART",,,,,,,"MISS 3PTR by WALKER,ART",2
--,,,,,"REBOUND DEF by CRUMLY,WILL",,,"REBOUND DEF by CRUMLY,WILL",2
08:23,,56,,56,"GOOD JUMPER by SPRAGG,BAILEY(in the paint)",CCM 56-56 (0),,"GOOD JUMPER by SPRAGG,BAILEY(in the paint)",2
08:10,"MISS JUMPER by AYERS,PERRY",,,,,,,"MISS JUMPER by AYERS,PERRY",2
--,,,,,"REBOUND DEF by GILBERT,RYAN",,,"REBOUND DEF by GILBERT,RYAN",2
07:47,"FOUL  by AYERS,PERRY",,,,,,,"FOUL  by AYERS,PERRY",2
07:47,,,,,TIMEOUT 20SEC by TEAM,,,TIMEOUT 20SEC by TEAM,2
07:47,"SUB IN by GERALD,DUSTIN",,,,,,,"SUB IN by GERALD,DUSTIN",2
07:47,"SUB IN by BATES,JACOB",,,,,,,"SUB IN by BATES,JACOB",2
07:47,"SUB OUT by PURVIS,KC",,,,,,,"SUB OUT by PURVIS,KC",2
07:47,"SUB OUT by RAKES,BAILEY",,,,,,,"SUB OUT by RAKES,BAILEY",2
07:47,,,,,"SUB IN by BRYAN,WILLIAM",,,"SUB IN by BRYAN,WILLIAM",2
07:47,,,,,"SUB IN by MITCHELL,JAMES",,,"SUB IN by MITCHELL,JAMES",2
07:47,,,,,"SUB IN by PALMER,NICK",,,"SUB IN by PALMER,NICK",2
07:47,,,,,"SUB OUT by CRUMLY,WILL",,,"SUB OUT by CRUMLY,WILL",2
07:47,,,,,"SUB OUT by SPRAGG,BAILEY",,,"SUB OUT by SPRAGG,BAILEY",2
07:47,,,,,"SUB OUT by GILBERT,RYAN",,,"SUB OUT by GILBERT,RYAN",2
07:46,,,,,"MISS JUMPER by BRYAN,WILLIAM",,,"MISS JUMPER by BRYAN,WILLIAM",2
--,"REBOUND DEF by WALKER,ART",,,,,,,"REBOUND DEF by WALKER,ART",2
07:22,"MISS 3PTR by WALKER,ART",,,,,,,"MISS 3PTR by WALKER,ART",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
07:19,,,,,"FOUL  by JAUCH,JARED",,,"FOUL  by JAUCH,JARED",2
07:19,,,,,"FOUL  by PALMER,NICK",,,"FOUL  by PALMER,NICK",2
07:19,,,,,"SUB IN by HENRY,GAGE",,,"SUB IN by HENRY,GAGE",2
07:19,,,,,"SUB OUT by HOLLIS,MITCHELL",,,"SUB OUT by HOLLIS,MITCHELL",2
07:05,"GOOD 3PTR by SINE,TUCKER",59 (+3),,56,,CENTRE-M 59-56 (+3),,"GOOD 3PTR by SINE,TUCKER",2
--,"ASSIST  by AYERS,PERRY",,,,,,,"ASSIST  by AYERS,PERRY",2
06:36,,,,,"MISS LAYUP by BRYAN,WILLIAM",,,"MISS LAYUP by BRYAN,WILLIAM",2
--,,,,,"REBOUND OFF by JAUCH,JARED",,,"REBOUND OFF by JAUCH,JARED",2
06:33,,,,,"SUB IN by SPRAGG,BAILEY",,,"SUB IN by SPRAGG,BAILEY",2
06:33,,,,,"SUB OUT by JAUCH,JARED",,,"SUB OUT by JAUCH,JARED",2
06:21,,,,,"MISS 3PTR by MITCHELL,JAMES",,,"MISS 3PTR by MITCHELL,JAMES",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
06:19,,,,,"FOUL  by BRYAN,WILLIAM",,,"FOUL  by BRYAN,WILLIAM",2
06:10,"TURNOVER  by WALKER,ART",,,,,,,"TURNOVER  by WALKER,ART",2
06:04,,,,,"MISS 3PTR by PALMER,NICK",,,"MISS 3PTR by PALMER,NICK",2
--,"REBOUND DEF by WALKER,ART",,,,,,,"REBOUND DEF by WALKER,ART",2
05:36,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
05:36,TIMEOUT 20SEC by TEAM,,,,,,,TIMEOUT 20SEC by TEAM,2
05:36,,,,,"SUB IN by CRUMLY,WILL",,,"SUB IN by CRUMLY,WILL",2
05:36,,,,,"SUB IN by JAUCH,JARED",,,"SUB IN by JAUCH,JARED",2
05:36,,,,,"SUB IN by OETJEN,NOAH",,,"SUB IN by OETJEN,NOAH",2
05:36,,,,,"SUB OUT by BRYAN,WILLIAM",,,"SUB OUT by BRYAN,WILLIAM",2
05:36,,,,,"SUB OUT by PALMER,NICK",,,"SUB OUT by PALMER,NICK",2
05:36,,,,,"SUB OUT by HENRY,GAGE",,,"SUB OUT by HENRY,GAGE",2
05:32,"MISS LAYUP by BATES,JACOB",,,,,,,"MISS LAYUP by BATES,JACOB",2
--,"REBOUND OFF by GERALD,DUSTIN",,,,,,,"REBOUND OFF by GERALD,DUSTIN",2
05:09,"GOOD JUMPER by WALKER,ART(in the paint)",61 (+5),,56,,CENTRE-M 61-56 (+5),,"GOOD JUMPER by WALKER,ART(in the paint)",2
04:47,,,,,"MISS LAYUP by SPRAGG,BAILEY",,,"MISS LAYUP by SPRAGG,BAILEY",2
--,"REBOUND DEF by AYERS,PERRY",,,,,,,"REBOUND DEF by AYERS,PERRY",2
04:31,"MISS JUMPER by BATES,JACOB",,,,,,,"MISS JUMPER by BATES,JACOB",2
--,,,,,"REBOUND DEF by SPRAGG,BAILEY",,,"REBOUND DEF by SPRAGG,BAILEY",2
04:24,,,,,"MISS 3PTR by MITCHELL,JAMES",,,"MISS 3PTR by MITCHELL,JAMES",2
--,"REBOUND DEF by BATES,JACOB",,,,,,,"REBOUND DEF by BATES,JACOB",2
03:54,"MISS 3PTR by AYERS,PERRY",,,,,,,"MISS 3PTR by AYERS,PERRY",2
--,,,,,"REBOUND DEF by CRUMLY,WILL",,,"REBOUND DEF by CRUMLY,WILL",2
03:45,"FOUL  by WALKER,ART",,,,,,,"FOUL  by WALKER,ART",2
03:45,,,,,TIMEOUT 20SEC by TEAM,,,TIMEOUT 20SEC by TEAM,2
03:45,,,,,"MISS FT by CRUMLY,WILL",,,"MISS FT by CRUMLY,WILL",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
03:45,,61 (+4),,57,"GOOD FT by CRUMLY,WILL",CCM 61-57 (+4),,"GOOD FT by CRUMLY,WILL",2
03:45,,,,,"SUB IN by HENRY,GAGE",,,"SUB IN by HENRY,GAGE",2
03:45,,,,,"SUB OUT by OETJEN,NOAH",,,"SUB OUT by OETJEN,NOAH",2
03:20,"MISS JUMPER by BATES,JACOB",,,,,,,"MISS JUMPER by BATES,JACOB",2
--,"REBOUND OFF by GERALD,DUSTIN",,,,,,,"REBOUND OFF by GERALD,DUSTIN",2
03:16,"GOOD LAYUP by GERALD,DUSTIN(in the paint)",63 (+6),,57,,CENTRE-M 63-57 (+6),,"GOOD LAYUP by GERALD,DUSTIN(in the paint)",2
03:16,,,,,"FOUL  by CRUMLY,WILL",,,"FOUL  by CRUMLY,WILL",2
03:16,"MISS FT by GERALD,DUSTIN",,,,,,,"MISS FT by GERALD,DUSTIN",2
--,,,,,"REBOUND DEF by CRUMLY,WILL",,,"REBOUND DEF by CRUMLY,WILL",2
02:57,,63 (+4),,59,"GOOD LAYUP by CRUMLY,WILL(in the paint)",CCM 63-59 (+4),,"GOOD LAYUP by CRUMLY,WILL(in the paint)",2
--,,,,,"ASSIST  by SPRAGG,BAILEY",,,"ASSIST  by SPRAGG,BAILEY",2
02:56,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,2
02:38,"TURNOVER  by AYERS,PERRY",,,,,,,"TURNOVER  by AYERS,PERRY",2
02:38,"SUB IN by RAKES,BAILEY",,,,,,,"SUB IN by RAKES,BAILEY",2
02:38,"SUB OUT by GERALD,DUSTIN",,,,,,,"SUB OUT by GERALD,DUSTIN",2
02:27,,,,,"MISS 3PTR by HENRY,GAGE",,,"MISS 3PTR by HENRY,GAGE",2
--,,,,,"REBOUND OFF by CRUMLY,WILL",,,"REBOUND OFF by CRUMLY,WILL",2
02:23,,63 (+2),,61,"GOOD JUMPER by CRUMLY,WILL(in the paint)",CCM 63-61 (+2),,"GOOD JUMPER by CRUMLY,WILL(in the paint)",2
01:53,"TURNOVER  by AYERS,PERRY",,,,,,,"TURNOVER  by AYERS,PERRY",2
01:53,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
01:38,,63,,63,"GOOD LAYUP by CRUMLY,WILL(in the paint)",CCM 63-63 (0),,"GOOD LAYUP by CRUMLY,WILL(in the paint)",2
01:38,"FOUL  by BATES,JACOB",,,,,,,"FOUL  by BATES,JACOB",2
01:38,,63,,64 (+1),"GOOD FT by CRUMLY,WILL",CCM 63-64 (-1),,"GOOD FT by CRUMLY,WILL",2
01:38,,,,,"SUB IN by OETJEN,NOAH",,,"SUB IN by OETJEN,NOAH",2
01:38,,,,,"SUB OUT by HENRY,GAGE",,,"SUB OUT by HENRY,GAGE",2
01:11,,,,,"FOUL  by JAUCH,JARED",,,"FOUL  by JAUCH,JARED",2
01:11,"GOOD FT by RAKES,BAILEY",64,,64,,CENTRE-M 64-64 (0),,"GOOD FT by RAKES,BAILEY",2
01:11,"GOOD FT by RAKES,BAILEY",65 (+1),,64,,CENTRE-M 65-64 (+1),,"GOOD FT by RAKES,BAILEY",2
01:11,"SUB IN by PURVIS,KC",,,,,,,"SUB IN by PURVIS,KC",2
01:11,"SUB OUT by BATES,JACOB",,,,,,,"SUB OUT by BATES,JACOB",2
01:00,,65,,66 (+1),"GOOD LAYUP by SPRAGG,BAILEY(in the paint)",CCM 65-66 (-1),,"GOOD LAYUP by SPRAGG,BAILEY(in the paint)",2
00:53,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
00:53,"SUB IN by BATES,JACOB",,,,,,,"SUB IN by BATES,JACOB",2
00:53,"SUB OUT by PURVIS,KC",,,,,,,"SUB OUT by PURVIS,KC",2
00:53,,,,,"SUB IN by PALMER,NICK",,,"SUB IN by PALMER,NICK",2
00:53,,,,,"SUB OUT by OETJEN,NOAH",,,"SUB OUT by OETJEN,NOAH",2
00:52,,,,,"FOUL  by MITCHELL,JAMES",,,"FOUL  by MITCHELL,JAMES",2
00:52,"GOOD FT by SINE,TUCKER",66,,66,,CENTRE-M 66-66 (0),,"GOOD FT by SINE,TUCKER",2
00:52,"GOOD FT by SINE,TUCKER",67 (+1),,66,,CENTRE-M 67-66 (+1),,"GOOD FT by SINE,TUCKER",2
00:52,"SUB IN by PURVIS,KC",,,,,,,"SUB IN by PURVIS,KC",2
00:52,"SUB OUT by BATES,JACOB",,,,,,,"SUB OUT by BATES,JACOB",2
00:52,,,,,"SUB IN by OETJEN,NOAH",,,"SUB IN by OETJEN,NOAH",2
00:52,,,,,"SUB OUT by PALMER,NICK",,,"SUB OUT by PALMER,NICK",2
00:43,,,,,"MISS 3PTR by MITCHELL,JAMES",,,"MISS 3PTR by MITCHELL,JAMES",2
--,"REBOUND DEF by WALKER,ART",,,,,,,"REBOUND DEF by WALKER,ART",2
00:24,,,,,"FOUL  by OETJEN,NOAH",,,"FOUL  by OETJEN,NOAH",2
00:24,"GOOD FT by RAKES,BAILEY",68 (+2),,66,,CENTRE-M 68-66 (+2),,"GOOD FT by RAKES,BAILEY",2
00:24,"GOOD FT by RAKES,BAILEY",69 (+3),,66,,CENTRE-M 69-66 (+3),,"GOOD FT by RAKES,BAILEY",2
00:24,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,2
00:24,,,,,"SUB IN by PALMER,NICK",,,"SUB IN by PALMER,NICK",2
00:24,,,,,"SUB OUT by OETJEN,NOAH",,,"SUB OUT by OETJEN,NOAH",2
00:11,,,,,"MISS 3PTR by MITCHELL,JAMES",,,"MISS 3PTR by MITCHELL,JAMES",2
--,,,,,"REBOUND OFF by PALMER,NICK",,,"REBOUND OFF by PALMER,NICK",2
00:01,,,,,"MISS 3PTR by MITCHELL,JAMES",,,"MISS 3PTR by MITCHELL,JAMES",2
--,"REBOUND DEF by AYERS,PERRY",,,,,,,"REBOUND DEF by AYERS,PERRY",2
