Time Remaining,CENTRE-M,Away Team Score,Play Team Indicator,Home Team Score,CCM,Game Score,Team Indicator,Play,Period
14:13,,,,,"SUB IN by CRUMLY,WILL",,,"SUB IN by CRUMLY,WILL",1
14:13,,,,,"SUB OUT by BRYAN,WILLIAM",,,"SUB OUT by BRYAN,WILLIAM",1
13:54,,,,,"MISS LAYUP by OETJEN,NOAH",,,"MISS LAYUP by OETJEN,NOAH",1
--,"REBOUND DEF by CRUMP,DAWSON",,,,,,,"REBOUND DEF by CRUMP,DAWSON",1
13:33,,,,,"FOUL  by HOLLIS,MITCHELL",,,"FOUL  by HOLLIS,MITCHELL",1
13:33,,,,,"SUB IN by MITCHELL,JAMES",,,"SUB IN by MITCHELL,JAMES",1
13:33,,,,,"SUB IN by GILBERT,RYAN",,,"SUB IN by GILBERT,RYAN",1
13:33,,,,,"SUB OUT by SPRAGG,BAILEY",,,"SUB OUT by SPRAGG,BAILEY",1
13:33,,,,,"SUB OUT by OETJEN,NOAH",,,"SUB OUT by OETJEN,NOAH",1
13:27,"TURNOVER  by GRIFFIN,JAROD",,,,,,,"TURNOVER  by GRIFFIN,JAROD",1
13:20,,7,,9 (+2),"GOOD LAYUP by CRUMLY,WILL(in the paint)",CCM 7-9 (-2),,"GOOD LAYUP by CRUMLY,WILL(in the paint)",1
13:20,"FOUL  by PURVIS,KC",,,,,,,"FOUL  by PURVIS,KC",1
13:20,,,,,"MISS FT by CRUMLY,WILL",,,"MISS FT by CRUMLY,WILL",1
--,"REBOUND DEF by BROWNLEY,HOGAN",,,,,,,"REBOUND DEF by BROWNLEY,HOGAN",1
13:03,"GOOD LAYUP by GERALD,DUSTIN(in the paint)",9,,9,,CENTRE-M 9-9 (0),,"GOOD LAYUP by GERALD,DUSTIN(in the paint)",1
12:51,,,,,"MISS 3PTR by HOLLIS,MITCHELL",,,"MISS 3PTR by HOLLIS,MITCHELL",1
--,"REBOUND DEF by BROWNLEY,HOGAN",,,,,,,"REBOUND DEF by BROWNLEY,HOGAN",1
12:33,"MISS 3PTR by GRIFFIN,JAROD",,,,,,,"MISS 3PTR by GRIFFIN,JAROD",1
--,,,,,"REBOUND DEF by JAUCH,JARED",,,"REBOUND DEF by JAUCH,JARED",1
12:22,,,,,"MISS 3PTR by JAUCH,JARED",,,"MISS 3PTR by JAUCH,JARED",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
12:18,,,,,"SUB IN by PALMER,NICK",,,"SUB IN by PALMER,NICK",1
12:18,,,,,"SUB IN by HENRY,GAGE",,,"SUB IN by HENRY,GAGE",1
12:18,,,,,"SUB OUT by JAUCH,JARED",,,"SUB OUT by JAUCH,JARED",1
12:18,,,,,"SUB OUT by HOLLIS,MITCHELL",,,"SUB OUT by HOLLIS,MITCHELL",1
11:56,,,,,"FOUL  by PALMER,NICK",,,"FOUL  by PALMER,NICK",1
11:56,TIMEOUT 20SEC by TEAM,,,,,,,TIMEOUT 20SEC by TEAM,1
11:48,"MISS 3PTR by BROWNLEY,HOGAN",,,,,,,"MISS 3PTR by BROWNLEY,HOGAN",1
--,"REBOUND OFF by PURVIS,KC",,,,,,,"REBOUND OFF by PURVIS,KC",1
11:38,"GOOD LAYUP by BROWNLEY,HOGAN(in the paint)",11 (+2),,9,,CENTRE-M 11-9 (+2),,"GOOD LAYUP by BROWNLEY,HOGAN(in the paint)",1
--,"ASSIST  by CRUMP,DAWSON",,,,,,,"ASSIST  by CRUMP,DAWSON",1
11:30,,,,,"TURNOVER  by MITCHELL,JAMES",,,"TURNOVER  by MITCHELL,JAMES",1
11:08,"TURNOVER  by GRIFFIN,JAROD",,,,,,,"TURNOVER  by GRIFFIN,JAROD",1
11:07,,,,,"STEAL  by PALMER,NICK",,,"STEAL  by PALMER,NICK",1
11:04,,,,,"MISS 3PTR by HENRY,GAGE",,,"MISS 3PTR by HENRY,GAGE",1
--,"REBOUND DEF by BROWNLEY,HOGAN",,,,,,,"REBOUND DEF by BROWNLEY,HOGAN",1
10:50,"TURNOVER  by CRUMP,DAWSON",,,,,,,"TURNOVER  by CRUMP,DAWSON",1
10:48,,,,,"STEAL  by PALMER,NICK",,,"STEAL  by PALMER,NICK",1
10:47,,,,,"TURNOVER  by PALMER,NICK",,,"TURNOVER  by PALMER,NICK",1
10:47,"SUB IN by SPITZER,JAKOB",,,,,,,"SUB IN by SPITZER,JAKOB",1
10:47,"SUB OUT by PURVIS,KC",,,,,,,"SUB OUT by PURVIS,KC",1
10:43,"GOOD JUMPER by GERALD,DUSTIN",13 (+4),,9,,CENTRE-M 13-9 (+4),,"GOOD JUMPER by GERALD,DUSTIN",1
--,"ASSIST  by GRIFFIN,JAROD",,,,,,,"ASSIST  by GRIFFIN,JAROD",1
10:21,,,,,"MISS JUMPER by GILBERT,RYAN",,,"MISS JUMPER by GILBERT,RYAN",1
10:21,"BLOCK  by BROWNLEY,HOGAN",,,,,,,"BLOCK  by BROWNLEY,HOGAN",1
--,"REBOUND DEF by BROWNLEY,HOGAN",,,,,,,"REBOUND DEF by BROWNLEY,HOGAN",1
