Time Remaining,CEN,Away Team Score,Play Team Indicator,Home Team Score,WLU,Game Score,Team Indicator,Play,Period
19:47,,0,,2 (+2),"GOOD JUMPER by KEARNS,DEVIN",WLU 0-2 (-2),,"GOOD JUMPER by KEARNS,DEVIN",1
19:23,"MISS LAYUP by WALKER,ART(in the paint)",,,,,,,"MISS LAYUP by WALKER,ART(in the paint)",1
19:23,,,,,"BLOCK  by BRUEGGEMAN,WILLIAM",,,"BLOCK  by BRUEGGEMAN,WILLIAM",1
--,,,,,"REBOUND DEF by KEARNS,DEVIN",,,"REBOUND DEF by KEARNS,DEVIN",1
19:14,,,,,"TURNOVER  by KEARNS,DEVIN",,,"TURNOVER  by KEARNS,DEVIN",1
19:14,"STEAL  by BATES,JACOB",,,,,,,"STEAL  by BATES,JACOB",1
19:12,,,,,"FOUL  by MITCHELL,CURTIS",,,"FOUL  by MITCHELL,CURTIS",1
19:12,"GOOD FT by BATES,JACOB(fastbreak)",1,,2 (+1),,CEN 1-2 (-1),,"GOOD FT by BATES,JACOB(fastbreak)",1
19:12,"GOOD FT by BATES,JACOB(fastbreak)",2,,2,,CEN 2-2 (0),,"GOOD FT by BATES,JACOB(fastbreak)",1
18:59,,,,,"MISS 3PTR by KEARNS,DEVIN",,,"MISS 3PTR by KEARNS,DEVIN",1
--,,,,,"REBOUND OFF by BRUEGGEMAN,WILLIAM",,,"REBOUND OFF by BRUEGGEMAN,WILLIAM",1
18:48,,,,,"MISS LAYUP by MITCHELL,CURTIS",,,"MISS LAYUP by MITCHELL,CURTIS",1
--,"REBOUND DEF by BATES,JACOB",,,,,,,"REBOUND DEF by BATES,JACOB",1
18:27,,,,,"FOUL  by BRUEGGEMAN,WILLIAM",,,"FOUL  by BRUEGGEMAN,WILLIAM",1
18:27,"GOOD FT by SINE,TUCKER",3 (+1),,2,,CEN 3-2 (+1),,"GOOD FT by SINE,TUCKER",1
18:27,"GOOD FT by SINE,TUCKER",4 (+2),,2,,CEN 4-2 (+2),,"GOOD FT by SINE,TUCKER",1
18:27,"MISS FT by SINE,TUCKER",,,,,,,"MISS FT by SINE,TUCKER",1
--,,,,,"REBOUND DEF by MCMILLAN,ROY",,,"REBOUND DEF by MCMILLAN,ROY",1
18:25,,4,,4,"GOOD LAYUP by MITCHELL,CURTIS(fastbreak)",WLU 4-4 (0),,"GOOD LAYUP by MITCHELL,CURTIS(fastbreak)",1
--,,,,,"ASSIST  by KEARNS,DEVIN",,,"ASSIST  by KEARNS,DEVIN",1
18:05,"MISS LAYUP by RAKES,BAILEY",,,,,,,"MISS LAYUP by RAKES,BAILEY",1
--,,,,,"REBOUND DEF by KEARNS,DEVIN",,,"REBOUND DEF by KEARNS,DEVIN",1
17:56,,4,,7 (+3),"GOOD 3PTR by BRUEGGEMAN,WILLIAM",WLU 4-7 (-3),,"GOOD 3PTR by BRUEGGEMAN,WILLIAM",1
--,,,,,"ASSIST  by KEARNS,DEVIN",,,"ASSIST  by KEARNS,DEVIN",1
17:29,"GOOD 3PTR by BATES,JACOB",7,,7,,CEN 7-7 (0),,"GOOD 3PTR by BATES,JACOB",1
--,"ASSIST  by RAKES,BAILEY",,,,,,,"ASSIST  by RAKES,BAILEY",1
17:19,"FOUL  by SINE,TUCKER",,,,,,,"FOUL  by SINE,TUCKER",1
17:06,,,,,"TURNOVER  by MCMILLAN,ROY",,,"TURNOVER  by MCMILLAN,ROY",1
17:06,"STEAL  by AYERS,PERRY",,,,,,,"STEAL  by AYERS,PERRY",1
16:58,"GOOD 3PTR by AYERS,PERRY",10 (+3),,7,,CEN 10-7 (+3),,"GOOD 3PTR by AYERS,PERRY",1
--,"ASSIST  by SINE,TUCKER",,,,,,,"ASSIST  by SINE,TUCKER",1
16:42,,,,,"MISS 3PTR by LAMENDOLA,MARK",,,"MISS 3PTR by LAMENDOLA,MARK",1
--,"REBOUND DEF by BATES,JACOB",,,,,,,"REBOUND DEF by BATES,JACOB",1
16:25,"GOOD 3PTR by WALKER,ART",13 (+6),,7,,CEN 13-7 (+6),,"GOOD 3PTR by WALKER,ART",1
--,"ASSIST  by AYERS,PERRY",,,,,,,"ASSIST  by AYERS,PERRY",1
16:09,,,,,"MISS 3PTR by MITCHELL,CURTIS",,,"MISS 3PTR by MITCHELL,CURTIS",1
--,"REBOUND DEF by SINE,TUCKER",,,,,,,"REBOUND DEF by SINE,TUCKER",1
15:53,"GOOD 3PTR by WALKER,ART",16 (+9),,7,,CEN 16-7 (+9),,"GOOD 3PTR by WALKER,ART",1
--,"ASSIST  by BATES,JACOB",,,,,,,"ASSIST  by BATES,JACOB",1
15:50,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
15:50,,,,,"SUB OUT by LAMENDOLA,MARK",,,"SUB OUT by LAMENDOLA,MARK",1
15:50,,,,,"SUB IN by STARR,ALEX",,,"SUB IN by STARR,ALEX",1
