Time Remaining,FCMBB,Away Team Score,Play Team Indicator,Home Team Score,CENTRE-M,Game Score,Team Indicator,Play,Period
19:44,,0,,2 (+2),"GOOD LAYUP by SINE,TUCKER(in the paint)",CENTRE-M 0-2 (+2),,"GOOD LAYUP by SINE,TUCKER(in the paint)",1
--,,,,,"ASSIST  by BATES,JACOB",,,"ASSIST  by BATES,JACOB",1
19:31,"GOOD LAYUP by MEYER,KYLE(in the paint)",2,,2,,FCMBB 2-2 (0),,"GOOD LAYUP by MEYER,KYLE(in the paint)",1
--,"ASSIST  by MORRIS,KALE",,,,,,,"ASSIST  by MORRIS,KALE",1
19:14,,2,,4 (+2),"GOOD JUMPER by RAKES,BAILEY(in the paint)",CENTRE-M 2-4 (+2),,"GOOD JUMPER by RAKES,BAILEY(in the paint)",1
18:57,"GOOD LAYUP by GOGGANS,DANNY(in the paint)",4,,4,,FCMBB 4-4 (0),,"GOOD LAYUP by GOGGANS,DANNY(in the paint)",1
18:44,,4,,7 (+3),"GOOD 3PTR by RAKES,BAILEY",CENTRE-M 4-7 (+3),,"GOOD 3PTR by RAKES,BAILEY",1
18:25,"GOOD JUMPER by GUTIERREZ,SAM(in the paint)",6,,7 (+1),,FCMBB 6-7 (+1),,"GOOD JUMPER by GUTIERREZ,SAM(in the paint)",1
18:09,,,,,"TURNOVER  by BATES,JACOB",,,"TURNOVER  by BATES,JACOB",1
18:06,"STEAL  by GOGGANS,DANNY",,,,,,,"STEAL  by GOGGANS,DANNY",1
17:43,"TURNOVER  by MEYER,KYLE",,,,,,,"TURNOVER  by MEYER,KYLE",1
17:25,,,,,"TURNOVER  by WALKER,ART",,,"TURNOVER  by WALKER,ART",1
17:22,"STEAL  by ANDERSON,JORDAN",,,,,,,"STEAL  by ANDERSON,JORDAN",1
17:17,"MISS LAYUP by MEYER,KYLE",,,,,,,"MISS LAYUP by MEYER,KYLE",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
17:17,,,,,"SUB IN by PURVIS,KC",,,"SUB IN by PURVIS,KC",1
17:17,,,,,"SUB OUT by BATES,JACOB",,,"SUB OUT by BATES,JACOB",1
17:04,"MISS JUMPER by GUTIERREZ,SAM",,,,,,,"MISS JUMPER by GUTIERREZ,SAM",1
--,"REBOUND OFF by GOGGANS,DANNY",,,,,,,"REBOUND OFF by GOGGANS,DANNY",1
16:56,"MISS JUMPER by GOGGANS,DANNY",,,,,,,"MISS JUMPER by GOGGANS,DANNY",1
16:56,,,,,"BLOCK  by PURVIS,KC",,,"BLOCK  by PURVIS,KC",1
--,"REBOUND OFF by GOGGANS,DANNY",,,,,,,"REBOUND OFF by GOGGANS,DANNY",1
16:45,"GOOD LAYUP by GOGGANS,DANNY(in the paint)",8 (+1),,7,,FCMBB 8-7 (-1),,"GOOD LAYUP by GOGGANS,DANNY(in the paint)",1
16:39,,,,,"TURNOVER  by PURVIS,KC",,,"TURNOVER  by PURVIS,KC",1
16:27,,,,,"FOUL  by PURVIS,KC",,,"FOUL  by PURVIS,KC",1
16:27,"GOOD FT by GUTIERREZ,SAM",9 (+2),,7,,FCMBB 9-7 (-2),,"GOOD FT by GUTIERREZ,SAM",1
16:27,"GOOD FT by GUTIERREZ,SAM",10 (+3),,7,,FCMBB 10-7 (-3),,"GOOD FT by GUTIERREZ,SAM",1
16:27,,,,,"SUB IN by GRIFFIN,JAROD",,,"SUB IN by GRIFFIN,JAROD",1
16:27,,,,,"SUB IN by GERALD,DUSTIN",,,"SUB IN by GERALD,DUSTIN",1
