Time Remaining,OU-M,Away Team Score,Play Team Indicator,Home Team Score,CENTRE-M,Game Score,Team Indicator,Play,Period
--,"REBOUND OFF by JENEI,RYAN",,,,,,,"REBOUND OFF by JENEI,RYAN",1
12:28,"MISS LAYUP by KOCH,WILL",,,,,,,"MISS LAYUP by KOCH,WILL",1
--,"REBOUND OFF by KOCH,WILL",,,,,,,"REBOUND OFF by KOCH,WILL",1
12:25,"GOOD LAYUP by KOCH,WILL(in the paint)",9,,14 (+5),,OU-M 9-14 (+5),,"GOOD LAYUP by KOCH,WILL(in the paint)",1
12:21,,,,,"FOUL  by WALKER,ART",,,"FOUL  by WALKER,ART",1
12:16,"GOOD FT by KOCH,WILL",10,,14 (+4),,OU-M 10-14 (+4),,"GOOD FT by KOCH,WILL",1
12:16,"SUB IN by KOCH,WILL",,,,,,,"SUB IN by KOCH,WILL",1
12:16,"SUB IN by RICE,TRE'",,,,,,,"SUB IN by RICE,TRE'",1
12:16,"SUB OUT by FOSTER,LANE",,,,,,,"SUB OUT by FOSTER,LANE",1
12:16,"SUB OUT by PERRY,WILL",,,,,,,"SUB OUT by PERRY,WILL",1
12:16,,,,,"SUB IN by PURVIS,KC",,,"SUB IN by PURVIS,KC",1
12:16,,,,,"SUB IN by RAKES,BAILEY",,,"SUB IN by RAKES,BAILEY",1
12:16,,,,,"SUB OUT by SPITZER,JAKOB",,,"SUB OUT by SPITZER,JAKOB",1
12:16,,,,,"SUB OUT by CRUMP,DAWSON",,,"SUB OUT by CRUMP,DAWSON",1
11:59,,,,,"MISS 3PTR by GERALD,DUSTIN",,,"MISS 3PTR by GERALD,DUSTIN",1
--,"REBOUND DEF by SONE,CARLOS",,,,,,,"REBOUND DEF by SONE,CARLOS",1
11:40,"MISS 3PTR by JENEI,RYAN",,,,,,,"MISS 3PTR by JENEI,RYAN",1
--,,,,,"REBOUND DEF by PURVIS,KC",,,"REBOUND DEF by PURVIS,KC",1
11:22,,10,,16 (+6),"GOOD LAYUP by GRIFFIN,JAROD(in the paint)",CENTRE-M 10-16 (+6),,"GOOD LAYUP by GRIFFIN,JAROD(in the paint)",1
11:22,TIMEOUT media by TEAM,,,,,,,TIMEOUT media by TEAM,1
11:20,,,,,"SUB IN by SPITZER,JAKOB",,,"SUB IN by SPITZER,JAKOB",1
11:20,,,,,"SUB OUT by WALKER,ART",,,"SUB OUT by WALKER,ART",1
11:18,"MISS LAYUP by INUNGU,TOM",,,,,,,"MISS LAYUP by INUNGU,TOM",1
--,,,,,"REBOUND DEF by RAKES,BAILEY",,,"REBOUND DEF by RAKES,BAILEY",1
10:58,,10,,18 (+8),"GOOD LAYUP by GRIFFIN,JAROD(in the paint)",CENTRE-M 10-18 (+8),,"GOOD LAYUP by GRIFFIN,JAROD(in the paint)",1
10:24,"MISS 3PTR by JENEI,RYAN",,,,,,,"MISS 3PTR by JENEI,RYAN",1
