Time Remaining,TCNJ,Away Team Score,Play Team Indicator,Home Team Score,CEN,Game Score,Team Indicator,Play,Period
19:42,"MISS LAYUP by JENSEN,RYAN(in the paint)",,,,,,,"MISS LAYUP by JENSEN,RYAN(in the paint)",1
--,"REBOUND OFF by RINGEL,P.J.",,,,,,,"REBOUND OFF by RINGEL,P.J.",1
19:23,"MISS 3PTR by GLOVER,JORDAN",,,,,,,"MISS 3PTR by GLOVER,JORDAN",1
--,,,,,"REBOUND DEF by SINE,TUCKER",,,"REBOUND DEF by SINE,TUCKER",1
19:01,,,,,"MISS 3PTR by BATES,JACOB",,,"MISS 3PTR by BATES,JACOB",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
18:56,,,,,"MISS 3PTR by AYERS,PERRY",,,"MISS 3PTR by AYERS,PERRY",1
--,"REBOUND DEF by CARPENTER,NIALL",,,,,,,"REBOUND DEF by CARPENTER,NIALL",1
18:44,"GOOD LAYUP by WALKO,RANDY",2 (+2),,0,,TCNJ 2-0 (-2),,"GOOD LAYUP by WALKO,RANDY",1
18:32,,,,,"FOUL  by BATES,JACOB",,,"FOUL  by BATES,JACOB",1
18:32,,,,,"TURNOVER  by BATES,JACOB",,,"TURNOVER  by BATES,JACOB",1
18:19,"MISS 3PTR by JENSEN,RYAN",,,,,,,"MISS 3PTR by JENSEN,RYAN",1
--,,,,,"REBOUND DEF by RAKES,BAILEY",,,"REBOUND DEF by RAKES,BAILEY",1
18:11,,2,,2,"GOOD JUMPER by BATES,JACOB",CEN 2-2 (0),,"GOOD JUMPER by BATES,JACOB",1
--,,,,,"ASSIST  by RAKES,BAILEY",,,"ASSIST  by RAKES,BAILEY",1
17:58,"MISS 3PTR by WALKO,RANDY",,,,,,,"MISS 3PTR by WALKO,RANDY",1
--,,,,,"REBOUND DEF by RAKES,BAILEY",,,"REBOUND DEF by RAKES,BAILEY",1
17:38,,2,,5 (+3),"GOOD 3PTR by RAKES,BAILEY",CEN 2-5 (+3),,"GOOD 3PTR by RAKES,BAILEY",1
--,,,,,"ASSIST  by AYERS,PERRY",,,"ASSIST  by AYERS,PERRY",1
17:14,,,,,"FOUL  by WALKER,ART",,,"FOUL  by WALKER,ART",1
17:06,"FOUL  by JENSEN,RYAN",,,,,,,"FOUL  by JENSEN,RYAN",1
17:06,"TURNOVER  by JENSEN,RYAN",,,,,,,"TURNOVER  by JENSEN,RYAN",1
16:53,,,,,"MISS LAYUP by BATES,JACOB",,,"MISS LAYUP by BATES,JACOB",1
--,"REBOUND DEF by GLOVER,JORDAN",,,,,,,"REBOUND DEF by GLOVER,JORDAN",1
16:45,"GOOD LAYUP by CARPENTER,NIALL(fastbreak)",4,,5 (+1),,TCNJ 4-5 (+1),,"GOOD LAYUP by CARPENTER,NIALL(fastbreak)",1
16:29,,,,,"MISS LAYUP by AYERS,PERRY",,,"MISS LAYUP by AYERS,PERRY",1
16:29,"BLOCK  by WALKO,RANDY",,,,,,,"BLOCK  by WALKO,RANDY",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
16:18,,,,,"TURNOVER  by SINE,TUCKER(in the paint)",,,"TURNOVER  by SINE,TUCKER(in the paint)",1
16:18,"STEAL  by RINGEL,P.J.",,,,,,,"STEAL  by RINGEL,P.J.",1
16:14,"TURNOVER  by GLOVER,JORDAN",,,,,,,"TURNOVER  by GLOVER,JORDAN",1
16:14,,,,,"STEAL  by SINE,TUCKER",,,"STEAL  by SINE,TUCKER",1
16:09,,,,,"MISS LAYUP by BATES,JACOB",,,"MISS LAYUP by BATES,JACOB",1
--,,,,,"REBOUND OFF by AYERS,PERRY",,,"REBOUND OFF by AYERS,PERRY",1
16:05,,,,,"MISS LAYUP by AYERS,PERRY",,,"MISS LAYUP by AYERS,PERRY",1
--,"REBOUND DEF by RINGEL,P.J.",,,,,,,"REBOUND DEF by RINGEL,P.J.",1
15:51,"MISS JUMPER by GLOVER,JORDAN(in the paint)",,,,,,,"MISS JUMPER by GLOVER,JORDAN(in the paint)",1
--,,,,,"REBOUND DEF by WALKER,ART",,,"REBOUND DEF by WALKER,ART",1
15:41,,,,,"TURNOVER  by WALKER,ART(in the paint)",,,"TURNOVER  by WALKER,ART(in the paint)",1
15:41,,,,,"SUB OUT by BATES,JACOB",,,"SUB OUT by BATES,JACOB",1
15:41,,,,,"SUB IN by PURVIS,KC",,,"SUB IN by PURVIS,KC",1
15:41,"SUB OUT by GLOVER,JORDAN",,,,,,,"SUB OUT by GLOVER,JORDAN",1
15:41,"SUB IN by JOCELYN,TRAVIS",,,,,,,"SUB IN by JOCELYN,TRAVIS",1
15:12,"TURNOVER  by JOCELYN,TRAVIS",,,,,,,"TURNOVER  by JOCELYN,TRAVIS",1
15:12,,,,,"STEAL  by RAKES,BAILEY",,,"STEAL  by RAKES,BAILEY",1
15:01,,,,,"MISS  by PURVIS,KC",,,"MISS  by PURVIS,KC",1
--,"REBOUND DEF by JOCELYN,TRAVIS",,,,,,,"REBOUND DEF by JOCELYN,TRAVIS",1
14:52,"GOOD LAYUP by RINGEL,P.J.",6 (+1),,5,,TCNJ 6-5 (-1),,"GOOD LAYUP by RINGEL,P.J.",1
14:33,"FOUL  by RINGEL,P.J.",,,,,,,"FOUL  by RINGEL,P.J.",1
14:33,,,,,"SUB OUT by RAKES,BAILEY",,,"SUB OUT by RAKES,BAILEY",1
14:33,,,,,"SUB IN by GRIFFIN,JAROD",,,"SUB IN by GRIFFIN,JAROD",1
14:33,,,,,"SUB OUT by SINE,TUCKER",,,"SUB OUT by SINE,TUCKER",1
14:33,,,,,"SUB IN by CRUMP,DAWSON",,,"SUB IN by CRUMP,DAWSON",1
14:33,,,,,"SUB OUT by AYERS,PERRY",,,"SUB OUT by AYERS,PERRY",1
14:33,,,,,"SUB IN by GERALD,DUSTIN",,,"SUB IN by GERALD,DUSTIN",1
14:33,"SUB OUT by WALKO,RANDY",,,,,,,"SUB OUT by WALKO,RANDY",1
14:33,"SUB IN by WALLEY,MIKE",,,,,,,"SUB IN by WALLEY,MIKE",1
14:21,,,,,"MISS JUMPER by WALKER,ART",,,"MISS JUMPER by WALKER,ART",1
--,"REBOUND DEF by JENSEN,RYAN",,,,,,,"REBOUND DEF by JENSEN,RYAN",1
14:02,"MISS 3PTR by WALLEY,MIKE",,,,,,,"MISS 3PTR by WALLEY,MIKE",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
13:59,"SUB OUT by RINGEL,P.J.",,,,,,,"SUB OUT by RINGEL,P.J.",1
13:59,"SUB IN by MONTANO,JOE",,,,,,,"SUB IN by MONTANO,JOE",1
13:59,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
13:43,,6,,7 (+1),"GOOD  by GERALD,DUSTIN(in the paint)",CEN 6-7 (+1),,"GOOD  by GERALD,DUSTIN(in the paint)",1
13:29,"MISS 3PTR by MONTANO,JOE",,,,,,,"MISS 3PTR by MONTANO,JOE",1
--,,,,,"REBOUND DEF by WALKER,ART",,,"REBOUND DEF by WALKER,ART",1
13:23,,,,,"TURNOVER  by WALKER,ART",,,"TURNOVER  by WALKER,ART",1
13:23,,,,,"SUB OUT by WALKER,ART",,,"SUB OUT by WALKER,ART",1
13:23,,,,,"SUB IN by BROWNLEY,HOGAN",,,"SUB IN by BROWNLEY,HOGAN",1
13:23,"SUB OUT by JENSEN,RYAN",,,,,,,"SUB OUT by JENSEN,RYAN",1
13:23,"SUB IN by KEENAN,ANDREW",,,,,,,"SUB IN by KEENAN,ANDREW",1
13:05,"TURNOVER  by KEENAN,ANDREW",,,,,,,"TURNOVER  by KEENAN,ANDREW",1
12:39,,,,,"MISS JUMPER by CRUMP,DAWSON(in the paint)",,,"MISS JUMPER by CRUMP,DAWSON(in the paint)",1
--,,,,,"REBOUND OFF by GERALD,DUSTIN",,,"REBOUND OFF by GERALD,DUSTIN",1
12:34,,6,,9 (+3),"GOOD LAYUP by GERALD,DUSTIN",CEN 6-9 (+3),,"GOOD LAYUP by GERALD,DUSTIN",1
12:12,"GOOD JUMPER by CARPENTER,NIALL",8,,9 (+1),,TCNJ 8-9 (+1),,"GOOD JUMPER by CARPENTER,NIALL",1
--,"ASSIST  by JOCELYN,TRAVIS",,,,,,,"ASSIST  by JOCELYN,TRAVIS",1
12:01,,,,,"MISS 3PTR by CRUMP,DAWSON",,,"MISS 3PTR by CRUMP,DAWSON",1
--,,,,,"REBOUND OFF by BROWNLEY,HOGAN",,,"REBOUND OFF by BROWNLEY,HOGAN",1
11:55,,,,,"MISS LAYUP by BROWNLEY,HOGAN",,,"MISS LAYUP by BROWNLEY,HOGAN",1
11:55,"BLOCK  by WALLEY,MIKE",,,,,,,"BLOCK  by WALLEY,MIKE",1
--,"REBOUND DEF by CARPENTER,NIALL",,,,,,,"REBOUND DEF by CARPENTER,NIALL",1
11:49,,,,,"FOUL  by CRUMP,DAWSON",,,"FOUL  by CRUMP,DAWSON",1
11:49,"GOOD FT by CARPENTER,NIALL(fastbreak)",9,,9,,TCNJ 9-9 (0),,"GOOD FT by CARPENTER,NIALL(fastbreak)",1
11:49,"MISS FT by CARPENTER,NIALL(fastbreak)",,,,,,,"MISS FT by CARPENTER,NIALL(fastbreak)",1
--,,,,,"REBOUND DEF by BROWNLEY,HOGAN",,,"REBOUND DEF by BROWNLEY,HOGAN",1
11:26,,9,,11 (+2),"GOOD LAYUP by PURVIS,KC(in the paint)",CEN 9-11 (+2),,"GOOD LAYUP by PURVIS,KC(in the paint)",1
