Time Remaining,OU-M,Away Team Score,Play Team Indicator,Home Team Score,CENTRE-M,Game Score,Team Indicator,Play,Period
19:46,"TURNOVER  by PERRY,WILL",,,,,,,"TURNOVER  by PERRY,WILL",1
19:25,,0,,2 (+2),"GOOD LAYUP by BATES,JACOB(in the paint)",CENTRE-M 0-2 (+2),,"GOOD LAYUP by BATES,JACOB(in the paint)",1
--,,,,,"ASSIST  by RAKES,BAILEY",,,"ASSIST  by RAKES,BAILEY",1
19:11,"GOOD 3PTR by JENEI,RYAN",3 (+1),,2,,OU-M 3-2 (-1),,"GOOD 3PTR by JENEI,RYAN",1
--,"ASSIST  by FOSTER,LANE",,,,,,,"ASSIST  by FOSTER,LANE",1
18:48,,3,,5 (+2),"GOOD 3PTR by SINE,TUCKER",CENTRE-M 3-5 (+2),,"GOOD 3PTR by SINE,TUCKER",1
--,,,,,"ASSIST  by RAKES,BAILEY",,,"ASSIST  by RAKES,BAILEY",1
18:26,"MISS LAYUP by INUNGU,TOM",,,,,,,"MISS LAYUP by INUNGU,TOM",1
--,"REBOUND OFF by INUNGU,TOM",,,,,,,"REBOUND OFF by INUNGU,TOM",1
18:22,"MISS LAYUP by INUNGU,TOM",,,,,,,"MISS LAYUP by INUNGU,TOM",1
--,,,,,"REBOUND DEF by RAKES,BAILEY",,,"REBOUND DEF by RAKES,BAILEY",1
17:56,,,,,"MISS 3PTR by AYERS,PERRY",,,"MISS 3PTR by AYERS,PERRY",1
--,,,,,"REBOUND OFF by BATES,JACOB",,,"REBOUND OFF by BATES,JACOB",1
17:50,,,,,"TURNOVER  by BATES,JACOB",,,"TURNOVER  by BATES,JACOB",1
17:48,"STEAL  by INUNGU,TOM",,,,,,,"STEAL  by INUNGU,TOM",1
17:44,"MISS LAYUP by FOSTER,LANE",,,,,,,"MISS LAYUP by FOSTER,LANE",1
--,"REBOUND OFF by INUNGU,TOM",,,,,,,"REBOUND OFF by INUNGU,TOM",1
17:40,"TURNOVER  by INUNGU,TOM",,,,,,,"TURNOVER  by INUNGU,TOM",1
17:38,,,,,"STEAL  by RAKES,BAILEY",,,"STEAL  by RAKES,BAILEY",1
17:37,"FOUL  by SONE,CARLOS",,,,,,,"FOUL  by SONE,CARLOS",1
