Time Remaining,MIL,Away Team Score,Play Team Indicator,Home Team Score,CENTRE-M,Game Score,Team Indicator,Play,Period
--,,,,,"ASSIST  by AYERS,PERRY",,,"ASSIST  by AYERS,PERRY",1
15:09,"MISS JUMPER by BECKER,SAXTON",,,,,,,"MISS JUMPER by BECKER,SAXTON",1
--,,,,,"REBOUND DEF by AYERS,PERRY",,,"REBOUND DEF by AYERS,PERRY",1
14:50,,,,,"MISS JUMPER by AYERS,PERRY",,,"MISS JUMPER by AYERS,PERRY",1
--,,,,,"REBOUND OFF by SPITZER,JAKOB",,,"REBOUND OFF by SPITZER,JAKOB",1
14:47,"FOUL  by BECKER,SAXTON",,,,,,,"FOUL  by BECKER,SAXTON",1
14:47,,,,,TIMEOUT media by TEAM,,,TIMEOUT media by TEAM,1
14:40,"SUB IN by VAN PELT,JUSTIN",,,,,,,"SUB IN by VAN PELT,JUSTIN",1
14:40,"SUB IN by GILLIHAN,NEWLON",,,,,,,"SUB IN by GILLIHAN,NEWLON",1
14:40,"SUB IN by MILLER,JOSHUA",,,,,,,"SUB IN by MILLER,JOSHUA",1
14:40,"SUB IN by MANNING,JOHNATHAN",,,,,,,"SUB IN by MANNING,JOHNATHAN",1
14:40,"SUB IN by SULLIVAN,MICHAEL",,,,,,,"SUB IN by SULLIVAN,MICHAEL",1
14:40,"SUB OUT by MCLAURIN,RYAN",,,,,,,"SUB OUT by MCLAURIN,RYAN",1
14:40,"SUB OUT by BECKER,SAXTON",,,,,,,"SUB OUT by BECKER,SAXTON",1
14:40,"SUB OUT by CARVELLI,CAMERON",,,,,,,"SUB OUT by CARVELLI,CAMERON",1
14:40,"SUB OUT by BLANZ,BUCK",,,,,,,"SUB OUT by BLANZ,BUCK",1
14:40,"SUB OUT by TULLOS,ZACHARY",,,,,,,"SUB OUT by TULLOS,ZACHARY",1
14:18,,10 (+3),,7,"GOOD JUMPER by SPITZER,JAKOB(in the paint)",CENTRE-M 10-7 (-3),,"GOOD JUMPER by SPITZER,JAKOB(in the paint)",1
13:58,"MISS LAYUP by SULLIVAN,MICHAEL",,,,,,,"MISS LAYUP by SULLIVAN,MICHAEL",1
--,"REBOUND OFF by VAN PELT,JUSTIN",,,,,,,"REBOUND OFF by VAN PELT,JUSTIN",1
13:53,"MISS LAYUP by VAN PELT,JUSTIN",,,,,,,"MISS LAYUP by VAN PELT,JUSTIN",1
--,"REBOUND OFF by VAN PELT,JUSTIN",,,,,,,"REBOUND OFF by VAN PELT,JUSTIN",1
13:47,"MISS LAYUP by VAN PELT,JUSTIN",,,,,,,"MISS LAYUP by VAN PELT,JUSTIN",1
--,,,,,"REBOUND DEF by SPITZER,JAKOB",,,"REBOUND DEF by SPITZER,JAKOB",1
13:42,,,,,"MISS 3PTR by SPITZER,JAKOB",,,"MISS 3PTR by SPITZER,JAKOB",1
--,"REBOUND DEF by SULLIVAN,MICHAEL",,,,,,,"REBOUND DEF by SULLIVAN,MICHAEL",1
13:33,,,,,"FOUL  by CRUMP,DAWSON",,,"FOUL  by CRUMP,DAWSON",1
13:33,,,,,"SUB IN by BATES,JACOB",,,"SUB IN by BATES,JACOB",1
13:33,,,,,"SUB IN by PURVIS,KC",,,"SUB IN by PURVIS,KC",1
13:33,,,,,"SUB IN by GERALD,DUSTIN",,,"SUB IN by GERALD,DUSTIN",1
13:33,,,,,"SUB IN by GRIFFIN,JAROD",,,"SUB IN by GRIFFIN,JAROD",1
13:33,,,,,"SUB OUT by WALKER,ART",,,"SUB OUT by WALKER,ART",1
13:33,,,,,"SUB OUT by SINE,TUCKER",,,"SUB OUT by SINE,TUCKER",1
13:33,,,,,"SUB OUT by SPITZER,JAKOB",,,"SUB OUT by SPITZER,JAKOB",1
13:33,,,,,"SUB OUT by AYERS,PERRY",,,"SUB OUT by AYERS,PERRY",1
13:26,"MISS LAYUP by SULLIVAN,MICHAEL",,,,,,,"MISS LAYUP by SULLIVAN,MICHAEL",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
13:16,,,,,"MISS 3PTR by CRUMP,DAWSON",,,"MISS 3PTR by CRUMP,DAWSON",1
--,"REBOUND DEF by VAN PELT,JUSTIN",,,,,,,"REBOUND DEF by VAN PELT,JUSTIN",1
13:04,,,,,"FOUL  by BATES,JACOB",,,"FOUL  by BATES,JACOB",1
13:04,,,,,"SUB IN by SPITZER,JAKOB",,,"SUB IN by SPITZER,JAKOB",1
13:04,,,,,"SUB OUT by BATES,JACOB",,,"SUB OUT by BATES,JACOB",1
13:03,"TURNOVER  by MILLER,JOSHUA",,,,,,,"TURNOVER  by MILLER,JOSHUA",1
12:36,,10,,10,"GOOD 3PTR by CRUMP,DAWSON",CENTRE-M 10-10 (0),,"GOOD 3PTR by CRUMP,DAWSON",1
12:11,"GOOD 3PTR by MANNING,JOHNATHAN",13 (+3),,10,,MIL 13-10 (-3),,"GOOD 3PTR by MANNING,JOHNATHAN",1
12:11,,,,,"FOUL  by SPITZER,JAKOB",,,"FOUL  by SPITZER,JAKOB",1
12:11,"SUB IN by TURNER,JAMES",,,,,,,"SUB IN by TURNER,JAMES",1
12:11,"SUB OUT by MANNING,JOHNATHAN",,,,,,,"SUB OUT by MANNING,JOHNATHAN",1
12:11,,,,,"SUB IN by RAKES,BAILEY",,,"SUB IN by RAKES,BAILEY",1
12:11,,,,,"SUB OUT by CRUMP,DAWSON",,,"SUB OUT by CRUMP,DAWSON",1
12:09,,,,,"FOUL  by RAKES,BAILEY",,,"FOUL  by RAKES,BAILEY",1
12:09,"GOOD FT by SULLIVAN,MICHAEL",14 (+4),,10,,MIL 14-10 (-4),,"GOOD FT by SULLIVAN,MICHAEL",1
12:09,"GOOD FT by SULLIVAN,MICHAEL",15 (+5),,10,,MIL 15-10 (-5),,"GOOD FT by SULLIVAN,MICHAEL",1
12:09,,,,,"SUB IN by AYERS,PERRY",,,"SUB IN by AYERS,PERRY",1
12:09,,,,,"SUB OUT by RAKES,BAILEY",,,"SUB OUT by RAKES,BAILEY",1
11:48,,15 (+2),,13,"GOOD 3PTR by AYERS,PERRY",CENTRE-M 15-13 (-2),,"GOOD 3PTR by AYERS,PERRY",1
--,,,,,"ASSIST  by PURVIS,KC",,,"ASSIST  by PURVIS,KC",1
11:27,"GOOD 3PTR by SULLIVAN,MICHAEL",18 (+5),,13,,MIL 18-13 (-5),,"GOOD 3PTR by SULLIVAN,MICHAEL",1
--,"ASSIST  by GILLIHAN,NEWLON",,,,,,,"ASSIST  by GILLIHAN,NEWLON",1
11:21,,,,,TIMEOUT MEDIA by TEAM,,,TIMEOUT MEDIA by TEAM,1
11:21,,,,,"SUB IN by WALKER,ART",,,"SUB IN by WALKER,ART",1
11:21,,,,,"SUB IN by RAKES,BAILEY",,,"SUB IN by RAKES,BAILEY",1
11:17,,,,,"MISS LAYUP by AYERS,PERRY",,,"MISS LAYUP by AYERS,PERRY",1
--,,,,,"REBOUND OFF by AYERS,PERRY",,,"REBOUND OFF by AYERS,PERRY",1
11:17,,,,,"MISS 3PTR by GRIFFIN,JAROD",,,"MISS 3PTR by GRIFFIN,JAROD",1
--,"REBOUND DEF by MILLER,JOSHUA",,,,,,,"REBOUND DEF by MILLER,JOSHUA",1
11:17,,,,,"FOUL  by GERALD,DUSTIN",,,"FOUL  by GERALD,DUSTIN",1
11:17,"MISS FT by TURNER,JAMES",,,,,,,"MISS FT by TURNER,JAMES",1
--,,,,,"REBOUND DEF by AYERS,PERRY",,,"REBOUND DEF by AYERS,PERRY",1
11:17,,,,,"SUB OUT by PURVIS,KC",,,"SUB OUT by PURVIS,KC",1
11:17,,,,,"SUB OUT by RAKES,BAILEY",,,"SUB OUT by RAKES,BAILEY",1
11:04,,,,,"MISS LAYUP by GRIFFIN,JAROD",,,"MISS LAYUP by GRIFFIN,JAROD",1
--,"REBOUND DEF by VAN PELT,JUSTIN",,,,,,,"REBOUND DEF by VAN PELT,JUSTIN",1
10:46,"MISS LAYUP by VAN PELT,JUSTIN",,,,,,,"MISS LAYUP by VAN PELT,JUSTIN",1
--,,,,,"REBOUND DEF by AYERS,PERRY",,,"REBOUND DEF by AYERS,PERRY",1
10:38,"FOUL  by GILLIHAN,NEWLON",,,,,,,"FOUL  by GILLIHAN,NEWLON",1
10:38,"SUB IN by BECKER,SAXTON",,,,,,,"SUB IN by BECKER,SAXTON",1
10:38,"SUB IN by MCLAURIN,RYAN",,,,,,,"SUB IN by MCLAURIN,RYAN",1
10:38,"SUB IN by CARVELLI,CAMERON",,,,,,,"SUB IN by CARVELLI,CAMERON",1
10:38,"SUB IN by BLANZ,BUCK",,,,,,,"SUB IN by BLANZ,BUCK",1
10:38,"SUB IN by TULLOS,ZACHARY",,,,,,,"SUB IN by TULLOS,ZACHARY",1
10:38,"SUB OUT by VAN PELT,JUSTIN",,,,,,,"SUB OUT by VAN PELT,JUSTIN",1
10:38,"SUB OUT by GILLIHAN,NEWLON",,,,,,,"SUB OUT by GILLIHAN,NEWLON",1
10:38,"SUB OUT by MILLER,JOSHUA",,,,,,,"SUB OUT by MILLER,JOSHUA",1
10:38,"SUB OUT by TURNER,JAMES",,,,,,,"SUB OUT by TURNER,JAMES",1
10:38,"SUB OUT by SULLIVAN,MICHAEL",,,,,,,"SUB OUT by SULLIVAN,MICHAEL",1
10:38,,,,,"SUB IN by SINE,TUCKER",,,"SUB IN by SINE,TUCKER",1
10:38,,,,,"SUB IN by CRUMP,DAWSON",,,"SUB IN by CRUMP,DAWSON",1
10:38,,,,,"SUB OUT by GERALD,DUSTIN",,,"SUB OUT by GERALD,DUSTIN",1
10:38,,,,,"SUB OUT by GRIFFIN,JAROD",,,"SUB OUT by GRIFFIN,JAROD",1
10:26,,18 (+3),,15,"GOOD LAYUP by SPITZER,JAKOB(in the paint)",CENTRE-M 18-15 (-3),,"GOOD LAYUP by SPITZER,JAKOB(in the paint)",1
--,,,,,"ASSIST  by CRUMP,DAWSON",,,"ASSIST  by CRUMP,DAWSON",1
10:06,"GOOD LAYUP by BECKER,SAXTON(in the paint)",20 (+5),,15,,MIL 20-15 (-5),,"GOOD LAYUP by BECKER,SAXTON(in the paint)",1
--,"ASSIST  by MCLAURIN,RYAN",,,,,,,"ASSIST  by MCLAURIN,RYAN",1
09:10,,,,,"TURNOVER  by CRUMP,DAWSON",,,"TURNOVER  by CRUMP,DAWSON",1
09:08,"STEAL  by MCLAURIN,RYAN",,,,,,,"STEAL  by MCLAURIN,RYAN",1
09:00,"TURNOVER  by BECKER,SAXTON",,,,,,,"TURNOVER  by BECKER,SAXTON",1
08:59,,,,,"STEAL  by AYERS,PERRY",,,"STEAL  by AYERS,PERRY",1
08:39,,20 (+3),,17,"GOOD LAYUP by SINE,TUCKER(in the paint)",CENTRE-M 20-17 (-3),,"GOOD LAYUP by SINE,TUCKER(in the paint)",1
08:18,"GOOD LAYUP by BECKER,SAXTON(in the paint)",22 (+5),,17,,MIL 22-17 (-5),,"GOOD LAYUP by BECKER,SAXTON(in the paint)",1
08:01,,,,,"MISS 3PTR by WALKER,ART",,,"MISS 3PTR by WALKER,ART",1
--,"REBOUND DEF by MCLAURIN,RYAN",,,,,,,"REBOUND DEF by MCLAURIN,RYAN",1
07:48,"FOUL  by TULLOS,ZACHARY",,,,,,,"FOUL  by TULLOS,ZACHARY",1
07:48,"TURNOVER  by TULLOS,ZACHARY",,,,,,,"TURNOVER  by TULLOS,ZACHARY",1
07:48,,,,,TIMEOUT MEDIA by TEAM,,,TIMEOUT MEDIA by TEAM,1
07:48,"SUB IN by MANNING,JOHNATHAN",,,,,,,"SUB IN by MANNING,JOHNATHAN",1
07:48,"SUB IN by GILLIHAN,NEWLON",,,,,,,"SUB IN by GILLIHAN,NEWLON",1
07:48,"SUB IN by SPIKES,KALVIN",,,,,,,"SUB IN by SPIKES,KALVIN",1
07:48,"SUB IN by SULLIVAN,MICHAEL",,,,,,,"SUB IN by SULLIVAN,MICHAEL",1
07:48,"SUB OUT by BECKER,SAXTON",,,,,,,"SUB OUT by BECKER,SAXTON",1
07:48,"SUB OUT by MCLAURIN,RYAN",,,,,,,"SUB OUT by MCLAURIN,RYAN",1
07:48,"SUB OUT by CARVELLI,CAMERON",,,,,,,"SUB OUT by CARVELLI,CAMERON",1
07:48,"SUB OUT by BLANZ,BUCK",,,,,,,"SUB OUT by BLANZ,BUCK",1
07:48,,,,,"SUB IN by BROWNLEY,HOGAN",,,"SUB IN by BROWNLEY,HOGAN",1
07:48,,,,,"SUB IN by PURVIS,KC",,,"SUB IN by PURVIS,KC",1
07:48,,,,,"SUB OUT by SPITZER,JAKOB",,,"SUB OUT by SPITZER,JAKOB",1
07:48,,,,,"SUB OUT by WALKER,ART",,,"SUB OUT by WALKER,ART",1
07:42,,22 (+2),,20,"GOOD 3PTR by BROWNLEY,HOGAN",CENTRE-M 22-20 (-2),,"GOOD 3PTR by BROWNLEY,HOGAN",1
--,,,,,"ASSIST  by CRUMP,DAWSON",,,"ASSIST  by CRUMP,DAWSON",1
07:21,"FOUL  by MANNING,JOHNATHAN",,,,,,,"FOUL  by MANNING,JOHNATHAN",1
07:21,"TURNOVER  by MANNING,JOHNATHAN",,,,,,,"TURNOVER  by MANNING,JOHNATHAN",1
07:06,,,,,"MISS LAYUP by SINE,TUCKER",,,"MISS LAYUP by SINE,TUCKER",1
--,,,,,"REBOUND OFF by PURVIS,KC",,,"REBOUND OFF by PURVIS,KC",1
06:58,,22,,22,"GOOD TIPIN by PURVIS,KC(in the paint)",CENTRE-M 22-22 (0),,"GOOD TIPIN by PURVIS,KC(in the paint)",1
06:44,"MISS LAYUP by SULLIVAN,MICHAEL",,,,,,,"MISS LAYUP by SULLIVAN,MICHAEL",1
--,,,,,"REBOUND DEF by PURVIS,KC",,,"REBOUND DEF by PURVIS,KC",1
06:33,,22,,24 (+2),"GOOD LAYUP by BROWNLEY,HOGAN(in the paint)",CENTRE-M 22-24 (+2),,"GOOD LAYUP by BROWNLEY,HOGAN(in the paint)",1
--,,,,,"ASSIST  by PURVIS,KC",,,"ASSIST  by PURVIS,KC",1
06:29,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
06:29,"SUB IN by TURNER,JAMES",,,,,,,"SUB IN by TURNER,JAMES",1
06:29,"SUB IN by MEADS,TYSIN",,,,,,,"SUB IN by MEADS,TYSIN",1
06:29,"SUB IN by BURNETT,DREW",,,,,,,"SUB IN by BURNETT,DREW",1
06:29,"SUB IN by COLEMAN,DANIEL",,,,,,,"SUB IN by COLEMAN,DANIEL",1
06:29,"SUB IN by OWENS,MATT",,,,,,,"SUB IN by OWENS,MATT",1
06:29,"SUB OUT by MANNING,JOHNATHAN",,,,,,,"SUB OUT by MANNING,JOHNATHAN",1
06:29,"SUB OUT by GILLIHAN,NEWLON",,,,,,,"SUB OUT by GILLIHAN,NEWLON",1
06:29,"SUB OUT by SPIKES,KALVIN",,,,,,,"SUB OUT by SPIKES,KALVIN",1
06:29,"SUB OUT by SULLIVAN,MICHAEL",,,,,,,"SUB OUT by SULLIVAN,MICHAEL",1
06:29,"SUB OUT by TULLOS,ZACHARY",,,,,,,"SUB OUT by TULLOS,ZACHARY",1
06:17,"MISS LAYUP by BURNETT,DREW",,,,,,,"MISS LAYUP by BURNETT,DREW",1
06:17,,,,,"BLOCK  by SINE,TUCKER",,,"BLOCK  by SINE,TUCKER",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
06:01,"MISS JUMPER by COLEMAN,DANIEL",,,,,,,"MISS JUMPER by COLEMAN,DANIEL",1
--,,,,,"REBOUND DEF by AYERS,PERRY",,,"REBOUND DEF by AYERS,PERRY",1
05:52,,,,,"MISS JUMPER by SINE,TUCKER",,,"MISS JUMPER by SINE,TUCKER",1
--,"REBOUND DEF by COLEMAN,DANIEL",,,,,,,"REBOUND DEF by COLEMAN,DANIEL",1
05:42,"GOOD LAYUP by COLEMAN,DANIEL(in the paint)",24,,24,,MIL 24-24 (0),,"GOOD LAYUP by COLEMAN,DANIEL(in the paint)",1
05:12,,,,,"MISS 3PTR by CRUMP,DAWSON",,,"MISS 3PTR by CRUMP,DAWSON",1
--,"REBOUND DEF by BURNETT,DREW",,,,,,,"REBOUND DEF by BURNETT,DREW",1
04:51,"MISS LAYUP by OWENS,MATT",,,,,,,"MISS LAYUP by OWENS,MATT",1
--,,,,,"REBOUND DEF by AYERS,PERRY",,,"REBOUND DEF by AYERS,PERRY",1
04:39,,,,,"MISS JUMPER by AYERS,PERRY",,,"MISS JUMPER by AYERS,PERRY",1
--,"REBOUND DEF by COLEMAN,DANIEL",,,,,,,"REBOUND DEF by COLEMAN,DANIEL",1
04:16,,,,,"SUB IN by GERALD,DUSTIN",,,"SUB IN by GERALD,DUSTIN",1
04:16,,,,,"SUB IN by WALKER,ART",,,"SUB IN by WALKER,ART",1
04:16,,,,,"SUB IN by SPITZER,JAKOB",,,"SUB IN by SPITZER,JAKOB",1
04:16,,,,,"SUB IN by GRIFFIN,JAROD",,,"SUB IN by GRIFFIN,JAROD",1
04:16,,,,,"SUB IN by RAKES,BAILEY",,,"SUB IN by RAKES,BAILEY",1
04:16,,,,,"SUB OUT by AYERS,PERRY",,,"SUB OUT by AYERS,PERRY",1
04:16,,,,,"SUB OUT by BROWNLEY,HOGAN",,,"SUB OUT by BROWNLEY,HOGAN",1
04:16,,,,,"SUB OUT by SINE,TUCKER",,,"SUB OUT by SINE,TUCKER",1
04:16,,,,,"SUB OUT by CRUMP,DAWSON",,,"SUB OUT by CRUMP,DAWSON",1
04:16,,,,,"SUB OUT by PURVIS,KC",,,"SUB OUT by PURVIS,KC",1
04:10,"MISS JUMPER by OWENS,MATT",,,,,,,"MISS JUMPER by OWENS,MATT",1
--,,,,,"REBOUND DEF by WALKER,ART",,,"REBOUND DEF by WALKER,ART",1
04:04,"FOUL  by MEADS,TYSIN",,,,,,,"FOUL  by MEADS,TYSIN",1
04:04,,,,,TIMEOUT MEDIA by TEAM,,,TIMEOUT MEDIA by TEAM,1
04:04,"SUB IN by VAN PELT,JUSTIN",,,,,,,"SUB IN by VAN PELT,JUSTIN",1
04:04,"SUB OUT by OWENS,MATT",,,,,,,"SUB OUT by OWENS,MATT",1
03:43,,,,,"MISS 3PTR by GERALD,DUSTIN",,,"MISS 3PTR by GERALD,DUSTIN",1
--,,,,,"REBOUND OFF by RAKES,BAILEY",,,"REBOUND OFF by RAKES,BAILEY",1
03:29,,24,,26 (+2),"GOOD LAYUP by GERALD,DUSTIN(in the paint)",CENTRE-M 24-26 (+2),,"GOOD LAYUP by GERALD,DUSTIN(in the paint)",1
03:10,"MISS LAYUP by VAN PELT,JUSTIN",,,,,,,"MISS LAYUP by VAN PELT,JUSTIN",1
--,"REBOUND OFF by VAN PELT,JUSTIN",,,,,,,"REBOUND OFF by VAN PELT,JUSTIN",1
03:10,,,,,"FOUL  by SPITZER,JAKOB",,,"FOUL  by SPITZER,JAKOB",1
03:10,"GOOD FT by VAN PELT,JUSTIN",25,,26 (+1),,MIL 25-26 (+1),,"GOOD FT by VAN PELT,JUSTIN",1
03:10,"GOOD FT by VAN PELT,JUSTIN",26,,26,,MIL 26-26 (0),,"GOOD FT by VAN PELT,JUSTIN",1
03:10,,,,,"SUB IN by AYERS,PERRY",,,"SUB IN by AYERS,PERRY",1
03:10,,,,,"SUB OUT by RAKES,BAILEY",,,"SUB OUT by RAKES,BAILEY",1
02:44,,,,,"MISS JUMPER by SPITZER,JAKOB",,,"MISS JUMPER by SPITZER,JAKOB",1
--,,,,,"REBOUND OFF by GERALD,DUSTIN",,,"REBOUND OFF by GERALD,DUSTIN",1
02:36,,26,,29 (+3),"GOOD 3PTR by WALKER,ART",CENTRE-M 26-29 (+3),,"GOOD 3PTR by WALKER,ART",1
--,,,,,"ASSIST  by AYERS,PERRY",,,"ASSIST  by AYERS,PERRY",1
02:11,"FOUL  by VAN PELT,JUSTIN",,,,,,,"FOUL  by VAN PELT,JUSTIN",1
02:11,"TURNOVER  by VAN PELT,JUSTIN",,,,,,,"TURNOVER  by VAN PELT,JUSTIN",1
02:11,"SUB IN by TULLOS,ZACHARY",,,,,,,"SUB IN by TULLOS,ZACHARY",1
02:11,"SUB IN by BLANZ,BUCK",,,,,,,"SUB IN by BLANZ,BUCK",1
02:11,"SUB IN by SULLIVAN,MICHAEL",,,,,,,"SUB IN by SULLIVAN,MICHAEL",1
02:11,"SUB OUT by MEADS,TYSIN",,,,,,,"SUB OUT by MEADS,TYSIN",1
02:11,"SUB OUT by COLEMAN,DANIEL",,,,,,,"SUB OUT by COLEMAN,DANIEL",1
02:11,"SUB OUT by VAN PELT,JUSTIN",,,,,,,"SUB OUT by VAN PELT,JUSTIN",1
02:03,"FOUL  by TURNER,JAMES",,,,,,,"FOUL  by TURNER,JAMES",1
02:03,,,,,"MISS FT by AYERS,PERRY",,,"MISS FT by AYERS,PERRY",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
02:03,,26,,30 (+4),"GOOD FT by AYERS,PERRY",CENTRE-M 26-30 (+4),,"GOOD FT by AYERS,PERRY",1
02:03,,,,,"SUB IN by PURVIS,KC",,,"SUB IN by PURVIS,KC",1
02:03,,,,,"SUB OUT by SPITZER,JAKOB",,,"SUB OUT by SPITZER,JAKOB",1
01:32,"MISS LAYUP by TURNER,JAMES",,,,,,,"MISS LAYUP by TURNER,JAMES",1
--,"REBOUND OFF by TULLOS,ZACHARY",,,,,,,"REBOUND OFF by TULLOS,ZACHARY",1
01:27,"MISS LAYUP by TULLOS,ZACHARY",,,,,,,"MISS LAYUP by TULLOS,ZACHARY",1
--,,,,,"REBOUND DEF by GERALD,DUSTIN",,,"REBOUND DEF by GERALD,DUSTIN",1
01:23,"FOUL  by BURNETT,DREW",,,,,,,"FOUL  by BURNETT,DREW",1
01:23,,26,,31 (+5),"GOOD FT by WALKER,ART",CENTRE-M 26-31 (+5),,"GOOD FT by WALKER,ART",1
01:23,,26,,32 (+6),"GOOD FT by WALKER,ART",CENTRE-M 26-32 (+6),,"GOOD FT by WALKER,ART",1
01:23,"SUB IN by MCLAURIN,RYAN",,,,,,,"SUB IN by MCLAURIN,RYAN",1
01:23,"SUB OUT by BURNETT,DREW",,,,,,,"SUB OUT by BURNETT,DREW",1
01:08,,,,,"FOUL  by PURVIS,KC",,,"FOUL  by PURVIS,KC",1
01:08,"GOOD FT by MCLAURIN,RYAN",27,,32 (+5),,MIL 27-32 (+5),,"GOOD FT by MCLAURIN,RYAN",1
01:08,"MISS FT by MCLAURIN,RYAN",,,,,,,"MISS FT by MCLAURIN,RYAN",1
--,,,,,"REBOUND DEF by WALKER,ART",,,"REBOUND DEF by WALKER,ART",1
01:08,,,,,"SUB IN by SINE,TUCKER",,,"SUB IN by SINE,TUCKER",1
01:08,,,,,"SUB OUT by GERALD,DUSTIN",,,"SUB OUT by GERALD,DUSTIN",1
00:45,,27,,34 (+7),"GOOD LAYUP by PURVIS,KC(in the paint)",CENTRE-M 27-34 (+7),,"GOOD LAYUP by PURVIS,KC(in the paint)",1
--,,,,,"ASSIST  by AYERS,PERRY",,,"ASSIST  by AYERS,PERRY",1
00:15,"MISS JUMPER by BLANZ,BUCK",,,,,,,"MISS JUMPER by BLANZ,BUCK",1
--,"REBOUND OFF by TURNER,JAMES",,,,,,,"REBOUND OFF by TURNER,JAMES",1
00:10,"GOOD 3PTR by SULLIVAN,MICHAEL",30,,34 (+4),,MIL 30-34 (+4),,"GOOD 3PTR by SULLIVAN,MICHAEL",1
00:00,,30,,37 (+7),"GOOD 3PTR by WALKER,ART",CENTRE-M 30-37 (+7),,"GOOD 3PTR by WALKER,ART",1
19:38,"FOUL  by BLANZ,BUCK",,,,,,,"FOUL  by BLANZ,BUCK",2
19:31,,30,,39 (+9),"GOOD LAYUP by BATES,JACOB(in the paint)",CENTRE-M 30-39 (+9),,"GOOD LAYUP by BATES,JACOB(in the paint)",2
19:11,"MISS LAYUP by MCLAURIN,RYAN",,,,,,,"MISS LAYUP by MCLAURIN,RYAN",2
--,,,,,"REBOUND DEF by BATES,JACOB",,,"REBOUND DEF by BATES,JACOB",2
19:06,,,,,"FOUL  by WALKER,ART",,,"FOUL  by WALKER,ART",2
19:06,,,,,"TURNOVER  by WALKER,ART",,,"TURNOVER  by WALKER,ART",2
18:39,"TURNOVER  by BLANZ,BUCK",,,,,,,"TURNOVER  by BLANZ,BUCK",2
