Time Remaining,CINCINNA,Away Team Score,Play Team Indicator,Home Team Score,CENTRE,Game Score,Team Indicator,Play,Period
--,,,,,"REBOUND DEF by SINE,TUCKER",,,"REBOUND DEF by SINE,TUCKER",2
18:59,,43,,50 (+7),"GOOD 3PTR by WALKER,ART",CENTRE 43-50 (+7),,"GOOD 3PTR by WALKER,ART",2
--,,,,,"ASSIST  by BATES,JACOB",,,"ASSIST  by BATES,JACOB",2
18:47,"TURNOVER  by ROBERTSON,JALEN",,,,,,,"TURNOVER  by ROBERTSON,JALEN",2
18:45,,,,,"STEAL  by RAKES,BAILEY",,,"STEAL  by RAKES,BAILEY",2
18:40,,43,,53 (+10),"GOOD 3PTR by SINE,TUCKER",CENTRE 43-53 (+10),,"GOOD 3PTR by SINE,TUCKER",2
--,,,,,"ASSIST  by RAKES,BAILEY",,,"ASSIST  by RAKES,BAILEY",2
18:14,"GOOD JUMPER by ROBERTSON,JALEN",45,,53 (+8),,CINCINNA 45-53 (+8),,"GOOD JUMPER by ROBERTSON,JALEN",2
--,"ASSIST  by MCQUEEN,BRANDON",,,,,,,"ASSIST  by MCQUEEN,BRANDON",2
17:49,,45,,55 (+10),"GOOD LAYUP by AYERS,PERRY(in the paint)",CENTRE 45-55 (+10),,"GOOD LAYUP by AYERS,PERRY(in the paint)",2
--,,,,,"ASSIST  by WALKER,ART",,,"ASSIST  by WALKER,ART",2
17:49,"FOUL  by ABEL,TIM",,,,,,,"FOUL  by ABEL,TIM",2
17:49,,45,,56 (+11),"GOOD FT by AYERS,PERRY",CENTRE 45-56 (+11),,"GOOD FT by AYERS,PERRY",2
17:38,"MISS 3PTR by BROWN,KOBE",,,,,,,"MISS 3PTR by BROWN,KOBE",2
--,,,,,"REBOUND DEF by SINE,TUCKER",,,"REBOUND DEF by SINE,TUCKER",2
17:26,,,,,"MISS 3PTR by WALKER,ART",,,"MISS 3PTR by WALKER,ART",2
--,"REBOUND DEF by WALSMAN,BLAKE",,,,,,,"REBOUND DEF by WALSMAN,BLAKE",2
17:14,"MISS 3PTR by ROBERTSON,JALEN",,,,,,,"MISS 3PTR by ROBERTSON,JALEN",2
--,,,,,"REBOUND DEF by BATES,JACOB",,,"REBOUND DEF by BATES,JACOB",2
17:03,,45,,58 (+13),"GOOD LAYUP by WALKER,ART(in the paint)",CENTRE 45-58 (+13),,"GOOD LAYUP by WALKER,ART(in the paint)",2
17:03,"FOUL  by WALSMAN,BLAKE",,,,,,,"FOUL  by WALSMAN,BLAKE",2
17:03,,45,,59 (+14),"GOOD FT by WALKER,ART",CENTRE 45-59 (+14),,"GOOD FT by WALKER,ART",2
17:03,"SUB IN by PATTERSON,PRESTON",,,,,,,"SUB IN by PATTERSON,PRESTON",2
17:03,"SUB OUT by ROBERTSON,JALEN",,,,,,,"SUB OUT by ROBERTSON,JALEN",2
16:50,"GOOD 3PTR by MCQUEEN,BRANDON",48,,59 (+11),,CINCINNA 48-59 (+11),,"GOOD 3PTR by MCQUEEN,BRANDON",2
--,"ASSIST  by BROWN,KOBE",,,,,,,"ASSIST  by BROWN,KOBE",2
16:30,"FOUL  by ABEL,TIM",,,,,,,"FOUL  by ABEL,TIM",2
16:15,,,,,"MISS 3PTR by WALKER,ART",,,"MISS 3PTR by WALKER,ART",2
--,"REBOUND DEF by ABEL,TIM",,,,,,,"REBOUND DEF by ABEL,TIM",2
16:13,,,,,"FOUL  by WALKER,ART",,,"FOUL  by WALKER,ART",2
16:13,,,,,"SUB IN by GERALD,DUSTIN",,,"SUB IN by GERALD,DUSTIN",2
16:13,,,,,"SUB OUT by WALKER,ART",,,"SUB OUT by WALKER,ART",2
15:59,"GOOD JUMPER by WALSMAN,BLAKE(in the paint)",50,,59 (+9),,CINCINNA 50-59 (+9),,"GOOD JUMPER by WALSMAN,BLAKE(in the paint)",2
--,"ASSIST  by MCQUEEN,BRANDON",,,,,,,"ASSIST  by MCQUEEN,BRANDON",2
15:59,,,,,"FOUL  by BATES,JACOB",,,"FOUL  by BATES,JACOB",2
15:59,"GOOD FT by WALSMAN,BLAKE",51,,59 (+8),,CINCINNA 51-59 (+8),,"GOOD FT by WALSMAN,BLAKE",2
15:46,,,,,"MISS LAYUP by SINE,TUCKER",,,"MISS LAYUP by SINE,TUCKER",2
--,"REBOUND DEF by WALSMAN,BLAKE",,,,,,,"REBOUND DEF by WALSMAN,BLAKE",2
15:42,,,,,"FOUL  by AYERS,PERRY",,,"FOUL  by AYERS,PERRY",2
15:36,"TURNOVER  by PATTERSON,PRESTON",,,,,,,"TURNOVER  by PATTERSON,PRESTON",2
15:35,,,,,"STEAL  by BATES,JACOB",,,"STEAL  by BATES,JACOB",2
15:18,"FOUL  by BROWN,KOBE",,,,,,,"FOUL  by BROWN,KOBE",2
15:00,,51,,62 (+11),"GOOD 3PTR by GERALD,DUSTIN",CENTRE 51-62 (+11),,"GOOD 3PTR by GERALD,DUSTIN",2
--,,,,,"ASSIST  by SINE,TUCKER",,,"ASSIST  by SINE,TUCKER",2
14:41,"MISS LAYUP by BROWN,KOBE",,,,,,,"MISS LAYUP by BROWN,KOBE",2
--,,,,,"REBOUND DEF by GERALD,DUSTIN",,,"REBOUND DEF by GERALD,DUSTIN",2
14:41,"FOUL  by WALSMAN,BLAKE",,,,,,,"FOUL  by WALSMAN,BLAKE",2
14:41,,,,,"SUB IN by GRIFFIN,JAROD",,,"SUB IN by GRIFFIN,JAROD",2
14:41,,,,,"SUB IN by CRUMP,DAWSON",,,"SUB IN by CRUMP,DAWSON",2
14:41,,,,,"SUB OUT by SINE,TUCKER",,,"SUB OUT by SINE,TUCKER",2
14:41,,,,,"SUB OUT by RAKES,BAILEY",,,"SUB OUT by RAKES,BAILEY",2
14:25,,51,,64 (+13),"GOOD JUMPER by BATES,JACOB(in the paint)",CENTRE 51-64 (+13),,"GOOD JUMPER by BATES,JACOB(in the paint)",2
--,,,,,"ASSIST  by AYERS,PERRY",,,"ASSIST  by AYERS,PERRY",2
14:13,"TURNOVER  by WALSMAN,BLAKE",,,,,,,"TURNOVER  by WALSMAN,BLAKE",2
14:13,"SUB IN by REEVES,ZACH",,,,,,,"SUB IN by REEVES,ZACH",2
14:13,"SUB OUT by ABEL,TIM",,,,,,,"SUB OUT by ABEL,TIM",2
13:54,,,,,"MISS JUMPER by GERALD,DUSTIN",,,"MISS JUMPER by GERALD,DUSTIN",2
--,"REBOUND DEF by BROWN,KOBE",,,,,,,"REBOUND DEF by BROWN,KOBE",2
13:40,"GOOD LAYUP by PATTERSON,PRESTON(in the paint)",53,,64 (+11),,CINCINNA 53-64 (+11),,"GOOD LAYUP by PATTERSON,PRESTON(in the paint)",2
--,"ASSIST  by MCQUEEN,BRANDON",,,,,,,"ASSIST  by MCQUEEN,BRANDON",2
13:32,,,,,"MISS JUMPER by BATES,JACOB",,,"MISS JUMPER by BATES,JACOB",2
--,"REBOUND DEF by WALSMAN,BLAKE",,,,,,,"REBOUND DEF by WALSMAN,BLAKE",2
13:21,"MISS 3PTR by MCQUEEN,BRANDON",,,,,,,"MISS 3PTR by MCQUEEN,BRANDON",2
--,,,,,"REBOUND DEF by AYERS,PERRY",,,"REBOUND DEF by AYERS,PERRY",2
13:08,,53,,66 (+13),"GOOD LAYUP by GRIFFIN,JAROD(in the paint)",CENTRE 53-66 (+13),,"GOOD LAYUP by GRIFFIN,JAROD(in the paint)",2
--,,,,,"ASSIST  by AYERS,PERRY",,,"ASSIST  by AYERS,PERRY",2
12:55,,,,,"FOUL  by BATES,JACOB",,,"FOUL  by BATES,JACOB",2
12:55,,,,,"SUB IN by WALKER,ART",,,"SUB IN by WALKER,ART",2
12:55,,,,,"SUB IN by PURVIS,KC",,,"SUB IN by PURVIS,KC",2
12:55,,,,,"SUB OUT by AYERS,PERRY",,,"SUB OUT by AYERS,PERRY",2
12:55,,,,,"SUB OUT by BATES,JACOB",,,"SUB OUT by BATES,JACOB",2
12:40,,,,,"FOUL  by GRIFFIN,JAROD",,,"FOUL  by GRIFFIN,JAROD",2
12:21,"MISS JUMPER by BROWN,KOBE",,,,,,,"MISS JUMPER by BROWN,KOBE",2
12:21,,,,,"BLOCK  by GRIFFIN,JAROD",,,"BLOCK  by GRIFFIN,JAROD",2
--,,,,,"REBOUND DEF by GERALD,DUSTIN",,,"REBOUND DEF by GERALD,DUSTIN",2
12:17,,,,,"TURNOVER  by CRUMP,DAWSON",,,"TURNOVER  by CRUMP,DAWSON",2
12:14,"STEAL  by MCQUEEN,BRANDON",,,,,,,"STEAL  by MCQUEEN,BRANDON",2
12:12,,,,,"FOUL  by PURVIS,KC",,,"FOUL  by PURVIS,KC",2
12:12,"GOOD FT by MCQUEEN,BRANDON",54,,66 (+12),,CINCINNA 54-66 (+12),,"GOOD FT by MCQUEEN,BRANDON",2
12:12,"GOOD FT by MCQUEEN,BRANDON",55,,66 (+11),,CINCINNA 55-66 (+11),,"GOOD FT by MCQUEEN,BRANDON",2
12:12,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
11:46,,,,,"MISS 3PTR by GERALD,DUSTIN",,,"MISS 3PTR by GERALD,DUSTIN",2
--,,,,,"REBOUND OFF by CRUMP,DAWSON",,,"REBOUND OFF by CRUMP,DAWSON",2
11:28,,,,,"MISS LAYUP by WALKER,ART",,,"MISS LAYUP by WALKER,ART",2
--,"REBOUND DEF by WALSMAN,BLAKE",,,,,,,"REBOUND DEF by WALSMAN,BLAKE",2
11:18,"GOOD LAYUP by WALSMAN,BLAKE(in the paint)",57,,66 (+9),,CINCINNA 57-66 (+9),,"GOOD LAYUP by WALSMAN,BLAKE(in the paint)",2
11:18,,,,,"FOUL  by PURVIS,KC",,,"FOUL  by PURVIS,KC",2
11:18,"GOOD FT by WALSMAN,BLAKE",58,,66 (+8),,CINCINNA 58-66 (+8),,"GOOD FT by WALSMAN,BLAKE",2
11:03,,58,,69 (+11),"GOOD 3PTR by WALKER,ART",CENTRE 58-69 (+11),,"GOOD 3PTR by WALKER,ART",2
--,,,,,"ASSIST  by PURVIS,KC",,,"ASSIST  by PURVIS,KC",2
10:44,,,,,"FOUL  by PURVIS,KC",,,"FOUL  by PURVIS,KC",2
10:44,"FOUL  by WALSMAN,BLAKE",,,,,,,"FOUL  by WALSMAN,BLAKE",2
10:44,,,,,"SUB IN by BATES,JACOB",,,"SUB IN by BATES,JACOB",2
10:44,,,,,"SUB OUT by PURVIS,KC",,,"SUB OUT by PURVIS,KC",2
10:39,"MISS LAYUP by PATTERSON,PRESTON",,,,,,,"MISS LAYUP by PATTERSON,PRESTON",2
--,"REBOUND OFF by WALSMAN,BLAKE",,,,,,,"REBOUND OFF by WALSMAN,BLAKE",2
10:34,,,,,"FOUL  by BATES,JACOB",,,"FOUL  by BATES,JACOB",2
10:34,"GOOD FT by WALSMAN,BLAKE",59,,69 (+10),,CINCINNA 59-69 (+10),,"GOOD FT by WALSMAN,BLAKE",2
10:34,"GOOD FT by WALSMAN,BLAKE",60,,69 (+9),,CINCINNA 60-69 (+9),,"GOOD FT by WALSMAN,BLAKE",2
10:14,,60,,71 (+11),"GOOD JUMPER by GERALD,DUSTIN",CENTRE 60-71 (+11),,"GOOD JUMPER by GERALD,DUSTIN",2
09:55,"TURNOVER  by WALSMAN,BLAKE",,,,,,,"TURNOVER  by WALSMAN,BLAKE",2
09:54,,,,,"STEAL  by CRUMP,DAWSON",,,"STEAL  by CRUMP,DAWSON",2
09:46,,,,,"MISS 3PTR by WALKER,ART",,,"MISS 3PTR by WALKER,ART",2
--,"REBOUND DEF by BROWN,KOBE",,,,,,,"REBOUND DEF by BROWN,KOBE",2
09:38,"MISS LAYUP by BROWN,KOBE",,,,,,,"MISS LAYUP by BROWN,KOBE",2
--,"REBOUND OFF by WALSMAN,BLAKE",,,,,,,"REBOUND OFF by WALSMAN,BLAKE",2
09:33,,,,,"FOUL  by GERALD,DUSTIN",,,"FOUL  by GERALD,DUSTIN",2
09:33,"GOOD FT by WALSMAN,BLAKE",61,,71 (+10),,CINCINNA 61-71 (+10),,"GOOD FT by WALSMAN,BLAKE",2
09:33,"GOOD FT by WALSMAN,BLAKE",62,,71 (+9),,CINCINNA 62-71 (+9),,"GOOD FT by WALSMAN,BLAKE",2
09:33,"SUB IN by ABEL,TIM",,,,,,,"SUB IN by ABEL,TIM",2
09:33,"SUB OUT by BROWN,KOBE",,,,,,,"SUB OUT by BROWN,KOBE",2
09:33,,,,,"SUB IN by SINE,TUCKER",,,"SUB IN by SINE,TUCKER",2
09:33,,,,,"SUB IN by AYERS,PERRY",,,"SUB IN by AYERS,PERRY",2
09:33,,,,,"SUB IN by RAKES,BAILEY",,,"SUB IN by RAKES,BAILEY",2
09:33,,,,,"SUB OUT by GERALD,DUSTIN",,,"SUB OUT by GERALD,DUSTIN",2
09:33,,,,,"SUB OUT by GRIFFIN,JAROD",,,"SUB OUT by GRIFFIN,JAROD",2
09:33,,,,,"SUB OUT by CRUMP,DAWSON",,,"SUB OUT by CRUMP,DAWSON",2
09:16,,62,,73 (+11),"GOOD LAYUP by WALKER,ART(in the paint)",CENTRE 62-73 (+11),,"GOOD LAYUP by WALKER,ART(in the paint)",2
08:59,"TURNOVER  by ABEL,TIM",,,,,,,"TURNOVER  by ABEL,TIM",2
08:58,,,,,"STEAL  by BATES,JACOB",,,"STEAL  by BATES,JACOB",2
08:41,,62,,75 (+13),"GOOD LAYUP by BATES,JACOB(in the paint)",CENTRE 62-75 (+13),,"GOOD LAYUP by BATES,JACOB(in the paint)",2
08:28,"GOOD JUMPER by MCQUEEN,BRANDON(in the paint)",64,,75 (+11),,CINCINNA 64-75 (+11),,"GOOD JUMPER by MCQUEEN,BRANDON(in the paint)",2
08:07,,,,,"MISS JUMPER by BATES,JACOB",,,"MISS JUMPER by BATES,JACOB",2
--,"REBOUND DEF by MCQUEEN,BRANDON",,,,,,,"REBOUND DEF by MCQUEEN,BRANDON",2
--,"ASSIST  by PATTERSON,PRESTON",,,,,,,"ASSIST  by PATTERSON,PRESTON",2
07:51,"GOOD JUMPER by WALSMAN,BLAKE(in the paint)",66,,75 (+9),,CINCINNA 66-75 (+9),,"GOOD JUMPER by WALSMAN,BLAKE(in the paint)",2
07:28,,,,,"MISS LAYUP by AYERS,PERRY",,,"MISS LAYUP by AYERS,PERRY",2
--,,,,,"REBOUND OFF by BATES,JACOB",,,"REBOUND OFF by BATES,JACOB",2
07:24,,,,,"MISS JUMPER by BATES,JACOB",,,"MISS JUMPER by BATES,JACOB",2
--,"REBOUND DEF by PATTERSON,PRESTON",,,,,,,"REBOUND DEF by PATTERSON,PRESTON",2
07:14,"MISS JUMPER by ABEL,TIM",,,,,,,"MISS JUMPER by ABEL,TIM",2
--,,,,,"REBOUND DEF by BATES,JACOB",,,"REBOUND DEF by BATES,JACOB",2
07:08,,66,,77 (+11),"GOOD LAYUP by AYERS,PERRY(in the paint)",CENTRE 66-77 (+11),,"GOOD LAYUP by AYERS,PERRY(in the paint)",2
--,,,,,"ASSIST  by BATES,JACOB",,,"ASSIST  by BATES,JACOB",2
07:03,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,2
07:03,,,,,"SUB IN by PURVIS,KC",,,"SUB IN by PURVIS,KC",2
07:03,,,,,"SUB OUT by BATES,JACOB",,,"SUB OUT by BATES,JACOB",2
06:50,"GOOD 3PTR by ABEL,TIM",69,,77 (+8),,CINCINNA 69-77 (+8),,"GOOD 3PTR by ABEL,TIM",2
--,"ASSIST  by MCQUEEN,BRANDON",,,,,,,"ASSIST  by MCQUEEN,BRANDON",2
06:29,,69,,80 (+11),"GOOD 3PTR by SINE,TUCKER",CENTRE 69-80 (+11),,"GOOD 3PTR by SINE,TUCKER",2
--,,,,,"ASSIST  by RAKES,BAILEY",,,"ASSIST  by RAKES,BAILEY",2
06:13,"TURNOVER  by MCQUEEN,BRANDON",,,,,,,"TURNOVER  by MCQUEEN,BRANDON",2
06:11,,,,,"STEAL  by AYERS,PERRY",,,"STEAL  by AYERS,PERRY",2
06:08,,,,,"MISS 3PTR by RAKES,BAILEY",,,"MISS 3PTR by RAKES,BAILEY",2
--,,,,,"REBOUND OFF by SINE,TUCKER",,,"REBOUND OFF by SINE,TUCKER",2
05:44,,,,,"TURNOVER  by PURVIS,KC",,,"TURNOVER  by PURVIS,KC",2
05:43,"STEAL  by MCQUEEN,BRANDON",,,,,,,"STEAL  by MCQUEEN,BRANDON",2
05:34,"MISS LAYUP by MCQUEEN,BRANDON",,,,,,,"MISS LAYUP by MCQUEEN,BRANDON",2
05:34,,,,,"BLOCK  by RAKES,BAILEY",,,"BLOCK  by RAKES,BAILEY",2
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,2
05:09,,69,,82 (+13),"GOOD JUMPER by SINE,TUCKER",CENTRE 69-82 (+13),,"GOOD JUMPER by SINE,TUCKER",2
05:02,"TURNOVER  by WALSMAN,BLAKE",,,,,,,"TURNOVER  by WALSMAN,BLAKE",2
05:01,,,,,"STEAL  by WALKER,ART",,,"STEAL  by WALKER,ART",2
04:55,,,,,"MISS 3PTR by WALKER,ART",,,"MISS 3PTR by WALKER,ART",2
--,"REBOUND DEF by MCQUEEN,BRANDON",,,,,,,"REBOUND DEF by MCQUEEN,BRANDON",2
04:40,"TURNOVER  by PATTERSON,PRESTON",,,,,,,"TURNOVER  by PATTERSON,PRESTON",2
04:40,"SUB IN by RHODES,TJ",,,,,,,"SUB IN by RHODES,TJ",2
04:40,"SUB IN by JAMES,MICAH",,,,,,,"SUB IN by JAMES,MICAH",2
04:40,"SUB OUT by PATTERSON,PRESTON",,,,,,,"SUB OUT by PATTERSON,PRESTON",2
04:40,"SUB OUT by ABEL,TIM",,,,,,,"SUB OUT by ABEL,TIM",2
04:40,,,,,"SUB IN by GRIFFIN,JAROD",,,"SUB IN by GRIFFIN,JAROD",2
04:40,,,,,"SUB IN by CRUMP,DAWSON",,,"SUB IN by CRUMP,DAWSON",2
04:40,,,,,"SUB IN by GERALD,DUSTIN",,,"SUB IN by GERALD,DUSTIN",2
04:40,,,,,"SUB OUT by AYERS,PERRY",,,"SUB OUT by AYERS,PERRY",2
04:40,,,,,"SUB OUT by WALKER,ART",,,"SUB OUT by WALKER,ART",2
04:40,,,,,"SUB OUT by RAKES,BAILEY",,,"SUB OUT by RAKES,BAILEY",2
04:32,,,,,"TURNOVER  by CRUMP,DAWSON",,,"TURNOVER  by CRUMP,DAWSON",2
04:31,"STEAL  by MCQUEEN,BRANDON",,,,,,,"STEAL  by MCQUEEN,BRANDON",2
04:27,"GOOD DUNK by MCQUEEN,BRANDON(in the paint)",71,,82 (+11),,CINCINNA 71-82 (+11),,"GOOD DUNK by MCQUEEN,BRANDON(in the paint)",2
04:04,,,,,"MISS JUMPER by GERALD,DUSTIN",,,"MISS JUMPER by GERALD,DUSTIN",2
--,"REBOUND DEF by WALSMAN,BLAKE",,,,,,,"REBOUND DEF by WALSMAN,BLAKE",2
03:57,"TURNOVER  by WALSMAN,BLAKE",,,,,,,"TURNOVER  by WALSMAN,BLAKE",2
03:56,,,,,"STEAL  by SINE,TUCKER",,,"STEAL  by SINE,TUCKER",2
03:41,"FOUL  by WALSMAN,BLAKE",,,,,,,"FOUL  by WALSMAN,BLAKE",2
03:37,,71,,83 (+12),"GOOD FT by CRUMP,DAWSON",CENTRE 71-83 (+12),,"GOOD FT by CRUMP,DAWSON",2
03:37,,,,,"MISS FT by CRUMP,DAWSON",,,"MISS FT by CRUMP,DAWSON",2
--,"REBOUND DEF by WALSMAN,BLAKE",,,,,,,"REBOUND DEF by WALSMAN,BLAKE",2
03:28,"MISS 3PTR by JAMES,MICAH",,,,,,,"MISS 3PTR by JAMES,MICAH",2
--,,,,,"REBOUND DEF by SINE,TUCKER",,,"REBOUND DEF by SINE,TUCKER",2
03:10,"FOUL  by JAMES,MICAH",,,,,,,"FOUL  by JAMES,MICAH",2
03:10,,71,,84 (+13),"GOOD FT by GERALD,DUSTIN",CENTRE 71-84 (+13),,"GOOD FT by GERALD,DUSTIN",2
03:10,,71,,85 (+14),"GOOD FT by GERALD,DUSTIN",CENTRE 71-85 (+14),,"GOOD FT by GERALD,DUSTIN",2
03:10,,,,,"SUB IN by AYERS,PERRY",,,"SUB IN by AYERS,PERRY",2
03:10,,,,,"SUB IN by BATES,JACOB",,,"SUB IN by BATES,JACOB",2
03:10,,,,,"SUB OUT by PURVIS,KC",,,"SUB OUT by PURVIS,KC",2
03:10,,,,,"SUB OUT by GRIFFIN,JAROD",,,"SUB OUT by GRIFFIN,JAROD",2
02:53,"GOOD LAYUP by MCQUEEN,BRANDON(in the paint)",73,,85 (+12),,CINCINNA 73-85 (+12),,"GOOD LAYUP by MCQUEEN,BRANDON(in the paint)",2
02:23,,,,,"MISS LAYUP by BATES,JACOB",,,"MISS LAYUP by BATES,JACOB",2
--,"REBOUND DEF by WALSMAN,BLAKE",,,,,,,"REBOUND DEF by WALSMAN,BLAKE",2
02:15,,,,,"SUB IN by PURVIS,KC",,,"SUB IN by PURVIS,KC",2
02:15,,,,,"SUB OUT by BATES,JACOB",,,"SUB OUT by BATES,JACOB",2
02:14,"MISS 3PTR by JAMES,MICAH",,,,,,,"MISS 3PTR by JAMES,MICAH",2
--,,,,,"REBOUND DEF by PURVIS,KC",,,"REBOUND DEF by PURVIS,KC",2
01:51,"FOUL  by REEVES,ZACH",,,,,,,"FOUL  by REEVES,ZACH",2
01:51,,73,,86 (+13),"GOOD FT by AYERS,PERRY",CENTRE 73-86 (+13),,"GOOD FT by AYERS,PERRY",2
01:51,,73,,87 (+14),"GOOD FT by AYERS,PERRY",CENTRE 73-87 (+14),,"GOOD FT by AYERS,PERRY",2
01:51,,,,,"SUB IN by BATES,JACOB",,,"SUB IN by BATES,JACOB",2
01:51,,,,,"SUB OUT by GERALD,DUSTIN",,,"SUB OUT by GERALD,DUSTIN",2
01:49,TIMEOUT FULL by TEAM,,,,,,,TIMEOUT FULL by TEAM,2
01:42,"TURNOVER  by JAMES,MICAH",,,,,,,"TURNOVER  by JAMES,MICAH",2
01:32,"FOUL  by MCQUEEN,BRANDON",,,,,,,"FOUL  by MCQUEEN,BRANDON",2
01:32,,73,,88 (+15),"GOOD FT by CRUMP,DAWSON",CENTRE 73-88 (+15),,"GOOD FT by CRUMP,DAWSON",2
01:32,,73,,89 (+16),"GOOD FT by CRUMP,DAWSON",CENTRE 73-89 (+16),,"GOOD FT by CRUMP,DAWSON",2
01:24,"GOOD LAYUP by MCQUEEN,BRANDON(in the paint)",75,,89 (+14),,CINCINNA 75-89 (+14),,"GOOD LAYUP by MCQUEEN,BRANDON(in the paint)",2
01:10,"FOUL  by RHODES,TJ",,,,,,,"FOUL  by RHODES,TJ",2
01:10,,75,,90 (+15),"GOOD FT by SINE,TUCKER",CENTRE 75-90 (+15),,"GOOD FT by SINE,TUCKER",2
01:10,,75,,91 (+16),"GOOD FT by SINE,TUCKER",CENTRE 75-91 (+16),,"GOOD FT by SINE,TUCKER",2
01:10,,,,,"SUB IN by GRIFFIN,JAROD",,,"SUB IN by GRIFFIN,JAROD",2
01:10,,,,,"SUB OUT by SINE,TUCKER",,,"SUB OUT by SINE,TUCKER",2
01:03,"GOOD JUMPER by RHODES,TJ",77,,91 (+14),,CINCINNA 77-91 (+14),,"GOOD JUMPER by RHODES,TJ",2
--,"ASSIST  by REEVES,ZACH",,,,,,,"ASSIST  by REEVES,ZACH",2
00:52,"FOUL  by JAMES,MICAH",,,,,,,"FOUL  by JAMES,MICAH",2
00:52,,77,,92 (+15),"GOOD FT by GRIFFIN,JAROD",CENTRE 77-92 (+15),,"GOOD FT by GRIFFIN,JAROD",2
00:52,,,,,"MISS FT by GRIFFIN,JAROD",,,"MISS FT by GRIFFIN,JAROD",2
--,"REBOUND DEF by WALSMAN,BLAKE",,,,,,,"REBOUND DEF by WALSMAN,BLAKE",2
00:47,,,,,"FOUL  by BATES,JACOB",,,"FOUL  by BATES,JACOB",2
00:47,"GOOD FT by WALSMAN,BLAKE",78,,92 (+14),,CINCINNA 78-92 (+14),,"GOOD FT by WALSMAN,BLAKE",2
00:47,"GOOD FT by WALSMAN,BLAKE",79,,92 (+13),,CINCINNA 79-92 (+13),,"GOOD FT by WALSMAN,BLAKE",2
00:47,"SUB IN by ROBERTSON,JALEN",,,,,,,"SUB IN by ROBERTSON,JALEN",2
00:47,"SUB OUT by JAMES,MICAH",,,,,,,"SUB OUT by JAMES,MICAH",2
00:47,,,,,"SUB IN by SINE,TUCKER",,,"SUB IN by SINE,TUCKER",2
00:47,,,,,"SUB OUT by GRIFFIN,JAROD",,,"SUB OUT by GRIFFIN,JAROD",2
00:33,,,,,"MISS JUMPER by SINE,TUCKER",,,"MISS JUMPER by SINE,TUCKER",2
--,,,,,"REBOUND OFF by SINE,TUCKER",,,"REBOUND OFF by SINE,TUCKER",2
00:18,"FOUL  by MCQUEEN,BRANDON",,,,,,,"FOUL  by MCQUEEN,BRANDON",2
00:18,,79,,93 (+14),"GOOD FT by CRUMP,DAWSON",CENTRE 79-93 (+14),,"GOOD FT by CRUMP,DAWSON",2
00:18,,79,,94 (+15),"GOOD FT by CRUMP,DAWSON",CENTRE 79-94 (+15),,"GOOD FT by CRUMP,DAWSON",2
00:18,,,,,"SUB IN by MORETTE,MATT",,,"SUB IN by MORETTE,MATT",2
00:18,,,,,"SUB IN by WALKER,ART",,,"SUB IN by WALKER,ART",2
00:18,,,,,"SUB IN by GRIFFIN,JAROD",,,"SUB IN by GRIFFIN,JAROD",2
00:18,,,,,"SUB OUT by AYERS,PERRY",,,"SUB OUT by AYERS,PERRY",2
00:18,,,,,"SUB OUT by PURVIS,KC",,,"SUB OUT by PURVIS,KC",2
00:18,,,,,"SUB OUT by SINE,TUCKER",,,"SUB OUT by SINE,TUCKER",2
00:13,"MISS 3PTR by MCQUEEN,BRANDON",,,,,,,"MISS 3PTR by MCQUEEN,BRANDON",2
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,2
00:08,"FOUL  by REEVES,ZACH",,,,,,,"FOUL  by REEVES,ZACH",2
00:08,,79,,95 (+16),"GOOD FT by MORETTE,MATT",CENTRE 79-95 (+16),,"GOOD FT by MORETTE,MATT",2
00:08,,79,,96 (+17),"GOOD FT by MORETTE,MATT",CENTRE 79-96 (+17),,"GOOD FT by MORETTE,MATT",2
00:08,,,,,"SUB IN by PURVIS,KC",,,"SUB IN by PURVIS,KC",2
00:08,,,,,"SUB OUT by BATES,JACOB",,,"SUB OUT by BATES,JACOB",2
00:04,"MISS 3PTR by MCQUEEN,BRANDON",,,,,,,"MISS 3PTR by MCQUEEN,BRANDON",2
--,,,,,"REBOUND DEF by WALKER,ART",,,"REBOUND DEF by WALKER,ART",2
