Time Remaining,BSC,Away Team Score,Play Team Indicator,Home Team Score,MUW,Game Score,Team Indicator,Play,Period
19:34,"TURNOVER  by GILLISPIE,JAY",,,,,,,"TURNOVER  by GILLISPIE,JAY",1
19:20,,2 (+2),,0,"GOOD JUMPER by ZERADJANIN,MILOS(in the paint)",MUW 2-0 (+2),,"GOOD JUMPER by ZERADJANIN,MILOS(in the paint)",1
19:05,,,,,"FOUL  by REED,NATHAN",,,"FOUL  by REED,NATHAN",1
19:03,"TURNOVER  by STEWART,CHRISTIAN",,,,,,,"TURNOVER  by STEWART,CHRISTIAN",1
19:03,,,,,"STEAL  by ZERADJANIN,MILOS",,,"STEAL  by ZERADJANIN,MILOS",1
18:47,,,,,"MISS 3PTR by ZERADJANIN,MILOS",,,"MISS 3PTR by ZERADJANIN,MILOS",1
--,"REBOUND DEF by SIGLER,EVAN",,,,,,,"REBOUND DEF by SIGLER,EVAN",1
18:33,"GOOD JUMPER by GLOVER,CAMERON(in the paint)",2,,2,,BSC 2-2 (0),,"GOOD JUMPER by GLOVER,CAMERON(in the paint)",1
18:15,,,,,"SUB OUT by JACKSON,TREY",,,"SUB OUT by JACKSON,TREY",1
18:15,,,,,"SUB IN by SKINNER,CAM",,,"SUB IN by SKINNER,CAM",1
17:56,"GOOD LAYUP by STEWART,CHRISTIAN(in the paint)",2,,4 (+2),,BSC 2-4 (-2),,"GOOD LAYUP by STEWART,CHRISTIAN(in the paint)",1
--,"ASSIST  by GLOVER,CAMERON",,,,,,,"ASSIST  by GLOVER,CAMERON",1
17:56,,,,,"TURNOVER  by ZERADJANIN,MILOS",,,"TURNOVER  by ZERADJANIN,MILOS",1
17:28,,4,,4,"GOOD JUMPER by CAUSEY,QUINTIYUS(in the paint)",MUW 4-4 (0),,"GOOD JUMPER by CAUSEY,QUINTIYUS(in the paint)",1
17:13,"MISS 3PTR by GLOVER,CAMERON",,,,,,,"MISS 3PTR by GLOVER,CAMERON",1
--,"REBOUND OFF by STEWART,CHRISTIAN",,,,,,,"REBOUND OFF by STEWART,CHRISTIAN",1
17:07,"MISS JUMPER by STEWART,CHRISTIAN",,,,,,,"MISS JUMPER by STEWART,CHRISTIAN",1
