Time Remaining,LAG,Away Team Score,Play Team Indicator,Home Team Score,BSC,Game Score,Team Indicator,Play,Period
19:38,,0,,2 (+2),"GOOD JUMPER by GLOVER,CAMERON(in the paint)",BSC 0-2 (+2),,"GOOD JUMPER by GLOVER,CAMERON(in the paint)",1
19:20,"GOOD JUMPER by HILL,ZAC(in the paint)",2,,2,,LAG 2-2 (0),,"GOOD JUMPER by HILL,ZAC(in the paint)",1
19:10,,2,,4 (+2),"GOOD LAYUP by STEWART,CHRISTIAN(in the paint)",BSC 2-4 (+2),,"GOOD LAYUP by STEWART,CHRISTIAN(in the paint)",1
--,,,,,"ASSIST  by GILLISPIE,JAY",,,"ASSIST  by GILLISPIE,JAY",1
19:10,"FOUL  by HILL,ZAC",,,,,,,"FOUL  by HILL,ZAC",1
19:10,,2,,5 (+3),"GOOD FT by STEWART,CHRISTIAN",BSC 2-5 (+3),,"GOOD FT by STEWART,CHRISTIAN",1
18:46,"MISS 3PTR by COFIELD,GABE",,,,,,,"MISS 3PTR by COFIELD,GABE",1
--,"REBOUND OFF by BROWN,KYLE",,,,,,,"REBOUND OFF by BROWN,KYLE",1
18:39,"GOOD JUMPER by EDWARDS,BERSHARD",4,,5 (+1),,LAG 4-5 (+1),,"GOOD JUMPER by EDWARDS,BERSHARD",1
--,"ASSIST  by DOLHANCYK,COOPER",,,,,,,"ASSIST  by DOLHANCYK,COOPER",1
18:31,,4,,8 (+4),"GOOD 3PTR by GLOVER,CAMERON",BSC 4-8 (+4),,"GOOD 3PTR by GLOVER,CAMERON",1
18:20,"MISS 3PTR by HILL,ZAC",,,,,,,"MISS 3PTR by HILL,ZAC",1
--,,,,,"REBOUND DEF by GILLISPIE,JAY",,,"REBOUND DEF by GILLISPIE,JAY",1
18:11,,,,,"MISS JUMPER by GILLISPIE,JAY(in the paint)",,,"MISS JUMPER by GILLISPIE,JAY(in the paint)",1
--,"REBOUND DEF by HILL,ZAC",,,,,,,"REBOUND DEF by HILL,ZAC",1
17:53,"GOOD JUMPER by EDWARDS,BERSHARD(in the paint)",6,,8 (+2),,LAG 6-8 (+2),,"GOOD JUMPER by EDWARDS,BERSHARD(in the paint)",1
17:32,,6,,11 (+5),"GOOD 3PTR by GLOVER,CAMERON",BSC 6-11 (+5),,"GOOD 3PTR by GLOVER,CAMERON",1
17:16,"FOUL  by BROWN,KYLE",,,,,,,"FOUL  by BROWN,KYLE",1
17:16,"TURNOVER  by BROWN,KYLE",,,,,,,"TURNOVER  by BROWN,KYLE",1
16:53,,6,,13 (+7),"GOOD JUMPER by FITZGERALD,PAUL(in the paint)",BSC 6-13 (+7),,"GOOD JUMPER by FITZGERALD,PAUL(in the paint)",1
16:44,"MISS JUMPER by HILL,ZAC(in the paint)",,,,,,,"MISS JUMPER by HILL,ZAC(in the paint)",1
--,,,,,"REBOUND DEF by SIGLER,EVAN",,,"REBOUND DEF by SIGLER,EVAN",1
16:29,,6,,16 (+10),"GOOD 3PTR by SIGLER,EVAN",BSC 6-16 (+10),,"GOOD 3PTR by SIGLER,EVAN",1
--,,,,,"ASSIST  by GILLISPIE,JAY",,,"ASSIST  by GILLISPIE,JAY",1
16:08,"MISS JUMPER by BROWN,KYLE",,,,,,,"MISS JUMPER by BROWN,KYLE",1
--,"REBOUND OFF by COFIELD,GABE",,,,,,,"REBOUND OFF by COFIELD,GABE",1
16:03,"GOOD 3PTR by EDWARDS,BERSHARD",9,,16 (+7),,LAG 9-16 (+7),,"GOOD 3PTR by EDWARDS,BERSHARD",1
--,"ASSIST  by COFIELD,GABE",,,,,,,"ASSIST  by COFIELD,GABE",1
15:37,"FOUL  by HILL,ZAC",,,,,,,"FOUL  by HILL,ZAC",1
15:37,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
15:37,,,,,"SUB OUT by FITZGERALD,PAUL",,,"SUB OUT by FITZGERALD,PAUL",1
15:37,,,,,"SUB OUT by GLOVER,CAMERON",,,"SUB OUT by GLOVER,CAMERON",1
15:37,,,,,"SUB OUT by GILLISPIE,JAY",,,"SUB OUT by GILLISPIE,JAY",1
15:37,,,,,"SUB OUT by SIGLER,EVAN",,,"SUB OUT by SIGLER,EVAN",1
15:37,,,,,"SUB IN by WILLIAMS,JU'QUAN",,,"SUB IN by WILLIAMS,JU'QUAN",1
15:37,,,,,"SUB IN by GARRIDO,BRANDAN",,,"SUB IN by GARRIDO,BRANDAN",1
15:37,,,,,"SUB IN by JACKSON,MARTISE",,,"SUB IN by JACKSON,MARTISE",1
15:37,,,,,"SUB IN by CHILDERS,JOSH",,,"SUB IN by CHILDERS,JOSH",1
15:37,"SUB OUT by HILL,ZAC",,,,,,,"SUB OUT by HILL,ZAC",1
15:37,"SUB IN by SMITH,KYLE",,,,,,,"SUB IN by SMITH,KYLE",1
15:32,,,,,"MISS JUMPER by CHILDERS,JOSH(in the paint)",,,"MISS JUMPER by CHILDERS,JOSH(in the paint)",1
--,"REBOUND DEF by BROWN,KYLE",,,,,,,"REBOUND DEF by BROWN,KYLE",1
15:28,,,,,"SUB OUT by CHILDERS,JOSH",,,"SUB OUT by CHILDERS,JOSH",1
15:28,,,,,"SUB IN by STEPHENS,TROY",,,"SUB IN by STEPHENS,TROY",1
15:24,"MISS 3PTR by DOLHANCYK,COOPER",,,,,,,"MISS 3PTR by DOLHANCYK,COOPER",1
--,"REBOUND OFF by SMITH,KYLE",,,,,,,"REBOUND OFF by SMITH,KYLE",1
15:20,"MISS LAYUP by SMITH,KYLE(in the paint)",,,,,,,"MISS LAYUP by SMITH,KYLE(in the paint)",1
--,,,,,"REBOUND DEF by JACKSON,MARTISE",,,"REBOUND DEF by JACKSON,MARTISE",1
15:12,,,,,"MISS 3PTR by WILLIAMS,JU'QUAN",,,"MISS 3PTR by WILLIAMS,JU'QUAN",1
--,,,,,"REBOUND OFF by JACKSON,MARTISE",,,"REBOUND OFF by JACKSON,MARTISE",1
15:05,,,,,"MISS JUMPER by JACKSON,MARTISE(in the paint)",,,"MISS JUMPER by JACKSON,MARTISE(in the paint)",1
--,"REBOUND DEF by BROWN,KYLE",,,,,,,"REBOUND DEF by BROWN,KYLE",1
14:57,"MISS LAYUP by DOLHANCYK,COOPER(in the paint)",,,,,,,"MISS LAYUP by DOLHANCYK,COOPER(in the paint)",1
--,,,,,"REBOUND DEF by GARRIDO,BRANDAN",,,"REBOUND DEF by GARRIDO,BRANDAN",1
14:48,,,,,"MISS 3PTR by STEPHENS,TROY",,,"MISS 3PTR by STEPHENS,TROY",1
--,"REBOUND DEF by SMITH,KYLE",,,,,,,"REBOUND DEF by SMITH,KYLE",1
14:40,"GOOD 3PTR by SMITH,KYLE",12,,16 (+4),,LAG 12-16 (+4),,"GOOD 3PTR by SMITH,KYLE",1
14:33,,,,,"SUB OUT by STEWART,CHRISTIAN",,,"SUB OUT by STEWART,CHRISTIAN",1
14:33,,,,,"SUB IN by CHILDERS,JOSH",,,"SUB IN by CHILDERS,JOSH",1
14:09,,,,,"MISS LAYUP by GARRIDO,BRANDAN(in the paint)",,,"MISS LAYUP by GARRIDO,BRANDAN(in the paint)",1
--,"REBOUND DEF by SMITH,KYLE",,,,,,,"REBOUND DEF by SMITH,KYLE",1
13:43,"MISS JUMPER by EDWARDS,BERSHARD(in the paint)",,,,,,,"MISS JUMPER by EDWARDS,BERSHARD(in the paint)",1
--,"REBOUND OFF by COFIELD,GABE",,,,,,,"REBOUND OFF by COFIELD,GABE",1
13:36,"MISS 3PTR by COFIELD,GABE",,,,,,,"MISS 3PTR by COFIELD,GABE",1
--,,,,,"REBOUND DEF by JACKSON,MARTISE",,,"REBOUND DEF by JACKSON,MARTISE",1
13:18,,,,,"TURNOVER  by WILLIAMS,JU'QUAN",,,"TURNOVER  by WILLIAMS,JU'QUAN",1
12:50,,,,,"FOUL  by WILLIAMS,JU'QUAN",,,"FOUL  by WILLIAMS,JU'QUAN",1
12:50,"GOOD FT by COFIELD,GABE",13,,16 (+3),,LAG 13-16 (+3),,"GOOD FT by COFIELD,GABE",1
12:50,,,,,"SUB OUT by WILLIAMS,JU'QUAN",,,"SUB OUT by WILLIAMS,JU'QUAN",1
12:50,,,,,"SUB OUT by GARRIDO,BRANDAN",,,"SUB OUT by GARRIDO,BRANDAN",1
12:50,,,,,"SUB OUT by STEPHENS,TROY",,,"SUB OUT by STEPHENS,TROY",1
12:50,,,,,"SUB IN by GLOVER,CAMERON",,,"SUB IN by GLOVER,CAMERON",1
12:50,,,,,"SUB IN by TOULIATOS,LUKE",,,"SUB IN by TOULIATOS,LUKE",1
12:50,,,,,"SUB IN by SIGLER,EVAN",,,"SUB IN by SIGLER,EVAN",1
12:50,"GOOD FT by COFIELD,GABE",14,,16 (+2),,LAG 14-16 (+2),,"GOOD FT by COFIELD,GABE",1
12:46,,,,,"SUB OUT by CHILDERS,JOSH",,,"SUB OUT by CHILDERS,JOSH",1
12:46,,,,,"SUB IN by STEWART,CHRISTIAN",,,"SUB IN by STEWART,CHRISTIAN",1
12:28,,14,,18 (+4),"GOOD LAYUP by TOULIATOS,LUKE(in the paint)",BSC 14-18 (+4),,"GOOD LAYUP by TOULIATOS,LUKE(in the paint)",1
12:02,"MISS 3PTR by EDWARDS,BERSHARD",,,,,,,"MISS 3PTR by EDWARDS,BERSHARD",1
--,,,,,"REBOUND DEF by STEWART,CHRISTIAN",,,"REBOUND DEF by STEWART,CHRISTIAN",1
11:38,,,,,"MISS JUMPER by JACKSON,MARTISE(in the paint)",,,"MISS JUMPER by JACKSON,MARTISE(in the paint)",1
--,,,,,"REBOUND OFF by TOULIATOS,LUKE",,,"REBOUND OFF by TOULIATOS,LUKE",1
11:29,,,,,"MISS 3PTR by GLOVER,CAMERON",,,"MISS 3PTR by GLOVER,CAMERON",1
--,"REBOUND DEF by BROWN,KYLE",,,,,,,"REBOUND DEF by BROWN,KYLE",1
11:20,"GOOD 3PTR by DOLHANCYK,COOPER",17,,18 (+1),,LAG 17-18 (+1),,"GOOD 3PTR by DOLHANCYK,COOPER",1
--,"ASSIST  by BROWN,KYLE",,,,,,,"ASSIST  by BROWN,KYLE",1
11:03,,17,,21 (+4),"GOOD 3PTR by SIGLER,EVAN",BSC 17-21 (+4),,"GOOD 3PTR by SIGLER,EVAN",1
--,,,,,"ASSIST  by STEWART,CHRISTIAN",,,"ASSIST  by STEWART,CHRISTIAN",1
10:35,"MISS 3PTR by SMITH,KYLE",,,,,,,"MISS 3PTR by SMITH,KYLE",1
--,"REBOUND OFF by EDWARDS,BERSHARD",,,,,,,"REBOUND OFF by EDWARDS,BERSHARD",1
10:26,,,,,"FOUL  by JACKSON,MARTISE",,,"FOUL  by JACKSON,MARTISE",1
10:26,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
