Time Remaining,BSC,Away Team Score,Play Team Indicator,Home Team Score,SU,Game Score,Team Indicator,Play,Period
16:31,"GOOD JUMPER by SIGLER,EVAN",8 (+3),,5,,BSC 8-5 (+3),,"GOOD JUMPER by SIGLER,EVAN",1
16:13,,,,,"MISS JUMPER by LUECHTEFELD,BROCK",,,"MISS JUMPER by LUECHTEFELD,BROCK",1
--,"REBOUND DEF by STEWART,CHRISTIAN",,,,,,,"REBOUND DEF by STEWART,CHRISTIAN",1
15:54,"MISS JUMPER by STEWART,CHRISTIAN(in the paint)",,,,,,,"MISS JUMPER by STEWART,CHRISTIAN(in the paint)",1
--,"REBOUND OFF by GILLISPIE,JAY",,,,,,,"REBOUND OFF by GILLISPIE,JAY",1
15:51,,,,,"FOUL  by SMITH,CHRIS",,,"FOUL  by SMITH,CHRIS",1
15:51,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
15:51,"MISS FT by GILLISPIE,JAY",,,,,,,"MISS FT by GILLISPIE,JAY",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
15:51,"MISS FT by GILLISPIE,JAY",,,,,,,"MISS FT by GILLISPIE,JAY",1
--,,,,,"REBOUND DEF by LUECHTEFELD,BROCK",,,"REBOUND DEF by LUECHTEFELD,BROCK",1
15:35,,,,,"MISS LAYUP by POERSCHKE,KYLE(in the paint)",,,"MISS LAYUP by POERSCHKE,KYLE(in the paint)",1
--,"REBOUND DEF by GILLISPIE,JAY",,,,,,,"REBOUND DEF by GILLISPIE,JAY",1
15:20,"TURNOVER  by GLOVER,CAMERON",,,,,,,"TURNOVER  by GLOVER,CAMERON",1
15:14,,,,,"TURNOVER  by POERSCHKE,KYLE",,,"TURNOVER  by POERSCHKE,KYLE",1
15:14,"STEAL  by GLOVER,CAMERON",,,,,,,"STEAL  by GLOVER,CAMERON",1
15:13,"SUB OUT by FITZGERALD,PAUL",,,,,,,"SUB OUT by FITZGERALD,PAUL",1
15:13,"SUB OUT by GLOVER,CAMERON",,,,,,,"SUB OUT by GLOVER,CAMERON",1
15:13,"SUB OUT by GILLISPIE,JAY",,,,,,,"SUB OUT by GILLISPIE,JAY",1
15:13,"SUB OUT by STEWART,CHRISTIAN",,,,,,,"SUB OUT by STEWART,CHRISTIAN",1
15:13,"SUB OUT by SIGLER,EVAN",,,,,,,"SUB OUT by SIGLER,EVAN",1
15:13,"SUB IN by WILLIAMS,JU'QUAN",,,,,,,"SUB IN by WILLIAMS,JU'QUAN",1
15:13,"SUB IN by GLOVER,COLIN",,,,,,,"SUB IN by GLOVER,COLIN",1
15:13,"SUB IN by GREEN,KALEB",,,,,,,"SUB IN by GREEN,KALEB",1
15:13,"SUB IN by CHILDERS,JOSH",,,,,,,"SUB IN by CHILDERS,JOSH",1
15:13,"SUB IN by SPENCE,SAM",,,,,,,"SUB IN by SPENCE,SAM",1
15:13,,,,,"SUB OUT by JONES,JOSH",,,"SUB OUT by JONES,JOSH",1
15:13,,,,,"SUB IN by HANNAH,PRESTON",,,"SUB IN by HANNAH,PRESTON",1
15:09,"GOOD LAYUP by WILLIAMS,JU'QUAN(fastbreak)(in the paint)",8 (+1),,7,,BSC 8-7 (+1),,"GOOD LAYUP by WILLIAMS,JU'QUAN(fastbreak)(in the paint)",1
14:56,,,,,"MISS JUMPER by HESTER,JACOB",,,"MISS JUMPER by HESTER,JACOB",1
--,"REBOUND DEF by CHILDERS,JOSH",,,,,,,"REBOUND DEF by CHILDERS,JOSH",1
14:46,"MISS LAYUP by CHILDERS,JOSH(in the paint)",,,,,,,"MISS LAYUP by CHILDERS,JOSH(in the paint)",1
--,,,,,"REBOUND DEF by POERSCHKE,KYLE",,,"REBOUND DEF by POERSCHKE,KYLE",1
14:24,,10 (+3),,7,"GOOD LAYUP by LUECHTEFELD,BROCK(in the paint)",SU 10-7 (+3),,"GOOD LAYUP by LUECHTEFELD,BROCK(in the paint)",1
--,,,,,"ASSIST  by SMITH,CHRIS",,,"ASSIST  by SMITH,CHRIS",1
14:17,"TURNOVER  by GLOVER,COLIN",,,,,,,"TURNOVER  by GLOVER,COLIN",1
14:14,"FOUL  by WILLIAMS,JU'QUAN",,,,,,,"FOUL  by WILLIAMS,JU'QUAN",1
14:14,,,,,"SUB OUT by LUECHTEFELD,BROCK",,,"SUB OUT by LUECHTEFELD,BROCK",1
14:14,,,,,"SUB IN by BLACK,ZAC",,,"SUB IN by BLACK,ZAC",1
14:03,,13 (+6),,7,"GOOD 3PTR by POERSCHKE,KYLE",SU 13-7 (+6),,"GOOD 3PTR by POERSCHKE,KYLE",1
--,,,,,"ASSIST  by HESTER,JACOB",,,"ASSIST  by HESTER,JACOB",1
13:36,"MISS 3PTR by GLOVER,COLIN",,,,,,,"MISS 3PTR by GLOVER,COLIN",1
--,,,,,"REBOUND DEF by POERSCHKE,KYLE",,,"REBOUND DEF by POERSCHKE,KYLE",1
13:26,,16 (+9),,7,"GOOD 3PTR by HANNAH,PRESTON",SU 16-7 (+9),,"GOOD 3PTR by HANNAH,PRESTON",1
--,,,,,"ASSIST  by HESTER,JACOB",,,"ASSIST  by HESTER,JACOB",1
13:06,"GOOD JUMPER by GLOVER,COLIN",16 (+7),,9,,BSC 16-9 (+7),,"GOOD JUMPER by GLOVER,COLIN",1
12:45,"FOUL  by GLOVER,COLIN",,,,,,,"FOUL  by GLOVER,COLIN",1
12:45,"SUB OUT by WILLIAMS,JU'QUAN",,,,,,,"SUB OUT by WILLIAMS,JU'QUAN",1
12:45,"SUB OUT by GLOVER,COLIN",,,,,,,"SUB OUT by GLOVER,COLIN",1
12:45,"SUB OUT by GREEN,KALEB",,,,,,,"SUB OUT by GREEN,KALEB",1
12:45,"SUB OUT by CHILDERS,JOSH",,,,,,,"SUB OUT by CHILDERS,JOSH",1
12:45,"SUB OUT by SPENCE,SAM",,,,,,,"SUB OUT by SPENCE,SAM",1
12:45,"SUB IN by KANE,DENMAN",,,,,,,"SUB IN by KANE,DENMAN",1
12:45,"SUB IN by GARRIDO,BRANDAN",,,,,,,"SUB IN by GARRIDO,BRANDAN",1
12:45,"SUB IN by JACKSON,MARTISE",,,,,,,"SUB IN by JACKSON,MARTISE",1
12:45,"SUB IN by STEWART,CHRISTIAN",,,,,,,"SUB IN by STEWART,CHRISTIAN",1
12:45,"SUB IN by TOULIATOS,LUKE",,,,,,,"SUB IN by TOULIATOS,LUKE",1
12:45,,,,,"SUB OUT by SMITH,CHRIS",,,"SUB OUT by SMITH,CHRIS",1
12:45,,,,,"SUB IN by LACY,SAM",,,"SUB IN by LACY,SAM",1
12:36,,18 (+9),,9,"GOOD LAYUP by BLACK,ZAC(in the paint)",SU 18-9 (+9),,"GOOD LAYUP by BLACK,ZAC(in the paint)",1
12:19,"GOOD 3PTR by KANE,DENMAN",18 (+6),,12,,BSC 18-12 (+6),,"GOOD 3PTR by KANE,DENMAN",1
--,"ASSIST  by STEWART,CHRISTIAN",,,,,,,"ASSIST  by STEWART,CHRISTIAN",1
11:58,,,,,"MISS 3PTR by HESTER,JACOB",,,"MISS 3PTR by HESTER,JACOB",1
--,"REBOUND DEF by GARRIDO,BRANDAN",,,,,,,"REBOUND DEF by GARRIDO,BRANDAN",1
11:36,"MISS 3PTR by TOULIATOS,LUKE",,,,,,,"MISS 3PTR by TOULIATOS,LUKE",1
--,"REBOUND OFF by STEWART,CHRISTIAN",,,,,,,"REBOUND OFF by STEWART,CHRISTIAN",1
11:22,"MISS 3PTR by KANE,DENMAN",,,,,,,"MISS 3PTR by KANE,DENMAN",1
--,,,,,"REBOUND DEF by HANNAH,PRESTON",,,"REBOUND DEF by HANNAH,PRESTON",1
11:15,,20 (+8),,12,"GOOD LAYUP by POERSCHKE,KYLE(fastbreak)(in the paint)",SU 20-12 (+8),,"GOOD LAYUP by POERSCHKE,KYLE(fastbreak)(in the paint)",1
--,,,,,"ASSIST  by HANNAH,PRESTON",,,"ASSIST  by HANNAH,PRESTON",1
11:08,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
11:08,,,,,"FOUL  by HESTER,JACOB",,,"FOUL  by HESTER,JACOB",1
11:08,,,,,"SUB OUT by HESTER,JACOB",,,"SUB OUT by HESTER,JACOB",1
11:08,,,,,"SUB OUT by POERSCHKE,KYLE",,,"SUB OUT by POERSCHKE,KYLE",1
11:08,,,,,"SUB IN by JONES,JOSH",,,"SUB IN by JONES,JOSH",1
11:08,,,,,"SUB IN by SMITH,CHRIS",,,"SUB IN by SMITH,CHRIS",1
11:08,,,,,"FOUL  by HANNAH,PRESTON",,,"FOUL  by HANNAH,PRESTON",1
11:06,"GOOD LAYUP by TOULIATOS,LUKE(in the paint)",20 (+6),,14,,BSC 20-14 (+6),,"GOOD LAYUP by TOULIATOS,LUKE(in the paint)",1
--,"ASSIST  by JACKSON,MARTISE",,,,,,,"ASSIST  by JACKSON,MARTISE",1
10:38,,22 (+8),,14,"GOOD LAYUP by BLACK,ZAC(in the paint)",SU 22-14 (+8),,"GOOD LAYUP by BLACK,ZAC(in the paint)",1
10:23,"GOOD LAYUP by STEWART,CHRISTIAN(in the paint)",22 (+6),,16,,BSC 22-16 (+6),,"GOOD LAYUP by STEWART,CHRISTIAN(in the paint)",1
09:54,,25 (+9),,16,"GOOD 3PTR by JONES,JOSH",SU 25-16 (+9),,"GOOD 3PTR by JONES,JOSH",1
09:40,"TURNOVER  by GARRIDO,BRANDAN",,,,,,,"TURNOVER  by GARRIDO,BRANDAN",1
09:36,,27 (+11),,16,"GOOD LAYUP by HANNAH,PRESTON(fastbreak)(in the paint)",SU 27-16 (+11),,"GOOD LAYUP by HANNAH,PRESTON(fastbreak)(in the paint)",1
09:26,"TURNOVER  by TOULIATOS,LUKE",,,,,,,"TURNOVER  by TOULIATOS,LUKE",1
09:26,,,,,"STEAL  by HANNAH,PRESTON",,,"STEAL  by HANNAH,PRESTON",1
09:20,,,,,"MISS LAYUP by LACY,SAM(in the paint)",,,"MISS LAYUP by LACY,SAM(in the paint)",1
--,"REBOUND DEF by STEWART,CHRISTIAN",,,,,,,"REBOUND DEF by STEWART,CHRISTIAN",1
09:13,"MISS 3PTR by KANE,DENMAN",,,,,,,"MISS 3PTR by KANE,DENMAN",1
--,,,,,"REBOUND DEF by SMITH,CHRIS",,,"REBOUND DEF by SMITH,CHRIS",1
08:54,,,,,"MISS JUMPER by HANNAH,PRESTON",,,"MISS JUMPER by HANNAH,PRESTON",1
--,"REBOUND DEF by JACKSON,MARTISE",,,,,,,"REBOUND DEF by JACKSON,MARTISE",1
08:49,"TURNOVER  by JACKSON,MARTISE",,,,,,,"TURNOVER  by JACKSON,MARTISE",1
08:49,,,,,"STEAL  by JONES,JOSH",,,"STEAL  by JONES,JOSH",1
08:44,,,,,"MISS LAYUP by LACY,SAM(in the paint)",,,"MISS LAYUP by LACY,SAM(in the paint)",1
--,"REBOUND DEF by TOULIATOS,LUKE",,,,,,,"REBOUND DEF by TOULIATOS,LUKE",1
08:39,"TURNOVER  by JACKSON,MARTISE",,,,,,,"TURNOVER  by JACKSON,MARTISE",1
08:39,,,,,"STEAL  by JONES,JOSH",,,"STEAL  by JONES,JOSH",1
08:26,,,,,"MISS 3PTR by BLACK,ZAC",,,"MISS 3PTR by BLACK,ZAC",1
--,"REBOUND DEF by TOULIATOS,LUKE",,,,,,,"REBOUND DEF by TOULIATOS,LUKE",1
08:15,"MISS LAYUP by TOULIATOS,LUKE(in the paint)",,,,,,,"MISS LAYUP by TOULIATOS,LUKE(in the paint)",1
--,,,,,"REBOUND DEF by LACY,SAM",,,"REBOUND DEF by LACY,SAM",1
08:06,"FOUL  by GARRIDO,BRANDAN",,,,,,,"FOUL  by GARRIDO,BRANDAN",1
08:06,"SUB OUT by KANE,DENMAN",,,,,,,"SUB OUT by KANE,DENMAN",1
08:06,"SUB OUT by GARRIDO,BRANDAN",,,,,,,"SUB OUT by GARRIDO,BRANDAN",1
08:06,"SUB OUT by JACKSON,MARTISE",,,,,,,"SUB OUT by JACKSON,MARTISE",1
08:06,"SUB OUT by STEWART,CHRISTIAN",,,,,,,"SUB OUT by STEWART,CHRISTIAN",1
08:06,"SUB OUT by TOULIATOS,LUKE",,,,,,,"SUB OUT by TOULIATOS,LUKE",1
08:06,"SUB IN by FITZGERALD,PAUL",,,,,,,"SUB IN by FITZGERALD,PAUL",1
08:06,"SUB IN by GLOVER,CAMERON",,,,,,,"SUB IN by GLOVER,CAMERON",1
08:06,"SUB IN by GILLISPIE,JAY",,,,,,,"SUB IN by GILLISPIE,JAY",1
08:06,"SUB IN by SIGLER,EVAN",,,,,,,"SUB IN by SIGLER,EVAN",1
08:06,"SUB IN by CHILDERS,JOSH",,,,,,,"SUB IN by CHILDERS,JOSH",1
08:06,,,,,"SUB OUT by BLACK,ZAC",,,"SUB OUT by BLACK,ZAC",1
08:06,,,,,"SUB OUT by LACY,SAM",,,"SUB OUT by LACY,SAM",1
08:06,,,,,"SUB OUT by HANNAH,PRESTON",,,"SUB OUT by HANNAH,PRESTON",1
08:06,,,,,"SUB IN by HESTER,JACOB",,,"SUB IN by HESTER,JACOB",1
08:06,,,,,"SUB IN by LUECHTEFELD,BROCK",,,"SUB IN by LUECHTEFELD,BROCK",1
08:06,,,,,"SUB IN by TOUSSAINT,LEO",,,"SUB IN by TOUSSAINT,LEO",1
08:05,,30 (+14),,16,"GOOD 3PTR by HESTER,JACOB",SU 30-16 (+14),,"GOOD 3PTR by HESTER,JACOB",1
--,,,,,"ASSIST  by LUECHTEFELD,BROCK",,,"ASSIST  by LUECHTEFELD,BROCK",1
07:54,,,,,"SUB OUT by JONES,JOSH",,,"SUB OUT by JONES,JOSH",1
07:54,,,,,"SUB IN by POERSCHKE,KYLE",,,"SUB IN by POERSCHKE,KYLE",1
07:47,"MISS 3PTR by FITZGERALD,PAUL",,,,,,,"MISS 3PTR by FITZGERALD,PAUL",1
--,"REBOUND OFF by CHILDERS,JOSH",,,,,,,"REBOUND OFF by CHILDERS,JOSH",1
07:41,"MISS JUMPER by GLOVER,CAMERON",,,,,,,"MISS JUMPER by GLOVER,CAMERON",1
--,,,,,"REBOUND DEF by POERSCHKE,KYLE",,,"REBOUND DEF by POERSCHKE,KYLE",1
07:24,,32 (+16),,16,"GOOD LAYUP by HESTER,JACOB(in the paint)",SU 32-16 (+16),,"GOOD LAYUP by HESTER,JACOB(in the paint)",1
07:10,"GOOD LAYUP by GILLISPIE,JAY(in the paint)",32 (+14),,18,,BSC 32-18 (+14),,"GOOD LAYUP by GILLISPIE,JAY(in the paint)",1
--,"ASSIST  by CHILDERS,JOSH",,,,,,,"ASSIST  by CHILDERS,JOSH",1
07:10,,,,,"FOUL  by POERSCHKE,KYLE",,,"FOUL  by POERSCHKE,KYLE",1
07:10,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
07:10,"GOOD FT by GILLISPIE,JAY",32 (+13),,19,,BSC 32-19 (+13),,"GOOD FT by GILLISPIE,JAY",1
06:56,"FOUL  by GLOVER,CAMERON",,,,,,,"FOUL  by GLOVER,CAMERON",1
06:53,,,,,"TURNOVER  by HESTER,JACOB",,,"TURNOVER  by HESTER,JACOB",1
06:53,"STEAL  by GILLISPIE,JAY",,,,,,,"STEAL  by GILLISPIE,JAY",1
06:40,,,,,"FOUL  by TOUSSAINT,LEO",,,"FOUL  by TOUSSAINT,LEO",1
06:38,"MISS 3PTR by SIGLER,EVAN",,,,,,,"MISS 3PTR by SIGLER,EVAN",1
--,"REBOUND OFF by GLOVER,CAMERON",,,,,,,"REBOUND OFF by GLOVER,CAMERON",1
06:25,,,,,"SUB OUT by TOUSSAINT,LEO",,,"SUB OUT by TOUSSAINT,LEO",1
06:25,,,,,"SUB IN by JONES,JOSH",,,"SUB IN by JONES,JOSH",1
06:23,"GOOD 3PTR by GLOVER,CAMERON",32 (+10),,22,,BSC 32-22 (+10),,"GOOD 3PTR by GLOVER,CAMERON",1
--,"ASSIST  by CHILDERS,JOSH",,,,,,,"ASSIST  by CHILDERS,JOSH",1
06:03,,34 (+12),,22,"GOOD LAYUP by SMITH,CHRIS(in the paint)",SU 34-22 (+12),,"GOOD LAYUP by SMITH,CHRIS(in the paint)",1
--,,,,,"ASSIST  by LUECHTEFELD,BROCK",,,"ASSIST  by LUECHTEFELD,BROCK",1
06:03,"FOUL  by SIGLER,EVAN",,,,,,,"FOUL  by SIGLER,EVAN",1
06:03,,35 (+13),,22,"GOOD FT by SMITH,CHRIS",SU 35-22 (+13),,"GOOD FT by SMITH,CHRIS",1
05:41,"GOOD LAYUP by CHILDERS,JOSH(in the paint)",35 (+11),,24,,BSC 35-24 (+11),,"GOOD LAYUP by CHILDERS,JOSH(in the paint)",1
--,"ASSIST  by FITZGERALD,PAUL",,,,,,,"ASSIST  by FITZGERALD,PAUL",1
05:34,,,,,"TURNOVER  by HESTER,JACOB",,,"TURNOVER  by HESTER,JACOB",1
05:24,"GOOD JUMPER by GILLISPIE,JAY(in the paint)",35 (+9),,26,,BSC 35-26 (+9),,"GOOD JUMPER by GILLISPIE,JAY(in the paint)",1
05:15,,,,,"MISS JUMPER by POERSCHKE,KYLE(in the paint)",,,"MISS JUMPER by POERSCHKE,KYLE(in the paint)",1
--,,,,,"REBOUND OFF by POERSCHKE,KYLE",,,"REBOUND OFF by POERSCHKE,KYLE",1
05:09,,37 (+11),,26,"GOOD LAYUP by POERSCHKE,KYLE(in the paint)",SU 37-26 (+11),,"GOOD LAYUP by POERSCHKE,KYLE(in the paint)",1
04:57,"MISS 3PTR by GLOVER,CAMERON",,,,,,,"MISS 3PTR by GLOVER,CAMERON",1
--,,,,,"REBOUND DEF by LUECHTEFELD,BROCK",,,"REBOUND DEF by LUECHTEFELD,BROCK",1
04:52,"FOUL  by GLOVER,CAMERON",,,,,,,"FOUL  by GLOVER,CAMERON",1
04:52,"SUB OUT by FITZGERALD,PAUL",,,,,,,"SUB OUT by FITZGERALD,PAUL",1
04:52,"SUB OUT by GLOVER,CAMERON",,,,,,,"SUB OUT by GLOVER,CAMERON",1
04:52,"SUB OUT by GILLISPIE,JAY",,,,,,,"SUB OUT by GILLISPIE,JAY",1
04:52,"SUB OUT by SIGLER,EVAN",,,,,,,"SUB OUT by SIGLER,EVAN",1
04:52,"SUB OUT by CHILDERS,JOSH",,,,,,,"SUB OUT by CHILDERS,JOSH",1
04:52,"SUB IN by WILLIAMS,JU'QUAN",,,,,,,"SUB IN by WILLIAMS,JU'QUAN",1
04:52,"SUB IN by GLOVER,COLIN",,,,,,,"SUB IN by GLOVER,COLIN",1
04:52,"SUB IN by STEWART,CHRISTIAN",,,,,,,"SUB IN by STEWART,CHRISTIAN",1
04:52,"SUB IN by GREEN,KALEB",,,,,,,"SUB IN by GREEN,KALEB",1
04:52,"SUB IN by SPENCE,SAM",,,,,,,"SUB IN by SPENCE,SAM",1
04:52,,,,,"SUB OUT by HESTER,JACOB",,,"SUB OUT by HESTER,JACOB",1
04:52,,,,,"SUB OUT by LUECHTEFELD,BROCK",,,"SUB OUT by LUECHTEFELD,BROCK",1
04:52,,,,,"SUB IN by BLACK,ZAC",,,"SUB IN by BLACK,ZAC",1
04:52,,,,,"SUB IN by HANNAH,PRESTON",,,"SUB IN by HANNAH,PRESTON",1
04:42,,,,,"MISS JUMPER by POERSCHKE,KYLE",,,"MISS JUMPER by POERSCHKE,KYLE",1
--,,,,,"REBOUND OFF by POERSCHKE,KYLE",,,"REBOUND OFF by POERSCHKE,KYLE",1
04:37,,39 (+13),,26,"GOOD LAYUP by POERSCHKE,KYLE(in the paint)",SU 39-26 (+13),,"GOOD LAYUP by POERSCHKE,KYLE(in the paint)",1
04:25,"MISS 3PTR by WILLIAMS,JU'QUAN",,,,,,,"MISS 3PTR by WILLIAMS,JU'QUAN",1
--,"REBOUND OFF by GLOVER,COLIN",,,,,,,"REBOUND OFF by GLOVER,COLIN",1
04:19,,,,,"FOUL  by POERSCHKE,KYLE",,,"FOUL  by POERSCHKE,KYLE",1
04:19,,,,,"SUB OUT by SMITH,CHRIS",,,"SUB OUT by SMITH,CHRIS",1
04:19,,,,,"SUB OUT by POERSCHKE,KYLE",,,"SUB OUT by POERSCHKE,KYLE",1
04:19,,,,,"SUB IN by LACY,SAM",,,"SUB IN by LACY,SAM",1
04:19,,,,,"SUB IN by TOUSSAINT,LEO",,,"SUB IN by TOUSSAINT,LEO",1
04:05,"TURNOVER  by GLOVER,COLIN",,,,,,,"TURNOVER  by GLOVER,COLIN",1
03:52,,,,,"TURNOVER  by JONES,JOSH",,,"TURNOVER  by JONES,JOSH",1
03:51,"GOOD 3PTR by GLOVER,COLIN",39 (+10),,29,,BSC 39-29 (+10),,"GOOD 3PTR by GLOVER,COLIN",1
03:22,,,,,"TURNOVER  by LACY,SAM",,,"TURNOVER  by LACY,SAM",1
03:22,"STEAL  by WILLIAMS,JU'QUAN",,,,,,,"STEAL  by WILLIAMS,JU'QUAN",1
03:16,"MISS 3PTR by SPENCE,SAM",,,,,,,"MISS 3PTR by SPENCE,SAM",1
--,"REBOUND OFF by GLOVER,COLIN",,,,,,,"REBOUND OFF by GLOVER,COLIN",1
03:06,"TURNOVER  by WILLIAMS,JU'QUAN",,,,,,,"TURNOVER  by WILLIAMS,JU'QUAN",1
03:06,,,,,"STEAL  by LACY,SAM",,,"STEAL  by LACY,SAM",1
03:01,,,,,"MISS LAYUP by LACY,SAM(in the paint)",,,"MISS LAYUP by LACY,SAM(in the paint)",1
--,"REBOUND DEF by SPENCE,SAM",,,,,,,"REBOUND DEF by SPENCE,SAM",1
02:56,,,,,"FOUL TECH by LACY,SAM",,,"FOUL TECH by LACY,SAM",1
02:56,"GOOD FT by WILLIAMS,JU'QUAN(fastbreak)",39 (+9),,30,,BSC 39-30 (+9),,"GOOD FT by WILLIAMS,JU'QUAN(fastbreak)",1
02:56,"GOOD FT by WILLIAMS,JU'QUAN(fastbreak)",39 (+8),,31,,BSC 39-31 (+8),,"GOOD FT by WILLIAMS,JU'QUAN(fastbreak)",1
02:56,"SUB OUT by WILLIAMS,JU'QUAN",,,,,,,"SUB OUT by WILLIAMS,JU'QUAN",1
02:56,"SUB OUT by GLOVER,COLIN",,,,,,,"SUB OUT by GLOVER,COLIN",1
02:56,"SUB OUT by STEWART,CHRISTIAN",,,,,,,"SUB OUT by STEWART,CHRISTIAN",1
02:56,"SUB OUT by GREEN,KALEB",,,,,,,"SUB OUT by GREEN,KALEB",1
02:56,"SUB OUT by SPENCE,SAM",,,,,,,"SUB OUT by SPENCE,SAM",1
02:56,"SUB IN by FITZGERALD,PAUL",,,,,,,"SUB IN by FITZGERALD,PAUL",1
02:56,"SUB IN by GLOVER,CAMERON",,,,,,,"SUB IN by GLOVER,CAMERON",1
02:56,"SUB IN by GILLISPIE,JAY",,,,,,,"SUB IN by GILLISPIE,JAY",1
02:56,"SUB IN by SIGLER,EVAN",,,,,,,"SUB IN by SIGLER,EVAN",1
02:56,"SUB IN by CHILDERS,JOSH",,,,,,,"SUB IN by CHILDERS,JOSH",1
02:56,,,,,"SUB OUT by LACY,SAM",,,"SUB OUT by LACY,SAM",1
02:56,,,,,"SUB IN by HESTER,JACOB",,,"SUB IN by HESTER,JACOB",1
02:39,"GOOD LAYUP by CHILDERS,JOSH(in the paint)",39 (+6),,33,,BSC 39-33 (+6),,"GOOD LAYUP by CHILDERS,JOSH(in the paint)",1
--,"ASSIST  by FITZGERALD,PAUL",,,,,,,"ASSIST  by FITZGERALD,PAUL",1
02:14,,,,,"MISS LAYUP by BLACK,ZAC(in the paint)",,,"MISS LAYUP by BLACK,ZAC(in the paint)",1
--,"REBOUND DEF by GILLISPIE,JAY",,,,,,,"REBOUND DEF by GILLISPIE,JAY",1
02:05,"FOUL  by FITZGERALD,PAUL",,,,,,,"FOUL  by FITZGERALD,PAUL",1
02:05,"TURNOVER  by FITZGERALD,PAUL",,,,,,,"TURNOVER  by FITZGERALD,PAUL",1
