Time Remaining,BIRMINGH,Away Team Score,Play Team Indicator,Home Team Score,HUNTINGD,Game Score,Team Indicator,Play,Period
19:43,"MISS LAYUP by GILLISPIE,JAY",,,,,,,"MISS LAYUP by GILLISPIE,JAY",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
19:35,,,,,"FOUL  by JOHNSON,JUSTIN",,,"FOUL  by JOHNSON,JUSTIN",1
19:35,"GOOD FT by GILLISPIE,JAY",1 (+1),,0,,BIRMINGH 1-0 (+1),,"GOOD FT by GILLISPIE,JAY",1
19:35,"MISS FT by GILLISPIE,JAY",,,,,,,"MISS FT by GILLISPIE,JAY",1
--,,,,,"REBOUND DEF by TONEY,CALEB",,,"REBOUND DEF by TONEY,CALEB",1
19:11,,1,,3 (+2),"GOOD 3PTR by PAGE,SAM",HUNTINGD 1-3 (-2),,"GOOD 3PTR by PAGE,SAM",1
--,,,,,"ASSIST  by TONEY,CALEB",,,"ASSIST  by TONEY,CALEB",1
18:53,"GOOD JUMPER by GLOVER,CAMERON",3,,3,,BIRMINGH 3-3 (0),,"GOOD JUMPER by GLOVER,CAMERON",1
18:29,,3,,5 (+2),"GOOD LAYUP by TONEY,CALEB(in the paint)",HUNTINGD 3-5 (-2),,"GOOD LAYUP by TONEY,CALEB(in the paint)",1
18:20,,,,,"FOUL  by JOHNSON,JUSTIN",,,"FOUL  by JOHNSON,JUSTIN",1
18:20,,,,,"SUB IN by GARDNER,MAX",,,"SUB IN by GARDNER,MAX",1
18:20,,,,,"SUB OUT by JOHNSON,JUSTIN",,,"SUB OUT by JOHNSON,JUSTIN",1
18:03,,3,,7 (+4),"GOOD JUMPER by GARDNER,MAX",HUNTINGD 3-7 (-4),,"GOOD JUMPER by GARDNER,MAX",1
17:52,"MISS 3PTR by SIGLER,EVAN",,,,,,,"MISS 3PTR by SIGLER,EVAN",1
17:52,,,,,"BLOCK  by GARDNER,MAX",,,"BLOCK  by GARDNER,MAX",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
17:36,"FOUL  by STEWART,CHRISTIAN",,,,,,,"FOUL  by STEWART,CHRISTIAN",1
17:31,"GOOD JUMPER by STEWART,CHRISTIAN",5,,7 (+2),,BIRMINGH 5-7 (-2),,"GOOD JUMPER by STEWART,CHRISTIAN",1
17:15,,,,,"MISS JUMPER by TONEY,CALEB",,,"MISS JUMPER by TONEY,CALEB",1
--,"REBOUND DEF by FITZGERALD,PAUL",,,,,,,"REBOUND DEF by FITZGERALD,PAUL",1
17:04,"TURNOVER  by FITZGERALD,PAUL",,,,,,,"TURNOVER  by FITZGERALD,PAUL",1
16:59,,,,,"MISS JUMPER by BOHLING,DYLAN",,,"MISS JUMPER by BOHLING,DYLAN",1
--,"REBOUND DEF by GILLISPIE,JAY",,,,,,,"REBOUND DEF by GILLISPIE,JAY",1
16:45,"MISS 3PTR by GLOVER,CAMERON",,,,,,,"MISS 3PTR by GLOVER,CAMERON",1
--,"REBOUND OFF by GILLISPIE,JAY",,,,,,,"REBOUND OFF by GILLISPIE,JAY",1
16:40,"GOOD LAYUP by GILLISPIE,JAY(in the paint)",7,,7,,BIRMINGH 7-7 (0),,"GOOD LAYUP by GILLISPIE,JAY(in the paint)",1
16:27,"SUB IN by STEPHENS,TROY",,,,,,,"SUB IN by STEPHENS,TROY",1
16:27,"SUB IN by CHILDERS,JOSH",,,,,,,"SUB IN by CHILDERS,JOSH",1
16:27,"SUB IN by GARRIDO,BRANDAN",,,,,,,"SUB IN by GARRIDO,BRANDAN",1
16:27,"SUB IN by KANE,DENMAN",,,,,,,"SUB IN by KANE,DENMAN",1
16:27,"SUB IN by TOULIATOS,LUKE",,,,,,,"SUB IN by TOULIATOS,LUKE",1
16:27,"SUB OUT by GLOVER,CAMERON",,,,,,,"SUB OUT by GLOVER,CAMERON",1
16:27,"SUB OUT by SIGLER,EVAN",,,,,,,"SUB OUT by SIGLER,EVAN",1
16:27,"SUB OUT by FITZGERALD,PAUL",,,,,,,"SUB OUT by FITZGERALD,PAUL",1
16:27,"SUB OUT by STEWART,CHRISTIAN",,,,,,,"SUB OUT by STEWART,CHRISTIAN",1
16:27,"SUB OUT by GILLISPIE,JAY",,,,,,,"SUB OUT by GILLISPIE,JAY",1
16:27,,,,,"SUB IN by LITTLE,JAMES",,,"SUB IN by LITTLE,JAMES",1
16:27,,,,,"SUB OUT by PAGE,SAM",,,"SUB OUT by PAGE,SAM",1
16:21,,,,,"MISS JUMPER by GARDNER,MAX",,,"MISS JUMPER by GARDNER,MAX",1
--,,,,,"REBOUND OFF by BOHLING,DYLAN",,,"REBOUND OFF by BOHLING,DYLAN",1
16:16,"FOUL  by GARRIDO,BRANDAN",,,,,,,"FOUL  by GARRIDO,BRANDAN",1
15:56,,,,,"MISS LAYUP by BOHLING,DYLAN",,,"MISS LAYUP by BOHLING,DYLAN",1
--,,,,,"REBOUND OFF by BOHLING,DYLAN",,,"REBOUND OFF by BOHLING,DYLAN",1
15:49,,,,,"MISS LAYUP by BOHLING,DYLAN",,,"MISS LAYUP by BOHLING,DYLAN",1
--,"REBOUND DEF by CHILDERS,JOSH",,,,,,,"REBOUND DEF by CHILDERS,JOSH",1
15:34,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,1
15:34,,,,,"SUB IN by JOHNS,NATE",,,"SUB IN by JOHNS,NATE",1
15:34,,,,,"SUB IN by GOOLESBY,TATE",,,"SUB IN by GOOLESBY,TATE",1
15:34,,,,,"SUB OUT by BOHLING,DYLAN",,,"SUB OUT by BOHLING,DYLAN",1
15:34,,,,,"SUB OUT by TONEY,CALEB",,,"SUB OUT by TONEY,CALEB",1
15:23,,,,,"MISS 3PTR by MADISON,DAMIEN",,,"MISS 3PTR by MADISON,DAMIEN",1
--,,,,,"REBOUND OFF by JOHNS,NATE",,,"REBOUND OFF by JOHNS,NATE",1
15:15,,,,,"MISS LAYUP by GARDNER,MAX",,,"MISS LAYUP by GARDNER,MAX",1
--,"REBOUND DEF by STEPHENS,TROY",,,,,,,"REBOUND DEF by STEPHENS,TROY",1
14:51,,,,,"MISS LAYUP by GARDNER,MAX",,,"MISS LAYUP by GARDNER,MAX",1
--,"REBOUND DEF by STEPHENS,TROY",,,,,,,"REBOUND DEF by STEPHENS,TROY",1
14:45,"GOOD LAYUP by TOULIATOS,LUKE(in the paint)",9 (+2),,7,,BIRMINGH 9-7 (+2),,"GOOD LAYUP by TOULIATOS,LUKE(in the paint)",1
14:13,,,,,"TURNOVER  by GARDNER,MAX",,,"TURNOVER  by GARDNER,MAX",1
14:13,,,,,"SUB IN by LINVILLE,AUSTIN",,,"SUB IN by LINVILLE,AUSTIN",1
14:13,,,,,"SUB OUT by GARDNER,MAX",,,"SUB OUT by GARDNER,MAX",1
13:59,"GOOD 3PTR by KANE,DENMAN",12 (+5),,7,,BIRMINGH 12-7 (+5),,"GOOD 3PTR by KANE,DENMAN",1
--,"ASSIST  by GARRIDO,BRANDAN",,,,,,,"ASSIST  by GARRIDO,BRANDAN",1
