Time Remaining,Berry,Away Team Score,Play Team Indicator,Home Team Score,BSC,Game Score,Team Indicator,Play,Period
19:32,,0,,2 (+2),"GOOD LAYUP by GILLISPIE,JAY(in the paint)",BSC 0-2 (+2),,"GOOD LAYUP by GILLISPIE,JAY(in the paint)",1
19:13,"MISS 3PTR by KRUEGER,JORDAN",,,,,,,"MISS 3PTR by KRUEGER,JORDAN",1
--,,,,,"REBOUND DEF by GILLISPIE,JAY",,,"REBOUND DEF by GILLISPIE,JAY",1
18:59,,0,,4 (+4),"GOOD LAYUP by SIGLER,EVAN(in the paint)",BSC 0-4 (+4),,"GOOD LAYUP by SIGLER,EVAN(in the paint)",1
--,,,,,"ASSIST  by STEWART,CHRISTIAN",,,"ASSIST  by STEWART,CHRISTIAN",1
18:46,"GOOD 3PTR by JOHNSON,MICHAEL",3,,4 (+1),,Berry 3-4 (+1),,"GOOD 3PTR by JOHNSON,MICHAEL",1
18:31,,,,,"FOUL  by GILLISPIE,JAY",,,"FOUL  by GILLISPIE,JAY",1
18:31,,,,,"TURNOVER  by GILLISPIE,JAY",,,"TURNOVER  by GILLISPIE,JAY",1
18:13,"MISS LAYUP by ELLIS,CHASE(in the paint)",,,,,,,"MISS LAYUP by ELLIS,CHASE(in the paint)",1
--,,,,,"REBOUND DEF by FITZGERALD,PAUL",,,"REBOUND DEF by FITZGERALD,PAUL",1
18:09,,,,,"TURNOVER  by FITZGERALD,PAUL",,,"TURNOVER  by FITZGERALD,PAUL",1
17:51,"FOUL  by KRUEGER,JORDAN",,,,,,,"FOUL  by KRUEGER,JORDAN",1
17:51,"TURNOVER  by KRUEGER,JORDAN",,,,,,,"TURNOVER  by KRUEGER,JORDAN",1
17:41,,,,,"MISS LAYUP by STEWART,CHRISTIAN(in the paint)",,,"MISS LAYUP by STEWART,CHRISTIAN(in the paint)",1
17:41,"BLOCK  by RUSCIANO,ROBBIE",,,,,,,"BLOCK  by RUSCIANO,ROBBIE",1
--,"REBOUND DEF by CRAFT,JAKE",,,,,,,"REBOUND DEF by CRAFT,JAKE",1
17:34,"GOOD 3PTR by RUSCIANO,ROBBIE(fastbreak)",6 (+2),,4,,Berry 6-4 (-2),,"GOOD 3PTR by RUSCIANO,ROBBIE(fastbreak)",1
--,"ASSIST  by CRAFT,JAKE",,,,,,,"ASSIST  by CRAFT,JAKE",1
17:21,,,,,"MISS 3PTR by FITZGERALD,PAUL",,,"MISS 3PTR by FITZGERALD,PAUL",1
--,"REBOUND DEF by JOHNSON,MICHAEL",,,,,,,"REBOUND DEF by JOHNSON,MICHAEL",1
17:10,"GOOD 3PTR by RUSCIANO,ROBBIE",9 (+5),,4,,Berry 9-4 (-5),,"GOOD 3PTR by RUSCIANO,ROBBIE",1
--,"ASSIST  by JOHNSON,MICHAEL",,,,,,,"ASSIST  by JOHNSON,MICHAEL",1
16:49,,,,,"MISS 3PTR by GILLISPIE,JAY",,,"MISS 3PTR by GILLISPIE,JAY",1
--,,,,,"REBOUND OFF by GLOVER,CAMERON",,,"REBOUND OFF by GLOVER,CAMERON",1
16:25,,,,,"TURNOVER  by SIGLER,EVAN",,,"TURNOVER  by SIGLER,EVAN",1
16:25,"STEAL  by JOHNSON,MICHAEL",,,,,,,"STEAL  by JOHNSON,MICHAEL",1
16:06,"MISS JUMPER by JOHNSON,MICHAEL(in the paint)",,,,,,,"MISS JUMPER by JOHNSON,MICHAEL(in the paint)",1
--,,,,,"REBOUND DEF by STEWART,CHRISTIAN",,,"REBOUND DEF by STEWART,CHRISTIAN",1
15:57,,9 (+3),,6,"GOOD LAYUP by FITZGERALD,PAUL(in the paint)",BSC 9-6 (-3),,"GOOD LAYUP by FITZGERALD,PAUL(in the paint)",1
15:35,"GOOD LAYUP by ELLIS,CHASE(in the paint)",11 (+5),,6,,Berry 11-6 (-5),,"GOOD LAYUP by ELLIS,CHASE(in the paint)",1
