Time Remaining,Hunt,Away Team Score,Play Team Indicator,Home Team Score,BSC,Game Score,Team Indicator,Play,Period
19:43,,0,,3 (+3),"GOOD 3PTR by GLOVER,CAMERON",BSC 0-3 (+3),,"GOOD 3PTR by GLOVER,CAMERON",1
19:30,"MISS 3PTR by JOHNSON,JUSTIN",,,,,,,"MISS 3PTR by JOHNSON,JUSTIN",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
19:22,"MISS LAYUP by BOHLING,DYLAN(in the paint)",,,,,,,"MISS LAYUP by BOHLING,DYLAN(in the paint)",1
19:22,,,,,"BLOCK  by STEWART,CHRISTIAN",,,"BLOCK  by STEWART,CHRISTIAN",1
--,,,,,"REBOUND DEF by GILLISPIE,JAY",,,"REBOUND DEF by GILLISPIE,JAY",1
19:14,,,,,"MISS 3PTR by SIGLER,EVAN",,,"MISS 3PTR by SIGLER,EVAN",1
--,"REBOUND DEF by MADISON,DAMIEN",,,,,,,"REBOUND DEF by MADISON,DAMIEN",1
18:52,"TURNOVER  by TONEY,CALEB",,,,,,,"TURNOVER  by TONEY,CALEB",1
18:52,,,,,"STEAL  by STEWART,CHRISTIAN",,,"STEAL  by STEWART,CHRISTIAN",1
18:47,,,,,"TURNOVER  by STEWART,CHRISTIAN",,,"TURNOVER  by STEWART,CHRISTIAN",1
18:47,"STEAL  by MADISON,DAMIEN",,,,,,,"STEAL  by MADISON,DAMIEN",1
18:43,"GOOD LAYUP by MADISON,DAMIEN(fastbreak)(in the paint)",2,,3 (+1),,Hunt 2-3 (+1),,"GOOD LAYUP by MADISON,DAMIEN(fastbreak)(in the paint)",1
18:26,,,,,"TURNOVER  by GILLISPIE,JAY",,,"TURNOVER  by GILLISPIE,JAY",1
18:26,"STEAL  by JOHNSON,JUSTIN",,,,,,,"STEAL  by JOHNSON,JUSTIN",1
18:15,"MISS JUMPER by MADISON,DAMIEN",,,,,,,"MISS JUMPER by MADISON,DAMIEN",1
--,,,,,"REBOUND DEF by STEWART,CHRISTIAN",,,"REBOUND DEF by STEWART,CHRISTIAN",1
18:09,,2,,5 (+3),"GOOD LAYUP by SIGLER,EVAN(fastbreak)(in the paint)",BSC 2-5 (+3),,"GOOD LAYUP by SIGLER,EVAN(fastbreak)(in the paint)",1
--,,,,,"ASSIST  by STEWART,CHRISTIAN",,,"ASSIST  by STEWART,CHRISTIAN",1
17:40,,,,,"FOUL  by STEWART,CHRISTIAN",,,"FOUL  by STEWART,CHRISTIAN",1
17:40,"MISS FT by BOHLING,DYLAN",,,,,,,"MISS FT by BOHLING,DYLAN",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
17:40,"SUB OUT by GARDNER,MAX",,,,,,,"SUB OUT by GARDNER,MAX",1
17:40,"SUB OUT by JOHNSON,JUSTIN",,,,,,,"SUB OUT by JOHNSON,JUSTIN",1
17:40,"SUB IN by DAVIS,KEONDRE",,,,,,,"SUB IN by DAVIS,KEONDRE",1
17:40,"SUB IN by JOHNS,NATE",,,,,,,"SUB IN by JOHNS,NATE",1
17:40,"MISS FT by BOHLING,DYLAN",,,,,,,"MISS FT by BOHLING,DYLAN",1
--,"REBOUND OFF by JOHNS,NATE",,,,,,,"REBOUND OFF by JOHNS,NATE",1
17:36,"TURNOVER  by JOHNS,NATE",,,,,,,"TURNOVER  by JOHNS,NATE",1
17:36,,,,,"STEAL  by SIGLER,EVAN",,,"STEAL  by SIGLER,EVAN",1
17:26,,,,,"MISS 3PTR by FITZGERALD,PAUL",,,"MISS 3PTR by FITZGERALD,PAUL",1
--,"REBOUND DEF by TONEY,CALEB",,,,,,,"REBOUND DEF by TONEY,CALEB",1
17:16,"MISS LAYUP by BOHLING,DYLAN(in the paint)",,,,,,,"MISS LAYUP by BOHLING,DYLAN(in the paint)",1
--,"REBOUND OFF by JOHNS,NATE",,,,,,,"REBOUND OFF by JOHNS,NATE",1
17:12,"GOOD LAYUP by JOHNS,NATE(in the paint)",4,,5 (+1),,Hunt 4-5 (+1),,"GOOD LAYUP by JOHNS,NATE(in the paint)",1
17:06,,4,,8 (+4),"GOOD 3PTR by SIGLER,EVAN(fastbreak)",BSC 4-8 (+4),,"GOOD 3PTR by SIGLER,EVAN(fastbreak)",1
--,,,,,"ASSIST  by GLOVER,CAMERON",,,"ASSIST  by GLOVER,CAMERON",1
16:52,"TURNOVER  by MADISON,DAMIEN",,,,,,,"TURNOVER  by MADISON,DAMIEN",1
16:52,,,,,"STEAL  by GILLISPIE,JAY",,,"STEAL  by GILLISPIE,JAY",1
16:43,,4,,11 (+7),"GOOD 3PTR by GLOVER,CAMERON",BSC 4-11 (+7),,"GOOD 3PTR by GLOVER,CAMERON",1
16:15,"MISS JUMPER by DAVIS,KEONDRE(in the paint)",,,,,,,"MISS JUMPER by DAVIS,KEONDRE(in the paint)",1
16:15,,,,,"BLOCK  by GILLISPIE,JAY",,,"BLOCK  by GILLISPIE,JAY",1
--,,,,,"REBOUND DEF by STEWART,CHRISTIAN",,,"REBOUND DEF by STEWART,CHRISTIAN",1
16:08,,4,,13 (+9),"GOOD LAYUP by STEWART,CHRISTIAN(fastbreak)(in the paint)",BSC 4-13 (+9),,"GOOD LAYUP by STEWART,CHRISTIAN(fastbreak)(in the paint)",1
15:45,,,,,"FOUL  by GILLISPIE,JAY",,,"FOUL  by GILLISPIE,JAY",1
15:45,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
15:45,,,,,"SUB OUT by FITZGERALD,PAUL",,,"SUB OUT by FITZGERALD,PAUL",1
15:45,,,,,"SUB OUT by GILLISPIE,JAY",,,"SUB OUT by GILLISPIE,JAY",1
15:45,,,,,"SUB OUT by STEWART,CHRISTIAN",,,"SUB OUT by STEWART,CHRISTIAN",1
15:45,,,,,"SUB OUT by SIGLER,EVAN",,,"SUB OUT by SIGLER,EVAN",1
15:45,,,,,"SUB IN by GARRIDO,BRANDAN",,,"SUB IN by GARRIDO,BRANDAN",1
15:45,,,,,"SUB IN by STEPHENS,TROY",,,"SUB IN by STEPHENS,TROY",1
15:45,,,,,"SUB IN by TOULIATOS,LUKE",,,"SUB IN by TOULIATOS,LUKE",1
15:45,,,,,"SUB IN by CHILDERS,JOSH",,,"SUB IN by CHILDERS,JOSH",1
15:45,"SUB OUT by TONEY,CALEB",,,,,,,"SUB OUT by TONEY,CALEB",1
15:45,"SUB OUT by BOHLING,DYLAN",,,,,,,"SUB OUT by BOHLING,DYLAN",1
15:45,"SUB IN by PAGE,SAM",,,,,,,"SUB IN by PAGE,SAM",1
15:45,"SUB IN by GOOLESBY,TATE",,,,,,,"SUB IN by GOOLESBY,TATE",1
15:39,"MISS 3PTR by JOHNS,NATE",,,,,,,"MISS 3PTR by JOHNS,NATE",1
--,"REBOUND OFF by PAGE,SAM",,,,,,,"REBOUND OFF by PAGE,SAM",1
15:33,,,,,"FOUL  by TOULIATOS,LUKE",,,"FOUL  by TOULIATOS,LUKE",1
15:33,"MISS FT by PAGE,SAM",,,,,,,"MISS FT by PAGE,SAM",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
15:33,"MISS FT by PAGE,SAM",,,,,,,"MISS FT by PAGE,SAM",1
--,,,,,"REBOUND DEF by CHILDERS,JOSH",,,"REBOUND DEF by CHILDERS,JOSH",1
15:25,,,,,"TURNOVER  by GARRIDO,BRANDAN",,,"TURNOVER  by GARRIDO,BRANDAN",1
15:11,"MISS 3PTR by MADISON,DAMIEN",,,,,,,"MISS 3PTR by MADISON,DAMIEN",1
--,,,,,"REBOUND DEF by STEPHENS,TROY",,,"REBOUND DEF by STEPHENS,TROY",1
14:59,,,,,"MISS JUMPER by STEPHENS,TROY",,,"MISS JUMPER by STEPHENS,TROY",1
--,,,,,"REBOUND OFF by CHILDERS,JOSH",,,"REBOUND OFF by CHILDERS,JOSH",1
14:55,,4,,16 (+12),"GOOD 3PTR by GLOVER,CAMERON",BSC 4-16 (+12),,"GOOD 3PTR by GLOVER,CAMERON",1
--,,,,,"ASSIST  by CHILDERS,JOSH",,,"ASSIST  by CHILDERS,JOSH",1
