Time Remaining,BSC,Away Team Score,Play Team Indicator,Home Team Score,EU,Game Score,Team Indicator,Play,Period
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
15:43,,,,,"SUB OUT by BARBER,JAXSON",,,"SUB OUT by BARBER,JAXSON",1
15:43,,,,,"SUB IN by FRIED,MAX",,,"SUB IN by FRIED,MAX",1
15:43,"GOOD FT by FITZGERALD,PAUL(fastbreak)",9 (+6),,3,,BSC 9-3 (+6),,"GOOD FT by FITZGERALD,PAUL(fastbreak)",1
15:39,"SUB OUT by FITZGERALD,PAUL",,,,,,,"SUB OUT by FITZGERALD,PAUL",1
15:39,"SUB IN by JACKSON,MARTISE",,,,,,,"SUB IN by JACKSON,MARTISE",1
15:34,,,,,"TURNOVER  by SCHNER,MATTHEW",,,"TURNOVER  by SCHNER,MATTHEW",1
15:34,"STEAL  by CHILDERS,JOSH",,,,,,,"STEAL  by CHILDERS,JOSH",1
15:24,"GOOD LAYUP by CHILDERS,JOSH(in the paint)",11 (+8),,3,,BSC 11-3 (+8),,"GOOD LAYUP by CHILDERS,JOSH(in the paint)",1
15:12,,,,,"TURNOVER  by FRIED,MAX",,,"TURNOVER  by FRIED,MAX",1
15:12,"STEAL  by WILLIAMS,JU'QUAN",,,,,,,"STEAL  by WILLIAMS,JU'QUAN",1
15:05,"TURNOVER  by WILLIAMS,JU'QUAN",,,,,,,"TURNOVER  by WILLIAMS,JU'QUAN",1
14:45,"FOUL  by CHILDERS,JOSH",,,,,,,"FOUL  by CHILDERS,JOSH",1
14:38,,11 (+7),,4,"GOOD FT by SCHNER,MATTHEW",EU 11-4 (+7),,"GOOD FT by SCHNER,MATTHEW",1
14:38,,11 (+6),,5,"GOOD FT by SCHNER,MATTHEW",EU 11-5 (+6),,"GOOD FT by SCHNER,MATTHEW",1
14:17,"MISS 3PTR by GLOVER,CAMERON",,,,,,,"MISS 3PTR by GLOVER,CAMERON",1
--,,,,,"REBOUND DEF by WILLIAMS,ROMIN",,,"REBOUND DEF by WILLIAMS,ROMIN",1
14:09,,,,,"MISS JUMPER by WILLIAMS,ROMIN(in the paint)",,,"MISS JUMPER by WILLIAMS,ROMIN(in the paint)",1
14:09,"BLOCK  by WILLIAMS,JU'QUAN",,,,,,,"BLOCK  by WILLIAMS,JU'QUAN",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
13:55,,,,,"MISS JUMPER by WILLIAMS,ROMIN(in the paint)",,,"MISS JUMPER by WILLIAMS,ROMIN(in the paint)",1
--,"REBOUND DEF by WILLIAMS,JU'QUAN",,,,,,,"REBOUND DEF by WILLIAMS,JU'QUAN",1
13:47,"MISS 3PTR by WILLIAMS,JU'QUAN",,,,,,,"MISS 3PTR by WILLIAMS,JU'QUAN",1
--,,,,,"REBOUND DEF by JOHNSON,MASON",,,"REBOUND DEF by JOHNSON,MASON",1
13:36,,,,,"MISS 3PTR by JOHNSON,MASON",,,"MISS 3PTR by JOHNSON,MASON",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
13:29,,,,,"SUB OUT by STUCK,NICK",,,"SUB OUT by STUCK,NICK",1
13:29,,,,,"SUB IN by FALLAS,ALBERT",,,"SUB IN by FALLAS,ALBERT",1
13:29,"SUB OUT by WILLIAMS,JU'QUAN",,,,,,,"SUB OUT by WILLIAMS,JU'QUAN",1
13:29,"SUB OUT by GLOVER,CAMERON",,,,,,,"SUB OUT by GLOVER,CAMERON",1
13:29,"SUB OUT by CHILDERS,JOSH",,,,,,,"SUB OUT by CHILDERS,JOSH",1
13:29,"SUB IN by KANE,DENMAN",,,,,,,"SUB IN by KANE,DENMAN",1
13:29,"SUB IN by GARRIDO,BRANDAN",,,,,,,"SUB IN by GARRIDO,BRANDAN",1
13:29,"SUB IN by STEWART,CHRISTIAN",,,,,,,"SUB IN by STEWART,CHRISTIAN",1
