Time Remaining,BSC,Away Team Score,Play Team Indicator,Home Team Score,EU,Game Score,Team Indicator,Play,Period
--,,,,,"REBOUND DEF by MARTENS,CALE",,,"REBOUND DEF by MARTENS,CALE",1
01:55,,,,,"MISS 3PTR by MARTENS,CALE",,,"MISS 3PTR by MARTENS,CALE",1
--,"REBOUND DEF by GILLISPIE,JAY",,,,,,,"REBOUND DEF by GILLISPIE,JAY",1
01:47,"MISS 3PTR by GILLISPIE,JAY",,,,,,,"MISS 3PTR by GILLISPIE,JAY",1
--,,,,,"REBOUND DEF by FRIED,MAX",,,"REBOUND DEF by FRIED,MAX",1
01:39,,,,,"MISS LAYUP by MARTENS,CALE(in the paint)",,,"MISS LAYUP by MARTENS,CALE(in the paint)",1
--,,,,,"REBOUND OFF by MARTENS,CALE",,,"REBOUND OFF by MARTENS,CALE",1
01:31,"FOUL  by STEWART,CHRISTIAN",,,,,,,"FOUL  by STEWART,CHRISTIAN",1
01:31,,,,,"MISS FT by MARTENS,CALE",,,"MISS FT by MARTENS,CALE",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
01:31,"SUB OUT by FITZGERALD,PAUL",,,,,,,"SUB OUT by FITZGERALD,PAUL",1
01:31,"SUB OUT by GARRIDO,BRANDAN",,,,,,,"SUB OUT by GARRIDO,BRANDAN",1
01:31,"SUB OUT by GILLISPIE,JAY",,,,,,,"SUB OUT by GILLISPIE,JAY",1
01:31,"SUB IN by WILLIAMS,JU'QUAN",,,,,,,"SUB IN by WILLIAMS,JU'QUAN",1
01:31,"SUB IN by STEPHENS,TROY",,,,,,,"SUB IN by STEPHENS,TROY",1
01:31,"SUB IN by TOULIATOS,LUKE",,,,,,,"SUB IN by TOULIATOS,LUKE",1
01:31,,,,,"MISS FT by MARTENS,CALE",,,"MISS FT by MARTENS,CALE",1
--,,,,,"REBOUND OFF by SCHNER,MATTHEW",,,"REBOUND OFF by SCHNER,MATTHEW",1
01:28,,,,,"MISS 3PTR by WILLIAMS,ROMIN",,,"MISS 3PTR by WILLIAMS,ROMIN",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
01:15,,,,,"FOUL  by FRIED,MAX",,,"FOUL  by FRIED,MAX",1
01:13,,,,,"SUB OUT by FRIED,MAX",,,"SUB OUT by FRIED,MAX",1
01:13,,,,,"SUB IN by JOHNSON,MASON",,,"SUB IN by JOHNSON,MASON",1
01:13,"GOOD FT by TOULIATOS,LUKE",29,,42 (+13),,BSC 29-42 (-13),,"GOOD FT by TOULIATOS,LUKE",1
01:13,"GOOD FT by TOULIATOS,LUKE",30,,42 (+12),,BSC 30-42 (-12),,"GOOD FT by TOULIATOS,LUKE",1
01:13,,,,,"SUB OUT by MARTENS,CALE",,,"SUB OUT by MARTENS,CALE",1
01:13,,,,,"SUB IN by BARBER,JAXSON",,,"SUB IN by BARBER,JAXSON",1
01:13,,,,,"MISS JUMPER by BARBER,JAXSON",,,"MISS JUMPER by BARBER,JAXSON",1
--,"REBOUND DEF by TOULIATOS,LUKE",,,,,,,"REBOUND DEF by TOULIATOS,LUKE",1
00:58,"MISS LAYUP by STEWART,CHRISTIAN(in the paint)",,,,,,,"MISS LAYUP by STEWART,CHRISTIAN(in the paint)",1
--,"REBOUND OFF by STEWART,CHRISTIAN",,,,,,,"REBOUND OFF by STEWART,CHRISTIAN",1
00:51,"GOOD LAYUP by STEWART,CHRISTIAN(in the paint)",32,,42 (+10),,BSC 32-42 (-10),,"GOOD LAYUP by STEWART,CHRISTIAN(in the paint)",1
00:36,,,,,"MISS 3PTR by WILLIAMS,ROMIN",,,"MISS 3PTR by WILLIAMS,ROMIN",1
--,"REBOUND DEF by STEWART,CHRISTIAN",,,,,,,"REBOUND DEF by STEWART,CHRISTIAN",1
00:24,,,,,"FOUL  by WILLIAMS,ROMIN",,,"FOUL  by WILLIAMS,ROMIN",1
00:24,"SUB OUT by WILLIAMS,JU'QUAN",,,,,,,"SUB OUT by WILLIAMS,JU'QUAN",1
00:24,"SUB OUT by STEPHENS,TROY",,,,,,,"SUB OUT by STEPHENS,TROY",1
00:24,"SUB OUT by TOULIATOS,LUKE",,,,,,,"SUB OUT by TOULIATOS,LUKE",1
00:24,"SUB IN by FITZGERALD,PAUL",,,,,,,"SUB IN by FITZGERALD,PAUL",1
00:24,"SUB IN by GARRIDO,BRANDAN",,,,,,,"SUB IN by GARRIDO,BRANDAN",1
00:24,"SUB IN by GILLISPIE,JAY",,,,,,,"SUB IN by GILLISPIE,JAY",1
00:24,"GOOD FT by STEWART,CHRISTIAN",33,,42 (+9),,BSC 33-42 (-9),,"GOOD FT by STEWART,CHRISTIAN",1
00:24,"GOOD FT by STEWART,CHRISTIAN",34,,42 (+8),,BSC 34-42 (-8),,"GOOD FT by STEWART,CHRISTIAN",1
00:00,,,,,"MISS JUMPER by JOHNSON,MASON(in the paint)",,,"MISS JUMPER by JOHNSON,MASON(in the paint)",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
20:00,,,,,"SUB OUT by WILLIAMS,ROMIN",,,"SUB OUT by WILLIAMS,ROMIN",2
20:00,,,,,"SUB OUT by JOHNSON,MASON",,,"SUB OUT by JOHNSON,MASON",2
20:00,,,,,"SUB IN by SHANAHAN,LOGAN",,,"SUB IN by SHANAHAN,LOGAN",2
20:00,,,,,"SUB IN by MARTENS,CALE",,,"SUB IN by MARTENS,CALE",2
19:33,,,,,"FOUL  by SHANAHAN,LOGAN",,,"FOUL  by SHANAHAN,LOGAN",2
19:33,"GOOD FT by STEWART,CHRISTIAN",35,,42 (+7),,BSC 35-42 (-7),,"GOOD FT by STEWART,CHRISTIAN",2
19:33,"MISS FT by STEWART,CHRISTIAN",,,,,,,"MISS FT by STEWART,CHRISTIAN",2
--,,,,,"REBOUND DEF by MARTENS,CALE",,,"REBOUND DEF by MARTENS,CALE",2
19:16,,35,,44 (+9),"GOOD JUMPER by STUCK,NICK(in the paint)",EU 35-44 (-9),,"GOOD JUMPER by STUCK,NICK(in the paint)",2
19:04,"GOOD 3PTR by GILLISPIE,JAY",38,,44 (+6),,BSC 38-44 (-6),,"GOOD 3PTR by GILLISPIE,JAY",2
--,"ASSIST  by GARRIDO,BRANDAN",,,,,,,"ASSIST  by GARRIDO,BRANDAN",2
18:49,,,,,"TURNOVER  by SCHNER,MATTHEW",,,"TURNOVER  by SCHNER,MATTHEW",2
18:49,"STEAL  by STEWART,CHRISTIAN",,,,,,,"STEAL  by STEWART,CHRISTIAN",2
18:42,"TURNOVER  by GARRIDO,BRANDAN",,,,,,,"TURNOVER  by GARRIDO,BRANDAN",2
18:34,,,,,"MISS 3PTR by MARTENS,CALE",,,"MISS 3PTR by MARTENS,CALE",2
--,,,,,"REBOUND OFF by SHANAHAN,LOGAN",,,"REBOUND OFF by SHANAHAN,LOGAN",2
18:29,"FOUL  by FITZGERALD,PAUL",,,,,,,"FOUL  by FITZGERALD,PAUL",2
18:16,,,,,"MISS LAYUP by STUCK,NICK(in the paint)",,,"MISS LAYUP by STUCK,NICK(in the paint)",2
18:16,"BLOCK  by GILLISPIE,JAY",,,,,,,"BLOCK  by GILLISPIE,JAY",2
--,,,,,"REBOUND OFF by STUCK,NICK",,,"REBOUND OFF by STUCK,NICK",2
18:05,,,,,"MISS LAYUP by STUCK,NICK(in the paint)",,,"MISS LAYUP by STUCK,NICK(in the paint)",2
--,"REBOUND DEF by STEWART,CHRISTIAN",,,,,,,"REBOUND DEF by STEWART,CHRISTIAN",2
18:01,"MISS JUMPER by STEWART,CHRISTIAN(in the paint)",,,,,,,"MISS JUMPER by STEWART,CHRISTIAN(in the paint)",2
--,,,,,"REBOUND DEF by MARTENS,CALE",,,"REBOUND DEF by MARTENS,CALE",2
17:54,,,,,"MISS JUMPER by SCHNER,MATTHEW(in the paint)",,,"MISS JUMPER by SCHNER,MATTHEW(in the paint)",2
--,,,,,"REBOUND OFF by MARTENS,CALE",,,"REBOUND OFF by MARTENS,CALE",2
17:46,,38,,46 (+8),"GOOD LAYUP by MARTENS,CALE(in the paint)",EU 38-46 (-8),,"GOOD LAYUP by MARTENS,CALE(in the paint)",2
17:38,"GOOD 3PTR by FITZGERALD,PAUL(fastbreak)",41,,46 (+5),,BSC 41-46 (-5),,"GOOD 3PTR by FITZGERALD,PAUL(fastbreak)",2
--,"ASSIST  by GLOVER,CAMERON",,,,,,,"ASSIST  by GLOVER,CAMERON",2
17:31,,,,,"MISS 3PTR by SCHNER,MATTHEW",,,"MISS 3PTR by SCHNER,MATTHEW",2
--,,,,,"REBOUND OFF by SHANAHAN,LOGAN",,,"REBOUND OFF by SHANAHAN,LOGAN",2
17:17,,,,,"MISS JUMPER by MARTENS,CALE(in the paint)",,,"MISS JUMPER by MARTENS,CALE(in the paint)",2
--,,,,,"REBOUND OFF by SCHNER,MATTHEW",,,"REBOUND OFF by SCHNER,MATTHEW",2
17:17,"FOUL  by GILLISPIE,JAY",,,,,,,"FOUL  by GILLISPIE,JAY",2
17:12,,,,,"MISS 3PTR by MARTENS,CALE",,,"MISS 3PTR by MARTENS,CALE",2
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,2
16:45,,,,,"FOUL  by SHANAHAN,LOGAN",,,"FOUL  by SHANAHAN,LOGAN",2
16:45,,,,,"SUB OUT by SHANAHAN,LOGAN",,,"SUB OUT by SHANAHAN,LOGAN",2
16:45,,,,,"SUB OUT by MARTENS,CALE",,,"SUB OUT by MARTENS,CALE",2
16:45,,,,,"SUB IN by WILLIAMS,ROMIN",,,"SUB IN by WILLIAMS,ROMIN",2
16:45,,,,,"SUB IN by JOHNSON,MASON",,,"SUB IN by JOHNSON,MASON",2
16:41,"TURNOVER  by GILLISPIE,JAY",,,,,,,"TURNOVER  by GILLISPIE,JAY",2
16:41,,,,,"STEAL  by STUCK,NICK",,,"STEAL  by STUCK,NICK",2
16:33,,41,,48 (+7),"GOOD JUMPER by STUCK,NICK(fastbreak)(in the paint)",EU 41-48 (-7),,"GOOD JUMPER by STUCK,NICK(fastbreak)(in the paint)",2
16:25,"MISS JUMPER by FITZGERALD,PAUL(in the paint)",,,,,,,"MISS JUMPER by FITZGERALD,PAUL(in the paint)",2
--,"REBOUND OFF by STEWART,CHRISTIAN",,,,,,,"REBOUND OFF by STEWART,CHRISTIAN",2
16:23,,,,,"FOUL  by JOHNSON,MASON",,,"FOUL  by JOHNSON,MASON",2
16:19,"MISS LAYUP by STEWART,CHRISTIAN(in the paint)",,,,,,,"MISS LAYUP by STEWART,CHRISTIAN(in the paint)",2
16:19,,,,,"BLOCK  by SCHNER,MATTHEW",,,"BLOCK  by SCHNER,MATTHEW",2
--,,,,,"REBOUND DEF by JOHNSON,MASON",,,"REBOUND DEF by JOHNSON,MASON",2
16:07,,,,,"MISS 3PTR by SCHNER,MATTHEW",,,"MISS 3PTR by SCHNER,MATTHEW",2
--,"REBOUND DEF by GARRIDO,BRANDAN",,,,,,,"REBOUND DEF by GARRIDO,BRANDAN",2
15:48,"SUB OUT by GARRIDO,BRANDAN",,,,,,,"SUB OUT by GARRIDO,BRANDAN",2
15:48,"SUB OUT by GILLISPIE,JAY",,,,,,,"SUB OUT by GILLISPIE,JAY",2
15:48,"SUB OUT by STEWART,CHRISTIAN",,,,,,,"SUB OUT by STEWART,CHRISTIAN",2
15:48,"SUB IN by WILLIAMS,JU'QUAN",,,,,,,"SUB IN by WILLIAMS,JU'QUAN",2
15:48,"SUB IN by TOULIATOS,LUKE",,,,,,,"SUB IN by TOULIATOS,LUKE",2
15:48,"SUB IN by CHILDERS,JOSH",,,,,,,"SUB IN by CHILDERS,JOSH",2
15:46,"TURNOVER  by GLOVER,CAMERON",,,,,,,"TURNOVER  by GLOVER,CAMERON",2
15:40,"FOUL  by GLOVER,CAMERON",,,,,,,"FOUL  by GLOVER,CAMERON",2
15:36,"FOUL  by GLOVER,CAMERON",,,,,,,"FOUL  by GLOVER,CAMERON",2
15:26,,41,,50 (+9),"GOOD JUMPER by SCHNER,MATTHEW",EU 41-50 (-9),,"GOOD JUMPER by SCHNER,MATTHEW",2
--,,,,,"ASSIST  by STUCK,NICK",,,"ASSIST  by STUCK,NICK",2
15:08,"MISS JUMPER by FITZGERALD,PAUL(in the paint)",,,,,,,"MISS JUMPER by FITZGERALD,PAUL(in the paint)",2
--,,,,,"REBOUND DEF by SCHNER,MATTHEW",,,"REBOUND DEF by SCHNER,MATTHEW",2
15:01,,,,,"MISS JUMPER by WILLIAMS,ROMIN(in the paint)",,,"MISS JUMPER by WILLIAMS,ROMIN(in the paint)",2
--,"REBOUND DEF by GLOVER,CAMERON",,,,,,,"REBOUND DEF by GLOVER,CAMERON",2
14:56,,,,,"FOUL  by BARBER,JAXSON",,,"FOUL  by BARBER,JAXSON",2
14:56,"MISS FT by FITZGERALD,PAUL(fastbreak)",,,,,,,"MISS FT by FITZGERALD,PAUL(fastbreak)",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
14:56,,,,,"SUB OUT by BARBER,JAXSON",,,"SUB OUT by BARBER,JAXSON",2
14:56,,,,,"SUB IN by FALLAS,ALBERT",,,"SUB IN by FALLAS,ALBERT",2
14:56,"GOOD FT by FITZGERALD,PAUL(fastbreak)",42,,50 (+8),,BSC 42-50 (-8),,"GOOD FT by FITZGERALD,PAUL(fastbreak)",2
14:56,"SUB OUT by FITZGERALD,PAUL",,,,,,,"SUB OUT by FITZGERALD,PAUL",2
14:56,"SUB IN by JACKSON,MARTISE",,,,,,,"SUB IN by JACKSON,MARTISE",2
14:49,,,,,"MISS 3PTR by SCHNER,MATTHEW",,,"MISS 3PTR by SCHNER,MATTHEW",2
--,"REBOUND DEF by GLOVER,CAMERON",,,,,,,"REBOUND DEF by GLOVER,CAMERON",2
14:42,,,,,"FOUL  by FALLAS,ALBERT",,,"FOUL  by FALLAS,ALBERT",2
14:23,"MISS JUMPER by CHILDERS,JOSH(in the paint)",,,,,,,"MISS JUMPER by CHILDERS,JOSH(in the paint)",2
--,,,,,"REBOUND DEF by JOHNSON,MASON",,,"REBOUND DEF by JOHNSON,MASON",2
14:13,,,,,"TURNOVER  by WILLIAMS,ROMIN",,,"TURNOVER  by WILLIAMS,ROMIN",2
14:04,"MISS JUMPER by GLOVER,CAMERON",,,,,,,"MISS JUMPER by GLOVER,CAMERON",2
--,,,,,"REBOUND DEF by SCHNER,MATTHEW",,,"REBOUND DEF by SCHNER,MATTHEW",2
13:51,,42,,53 (+11),"GOOD 3PTR by STUCK,NICK",EU 42-53 (-11),,"GOOD 3PTR by STUCK,NICK",2
--,,,,,"ASSIST  by SCHNER,MATTHEW",,,"ASSIST  by SCHNER,MATTHEW",2
13:35,"MISS JUMPER by TOULIATOS,LUKE(in the paint)",,,,,,,"MISS JUMPER by TOULIATOS,LUKE(in the paint)",2
--,,,,,"REBOUND DEF by STUCK,NICK",,,"REBOUND DEF by STUCK,NICK",2
13:28,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,2
13:26,,,,,"SUB OUT by JOHNSON,MASON",,,"SUB OUT by JOHNSON,MASON",2
13:26,,,,,"SUB IN by SHANAHAN,LOGAN",,,"SUB IN by SHANAHAN,LOGAN",2
13:26,"SUB OUT by WILLIAMS,JU'QUAN",,,,,,,"SUB OUT by WILLIAMS,JU'QUAN",2
13:26,"SUB OUT by GLOVER,CAMERON",,,,,,,"SUB OUT by GLOVER,CAMERON",2
13:26,"SUB OUT by CHILDERS,JOSH",,,,,,,"SUB OUT by CHILDERS,JOSH",2
13:26,"SUB IN by KANE,DENMAN",,,,,,,"SUB IN by KANE,DENMAN",2
13:26,"SUB IN by GARRIDO,BRANDAN",,,,,,,"SUB IN by GARRIDO,BRANDAN",2
13:26,"SUB IN by STEWART,CHRISTIAN",,,,,,,"SUB IN by STEWART,CHRISTIAN",2
13:16,,,,,"MISS JUMPER by SCHNER,MATTHEW",,,"MISS JUMPER by SCHNER,MATTHEW",2
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,2
13:14,,42,,56 (+14),"GOOD 3PTR by SHANAHAN,LOGAN",EU 42-56 (-14),,"GOOD 3PTR by SHANAHAN,LOGAN",2
--,,,,,"ASSIST  by FALLAS,ALBERT",,,"ASSIST  by FALLAS,ALBERT",2
12:52,"GOOD JUMPER by TOULIATOS,LUKE(in the paint)",44,,56 (+12),,BSC 44-56 (-12),,"GOOD JUMPER by TOULIATOS,LUKE(in the paint)",2
12:32,,44,,58 (+14),"GOOD JUMPER by WILLIAMS,ROMIN(in the paint)",EU 44-58 (-14),,"GOOD JUMPER by WILLIAMS,ROMIN(in the paint)",2
12:10,"MISS 3PTR by KANE,DENMAN",,,,,,,"MISS 3PTR by KANE,DENMAN",2
--,"REBOUND OFF by STEWART,CHRISTIAN",,,,,,,"REBOUND OFF by STEWART,CHRISTIAN",2
12:03,,,,,"FOUL  by SHANAHAN,LOGAN",,,"FOUL  by SHANAHAN,LOGAN",2
12:03,"GOOD FT by STEWART,CHRISTIAN",45,,58 (+13),,BSC 45-58 (-13),,"GOOD FT by STEWART,CHRISTIAN",2
12:03,,,,,"SUB OUT by SHANAHAN,LOGAN",,,"SUB OUT by SHANAHAN,LOGAN",2
12:03,,,,,"SUB OUT by FALLAS,ALBERT",,,"SUB OUT by FALLAS,ALBERT",2
12:03,,,,,"SUB IN by FRIED,MAX",,,"SUB IN by FRIED,MAX",2
12:03,,,,,"SUB IN by MARTENS,CALE",,,"SUB IN by MARTENS,CALE",2
12:03,"GOOD FT by STEWART,CHRISTIAN",46,,58 (+12),,BSC 46-58 (-12),,"GOOD FT by STEWART,CHRISTIAN",2
11:59,,,,,"MISS 3PTR by WILLIAMS,ROMIN",,,"MISS 3PTR by WILLIAMS,ROMIN",2
--,"REBOUND DEF by STEWART,CHRISTIAN",,,,,,,"REBOUND DEF by STEWART,CHRISTIAN",2
11:45,,,,,"FOUL  by FRIED,MAX",,,"FOUL  by FRIED,MAX",2
11:35,"GOOD FT by STEWART,CHRISTIAN",47,,58 (+11),,BSC 47-58 (-11),,"GOOD FT by STEWART,CHRISTIAN",2
11:35,"GOOD FT by STEWART,CHRISTIAN",48,,58 (+10),,BSC 48-58 (-10),,"GOOD FT by STEWART,CHRISTIAN",2
11:18,"FOUL  by STEWART,CHRISTIAN",,,,,,,"FOUL  by STEWART,CHRISTIAN",2
11:18,,48,,59 (+11),"GOOD FT by STUCK,NICK",EU 48-59 (-11),,"GOOD FT by STUCK,NICK",2
11:18,,,,,"MISS FT by STUCK,NICK",,,"MISS FT by STUCK,NICK",2
--,,,,,"REBOUND OFF by SCHNER,MATTHEW",,,"REBOUND OFF by SCHNER,MATTHEW",2
11:14,,,,,"TURNOVER  by STUCK,NICK",,,"TURNOVER  by STUCK,NICK",2
11:14,"SUB OUT by KANE,DENMAN",,,,,,,"SUB OUT by KANE,DENMAN",2
11:14,"SUB OUT by JACKSON,MARTISE",,,,,,,"SUB OUT by JACKSON,MARTISE",2
11:14,"SUB IN by GLOVER,CAMERON",,,,,,,"SUB IN by GLOVER,CAMERON",2
11:14,"SUB IN by STEPHENS,TROY",,,,,,,"SUB IN by STEPHENS,TROY",2
10:55,"MISS JUMPER by TOULIATOS,LUKE(in the paint)",,,,,,,"MISS JUMPER by TOULIATOS,LUKE(in the paint)",2
--,,,,,"REBOUND DEF by SCHNER,MATTHEW",,,"REBOUND DEF by SCHNER,MATTHEW",2
10:42,,,,,"MISS JUMPER by STUCK,NICK(in the paint)",,,"MISS JUMPER by STUCK,NICK(in the paint)",2
--,"REBOUND DEF by STEWART,CHRISTIAN",,,,,,,"REBOUND DEF by STEWART,CHRISTIAN",2
10:31,"GOOD JUMPER by TOULIATOS,LUKE(in the paint)",50,,59 (+9),,BSC 50-59 (-9),,"GOOD JUMPER by TOULIATOS,LUKE(in the paint)",2
10:14,,50,,61 (+11),"GOOD JUMPER by STUCK,NICK(in the paint)",EU 50-61 (-11),,"GOOD JUMPER by STUCK,NICK(in the paint)",2
--,,,,,"ASSIST  by SCHNER,MATTHEW",,,"ASSIST  by SCHNER,MATTHEW",2
09:51,,,,,"SUB OUT by STUCK,NICK",,,"SUB OUT by STUCK,NICK",2
09:51,,,,,"SUB IN by FALLAS,ALBERT",,,"SUB IN by FALLAS,ALBERT",2
09:51,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
09:51,"SUB OUT by GARRIDO,BRANDAN",,,,,,,"SUB OUT by GARRIDO,BRANDAN",2
09:51,"SUB OUT by TOULIATOS,LUKE",,,,,,,"SUB OUT by TOULIATOS,LUKE",2
09:51,"SUB IN by WILLIAMS,JU'QUAN",,,,,,,"SUB IN by WILLIAMS,JU'QUAN",2
09:51,"SUB IN by GILLISPIE,JAY",,,,,,,"SUB IN by GILLISPIE,JAY",2
09:45,"TURNOVER  by WILLIAMS,JU'QUAN",,,,,,,"TURNOVER  by WILLIAMS,JU'QUAN",2
09:32,,50,,63 (+13),"GOOD JUMPER by WILLIAMS,ROMIN(in the paint)",EU 50-63 (-13),,"GOOD JUMPER by WILLIAMS,ROMIN(in the paint)",2
09:20,"GOOD JUMPER by STEPHENS,TROY",52,,63 (+11),,BSC 52-63 (-11),,"GOOD JUMPER by STEPHENS,TROY",2
09:06,,,,,"MISS 3PTR by SCHNER,MATTHEW",,,"MISS 3PTR by SCHNER,MATTHEW",2
--,,,,,"REBOUND OFF by FRIED,MAX",,,"REBOUND OFF by FRIED,MAX",2
08:59,,,,,"TURNOVER  by FRIED,MAX",,,"TURNOVER  by FRIED,MAX",2
08:59,"STEAL  by WILLIAMS,JU'QUAN",,,,,,,"STEAL  by WILLIAMS,JU'QUAN",2
08:53,"MISS LAYUP by GLOVER,CAMERON(in the paint)",,,,,,,"MISS LAYUP by GLOVER,CAMERON(in the paint)",2
08:53,,,,,"BLOCK  by SCHNER,MATTHEW",,,"BLOCK  by SCHNER,MATTHEW",2
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,2
08:43,"TURNOVER  by GLOVER,CAMERON",,,,,,,"TURNOVER  by GLOVER,CAMERON",2
08:43,,,,,"STEAL  by WILLIAMS,ROMIN",,,"STEAL  by WILLIAMS,ROMIN",2
08:34,,52,,65 (+13),"GOOD JUMPER by MARTENS,CALE(in the paint)",EU 52-65 (-13),,"GOOD JUMPER by MARTENS,CALE(in the paint)",2
--,,,,,"ASSIST  by WILLIAMS,ROMIN",,,"ASSIST  by WILLIAMS,ROMIN",2
08:23,"MISS 3PTR by WILLIAMS,JU'QUAN",,,,,,,"MISS 3PTR by WILLIAMS,JU'QUAN",2
--,,,,,"REBOUND DEF by WILLIAMS,ROMIN",,,"REBOUND DEF by WILLIAMS,ROMIN",2
08:17,,,,,"MISS LAYUP by MARTENS,CALE(in the paint)",,,"MISS LAYUP by MARTENS,CALE(in the paint)",2
--,,,,,"REBOUND OFF by MARTENS,CALE",,,"REBOUND OFF by MARTENS,CALE",2
08:09,,,,,"MISS LAYUP by MARTENS,CALE(in the paint)",,,"MISS LAYUP by MARTENS,CALE(in the paint)",2
--,"REBOUND DEF by GILLISPIE,JAY",,,,,,,"REBOUND DEF by GILLISPIE,JAY",2
08:04,"MISS 3PTR by GILLISPIE,JAY",,,,,,,"MISS 3PTR by GILLISPIE,JAY",2
--,,,,,"REBOUND DEF by FALLAS,ALBERT",,,"REBOUND DEF by FALLAS,ALBERT",2
08:03,"FOUL  by WILLIAMS,JU'QUAN",,,,,,,"FOUL  by WILLIAMS,JU'QUAN",2
08:03,,,,,"MISS FT by FALLAS,ALBERT(fastbreak)",,,"MISS FT by FALLAS,ALBERT(fastbreak)",2
08:03,,,,,"MISS FT by FALLAS,ALBERT(fastbreak)",,,"MISS FT by FALLAS,ALBERT(fastbreak)",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
--,"REBOUND DEF by GLOVER,CAMERON",,,,,,,"REBOUND DEF by GLOVER,CAMERON",2
07:59,"SUB OUT by STEWART,CHRISTIAN",,,,,,,"SUB OUT by STEWART,CHRISTIAN",2
07:59,"SUB IN by CHILDERS,JOSH",,,,,,,"SUB IN by CHILDERS,JOSH",2
07:54,"MISS JUMPER by STEPHENS,TROY(in the paint)",,,,,,,"MISS JUMPER by STEPHENS,TROY(in the paint)",2
--,,,,,"REBOUND DEF by SCHNER,MATTHEW",,,"REBOUND DEF by SCHNER,MATTHEW",2
07:52,,52,,67 (+15),"GOOD LAYUP by SCHNER,MATTHEW(fastbreak)(in the paint)",EU 52-67 (-15),,"GOOD LAYUP by SCHNER,MATTHEW(fastbreak)(in the paint)",2
--,,,,,"ASSIST  by MARTENS,CALE",,,"ASSIST  by MARTENS,CALE",2
07:51,"FOUL  by GILLISPIE,JAY",,,,,,,"FOUL  by GILLISPIE,JAY",2
07:51,"TURNOVER  by GILLISPIE,JAY",,,,,,,"TURNOVER  by GILLISPIE,JAY",2
07:43,,,,,"SUB OUT by MARTENS,CALE",,,"SUB OUT by MARTENS,CALE",2
07:43,,,,,"SUB IN by BARBER,JAXSON",,,"SUB IN by BARBER,JAXSON",2
07:43,"SUB OUT by GILLISPIE,JAY",,,,,,,"SUB OUT by GILLISPIE,JAY",2
07:43,"SUB IN by TOULIATOS,LUKE",,,,,,,"SUB IN by TOULIATOS,LUKE",2
07:26,"FOUL  by WILLIAMS,JU'QUAN",,,,,,,"FOUL  by WILLIAMS,JU'QUAN",2
07:26,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
07:26,,52,,68 (+16),"GOOD FT by BARBER,JAXSON",EU 52-68 (-16),,"GOOD FT by BARBER,JAXSON",2
07:26,,52,,69 (+17),"GOOD FT by BARBER,JAXSON",EU 52-69 (-17),,"GOOD FT by BARBER,JAXSON",2
07:12,"MISS JUMPER by GLOVER,CAMERON(in the paint)",,,,,,,"MISS JUMPER by GLOVER,CAMERON(in the paint)",2
--,"REBOUND OFF by STEPHENS,TROY",,,,,,,"REBOUND OFF by STEPHENS,TROY",2
07:05,"TURNOVER  by STEPHENS,TROY",,,,,,,"TURNOVER  by STEPHENS,TROY",2
07:05,,,,,"STEAL  by FRIED,MAX",,,"STEAL  by FRIED,MAX",2
07:00,,52,,71 (+19),"GOOD JUMPER by FRIED,MAX(fastbreak)(in the paint)",EU 52-71 (-19),,"GOOD JUMPER by FRIED,MAX(fastbreak)(in the paint)",2
07:00,"FOUL  by WILLIAMS,JU'QUAN",,,,,,,"FOUL  by WILLIAMS,JU'QUAN",2
07:00,,,,,"MISS FT by FRIED,MAX(fastbreak)",,,"MISS FT by FRIED,MAX(fastbreak)",2
--,"REBOUND DEF by TOULIATOS,LUKE",,,,,,,"REBOUND DEF by TOULIATOS,LUKE",2
06:47,"GOOD 3PTR by WILLIAMS,JU'QUAN",55,,71 (+16),,BSC 55-71 (-16),,"GOOD 3PTR by WILLIAMS,JU'QUAN",2
--,"ASSIST  by TOULIATOS,LUKE",,,,,,,"ASSIST  by TOULIATOS,LUKE",2
06:44,"SUB OUT by STEPHENS,TROY",,,,,,,"SUB OUT by STEPHENS,TROY",2
06:44,"SUB IN by FITZGERALD,PAUL",,,,,,,"SUB IN by FITZGERALD,PAUL",2
06:31,,,,,"MISS 3PTR by SCHNER,MATTHEW",,,"MISS 3PTR by SCHNER,MATTHEW",2
--,"REBOUND DEF by GLOVER,CAMERON",,,,,,,"REBOUND DEF by GLOVER,CAMERON",2
06:23,,,,,"FOUL  by SCHNER,MATTHEW",,,"FOUL  by SCHNER,MATTHEW",2
06:21,"GOOD FT by GLOVER,CAMERON(fastbreak)",56,,71 (+15),,BSC 56-71 (-15),,"GOOD FT by GLOVER,CAMERON(fastbreak)",2
