Time Remaining,BSC,Away Team Score,Play Team Indicator,Home Team Score,Lips,Game Score,Team Indicator,Play,Period
20:00,"TURNOVER  by GILLISPIE,JAY",,,,,,,"TURNOVER  by GILLISPIE,JAY",1
20:00,,,,,"STEAL  by HAZEN,PARKER",,,"STEAL  by HAZEN,PARKER",1
19:57,,,,,"TURNOVER  by PRUITT,WILL",,,"TURNOVER  by PRUITT,WILL",1
19:31,"MISS JUMPER by GLOVER,CAMERON",,,,,,,"MISS JUMPER by GLOVER,CAMERON",1
--,,,,,"REBOUND DEF by ASADULLAH,AHSAN",,,"REBOUND DEF by ASADULLAH,AHSAN",1
19:11,,0,,3 (+3),"GOOD 3PTR by HAZEN,PARKER",Lips 0-3 (-3),,"GOOD 3PTR by HAZEN,PARKER",1
--,,,,,"ASSIST  by PRUITT,WILL",,,"ASSIST  by PRUITT,WILL",1
18:49,"MISS 3PTR by FITZGERALD,PAUL",,,,,,,"MISS 3PTR by FITZGERALD,PAUL",1
--,,,,,"REBOUND DEF by PRUITT,WILL",,,"REBOUND DEF by PRUITT,WILL",1
18:28,,,,,"MISS LAYUP by ASADULLAH,AHSAN(in the paint)",,,"MISS LAYUP by ASADULLAH,AHSAN(in the paint)",1
--,"REBOUND DEF by STEWART,CHRISTIAN",,,,,,,"REBOUND DEF by STEWART,CHRISTIAN",1
18:21,"MISS 3PTR by SIGLER,EVAN",,,,,,,"MISS 3PTR by SIGLER,EVAN",1
--,,,,,"REBOUND DEF by HAZEN,PARKER",,,"REBOUND DEF by HAZEN,PARKER",1
18:14,,0,,5 (+5),"GOOD LAYUP by ASADULLAH,AHSAN(fastbreak)(in the paint)",Lips 0-5 (-5),,"GOOD LAYUP by ASADULLAH,AHSAN(fastbreak)(in the paint)",1
--,,,,,"ASSIST  by JOHNSON,KJ",,,"ASSIST  by JOHNSON,KJ",1
17:51,"GOOD JUMPER by GLOVER,CAMERON(in the paint)",2,,5 (+3),,BSC 2-5 (-3),,"GOOD JUMPER by GLOVER,CAMERON(in the paint)",1
17:32,,,,,"MISS 3PTR by JONES,GREG",,,"MISS 3PTR by JONES,GREG",1
--,"REBOUND DEF by GILLISPIE,JAY",,,,,,,"REBOUND DEF by GILLISPIE,JAY",1
17:21,"MISS LAYUP by FITZGERALD,PAUL(in the paint)",,,,,,,"MISS LAYUP by FITZGERALD,PAUL(in the paint)",1
--,,,,,"REBOUND DEF by JONES,GREG",,,"REBOUND DEF by JONES,GREG",1
17:13,,2,,7 (+5),"GOOD LAYUP by ASADULLAH,AHSAN(in the paint)",Lips 2-7 (-5),,"GOOD LAYUP by ASADULLAH,AHSAN(in the paint)",1
--,,,,,"ASSIST  by PRUITT,WILL",,,"ASSIST  by PRUITT,WILL",1
16:57,"GOOD LAYUP by GILLISPIE,JAY(in the paint)",4,,7 (+3),,BSC 4-7 (-3),,"GOOD LAYUP by GILLISPIE,JAY(in the paint)",1
16:40,,,,,"TURNOVER  by HAZEN,PARKER",,,"TURNOVER  by HAZEN,PARKER",1
16:40,"STEAL  by SIGLER,EVAN",,,,,,,"STEAL  by SIGLER,EVAN",1
16:40,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
16:40,,,,,"SUB OUT by ASADULLAH,AHSAN",,,"SUB OUT by ASADULLAH,AHSAN",1
16:40,,,,,"SUB IN by OGNACEVIC,JACOB",,,"SUB IN by OGNACEVIC,JACOB",1
16:40,"SUB OUT by FITZGERALD,PAUL",,,,,,,"SUB OUT by FITZGERALD,PAUL",1
16:40,"SUB OUT by GLOVER,CAMERON",,,,,,,"SUB OUT by GLOVER,CAMERON",1
16:40,"SUB OUT by GILLISPIE,JAY",,,,,,,"SUB OUT by GILLISPIE,JAY",1
16:40,"SUB OUT by STEWART,CHRISTIAN",,,,,,,"SUB OUT by STEWART,CHRISTIAN",1
16:40,"SUB OUT by SIGLER,EVAN",,,,,,,"SUB OUT by SIGLER,EVAN",1
16:40,"SUB IN by KANE,DENMAN",,,,,,,"SUB IN by KANE,DENMAN",1
16:40,"SUB IN by GARRIDO,BRANDAN",,,,,,,"SUB IN by GARRIDO,BRANDAN",1
16:40,"SUB IN by STEPHENS,TROY",,,,,,,"SUB IN by STEPHENS,TROY",1
16:40,"SUB IN by TOULIATOS,LUKE",,,,,,,"SUB IN by TOULIATOS,LUKE",1
16:40,"SUB IN by CHILDERS,JOSH",,,,,,,"SUB IN by CHILDERS,JOSH",1
16:20,"GOOD JUMPER by CHILDERS,JOSH(in the paint)",6,,7 (+1),,BSC 6-7 (-1),,"GOOD JUMPER by CHILDERS,JOSH(in the paint)",1
