Time Remaining,MUW,Away Team Score,Play Team Indicator,Home Team Score,BSC,Game Score,Team Indicator,Play,Period
19:50,"MISS LAYUP by ZERADJANIN,MILOS(in the paint)",,,,,,,"MISS LAYUP by ZERADJANIN,MILOS(in the paint)",1
--,,,,,"REBOUND DEF by STEWART,CHRISTIAN",,,"REBOUND DEF by STEWART,CHRISTIAN",1
19:45,,,,,"MISS 3PTR by SIGLER,EVAN",,,"MISS 3PTR by SIGLER,EVAN",1
--,"REBOUND DEF by ZERADJANIN,MILOS",,,,,,,"REBOUND DEF by ZERADJANIN,MILOS",1
19:18,"GOOD JUMPER by ZERADJANIN,MILOS(in the paint)",2 (+2),,0,,MUW 2-0 (-2),,"GOOD JUMPER by ZERADJANIN,MILOS(in the paint)",1
18:59,,,,,"MISS JUMPER by STEWART,CHRISTIAN(in the paint)",,,"MISS JUMPER by STEWART,CHRISTIAN(in the paint)",1
--,"REBOUND DEF by WRIGHT,SHON",,,,,,,"REBOUND DEF by WRIGHT,SHON",1
18:43,"GOOD LAYUP by WRIGHT,THOMAS(in the paint)",4 (+4),,0,,MUW 4-0 (-4),,"GOOD LAYUP by WRIGHT,THOMAS(in the paint)",1
18:34,"FOUL  by WRIGHT,THOMAS",,,,,,,"FOUL  by WRIGHT,THOMAS",1
18:27,,,,,"MISS JUMPER by STEWART,CHRISTIAN(in the paint)",,,"MISS JUMPER by STEWART,CHRISTIAN(in the paint)",1
--,"REBOUND DEF by HINES,JAQUAN",,,,,,,"REBOUND DEF by HINES,JAQUAN",1
18:13,"GOOD LAYUP by WRIGHT,THOMAS(in the paint)",6 (+6),,0,,MUW 6-0 (-6),,"GOOD LAYUP by WRIGHT,THOMAS(in the paint)",1
--,"ASSIST  by ZERADJANIN,MILOS",,,,,,,"ASSIST  by ZERADJANIN,MILOS",1
18:11,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
18:01,"FOUL  by HINES,JAQUAN",,,,,,,"FOUL  by HINES,JAQUAN",1
18:01,,6 (+5),,1,"GOOD FT by STEWART,CHRISTIAN",BSC 6-1 (-5),,"GOOD FT by STEWART,CHRISTIAN",1
18:01,,6 (+4),,2,"GOOD FT by STEWART,CHRISTIAN",BSC 6-2 (-4),,"GOOD FT by STEWART,CHRISTIAN",1
17:51,"GOOD LAYUP by WRIGHT,THOMAS(in the paint)",8 (+6),,2,,MUW 8-2 (-6),,"GOOD LAYUP by WRIGHT,THOMAS(in the paint)",1
--,"ASSIST  by THOMAS,TERRYONTE",,,,,,,"ASSIST  by THOMAS,TERRYONTE",1
17:31,,,,,"MISS JUMPER by STEWART,CHRISTIAN(in the paint)",,,"MISS JUMPER by STEWART,CHRISTIAN(in the paint)",1
--,,,,,"REBOUND OFF by SIGLER,EVAN",,,"REBOUND OFF by SIGLER,EVAN",1
17:20,,8 (+4),,4,"GOOD JUMPER by GILLISPIE,JAY(in the paint)",BSC 8-4 (-4),,"GOOD JUMPER by GILLISPIE,JAY(in the paint)",1
