Time Remaining,BSC,Away Team Score,Play Team Indicator,Home Team Score,Rhodes,Game Score,Team Indicator,Play,Period
19:46,,,,,"FOUL  by JAMES,MAC",,,"FOUL  by JAMES,MAC",1
19:28,"TURNOVER  by FITZGERALD,PAUL",,,,,,,"TURNOVER  by FITZGERALD,PAUL",1
19:00,,,,,"MISS JUMPER by WILEY,KOKI",,,"MISS JUMPER by WILEY,KOKI",1
19:00,"BLOCK  by FITZGERALD,PAUL",,,,,,,"BLOCK  by FITZGERALD,PAUL",1
--,"REBOUND DEF by STEWART,CHRISTIAN",,,,,,,"REBOUND DEF by STEWART,CHRISTIAN",1
18:48,"MISS LAYUP by GLOVER,CAMERON(in the paint)",,,,,,,"MISS LAYUP by GLOVER,CAMERON(in the paint)",1
--,"REBOUND OFF by GLOVER,CAMERON",,,,,,,"REBOUND OFF by GLOVER,CAMERON",1
18:44,"GOOD LAYUP by GLOVER,CAMERON(in the paint)",2 (+2),,0,,BSC 2-0 (+2),,"GOOD LAYUP by GLOVER,CAMERON(in the paint)",1
18:31,,,,,"MISS 3PTR by ESSICK,JALEN",,,"MISS 3PTR by ESSICK,JALEN",1
--,"REBOUND DEF by GLOVER,CAMERON",,,,,,,"REBOUND DEF by GLOVER,CAMERON",1
18:19,"TURNOVER  by FITZGERALD,PAUL",,,,,,,"TURNOVER  by FITZGERALD,PAUL",1
18:08,,,,,TURNOVER  by TEAM,,,TURNOVER  by TEAM,1
17:53,"MISS LAYUP by STEWART,CHRISTIAN(in the paint)",,,,,,,"MISS LAYUP by STEWART,CHRISTIAN(in the paint)",1
17:53,,,,,"BLOCK  by ESSICK,JALEN",,,"BLOCK  by ESSICK,JALEN",1
--,,,,,"REBOUND DEF by GEORGETOWN II,ARNESS",,,"REBOUND DEF by GEORGETOWN II,ARNESS",1
17:46,,,,,"MISS LAYUP by JAMES,MAC(in the paint)",,,"MISS LAYUP by JAMES,MAC(in the paint)",1
--,"REBOUND DEF by STEWART,CHRISTIAN",,,,,,,"REBOUND DEF by STEWART,CHRISTIAN",1
17:33,"TURNOVER  by GILLISPIE,JAY",,,,,,,"TURNOVER  by GILLISPIE,JAY",1
17:33,,,,,"STEAL  by SHEN,KEVIN",,,"STEAL  by SHEN,KEVIN",1
17:11,,2,,3 (+1),"GOOD 3PTR by WILEY,KOKI",Rhodes 2-3 (-1),,"GOOD 3PTR by WILEY,KOKI",1
--,,,,,"ASSIST  by ESSICK,JALEN",,,"ASSIST  by ESSICK,JALEN",1
16:54,"TURNOVER  by GILLISPIE,JAY",,,,,,,"TURNOVER  by GILLISPIE,JAY",1
16:54,"SUB OUT by FITZGERALD,PAUL",,,,,,,"SUB OUT by FITZGERALD,PAUL",1
16:54,"SUB IN by STEPHENS,TROY",,,,,,,"SUB IN by STEPHENS,TROY",1
16:33,,2,,5 (+3),"GOOD LAYUP by SHEN,KEVIN(in the paint)",Rhodes 2-5 (-3),,"GOOD LAYUP by SHEN,KEVIN(in the paint)",1
16:18,"GOOD 3PTR by SIGLER,EVAN",5,,5,,BSC 5-5 (0),,"GOOD 3PTR by SIGLER,EVAN",1
15:55,,,,,"TURNOVER  by JAMES,MAC",,,"TURNOVER  by JAMES,MAC",1
15:55,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
15:55,"SUB OUT by STEWART,CHRISTIAN",,,,,,,"SUB OUT by STEWART,CHRISTIAN",1
15:55,"SUB IN by CHILDERS,JOSH",,,,,,,"SUB IN by CHILDERS,JOSH",1
15:54,"TURNOVER  by GILLISPIE,JAY",,,,,,,"TURNOVER  by GILLISPIE,JAY",1
15:35,,5,,7 (+2),"GOOD LAYUP by SHEN,KEVIN(in the paint)",Rhodes 5-7 (-2),,"GOOD LAYUP by SHEN,KEVIN(in the paint)",1
15:29,"GOOD DUNK by CHILDERS,JOSH(fastbreak)(in the paint)",7,,7,,BSC 7-7 (0),,"GOOD DUNK by CHILDERS,JOSH(fastbreak)(in the paint)",1
--,"ASSIST  by SIGLER,EVAN",,,,,,,"ASSIST  by SIGLER,EVAN",1
15:22,"FOUL  by STEPHENS,TROY",,,,,,,"FOUL  by STEPHENS,TROY",1
14:57,,,,,"MISS LAYUP by WILEY,KOKI(in the paint)",,,"MISS LAYUP by WILEY,KOKI(in the paint)",1
--,"REBOUND DEF by SIGLER,EVAN",,,,,,,"REBOUND DEF by SIGLER,EVAN",1
14:43,"MISS JUMPER by GILLISPIE,JAY(in the paint)",,,,,,,"MISS JUMPER by GILLISPIE,JAY(in the paint)",1
--,,,,,"REBOUND DEF by WILEY,KOKI",,,"REBOUND DEF by WILEY,KOKI",1
14:19,,,,,"TURNOVER  by ESSICK,JALEN",,,"TURNOVER  by ESSICK,JALEN",1
14:19,"STEAL  by GILLISPIE,JAY",,,,,,,"STEAL  by GILLISPIE,JAY",1
14:12,"MISS LAYUP by STEPHENS,TROY(in the paint)",,,,,,,"MISS LAYUP by STEPHENS,TROY(in the paint)",1
--,,,,,"REBOUND DEF by GEORGETOWN II,ARNESS",,,"REBOUND DEF by GEORGETOWN II,ARNESS",1
13:54,"FOUL  by STEPHENS,TROY",,,,,,,"FOUL  by STEPHENS,TROY",1
13:54,"SUB OUT by GLOVER,CAMERON",,,,,,,"SUB OUT by GLOVER,CAMERON",1
13:54,"SUB OUT by GILLISPIE,JAY",,,,,,,"SUB OUT by GILLISPIE,JAY",1
13:54,"SUB OUT by STEPHENS,TROY",,,,,,,"SUB OUT by STEPHENS,TROY",1
13:54,"SUB IN by FITZGERALD,PAUL",,,,,,,"SUB IN by FITZGERALD,PAUL",1
13:54,"SUB IN by GARRIDO,BRANDAN",,,,,,,"SUB IN by GARRIDO,BRANDAN",1
13:54,"SUB IN by TOULIATOS,LUKE",,,,,,,"SUB IN by TOULIATOS,LUKE",1
13:41,,7,,9 (+2),"GOOD JUMPER by GEORGETOWN II,ARNESS",Rhodes 7-9 (-2),,"GOOD JUMPER by GEORGETOWN II,ARNESS",1
--,,,,,"ASSIST  by JAMES,MAC",,,"ASSIST  by JAMES,MAC",1
13:32,"MISS 3PTR by SIGLER,EVAN",,,,,,,"MISS 3PTR by SIGLER,EVAN",1
--,,,,,"REBOUND DEF by SHEN,KEVIN",,,"REBOUND DEF by SHEN,KEVIN",1
13:26,,7,,11 (+4),"GOOD LAYUP by SHEN,KEVIN(fastbreak)(in the paint)",Rhodes 7-11 (-4),,"GOOD LAYUP by SHEN,KEVIN(fastbreak)(in the paint)",1
13:10,"GOOD LAYUP by GARRIDO,BRANDAN(in the paint)",9,,11 (+2),,BSC 9-11 (-2),,"GOOD LAYUP by GARRIDO,BRANDAN(in the paint)",1
--,"ASSIST  by CHILDERS,JOSH",,,,,,,"ASSIST  by CHILDERS,JOSH",1
12:58,"SUB OUT by SIGLER,EVAN",,,,,,,"SUB OUT by SIGLER,EVAN",1
12:58,"SUB IN by KANE,DENMAN",,,,,,,"SUB IN by KANE,DENMAN",1
12:40,,,,,"MISS JUMPER by GEORGETOWN II,ARNESS(in the paint)",,,"MISS JUMPER by GEORGETOWN II,ARNESS(in the paint)",1
