Time Remaining,BIRMINGH,Away Team Score,Play Team Indicator,Home Team Score,TREVECCA,Game Score,Team Indicator,Play,Period
19:51,,,,,"MISS JUMPER by NEWTON,BRENDAN",,,"MISS JUMPER by NEWTON,BRENDAN",1
--,"REBOUND DEF by FITZGERALD,PAUL",,,,,,,"REBOUND DEF by FITZGERALD,PAUL",1
19:36,"MISS LAYUP by STEWART,CHRISTIAN",,,,,,,"MISS LAYUP by STEWART,CHRISTIAN",1
--,"REBOUND OFF by GILLISPIE,JAY",,,,,,,"REBOUND OFF by GILLISPIE,JAY",1
19:32,"GOOD JUMPER by GLOVER,CAMERON",2 (+2),,0,,BIRMINGH 2-0 (+2),,"GOOD JUMPER by GLOVER,CAMERON",1
19:32,,,,,"TURNOVER  by ROGERS,CHRIS",,,"TURNOVER  by ROGERS,CHRIS",1
19:32,"STEAL  by GILLISPIE,JAY",,,,,,,"STEAL  by GILLISPIE,JAY",1
19:32,"TURNOVER  by FITZGERALD,PAUL",,,,,,,"TURNOVER  by FITZGERALD,PAUL",1
19:16,"FOUL  by FITZGERALD,PAUL",,,,,,,"FOUL  by FITZGERALD,PAUL",1
19:02,,,,,"TURNOVER  by ROGERS,CHRIS",,,"TURNOVER  by ROGERS,CHRIS",1
18:59,"GOOD JUMPER by GLOVER,CAMERON(in the paint)",4 (+4),,0,,BIRMINGH 4-0 (+4),,"GOOD JUMPER by GLOVER,CAMERON(in the paint)",1
18:38,,4 (+2),,2,"GOOD JUMPER by PRICE,JOSH(in the paint)",TREVECCA 4-2 (+2),,"GOOD JUMPER by PRICE,JOSH(in the paint)",1
18:25,"GOOD JUMPER by STEWART,CHRISTIAN(in the paint)",6 (+4),,2,,BIRMINGH 6-2 (+4),,"GOOD JUMPER by STEWART,CHRISTIAN(in the paint)",1
18:06,,,,,"MISS JUMPER by PRICE,JOSH",,,"MISS JUMPER by PRICE,JOSH",1
--,"REBOUND DEF by FITZGERALD,PAUL",,,,,,,"REBOUND DEF by FITZGERALD,PAUL",1
17:57,"GOOD 3PTR by SIGLER,EVAN",9 (+7),,2,,BIRMINGH 9-2 (+7),,"GOOD 3PTR by SIGLER,EVAN",1
--,"ASSIST  by GLOVER,CAMERON",,,,,,,"ASSIST  by GLOVER,CAMERON",1
17:54,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
17:33,,,,,"MISS 3PTR by THARPE,JAYLON",,,"MISS 3PTR by THARPE,JAYLON",1
--,"REBOUND DEF by GLOVER,CAMERON",,,,,,,"REBOUND DEF by GLOVER,CAMERON",1
17:25,"GOOD LAYUP by STEWART,CHRISTIAN(in the paint)",11 (+9),,2,,BIRMINGH 11-2 (+9),,"GOOD LAYUP by STEWART,CHRISTIAN(in the paint)",1
17:21,,,,,"FOUL  by PRICE,JOSH",,,"FOUL  by PRICE,JOSH",1
17:21,,,,,"SUB IN by WILLIAMS,MIGUEL",,,"SUB IN by WILLIAMS,MIGUEL",1
17:21,,,,,"SUB OUT by ROGERS,CHRIS",,,"SUB OUT by ROGERS,CHRIS",1
17:11,"MISS LAYUP by STEWART,CHRISTIAN",,,,,,,"MISS LAYUP by STEWART,CHRISTIAN",1
--,"REBOUND OFF by FITZGERALD,PAUL",,,,,,,"REBOUND OFF by FITZGERALD,PAUL",1
