Time Remaining,BSC,Away Team Score,Play Team Indicator,Home Team Score,TrinTX,Game Score,Team Indicator,Play,Period
17:18,"MISS 3PTR by KANE,DENMAN",,,,,,,"MISS 3PTR by KANE,DENMAN",1
--,"REBOUND OFF by STEWART,CHRISTIAN",,,,,,,"REBOUND OFF by STEWART,CHRISTIAN",1
17:12,"GOOD LAYUP by STEWART,CHRISTIAN(in the paint)",4,,4,,BSC 4-4 (0),,"GOOD LAYUP by STEWART,CHRISTIAN(in the paint)",1
17:03,,4,,7 (+3),"GOOD 3PTR by BROWN,TANNER",TrinTX 4-7 (-3),,"GOOD 3PTR by BROWN,TANNER",1
--,,,,,"ASSIST  by CLARK,A.J.",,,"ASSIST  by CLARK,A.J.",1
16:40,"FOUL  by KANE,DENMAN",,,,,,,"FOUL  by KANE,DENMAN",1
16:40,"TURNOVER  by KANE,DENMAN",,,,,,,"TURNOVER  by KANE,DENMAN",1
16:40,"SUB OUT by KANE,DENMAN",,,,,,,"SUB OUT by KANE,DENMAN",1
16:40,"SUB OUT by GILLISPIE,JAY",,,,,,,"SUB OUT by GILLISPIE,JAY",1
16:40,"SUB OUT by SIGLER,EVAN",,,,,,,"SUB OUT by SIGLER,EVAN",1
16:40,"SUB IN by FITZGERALD,PAUL",,,,,,,"SUB IN by FITZGERALD,PAUL",1
16:40,"SUB IN by WILLIAMS,JU'QUAN",,,,,,,"SUB IN by WILLIAMS,JU'QUAN",1
16:40,"SUB IN by SPENCE,SAM",,,,,,,"SUB IN by SPENCE,SAM",1
16:14,,4,,9 (+5),"GOOD LAYUP by SECHI,ENZO(in the paint)",TrinTX 4-9 (-5),,"GOOD LAYUP by SECHI,ENZO(in the paint)",1
--,,,,,"ASSIST  by JENKINS,KALEB",,,"ASSIST  by JENKINS,KALEB",1
16:08,"MISS 3PTR by WILLIAMS,JU'QUAN",,,,,,,"MISS 3PTR by WILLIAMS,JU'QUAN",1
16:08,,,,,"BLOCK  by CLARK,A.J.",,,"BLOCK  by CLARK,A.J.",1
--,,,,,"REBOUND DEF by BROWN,TANNER",,,"REBOUND DEF by BROWN,TANNER",1
15:56,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
15:56,"SUB OUT by GLOVER,CAMERON",,,,,,,"SUB OUT by GLOVER,CAMERON",1
15:56,"SUB OUT by STEWART,CHRISTIAN",,,,,,,"SUB OUT by STEWART,CHRISTIAN",1
15:56,"SUB IN by GREEN,KALEB",,,,,,,"SUB IN by GREEN,KALEB",1
15:56,"SUB IN by DAVIS,BRODY",,,,,,,"SUB IN by DAVIS,BRODY",1
15:56,,,,,"MISS JUMPER by CLARK,A.J.(in the paint)",,,"MISS JUMPER by CLARK,A.J.(in the paint)",1
--,"REBOUND DEF by DAVIS,BRODY",,,,,,,"REBOUND DEF by DAVIS,BRODY",1
15:56,"GOOD 3PTR by GREEN,KALEB",7,,9 (+2),,BSC 7-9 (-2),,"GOOD 3PTR by GREEN,KALEB",1
--,"ASSIST  by WILLIAMS,JU'QUAN",,,,,,,"ASSIST  by WILLIAMS,JU'QUAN",1
15:23,"FOUL  by GREEN,KALEB",,,,,,,"FOUL  by GREEN,KALEB",1
15:16,,,,,"MISS 3PTR by SECHI,ENZO",,,"MISS 3PTR by SECHI,ENZO",1
--,"REBOUND DEF by SPENCE,SAM",,,,,,,"REBOUND DEF by SPENCE,SAM",1
15:01,"MISS 3PTR by WILLIAMS,JU'QUAN",,,,,,,"MISS 3PTR by WILLIAMS,JU'QUAN",1
--,,,,,"REBOUND DEF by HANLEY,BEN",,,"REBOUND DEF by HANLEY,BEN",1
14:57,"FOUL  by SPENCE,SAM",,,,,,,"FOUL  by SPENCE,SAM",1
14:51,,,,,"MISS LAYUP by SECHI,ENZO(in the paint)",,,"MISS LAYUP by SECHI,ENZO(in the paint)",1
--,,,,,"REBOUND OFF by SECHI,ENZO",,,"REBOUND OFF by SECHI,ENZO",1
14:46,,7,,11 (+4),"GOOD LAYUP by SECHI,ENZO(in the paint)",TrinTX 7-11 (-4),,"GOOD LAYUP by SECHI,ENZO(in the paint)",1
14:27,"MISS JUMPER by DAVIS,BRODY(in the paint)",,,,,,,"MISS JUMPER by DAVIS,BRODY(in the paint)",1
--,,,,,"REBOUND DEF by SECHI,ENZO",,,"REBOUND DEF by SECHI,ENZO",1
14:23,,,,,"TURNOVER  by SECHI,ENZO",,,"TURNOVER  by SECHI,ENZO",1
14:23,"SUB OUT by DAVIS,BRODY",,,,,,,"SUB OUT by DAVIS,BRODY",1
14:23,"SUB IN by CHILDERS,JOSH",,,,,,,"SUB IN by CHILDERS,JOSH",1
14:14,"TURNOVER  by WILLIAMS,JU'QUAN",,,,,,,"TURNOVER  by WILLIAMS,JU'QUAN",1
14:14,,,,,"STEAL  by CLARK,A.J.",,,"STEAL  by CLARK,A.J.",1
14:01,,7,,14 (+7),"GOOD 3PTR by JENKINS,KALEB",TrinTX 7-14 (-7),,"GOOD 3PTR by JENKINS,KALEB",1
13:45,"MISS LAYUP by CHILDERS,JOSH(in the paint)",,,,,,,"MISS LAYUP by CHILDERS,JOSH(in the paint)",1
--,,,,,"REBOUND DEF by CLARK,A.J.",,,"REBOUND DEF by CLARK,A.J.",1
13:39,,7,,16 (+9),"GOOD LAYUP by BROWN,TANNER(fastbreak)(in the paint)",TrinTX 7-16 (-9),,"GOOD LAYUP by BROWN,TANNER(fastbreak)(in the paint)",1
--,,,,,"ASSIST  by CLARK,A.J.",,,"ASSIST  by CLARK,A.J.",1
13:38,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
13:38,"SUB OUT by FITZGERALD,PAUL",,,,,,,"SUB OUT by FITZGERALD,PAUL",1
13:38,"SUB OUT by WILLIAMS,JU'QUAN",,,,,,,"SUB OUT by WILLIAMS,JU'QUAN",1
13:38,"SUB OUT by GREEN,KALEB",,,,,,,"SUB OUT by GREEN,KALEB",1
13:38,"SUB OUT by SPENCE,SAM",,,,,,,"SUB OUT by SPENCE,SAM",1
13:38,"SUB IN by KANE,DENMAN",,,,,,,"SUB IN by KANE,DENMAN",1
13:38,"SUB IN by GARRIDO,BRANDAN",,,,,,,"SUB IN by GARRIDO,BRANDAN",1
13:38,"SUB IN by TOULIATOS,LUKE",,,,,,,"SUB IN by TOULIATOS,LUKE",1
13:38,"SUB IN by SIGLER,EVAN",,,,,,,"SUB IN by SIGLER,EVAN",1
13:19,"MISS JUMPER by GARRIDO,BRANDAN",,,,,,,"MISS JUMPER by GARRIDO,BRANDAN",1
--,,,,,"REBOUND DEF by CLARK,A.J.",,,"REBOUND DEF by CLARK,A.J.",1
13:06,,,,,"MISS JUMPER by SECHI,ENZO",,,"MISS JUMPER by SECHI,ENZO",1
--,"REBOUND DEF by SIGLER,EVAN",,,,,,,"REBOUND DEF by SIGLER,EVAN",1
12:59,"MISS 3PTR by TOULIATOS,LUKE",,,,,,,"MISS 3PTR by TOULIATOS,LUKE",1
--,"REBOUND OFF by GARRIDO,BRANDAN",,,,,,,"REBOUND OFF by GARRIDO,BRANDAN",1
12:53,"MISS 3PTR by KANE,DENMAN",,,,,,,"MISS 3PTR by KANE,DENMAN",1
--,,,,,"REBOUND DEF by BROWN,TANNER",,,"REBOUND DEF by BROWN,TANNER",1
12:47,,,,,"MISS 3PTR by CLARK,A.J.",,,"MISS 3PTR by CLARK,A.J.",1
--,,,,,"REBOUND OFF by BROWN,TANNER",,,"REBOUND OFF by BROWN,TANNER",1
12:43,,7,,18 (+11),"GOOD LAYUP by BROWN,TANNER(in the paint)",TrinTX 7-18 (-11),,"GOOD LAYUP by BROWN,TANNER(in the paint)",1
12:43,"FOUL  by CHILDERS,JOSH",,,,,,,"FOUL  by CHILDERS,JOSH",1
12:43,,7,,19 (+12),"GOOD FT by BROWN,TANNER",TrinTX 7-19 (-12),,"GOOD FT by BROWN,TANNER",1
12:22,,,,,"FOUL  by JENKINS,KALEB",,,"FOUL  by JENKINS,KALEB",1
12:22,,,,,"SUB OUT by SECHI,ENZO",,,"SUB OUT by SECHI,ENZO",1
12:22,,,,,"SUB OUT by HANLEY,BEN",,,"SUB OUT by HANLEY,BEN",1
12:22,,,,,"SUB OUT by JENKINS,KALEB",,,"SUB OUT by JENKINS,KALEB",1
12:22,,,,,"SUB OUT by BROWN,TANNER",,,"SUB OUT by BROWN,TANNER",1
12:22,,,,,"SUB OUT by CLARK,A.J.",,,"SUB OUT by CLARK,A.J.",1
12:22,,,,,"SUB IN by OWENS,ASHTON",,,"SUB IN by OWENS,ASHTON",1
12:22,,,,,"SUB IN by HARVEY,JACOB",,,"SUB IN by HARVEY,JACOB",1
12:22,,,,,"SUB IN by LEVINE,GRIFFIN",,,"SUB IN by LEVINE,GRIFFIN",1
12:22,,,,,"SUB IN by NICKELL,DAVID",,,"SUB IN by NICKELL,DAVID",1
12:22,,,,,"SUB IN by ROBERTS,ABDULLAH",,,"SUB IN by ROBERTS,ABDULLAH",1
12:04,,,,,"FOUL  by OWENS,ASHTON",,,"FOUL  by OWENS,ASHTON",1
11:53,,,,,"FOUL  by NICKELL,DAVID",,,"FOUL  by NICKELL,DAVID",1
11:53,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
11:53,"SUB OUT by GARRIDO,BRANDAN",,,,,,,"SUB OUT by GARRIDO,BRANDAN",1
11:53,"SUB OUT by CHILDERS,JOSH",,,,,,,"SUB OUT by CHILDERS,JOSH",1
11:53,"SUB IN by GLOVER,CAMERON",,,,,,,"SUB IN by GLOVER,CAMERON",1
11:53,"SUB IN by STEWART,CHRISTIAN",,,,,,,"SUB IN by STEWART,CHRISTIAN",1
11:50,"TURNOVER  by GLOVER,CAMERON",,,,,,,"TURNOVER  by GLOVER,CAMERON",1
11:45,,,,,"MISS LAYUP by HARVEY,JACOB(in the paint)",,,"MISS LAYUP by HARVEY,JACOB(in the paint)",1
--,,,,,"REBOUND OFF by ROBERTS,ABDULLAH",,,"REBOUND OFF by ROBERTS,ABDULLAH",1
11:42,,,,,"MISS LAYUP by ROBERTS,ABDULLAH(in the paint)",,,"MISS LAYUP by ROBERTS,ABDULLAH(in the paint)",1
--,,,,,"REBOUND OFF by LEVINE,GRIFFIN",,,"REBOUND OFF by LEVINE,GRIFFIN",1
11:39,,7,,22 (+15),"GOOD 3PTR by ROBERTS,ABDULLAH",TrinTX 7-22 (-15),,"GOOD 3PTR by ROBERTS,ABDULLAH",1
--,,,,,"ASSIST  by LEVINE,GRIFFIN",,,"ASSIST  by LEVINE,GRIFFIN",1
11:21,"GOOD JUMPER by TOULIATOS,LUKE(in the paint)",9,,22 (+13),,BSC 9-22 (-13),,"GOOD JUMPER by TOULIATOS,LUKE(in the paint)",1
11:06,,9,,24 (+15),"GOOD JUMPER by NICKELL,DAVID",TrinTX 9-24 (-15),,"GOOD JUMPER by NICKELL,DAVID",1
--,,,,,"ASSIST  by HARVEY,JACOB",,,"ASSIST  by HARVEY,JACOB",1
10:48,"GOOD LAYUP by TOULIATOS,LUKE(in the paint)",11,,24 (+13),,BSC 11-24 (-13),,"GOOD LAYUP by TOULIATOS,LUKE(in the paint)",1
10:23,,,,,"MISS 3PTR by LEVINE,GRIFFIN",,,"MISS 3PTR by LEVINE,GRIFFIN",1
--,"REBOUND DEF by SIGLER,EVAN",,,,,,,"REBOUND DEF by SIGLER,EVAN",1
10:14,,,,,"FOUL  by NICKELL,DAVID",,,"FOUL  by NICKELL,DAVID",1
10:14,"GOOD FT by STEWART,CHRISTIAN",12,,24 (+12),,BSC 12-24 (-12),,"GOOD FT by STEWART,CHRISTIAN",1
10:14,"SUB OUT by SIGLER,EVAN",,,,,,,"SUB OUT by SIGLER,EVAN",1
10:14,"SUB IN by GLOVER,COLIN",,,,,,,"SUB IN by GLOVER,COLIN",1
10:14,"MISS FT by STEWART,CHRISTIAN",,,,,,,"MISS FT by STEWART,CHRISTIAN",1
--,,,,,"REBOUND DEF by NICKELL,DAVID",,,"REBOUND DEF by NICKELL,DAVID",1
10:06,"FOUL  by STEWART,CHRISTIAN",,,,,,,"FOUL  by STEWART,CHRISTIAN",1
10:06,,12,,25 (+13),"GOOD FT by HARVEY,JACOB(fastbreak)",TrinTX 12-25 (-13),,"GOOD FT by HARVEY,JACOB(fastbreak)",1
10:06,,12,,26 (+14),"GOOD FT by HARVEY,JACOB(fastbreak)",TrinTX 12-26 (-14),,"GOOD FT by HARVEY,JACOB(fastbreak)",1
09:51,"MISS 3PTR by KANE,DENMAN",,,,,,,"MISS 3PTR by KANE,DENMAN",1
--,"REBOUND OFF by STEWART,CHRISTIAN",,,,,,,"REBOUND OFF by STEWART,CHRISTIAN",1
09:46,"GOOD LAYUP by STEWART,CHRISTIAN(in the paint)",14,,26 (+12),,BSC 14-26 (-12),,"GOOD LAYUP by STEWART,CHRISTIAN(in the paint)",1
09:39,,14,,29 (+15),"GOOD 3PTR by HARVEY,JACOB",TrinTX 14-29 (-15),,"GOOD 3PTR by HARVEY,JACOB",1
--,,,,,"ASSIST  by NICKELL,DAVID",,,"ASSIST  by NICKELL,DAVID",1
09:21,"GOOD JUMPER by TOULIATOS,LUKE(in the paint)",16,,29 (+13),,BSC 16-29 (-13),,"GOOD JUMPER by TOULIATOS,LUKE(in the paint)",1
--,"ASSIST  by GLOVER,COLIN",,,,,,,"ASSIST  by GLOVER,COLIN",1
09:15,,,,,"TURNOVER  by LEVINE,GRIFFIN",,,"TURNOVER  by LEVINE,GRIFFIN",1
09:15,"STEAL  by STEWART,CHRISTIAN",,,,,,,"STEAL  by STEWART,CHRISTIAN",1
09:08,"SUB OUT by KANE,DENMAN",,,,,,,"SUB OUT by KANE,DENMAN",1
09:08,"SUB OUT by GLOVER,CAMERON",,,,,,,"SUB OUT by GLOVER,CAMERON",1
09:08,"SUB IN by WILLIAMS,JU'QUAN",,,,,,,"SUB IN by WILLIAMS,JU'QUAN",1
09:08,"SUB IN by GREEN,KALEB",,,,,,,"SUB IN by GREEN,KALEB",1
09:08,"GOOD LAYUP by STEWART,CHRISTIAN(in the paint)",18,,29 (+11),,BSC 18-29 (-11),,"GOOD LAYUP by STEWART,CHRISTIAN(in the paint)",1
09:01,,,,,"MISS LAYUP by NICKELL,DAVID(in the paint)",,,"MISS LAYUP by NICKELL,DAVID(in the paint)",1
--,"REBOUND DEF by STEWART,CHRISTIAN",,,,,,,"REBOUND DEF by STEWART,CHRISTIAN",1
08:44,"MISS JUMPER by GLOVER,COLIN(in the paint)",,,,,,,"MISS JUMPER by GLOVER,COLIN(in the paint)",1
--,,,,,"REBOUND DEF by NICKELL,DAVID",,,"REBOUND DEF by NICKELL,DAVID",1
08:37,,,,,"MISS LAYUP by ROBERTS,ABDULLAH(in the paint)",,,"MISS LAYUP by ROBERTS,ABDULLAH(in the paint)",1
--,"REBOUND DEF by STEWART,CHRISTIAN",,,,,,,"REBOUND DEF by STEWART,CHRISTIAN",1
08:26,"TURNOVER  by WILLIAMS,JU'QUAN",,,,,,,"TURNOVER  by WILLIAMS,JU'QUAN",1
08:26,,,,,"STEAL  by LEVINE,GRIFFIN",,,"STEAL  by LEVINE,GRIFFIN",1
08:26,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
08:26,,,,,"SUB OUT by LEVINE,GRIFFIN",,,"SUB OUT by LEVINE,GRIFFIN",1
08:26,,,,,"SUB IN by CLARK,A.J.",,,"SUB IN by CLARK,A.J.",1
08:26,"SUB OUT by TOULIATOS,LUKE",,,,,,,"SUB OUT by TOULIATOS,LUKE",1
08:26,"SUB IN by GILLISPIE,JAY",,,,,,,"SUB IN by GILLISPIE,JAY",1
08:17,"FOUL  by GILLISPIE,JAY",,,,,,,"FOUL  by GILLISPIE,JAY",1
08:03,,18,,31 (+13),"GOOD LAYUP by CLARK,A.J.(in the paint)",TrinTX 18-31 (-13),,"GOOD LAYUP by CLARK,A.J.(in the paint)",1
07:45,,,,,"FOUL  by CLARK,A.J.",,,"FOUL  by CLARK,A.J.",1
07:45,"MISS FT by GILLISPIE,JAY",,,,,,,"MISS FT by GILLISPIE,JAY",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
07:45,,,,,"SUB OUT by OWENS,ASHTON",,,"SUB OUT by OWENS,ASHTON",1
07:45,,,,,"SUB IN by BROWN,TANNER",,,"SUB IN by BROWN,TANNER",1
07:45,"SUB OUT by WILLIAMS,JU'QUAN",,,,,,,"SUB OUT by WILLIAMS,JU'QUAN",1
07:45,"SUB OUT by STEWART,CHRISTIAN",,,,,,,"SUB OUT by STEWART,CHRISTIAN",1
07:45,"SUB IN by JACKSON,MARTISE",,,,,,,"SUB IN by JACKSON,MARTISE",1
07:45,"SUB IN by CHILDERS,JOSH",,,,,,,"SUB IN by CHILDERS,JOSH",1
07:45,"MISS FT by GILLISPIE,JAY",,,,,,,"MISS FT by GILLISPIE,JAY",1
--,,,,,"REBOUND DEF by NICKELL,DAVID",,,"REBOUND DEF by NICKELL,DAVID",1
07:40,,,,,"MISS 3PTR by BROWN,TANNER",,,"MISS 3PTR by BROWN,TANNER",1
--,"REBOUND DEF by GILLISPIE,JAY",,,,,,,"REBOUND DEF by GILLISPIE,JAY",1
07:29,"MISS 3PTR by GREEN,KALEB",,,,,,,"MISS 3PTR by GREEN,KALEB",1
--,"REBOUND OFF by GILLISPIE,JAY",,,,,,,"REBOUND OFF by GILLISPIE,JAY",1
07:23,,,,,"FOUL  by NICKELL,DAVID",,,"FOUL  by NICKELL,DAVID",1
07:23,"GOOD FT by GILLISPIE,JAY",19,,31 (+12),,BSC 19-31 (-12),,"GOOD FT by GILLISPIE,JAY",1
07:23,,,,,"SUB OUT by NICKELL,DAVID",,,"SUB OUT by NICKELL,DAVID",1
07:23,,,,,"SUB IN by SECHI,ENZO",,,"SUB IN by SECHI,ENZO",1
07:23,"MISS FT by GILLISPIE,JAY",,,,,,,"MISS FT by GILLISPIE,JAY",1
--,,,,,"REBOUND DEF by BROWN,TANNER",,,"REBOUND DEF by BROWN,TANNER",1
07:16,"FOUL  by GILLISPIE,JAY",,,,,,,"FOUL  by GILLISPIE,JAY",1
07:16,,,,,"MISS FT by ROBERTS,ABDULLAH(fastbreak)",,,"MISS FT by ROBERTS,ABDULLAH(fastbreak)",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
07:16,,19,,32 (+13),"GOOD FT by ROBERTS,ABDULLAH(fastbreak)",TrinTX 19-32 (-13),,"GOOD FT by ROBERTS,ABDULLAH(fastbreak)",1
06:52,"MISS JUMPER by GLOVER,COLIN",,,,,,,"MISS JUMPER by GLOVER,COLIN",1
--,"REBOUND OFF by JACKSON,MARTISE",,,,,,,"REBOUND OFF by JACKSON,MARTISE",1
06:39,"MISS JUMPER by CHILDERS,JOSH",,,,,,,"MISS JUMPER by CHILDERS,JOSH",1
--,"REBOUND OFF by CHILDERS,JOSH",,,,,,,"REBOUND OFF by CHILDERS,JOSH",1
06:36,"FOUL  by CHILDERS,JOSH",,,,,,,"FOUL  by CHILDERS,JOSH",1
06:36,"TURNOVER  by CHILDERS,JOSH",,,,,,,"TURNOVER  by CHILDERS,JOSH",1
06:36,,,,,"SUB OUT by HARVEY,JACOB",,,"SUB OUT by HARVEY,JACOB",1
06:36,,,,,"SUB OUT by ROBERTS,ABDULLAH",,,"SUB OUT by ROBERTS,ABDULLAH",1
06:36,,,,,"SUB IN by JENKINS,KALEB",,,"SUB IN by JENKINS,KALEB",1
06:36,,,,,"SUB IN by WILLIAMS,JACK",,,"SUB IN by WILLIAMS,JACK",1
06:29,,19,,34 (+15),"GOOD LAYUP by SECHI,ENZO(in the paint)",TrinTX 19-34 (-15),,"GOOD LAYUP by SECHI,ENZO(in the paint)",1
--,,,,,"ASSIST  by BROWN,TANNER",,,"ASSIST  by BROWN,TANNER",1
06:15,"GOOD 3PTR by GREEN,KALEB",22,,34 (+12),,BSC 22-34 (-12),,"GOOD 3PTR by GREEN,KALEB",1
--,"ASSIST  by CHILDERS,JOSH",,,,,,,"ASSIST  by CHILDERS,JOSH",1
06:01,,,,,"MISS JUMPER by JENKINS,KALEB(in the paint)",,,"MISS JUMPER by JENKINS,KALEB(in the paint)",1
--,"REBOUND DEF by CHILDERS,JOSH",,,,,,,"REBOUND DEF by CHILDERS,JOSH",1
05:48,"SUB OUT by GILLISPIE,JAY",,,,,,,"SUB OUT by GILLISPIE,JAY",1
05:48,"SUB OUT by GREEN,KALEB",,,,,,,"SUB OUT by GREEN,KALEB",1
05:48,"SUB IN by GLOVER,CAMERON",,,,,,,"SUB IN by GLOVER,CAMERON",1
05:48,"SUB IN by SPENCE,SAM",,,,,,,"SUB IN by SPENCE,SAM",1
05:39,"MISS JUMPER by CHILDERS,JOSH(in the paint)",,,,,,,"MISS JUMPER by CHILDERS,JOSH(in the paint)",1
--,"REBOUND OFF by JACKSON,MARTISE",,,,,,,"REBOUND OFF by JACKSON,MARTISE",1
05:33,"MISS JUMPER by JACKSON,MARTISE(in the paint)",,,,,,,"MISS JUMPER by JACKSON,MARTISE(in the paint)",1
--,,,,,"REBOUND DEF by BROWN,TANNER",,,"REBOUND DEF by BROWN,TANNER",1
05:28,"FOUL  by GLOVER,COLIN",,,,,,,"FOUL  by GLOVER,COLIN",1
05:28,,,,,"MISS FT by CLARK,A.J.(fastbreak)",,,"MISS FT by CLARK,A.J.(fastbreak)",1
--,"REBOUND DEF by GLOVER,CAMERON",,,,,,,"REBOUND DEF by GLOVER,CAMERON",1
05:02,,,,,"FOUL  by BROWN,TANNER",,,"FOUL  by BROWN,TANNER",1
05:02,"GOOD FT by SPENCE,SAM",23,,34 (+11),,BSC 23-34 (-11),,"GOOD FT by SPENCE,SAM",1
05:02,,,,,"SUB OUT by CLARK,A.J.",,,"SUB OUT by CLARK,A.J.",1
05:02,,,,,"SUB IN by HANLEY,BEN",,,"SUB IN by HANLEY,BEN",1
05:02,"SUB OUT by GLOVER,COLIN",,,,,,,"SUB OUT by GLOVER,COLIN",1
05:02,"SUB OUT by CHILDERS,JOSH",,,,,,,"SUB OUT by CHILDERS,JOSH",1
05:02,"SUB IN by STEWART,CHRISTIAN",,,,,,,"SUB IN by STEWART,CHRISTIAN",1
05:02,"SUB IN by SIGLER,EVAN",,,,,,,"SUB IN by SIGLER,EVAN",1
05:02,"GOOD FT by SPENCE,SAM",24,,34 (+10),,BSC 24-34 (-10),,"GOOD FT by SPENCE,SAM",1
04:56,"FOUL  by SIGLER,EVAN",,,,,,,"FOUL  by SIGLER,EVAN",1
04:56,,,,,"SUB OUT by BROWN,TANNER",,,"SUB OUT by BROWN,TANNER",1
04:56,,,,,"SUB IN by BARRY,BRAXTON",,,"SUB IN by BARRY,BRAXTON",1
04:56,,24,,35 (+11),"GOOD FT by WILLIAMS,JACK(fastbreak)",TrinTX 24-35 (-11),,"GOOD FT by WILLIAMS,JACK(fastbreak)",1
04:56,,24,,36 (+12),"GOOD FT by WILLIAMS,JACK(fastbreak)",TrinTX 24-36 (-12),,"GOOD FT by WILLIAMS,JACK(fastbreak)",1
04:46,"MISS 3PTR by SIGLER,EVAN",,,,,,,"MISS 3PTR by SIGLER,EVAN",1
--,"REBOUND OFF by JACKSON,MARTISE",,,,,,,"REBOUND OFF by JACKSON,MARTISE",1
04:40,"MISS 3PTR by GLOVER,CAMERON",,,,,,,"MISS 3PTR by GLOVER,CAMERON",1
--,,,,,"REBOUND DEF by JENKINS,KALEB",,,"REBOUND DEF by JENKINS,KALEB",1
04:35,"FOUL  by STEWART,CHRISTIAN",,,,,,,"FOUL  by STEWART,CHRISTIAN",1
04:35,,24,,37 (+13),"GOOD FT by JENKINS,KALEB",TrinTX 24-37 (-13),,"GOOD FT by JENKINS,KALEB",1
04:35,,24,,38 (+14),"GOOD FT by JENKINS,KALEB",TrinTX 24-38 (-14),,"GOOD FT by JENKINS,KALEB",1
04:16,"GOOD 3PTR by GLOVER,CAMERON",27,,38 (+11),,BSC 27-38 (-11),,"GOOD 3PTR by GLOVER,CAMERON",1
--,"ASSIST  by JACKSON,MARTISE",,,,,,,"ASSIST  by JACKSON,MARTISE",1
04:06,"FOUL  by JACKSON,MARTISE",,,,,,,"FOUL  by JACKSON,MARTISE",1
04:06,,,,,"MISS FT by JENKINS,KALEB",,,"MISS FT by JENKINS,KALEB",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
04:06,"SUB OUT by JACKSON,MARTISE",,,,,,,"SUB OUT by JACKSON,MARTISE",1
04:06,"SUB IN by FITZGERALD,PAUL",,,,,,,"SUB IN by FITZGERALD,PAUL",1
