Time Remaining,CENTREM,Away Team Score,Play Team Indicator,Home Team Score,TMC,Game Score,Team Indicator,Play,Period
19:37,"TURNOVER  by GRIFFIN,JAROD",,,,,,,"TURNOVER  by GRIFFIN,JAROD",1
19:24,,,,,"MISS JUMPER by CLIFFORD,SIMON",,,"MISS JUMPER by CLIFFORD,SIMON",1
--,"REBOUND DEF by RAKES,BAILEY",,,,,,,"REBOUND DEF by RAKES,BAILEY",1
19:18,"MISS 3PTR by SINE,TUCKER",,,,,,,"MISS 3PTR by SINE,TUCKER",1
--,,,,,"REBOUND DEF by HORNE,BRANDON",,,"REBOUND DEF by HORNE,BRANDON",1
19:04,,0,,2 (+2),"GOOD LAYUP by CLIFFORD,SIMON(in the paint)",TMC 0-2 (-2),,"GOOD LAYUP by CLIFFORD,SIMON(in the paint)",1
18:40,"GOOD 3PTR by GRIFFIN,JAROD",3 (+1),,2,,CENTREM 3-2 (+1),,"GOOD 3PTR by GRIFFIN,JAROD",1
--,"ASSIST  by SINE,TUCKER",,,,,,,"ASSIST  by SINE,TUCKER",1
18:24,,3,,4 (+1),"GOOD LAYUP by CLIFFORD,SIMON(in the paint)",TMC 3-4 (-1),,"GOOD LAYUP by CLIFFORD,SIMON(in the paint)",1
--,,,,,"ASSIST  by YOUNG,AUSTIN",,,"ASSIST  by YOUNG,AUSTIN",1
18:16,"MISS JUMPER by SPITZER,JAKOB",,,,,,,"MISS JUMPER by SPITZER,JAKOB",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
18:13,,,,,"FOUL  by YOUNG,AUSTIN",,,"FOUL  by YOUNG,AUSTIN",1
18:13,"SUB IN by BATES,JACOB",,,,,,,"SUB IN by BATES,JACOB",1
18:13,"SUB OUT by SPITZER,JAKOB",,,,,,,"SUB OUT by SPITZER,JAKOB",1
18:04,"MISS 3PTR by GRIFFIN,JAROD",,,,,,,"MISS 3PTR by GRIFFIN,JAROD",1
--,,,,,"REBOUND DEF by KING,DAMION",,,"REBOUND DEF by KING,DAMION",1
17:53,,,,,"TURNOVER  by CLIFFORD,SIMON",,,"TURNOVER  by CLIFFORD,SIMON",1
17:51,"STEAL  by RAKES,BAILEY",,,,,,,"STEAL  by RAKES,BAILEY",1
17:48,"GOOD LAYUP by RAKES,BAILEY(fastbreak)(in the paint)",5 (+1),,4,,CENTREM 5-4 (+1),,"GOOD LAYUP by RAKES,BAILEY(fastbreak)(in the paint)",1
--,"ASSIST  by GRIFFIN,JAROD",,,,,,,"ASSIST  by GRIFFIN,JAROD",1
17:21,,,,,"MISS 3PTR by YOUNG,AUSTIN",,,"MISS 3PTR by YOUNG,AUSTIN",1
--,"REBOUND DEF by BATES,JACOB",,,,,,,"REBOUND DEF by BATES,JACOB",1
17:08,"TURNOVER  by SINE,TUCKER",,,,,,,"TURNOVER  by SINE,TUCKER",1
17:06,,,,,"STEAL  by KING,DAMION",,,"STEAL  by KING,DAMION",1
16:59,,5,,6 (+1),"GOOD LAYUP by KING,DAMION(in the paint)",TMC 5-6 (-1),,"GOOD LAYUP by KING,DAMION(in the paint)",1
16:27,"MISS 3PTR by BATES,JACOB",,,,,,,"MISS 3PTR by BATES,JACOB",1
--,,,,,"REBOUND DEF by KING,DAMION",,,"REBOUND DEF by KING,DAMION",1
16:06,,5,,8 (+3),"GOOD LAYUP by CLIFFORD,SIMON(in the paint)",TMC 5-8 (-3),,"GOOD LAYUP by CLIFFORD,SIMON(in the paint)",1
--,,,,,"ASSIST  by WILLIAMS,DANIEL",,,"ASSIST  by WILLIAMS,DANIEL",1
15:45,"FOUL  by GRIFFIN,JAROD",,,,,,,"FOUL  by GRIFFIN,JAROD",1
15:45,"TURNOVER  by GRIFFIN,JAROD",,,,,,,"TURNOVER  by GRIFFIN,JAROD",1
15:45,"SUB IN by GRUBER,SAM",,,,,,,"SUB IN by GRUBER,SAM",1
15:45,"SUB OUT by GRIFFIN,JAROD",,,,,,,"SUB OUT by GRIFFIN,JAROD",1
15:45,,,,,"SUB IN by STOCKWELL,JUNIOR",,,"SUB IN by STOCKWELL,JUNIOR",1
15:45,,,,,"SUB IN by PAULY,SAWYER",,,"SUB IN by PAULY,SAWYER",1
15:45,,,,,"SUB IN by GRIFFIN,MICHAEL",,,"SUB IN by GRIFFIN,MICHAEL",1
15:45,,,,,"SUB OUT by CLIFFORD,SIMON",,,"SUB OUT by CLIFFORD,SIMON",1
15:45,,,,,"SUB OUT by YOUNG,AUSTIN",,,"SUB OUT by YOUNG,AUSTIN",1
15:45,,,,,"SUB OUT by KING,DAMION",,,"SUB OUT by KING,DAMION",1
15:24,,,,,"MISS LAYUP by HORNE,BRANDON",,,"MISS LAYUP by HORNE,BRANDON",1
--,"REBOUND DEF by BATES,JACOB",,,,,,,"REBOUND DEF by BATES,JACOB",1
15:13,"GOOD JUMPER by SINE,TUCKER",7,,8 (+1),,CENTREM 7-8 (-1),,"GOOD JUMPER by SINE,TUCKER",1
15:00,"FOUL  by BATES,JACOB",,,,,,,"FOUL  by BATES,JACOB",1
15:00,,7,,9 (+2),"GOOD FT by STOCKWELL,JUNIOR",TMC 7-9 (-2),,"GOOD FT by STOCKWELL,JUNIOR",1
15:00,,,,,"MISS FT by STOCKWELL,JUNIOR",,,"MISS FT by STOCKWELL,JUNIOR",1
--,"REBOUND DEF by SPITZER,JAKOB",,,,,,,"REBOUND DEF by SPITZER,JAKOB",1
15:00,"SUB IN by SCHMUCKER,ZACH",,,,,,,"SUB IN by SCHMUCKER,ZACH",1
15:00,"SUB IN by AYERS,PERRY",,,,,,,"SUB IN by AYERS,PERRY",1
15:00,"SUB IN by SPITZER,JAKOB",,,,,,,"SUB IN by SPITZER,JAKOB",1
15:00,"SUB OUT by BATES,JACOB",,,,,,,"SUB OUT by BATES,JACOB",1
15:00,"SUB OUT by GUMP,MATT",,,,,,,"SUB OUT by GUMP,MATT",1
15:00,"SUB OUT by RAKES,BAILEY",,,,,,,"SUB OUT by RAKES,BAILEY",1
14:45,"GOOD JUMPER by AYERS,PERRY",9,,9,,CENTREM 9-9 (0),,"GOOD JUMPER by AYERS,PERRY",1
14:29,,,,,"MISS 3PTR by HORNE,BRANDON",,,"MISS 3PTR by HORNE,BRANDON",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
14:27,"SUB IN by WALKER,ART",,,,,,,"SUB IN by WALKER,ART",1
14:27,"SUB OUT by SINE,TUCKER",,,,,,,"SUB OUT by SINE,TUCKER",1
14:27,,,,,"SUB IN by STONE,RALPH",,,"SUB IN by STONE,RALPH",1
14:27,,,,,"SUB OUT by HORNE,BRANDON",,,"SUB OUT by HORNE,BRANDON",1
14:07,"MISS 3PTR by SCHMUCKER,ZACH",,,,,,,"MISS 3PTR by SCHMUCKER,ZACH",1
--,,,,,"REBOUND DEF by PAULY,SAWYER",,,"REBOUND DEF by PAULY,SAWYER",1
13:55,,9,,11 (+2),"GOOD JUMPER by WILLIAMS,DANIEL",TMC 9-11 (-2),,"GOOD JUMPER by WILLIAMS,DANIEL",1
--,,,,,"ASSIST  by PAULY,SAWYER",,,"ASSIST  by PAULY,SAWYER",1
13:41,"GOOD 3PTR by AYERS,PERRY",12 (+1),,11,,CENTREM 12-11 (+1),,"GOOD 3PTR by AYERS,PERRY",1
