Time Remaining,CENTRE-M,Away Team Score,Play Team Indicator,Home Team Score,16BSC-M,Game Score,Team Indicator,Play,Period
17:34,,49 (+4),,45,"GOOD LAYUP by THOM,IAN(in the paint)",16BSC-M 49-45 (+4),,"GOOD LAYUP by THOM,IAN(in the paint)",2
17:25,"GOOD LAYUP by BATES,JACOB(in the paint)",51 (+6),,45,,CENTRE-M 51-45 (+6),,"GOOD LAYUP by BATES,JACOB(in the paint)",2
17:25,,,,,"FOUL  by RUDAK,MATTY",,,"FOUL  by RUDAK,MATTY",2
17:25,"MISS FT by BATES,JACOB",,,,,,,"MISS FT by BATES,JACOB",2
--,,,,,"REBOUND DEF by DENEKA,HARRISON",,,"REBOUND DEF by DENEKA,HARRISON",2
17:09,,51 (+3),,48,"GOOD 3PTR by DENEKA,HARRISON",16BSC-M 51-48 (+3),,"GOOD 3PTR by DENEKA,HARRISON",2
--,,,,,"ASSIST  by LEWIS,EVAN",,,"ASSIST  by LEWIS,EVAN",2
16:40,"GOOD JUMPER by GUMP,MATT(in the paint)",53 (+5),,48,,CENTRE-M 53-48 (+5),,"GOOD JUMPER by GUMP,MATT(in the paint)",2
16:19,,,,,"FOUL  by DENEKA,HARRISON",,,"FOUL  by DENEKA,HARRISON",2
16:19,,,,,"TURNOVER  by DENEKA,HARRISON",,,"TURNOVER  by DENEKA,HARRISON",2
16:19,"SUB IN by SCHMUCKER,ZACH",,,,,,,"SUB IN by SCHMUCKER,ZACH",2
16:19,"SUB IN by GRUBER,SAM",,,,,,,"SUB IN by GRUBER,SAM",2
16:19,"SUB OUT by BATES,JACOB",,,,,,,"SUB OUT by BATES,JACOB",2
16:19,"SUB OUT by SINE,TUCKER",,,,,,,"SUB OUT by SINE,TUCKER",2
16:19,,,,,"SUB IN by GRAHAM,CHRIS",,,"SUB IN by GRAHAM,CHRIS",2
16:19,,,,,"SUB IN by BAK,CALVIN",,,"SUB IN by BAK,CALVIN",2
16:19,,,,,"SUB OUT by RUDAK,MATTY",,,"SUB OUT by RUDAK,MATTY",2
16:19,,,,,"SUB OUT by MCLEAN,JAMES",,,"SUB OUT by MCLEAN,JAMES",2
16:14,"MISS JUMPER by SCHMUCKER,ZACH",,,,,,,"MISS JUMPER by SCHMUCKER,ZACH",2
16:14,,,,,"BLOCK  by GRAHAM,CHRIS",,,"BLOCK  by GRAHAM,CHRIS",2
--,"REBOUND OFF by GRUBER,SAM",,,,,,,"REBOUND OFF by GRUBER,SAM",2
15:56,"GOOD 3PTR by RAKES,BAILEY",56 (+8),,48,,CENTRE-M 56-48 (+8),,"GOOD 3PTR by RAKES,BAILEY",2
15:42,"FOUL  by RAKES,BAILEY",,,,,,,"FOUL  by RAKES,BAILEY",2
15:39,,,,,TIMEOUT 20SEC by TEAM,,,TIMEOUT 20SEC by TEAM,2
15:39,"SUB IN by WALKER,ART",,,,,,,"SUB IN by WALKER,ART",2
15:39,"SUB OUT by GUMP,MATT",,,,,,,"SUB OUT by GUMP,MATT",2
15:38,"FOUL  by SCHMUCKER,ZACH",,,,,,,"FOUL  by SCHMUCKER,ZACH",2
15:38,,56 (+7),,49,"GOOD FT by GRAHAM,CHRIS",16BSC-M 56-49 (+7),,"GOOD FT by GRAHAM,CHRIS",2
15:38,,56 (+6),,50,"GOOD FT by GRAHAM,CHRIS",16BSC-M 56-50 (+6),,"GOOD FT by GRAHAM,CHRIS",2
15:10,"GOOD LAYUP by WALKER,ART(in the paint)",58 (+8),,50,,CENTRE-M 58-50 (+8),,"GOOD LAYUP by WALKER,ART(in the paint)",2
14:55,,,,,"MISS 3PTR by LEWIS,EVAN",,,"MISS 3PTR by LEWIS,EVAN",2
--,,,,,"REBOUND OFF by GRAHAM,CHRIS",,,"REBOUND OFF by GRAHAM,CHRIS",2
14:55,,,,,"SUB IN by MOORE,KADEN",,,"SUB IN by MOORE,KADEN",2
14:55,,,,,"SUB IN by PERKINS,ALEX",,,"SUB IN by PERKINS,ALEX",2
14:55,,,,,"SUB OUT by DENEKA,HARRISON",,,"SUB OUT by DENEKA,HARRISON",2
14:55,,,,,"SUB OUT by GRAHAM,CHRIS",,,"SUB OUT by GRAHAM,CHRIS",2
14:55,,,,,"SUB OUT by BAK,CALVIN",,,"SUB OUT by BAK,CALVIN",2
14:55,,,,,"SUB OUT by THOM,IAN",,,"SUB OUT by THOM,IAN",2
14:51,,58 (+5),,53,"GOOD 3PTR by PERKINS,ALEX",16BSC-M 58-53 (+5),,"GOOD 3PTR by PERKINS,ALEX",2
--,,,,,"ASSIST  by GRAHAM,CHRIS",,,"ASSIST  by GRAHAM,CHRIS",2
14:45,,,,,"SUB IN by GRAHAM,CHRIS",,,"SUB IN by GRAHAM,CHRIS",2
14:45,,,,,"SUB IN by BAK,CALVIN",,,"SUB IN by BAK,CALVIN",2
14:32,"SUB IN by GRIFFIN,JAROD",,,,,,,"SUB IN by GRIFFIN,JAROD",2
14:32,"SUB OUT by RAKES,BAILEY",,,,,,,"SUB OUT by RAKES,BAILEY",2
14:10,"TURNOVER  by WALKER,ART",,,,,,,"TURNOVER  by WALKER,ART",2
14:10,"SUB IN by GUMP,MATT",,,,,,,"SUB IN by GUMP,MATT",2
14:10,"SUB OUT by WALKER,ART",,,,,,,"SUB OUT by WALKER,ART",2
13:52,,,,,"MISS LAYUP by GRAHAM,CHRIS",,,"MISS LAYUP by GRAHAM,CHRIS",2
--,,,,,"REBOUND OFF by GRAHAM,CHRIS",,,"REBOUND OFF by GRAHAM,CHRIS",2
13:52,"FOUL  by SCHMUCKER,ZACH",,,,,,,"FOUL  by SCHMUCKER,ZACH",2
13:52,,58 (+4),,54,"GOOD FT by GRAHAM,CHRIS",16BSC-M 58-54 (+4),,"GOOD FT by GRAHAM,CHRIS",2
13:52,,58 (+3),,55,"GOOD FT by GRAHAM,CHRIS",16BSC-M 58-55 (+3),,"GOOD FT by GRAHAM,CHRIS",2
13:52,"SUB IN by BATES,JACOB",,,,,,,"SUB IN by BATES,JACOB",2
13:52,"SUB OUT by SCHMUCKER,ZACH",,,,,,,"SUB OUT by SCHMUCKER,ZACH",2
13:52,,,,,"SUB IN by MCLEAN,JAMES",,,"SUB IN by MCLEAN,JAMES",2
13:52,,,,,"SUB OUT by BAK,CALVIN",,,"SUB OUT by BAK,CALVIN",2
13:28,"MISS 3PTR by GRUBER,SAM",,,,,,,"MISS 3PTR by GRUBER,SAM",2
--,"REBOUND OFF by BATES,JACOB",,,,,,,"REBOUND OFF by BATES,JACOB",2
13:18,"GOOD 3PTR by BATES,JACOB",61 (+6),,55,,CENTRE-M 61-55 (+6),,"GOOD 3PTR by BATES,JACOB",2
--,"ASSIST  by GRIFFIN,JAROD",,,,,,,"ASSIST  by GRIFFIN,JAROD",2
13:17,"SUB IN by SINE,TUCKER",,,,,,,"SUB IN by SINE,TUCKER",2
13:17,"SUB OUT by GRIFFIN,JAROD",,,,,,,"SUB OUT by GRIFFIN,JAROD",2
13:17,,,,,"SUB IN by THOM,IAN",,,"SUB IN by THOM,IAN",2
13:17,,,,,"SUB OUT by LEWIS,EVAN",,,"SUB OUT by LEWIS,EVAN",2
12:57,,,,,"MISS LAYUP by GRAHAM,CHRIS",,,"MISS LAYUP by GRAHAM,CHRIS",2
--,"REBOUND DEF by GRUBER,SAM",,,,,,,"REBOUND DEF by GRUBER,SAM",2
12:56,,,,,"FOUL  by PERKINS,ALEX",,,"FOUL  by PERKINS,ALEX",2
12:34,"MISS LAYUP by BATES,JACOB",,,,,,,"MISS LAYUP by BATES,JACOB",2
12:34,,,,,"BLOCK  by MOORE,KADEN",,,"BLOCK  by MOORE,KADEN",2
--,,,,,"REBOUND DEF by THOM,IAN",,,"REBOUND DEF by THOM,IAN",2
12:30,,,,,"FOUL  by MCLEAN,JAMES",,,"FOUL  by MCLEAN,JAMES",2
12:30,,,,,"TURNOVER  by MCLEAN,JAMES",,,"TURNOVER  by MCLEAN,JAMES",2
12:30,"SUB IN by GRIFFIN,JAROD",,,,,,,"SUB IN by GRIFFIN,JAROD",2
12:30,"SUB OUT by GRUBER,SAM",,,,,,,"SUB OUT by GRUBER,SAM",2
12:30,,,,,"SUB IN by RUDAK,MATTY",,,"SUB IN by RUDAK,MATTY",2
12:30,,,,,"SUB IN by DENEKA,HARRISON",,,"SUB IN by DENEKA,HARRISON",2
12:30,,,,,"SUB OUT by GRAHAM,CHRIS",,,"SUB OUT by GRAHAM,CHRIS",2
12:30,,,,,"SUB OUT by MOORE,KADEN",,,"SUB OUT by MOORE,KADEN",2
12:20,,,,,"FOUL  by THOM,IAN",,,"FOUL  by THOM,IAN",2
12:20,"GOOD FT by BATES,JACOB",62 (+7),,55,,CENTRE-M 62-55 (+7),,"GOOD FT by BATES,JACOB",2
12:20,"GOOD FT by BATES,JACOB",63 (+8),,55,,CENTRE-M 63-55 (+8),,"GOOD FT by BATES,JACOB",2
11:50,,63 (+5),,58,"GOOD 3PTR by PERKINS,ALEX",16BSC-M 63-58 (+5),,"GOOD 3PTR by PERKINS,ALEX",2
--,,,,,"ASSIST  by THOM,IAN",,,"ASSIST  by THOM,IAN",2
11:22,"MISS 3PTR by BATES,JACOB",,,,,,,"MISS 3PTR by BATES,JACOB",2
--,,,,,"REBOUND DEF by DENEKA,HARRISON",,,"REBOUND DEF by DENEKA,HARRISON",2
11:13,,63 (+3),,60,"GOOD LAYUP by THOM,IAN(in the paint)",16BSC-M 63-60 (+3),,"GOOD LAYUP by THOM,IAN(in the paint)",2
11:13,"FOUL  by BATES,JACOB",,,,,,,"FOUL  by BATES,JACOB",2
11:13,,,,,TIMEOUT 20SEC by TEAM,,,TIMEOUT 20SEC by TEAM,2
11:13,,,,,"MISS FT by THOM,IAN",,,"MISS FT by THOM,IAN",2
--,"REBOUND DEF by GUMP,MATT",,,,,,,"REBOUND DEF by GUMP,MATT",2
11:13,"SUB IN by RAKES,BAILEY",,,,,,,"SUB IN by RAKES,BAILEY",2
11:13,"SUB OUT by AYERS,PERRY",,,,,,,"SUB OUT by AYERS,PERRY",2
10:50,"MISS 3PTR by RAKES,BAILEY",,,,,,,"MISS 3PTR by RAKES,BAILEY",2
--,,,,,"REBOUND DEF by PERKINS,ALEX",,,"REBOUND DEF by PERKINS,ALEX",2
10:50,"FOUL  by GUMP,MATT",,,,,,,"FOUL  by GUMP,MATT",2
10:50,,63 (+2),,61,"GOOD FT by PERKINS,ALEX",16BSC-M 63-61 (+2),,"GOOD FT by PERKINS,ALEX",2
10:50,,63 (+1),,62,"GOOD FT by PERKINS,ALEX",16BSC-M 63-62 (+1),,"GOOD FT by PERKINS,ALEX",2
10:50,"SUB IN by SPITZER,JAKOB",,,,,,,"SUB IN by SPITZER,JAKOB",2
10:50,"SUB OUT by BATES,JACOB",,,,,,,"SUB OUT by BATES,JACOB",2
10:50,,,,,"SUB IN by LEWIS,EVAN",,,"SUB IN by LEWIS,EVAN",2
10:50,,,,,"SUB OUT by THOM,IAN",,,"SUB OUT by THOM,IAN",2
10:31,,,,,"FOUL  by LEWIS,EVAN",,,"FOUL  by LEWIS,EVAN",2
10:31,"GOOD FT by SINE,TUCKER",64 (+2),,62,,CENTRE-M 64-62 (+2),,"GOOD FT by SINE,TUCKER",2
10:31,"GOOD FT by SINE,TUCKER",65 (+3),,62,,CENTRE-M 65-62 (+3),,"GOOD FT by SINE,TUCKER",2
10:11,"FOUL  by SPITZER,JAKOB",,,,,,,"FOUL  by SPITZER,JAKOB",2
10:11,,65 (+2),,63,"GOOD FT by RUDAK,MATTY",16BSC-M 65-63 (+2),,"GOOD FT by RUDAK,MATTY",2
10:11,,65 (+1),,64,"GOOD FT by RUDAK,MATTY",16BSC-M 65-64 (+1),,"GOOD FT by RUDAK,MATTY",2
10:11,"SUB IN by BATES,JACOB",,,,,,,"SUB IN by BATES,JACOB",2
10:11,"SUB OUT by SPITZER,JAKOB",,,,,,,"SUB OUT by SPITZER,JAKOB",2
10:11,,,,,"SUB IN by BAK,CALVIN",,,"SUB IN by BAK,CALVIN",2
10:11,,,,,"SUB OUT by PERKINS,ALEX",,,"SUB OUT by PERKINS,ALEX",2
09:47,,,,,"FOUL  by RUDAK,MATTY",,,"FOUL  by RUDAK,MATTY",2
09:47,"GOOD FT by RAKES,BAILEY",66 (+2),,64,,CENTRE-M 66-64 (+2),,"GOOD FT by RAKES,BAILEY",2
09:47,"GOOD FT by RAKES,BAILEY",67 (+3),,64,,CENTRE-M 67-64 (+3),,"GOOD FT by RAKES,BAILEY",2
09:36,"FOUL  by GUMP,MATT",,,,,,,"FOUL  by GUMP,MATT",2
09:32,,67 (+2),,65,"GOOD FT by DENEKA,HARRISON",16BSC-M 67-65 (+2),,"GOOD FT by DENEKA,HARRISON",2
09:32,,,,,"MISS FT by DENEKA,HARRISON",,,"MISS FT by DENEKA,HARRISON",2
--,"REBOUND DEF by GUMP,MATT",,,,,,,"REBOUND DEF by GUMP,MATT",2
09:26,"TURNOVER  by RAKES,BAILEY",,,,,,,"TURNOVER  by RAKES,BAILEY",2
09:26,,,,,"STEAL  by DENEKA,HARRISON",,,"STEAL  by DENEKA,HARRISON",2
09:26,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,2
09:26,"SUB IN by WALKER,ART",,,,,,,"SUB IN by WALKER,ART",2
09:26,"SUB OUT by GUMP,MATT",,,,,,,"SUB OUT by GUMP,MATT",2
09:09,,67,,67,"GOOD LAYUP by RUDAK,MATTY(in the paint)",16BSC-M 67-67 (0),,"GOOD LAYUP by RUDAK,MATTY(in the paint)",2
--,,,,,"ASSIST  by LEWIS,EVAN",,,"ASSIST  by LEWIS,EVAN",2
08:38,"MISS JUMPER by GRIFFIN,JAROD",,,,,,,"MISS JUMPER by GRIFFIN,JAROD",2
--,,,,,"REBOUND DEF by MCLEAN,JAMES",,,"REBOUND DEF by MCLEAN,JAMES",2
08:32,"SUB IN by AYERS,PERRY",,,,,,,"SUB IN by AYERS,PERRY",2
08:32,"SUB OUT by SINE,TUCKER",,,,,,,"SUB OUT by SINE,TUCKER",2
08:32,,,,,"SUB IN by GRAHAM,CHRIS",,,"SUB IN by GRAHAM,CHRIS",2
08:32,,,,,"SUB IN by THOM,IAN",,,"SUB IN by THOM,IAN",2
08:32,,,,,"SUB OUT by RUDAK,MATTY",,,"SUB OUT by RUDAK,MATTY",2
08:32,,,,,"SUB OUT by MCLEAN,JAMES",,,"SUB OUT by MCLEAN,JAMES",2
08:27,,,,,"TURNOVER  by THOM,IAN",,,"TURNOVER  by THOM,IAN",2
08:25,"STEAL  by BATES,JACOB",,,,,,,"STEAL  by BATES,JACOB",2
08:09,,,,,"FOUL  by MOORE,KADEN",,,"FOUL  by MOORE,KADEN",2
08:09,"GOOD FT by GRIFFIN,JAROD",68 (+1),,67,,CENTRE-M 68-67 (+1),,"GOOD FT by GRIFFIN,JAROD",2
08:09,"GOOD FT by GRIFFIN,JAROD",69 (+2),,67,,CENTRE-M 69-67 (+2),,"GOOD FT by GRIFFIN,JAROD",2
07:54,,,,,"MISS 3PTR by BAK,CALVIN",,,"MISS 3PTR by BAK,CALVIN",2
--,"REBOUND DEF by BATES,JACOB",,,,,,,"REBOUND DEF by BATES,JACOB",2
07:42,"GOOD LAYUP by AYERS,PERRY(in the paint)",71 (+4),,67,,CENTRE-M 71-67 (+4),,"GOOD LAYUP by AYERS,PERRY(in the paint)",2
07:32,,,,,"MISS 3PTR by MOORE,KADEN",,,"MISS 3PTR by MOORE,KADEN",2
--,"REBOUND DEF by RAKES,BAILEY",,,,,,,"REBOUND DEF by RAKES,BAILEY",2
07:27,,,,,"FOUL  by GRAHAM,CHRIS",,,"FOUL  by GRAHAM,CHRIS",2
07:27,TIMEOUT 20SEC by TEAM,,,,,,,TIMEOUT 20SEC by TEAM,2
07:27,"GOOD FT by RAKES,BAILEY",72 (+5),,67,,CENTRE-M 72-67 (+5),,"GOOD FT by RAKES,BAILEY",2
07:27,"GOOD FT by RAKES,BAILEY",73 (+6),,67,,CENTRE-M 73-67 (+6),,"GOOD FT by RAKES,BAILEY",2
07:27,,,,,"SUB IN by MCLEAN,JAMES",,,"SUB IN by MCLEAN,JAMES",2
07:27,,,,,"SUB OUT by BAK,CALVIN",,,"SUB OUT by BAK,CALVIN",2
07:22,"FOUL  by BATES,JACOB",,,,,,,"FOUL  by BATES,JACOB",2
07:22,,73 (+5),,68,"GOOD FT by MCLEAN,JAMES",16BSC-M 73-68 (+5),,"GOOD FT by MCLEAN,JAMES",2
07:22,,73 (+4),,69,"GOOD FT by MCLEAN,JAMES",16BSC-M 73-69 (+4),,"GOOD FT by MCLEAN,JAMES",2
06:52,"MISS LAYUP by GRIFFIN,JAROD",,,,,,,"MISS LAYUP by GRIFFIN,JAROD",2
--,,,,,"REBOUND DEF by GRAHAM,CHRIS",,,"REBOUND DEF by GRAHAM,CHRIS",2
06:36,,,,,"TURNOVER  by DENEKA,HARRISON",,,"TURNOVER  by DENEKA,HARRISON",2
06:36,"STEAL  by BATES,JACOB",,,,,,,"STEAL  by BATES,JACOB",2
06:36,"TURNOVER  by BATES,JACOB",,,,,,,"TURNOVER  by BATES,JACOB",2
06:36,"SUB IN by SINE,TUCKER",,,,,,,"SUB IN by SINE,TUCKER",2
06:36,"SUB IN by GUMP,MATT",,,,,,,"SUB IN by GUMP,MATT",2
06:36,"SUB OUT by WALKER,ART",,,,,,,"SUB OUT by WALKER,ART",2
06:36,"SUB OUT by GRIFFIN,JAROD",,,,,,,"SUB OUT by GRIFFIN,JAROD",2
06:30,,,,,"MISS JUMPER by THOM,IAN",,,"MISS JUMPER by THOM,IAN",2
--,"REBOUND DEF by BATES,JACOB",,,,,,,"REBOUND DEF by BATES,JACOB",2
06:17,"TURNOVER  by SINE,TUCKER",,,,,,,"TURNOVER  by SINE,TUCKER",2
06:14,,,,,"STEAL  by GRAHAM,CHRIS",,,"STEAL  by GRAHAM,CHRIS",2
06:02,"FOUL  by BATES,JACOB",,,,,,,"FOUL  by BATES,JACOB",2
06:02,,73 (+3),,70,"GOOD FT by GRAHAM,CHRIS",16BSC-M 73-70 (+3),,"GOOD FT by GRAHAM,CHRIS",2
06:02,"SUB IN by SPITZER,JAKOB",,,,,,,"SUB IN by SPITZER,JAKOB",2
06:02,"SUB OUT by BATES,JACOB",,,,,,,"SUB OUT by BATES,JACOB",2
06:02,,,,,"SUB IN by LEWIS,EVAN",,,"SUB IN by LEWIS,EVAN",2
06:02,,,,,"SUB IN by PERKINS,ALEX",,,"SUB IN by PERKINS,ALEX",2
06:02,,,,,"SUB OUT by THOM,IAN",,,"SUB OUT by THOM,IAN",2
06:02,,,,,"SUB OUT by LEWIS,EVAN",,,"SUB OUT by LEWIS,EVAN",2
05:58,,,,,"FOUL  by DENEKA,HARRISON",,,"FOUL  by DENEKA,HARRISON",2
05:58,"MISS FT by SPITZER,JAKOB",,,,,,,"MISS FT by SPITZER,JAKOB",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
05:58,"GOOD FT by SPITZER,JAKOB",74 (+4),,70,,CENTRE-M 74-70 (+4),,"GOOD FT by SPITZER,JAKOB",2
05:32,,,,,"MISS 3PTR by PERKINS,ALEX",,,"MISS 3PTR by PERKINS,ALEX",2
--,,,,,"REBOUND OFF by DENEKA,HARRISON",,,"REBOUND OFF by DENEKA,HARRISON",2
05:28,,,,,"MISS JUMPER by DENEKA,HARRISON",,,"MISS JUMPER by DENEKA,HARRISON",2
--,,,,,"REBOUND OFF by DENEKA,HARRISON",,,"REBOUND OFF by DENEKA,HARRISON",2
05:25,,74 (+2),,72,"GOOD TIPIN by DENEKA,HARRISON(in the paint)",16BSC-M 74-72 (+2),,"GOOD TIPIN by DENEKA,HARRISON(in the paint)",2
05:16,"TURNOVER  by GUMP,MATT",,,,,,,"TURNOVER  by GUMP,MATT",2
05:14,,,,,"STEAL  by PERKINS,ALEX",,,"STEAL  by PERKINS,ALEX",2
05:11,,,,,"TURNOVER  by DENEKA,HARRISON",,,"TURNOVER  by DENEKA,HARRISON",2
05:11,"STEAL  by AYERS,PERRY",,,,,,,"STEAL  by AYERS,PERRY",2
05:11,,,,,"FOUL  by DENEKA,HARRISON",,,"FOUL  by DENEKA,HARRISON",2
05:11,"MISS FT by AYERS,PERRY",,,,,,,"MISS FT by AYERS,PERRY",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
05:11,"GOOD FT by AYERS,PERRY",75 (+3),,72,,CENTRE-M 75-72 (+3),,"GOOD FT by AYERS,PERRY",2
05:11,,,,,"SUB IN by THOM,IAN",,,"SUB IN by THOM,IAN",2
05:11,,,,,"SUB OUT by PERKINS,ALEX",,,"SUB OUT by PERKINS,ALEX",2
05:01,,75,,75,"GOOD 3PTR by DENEKA,HARRISON",16BSC-M 75-75 (0),,"GOOD 3PTR by DENEKA,HARRISON",2
--,,,,,"ASSIST  by THOM,IAN",,,"ASSIST  by THOM,IAN",2
04:52,,,,,"SUB IN by RUDAK,MATTY",,,"SUB IN by RUDAK,MATTY",2
04:52,,,,,"SUB OUT by GRAHAM,CHRIS",,,"SUB OUT by GRAHAM,CHRIS",2
04:28,"GOOD 3PTR by SINE,TUCKER",78 (+3),,75,,CENTRE-M 78-75 (+3),,"GOOD 3PTR by SINE,TUCKER",2
04:28,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
04:18,,,,,"TURNOVER  by MCLEAN,JAMES",,,"TURNOVER  by MCLEAN,JAMES",2
03:58,"GOOD LAYUP by SPITZER,JAKOB(in the paint)",80 (+5),,75,,CENTRE-M 80-75 (+5),,"GOOD LAYUP by SPITZER,JAKOB(in the paint)",2
03:42,"FOUL  by SINE,TUCKER",,,,,,,"FOUL  by SINE,TUCKER",2
03:42,,80 (+4),,76,"GOOD FT by MCLEAN,JAMES",16BSC-M 80-76 (+4),,"GOOD FT by MCLEAN,JAMES",2
03:42,,,,,"MISS FT by MCLEAN,JAMES",,,"MISS FT by MCLEAN,JAMES",2
--,"REBOUND DEF by AYERS,PERRY",,,,,,,"REBOUND DEF by AYERS,PERRY",2
03:15,,,,,"FOUL  by RUDAK,MATTY",,,"FOUL  by RUDAK,MATTY",2
03:15,"GOOD FT by GUMP,MATT",81 (+5),,76,,CENTRE-M 81-76 (+5),,"GOOD FT by GUMP,MATT",2
03:15,"GOOD FT by GUMP,MATT",82 (+6),,76,,CENTRE-M 82-76 (+6),,"GOOD FT by GUMP,MATT",2
03:15,"SUB IN by GRIFFIN,JAROD",,,,,,,"SUB IN by GRIFFIN,JAROD",2
03:15,"SUB OUT by RAKES,BAILEY",,,,,,,"SUB OUT by RAKES,BAILEY",2
03:08,,82 (+4),,78,"GOOD LAYUP by THOM,IAN(in the paint)",16BSC-M 82-78 (+4),,"GOOD LAYUP by THOM,IAN(in the paint)",2
02:57,"TURNOVER  by GUMP,MATT",,,,,,,"TURNOVER  by GUMP,MATT",2
02:57,,,,,"STEAL  by LEWIS,EVAN",,,"STEAL  by LEWIS,EVAN",2
02:57,"FOUL  by GUMP,MATT",,,,,,,"FOUL  by GUMP,MATT",2
02:57,,82 (+3),,79,"GOOD FT by LEWIS,EVAN",16BSC-M 82-79 (+3),,"GOOD FT by LEWIS,EVAN",2
02:57,,82 (+2),,80,"GOOD FT by LEWIS,EVAN",16BSC-M 82-80 (+2),,"GOOD FT by LEWIS,EVAN",2
02:57,"SUB IN by RAKES,BAILEY",,,,,,,"SUB IN by RAKES,BAILEY",2
02:57,"SUB OUT by SINE,TUCKER",,,,,,,"SUB OUT by SINE,TUCKER",2
02:41,"GOOD LAYUP by SPITZER,JAKOB(in the paint)",84 (+4),,80,,CENTRE-M 84-80 (+4),,"GOOD LAYUP by SPITZER,JAKOB(in the paint)",2
--,"ASSIST  by AYERS,PERRY",,,,,,,"ASSIST  by AYERS,PERRY",2
02:24,,84 (+2),,82,"GOOD LAYUP by THOM,IAN(in the paint)",16BSC-M 84-82 (+2),,"GOOD LAYUP by THOM,IAN(in the paint)",2
02:03,"TURNOVER  by AYERS,PERRY",,,,,,,"TURNOVER  by AYERS,PERRY",2
02:03,"SUB IN by SINE,TUCKER",,,,,,,"SUB IN by SINE,TUCKER",2
02:03,"SUB OUT by GRIFFIN,JAROD",,,,,,,"SUB OUT by GRIFFIN,JAROD",2
01:52,,,,,"MISS LAYUP by THOM,IAN",,,"MISS LAYUP by THOM,IAN",2
--,"REBOUND DEF by SPITZER,JAKOB",,,,,,,"REBOUND DEF by SPITZER,JAKOB",2
01:52,,,,,"FOUL  by THOM,IAN",,,"FOUL  by THOM,IAN",2
01:52,"GOOD FT by SPITZER,JAKOB",85 (+3),,82,,CENTRE-M 85-82 (+3),,"GOOD FT by SPITZER,JAKOB",2
01:52,"MISS FT by SPITZER,JAKOB",,,,,,,"MISS FT by SPITZER,JAKOB",2
--,,,,,"REBOUND DEF by RUDAK,MATTY",,,"REBOUND DEF by RUDAK,MATTY",2
01:43,"FOUL  by RAKES,BAILEY",,,,,,,"FOUL  by RAKES,BAILEY",2
01:43,,85 (+2),,83,"GOOD FT by THOM,IAN",16BSC-M 85-83 (+2),,"GOOD FT by THOM,IAN",2
01:43,,85 (+1),,84,"GOOD FT by THOM,IAN",16BSC-M 85-84 (+1),,"GOOD FT by THOM,IAN",2
01:30,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
01:14,"GOOD LAYUP by SINE,TUCKER(in the paint)",87 (+3),,84,,CENTRE-M 87-84 (+3),,"GOOD LAYUP by SINE,TUCKER(in the paint)",2
01:01,,87 (+1),,86,"GOOD LAYUP by RUDAK,MATTY(in the paint)",16BSC-M 87-86 (+1),,"GOOD LAYUP by RUDAK,MATTY(in the paint)",2
--,,,,,"ASSIST  by THOM,IAN",,,"ASSIST  by THOM,IAN",2
01:01,"FOUL  by SPITZER,JAKOB",,,,,,,"FOUL  by SPITZER,JAKOB",2
01:01,,87,,87,"GOOD FT by RUDAK,MATTY",16BSC-M 87-87 (0),,"GOOD FT by RUDAK,MATTY",2
01:01,"SUB IN by BATES,JACOB",,,,,,,"SUB IN by BATES,JACOB",2
01:01,"SUB OUT by SPITZER,JAKOB",,,,,,,"SUB OUT by SPITZER,JAKOB",2
00:44,"GOOD JUMPER by GUMP,MATT",89 (+2),,87,,CENTRE-M 89-87 (+2),,"GOOD JUMPER by GUMP,MATT",2
00:33,,89,,89,"GOOD LAYUP by THOM,IAN(in the paint)",16BSC-M 89-89 (0),,"GOOD LAYUP by THOM,IAN(in the paint)",2
00:31,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
00:08,,,,,"FOUL  by RUDAK,MATTY",,,"FOUL  by RUDAK,MATTY",2
00:08,"MISS FT by AYERS,PERRY",,,,,,,"MISS FT by AYERS,PERRY",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
00:08,"MISS FT by AYERS,PERRY",,,,,,,"MISS FT by AYERS,PERRY",2
--,,,,,"REBOUND DEF by GRAHAM,CHRIS",,,"REBOUND DEF by GRAHAM,CHRIS",2
00:08,"SUB IN by GRIFFIN,JAROD",,,,,,,"SUB IN by GRIFFIN,JAROD",2
00:08,"SUB OUT by BATES,JACOB",,,,,,,"SUB OUT by BATES,JACOB",2
00:08,,,,,"SUB IN by GRAHAM,CHRIS",,,"SUB IN by GRAHAM,CHRIS",2
00:08,,,,,"SUB OUT by RUDAK,MATTY",,,"SUB OUT by RUDAK,MATTY",2
00:00,,,,,"MISS JUMPER by THOM,IAN",,,"MISS JUMPER by THOM,IAN",2
--,,,,,"REBOUND OFF by GRAHAM,CHRIS",,,"REBOUND OFF by GRAHAM,CHRIS",2
