Time Remaining,CENTRE-M,Away Team Score,Play Team Indicator,Home Team Score,16BSC-M,Game Score,Team Indicator,Play,Period
17:21,"GOOD DUNK by SPITZER,JAKOB(in the paint)",11 (+7),,4,,CENTRE-M 11-4 (+7),,"GOOD DUNK by SPITZER,JAKOB(in the paint)",1
17:04,"FOUL  by SPITZER,JAKOB",,,,,,,"FOUL  by SPITZER,JAKOB",1
17:04,,,,,"MISS FT by RUDAK,MATTY",,,"MISS FT by RUDAK,MATTY",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
17:04,,11 (+6),,5,"GOOD FT by RUDAK,MATTY",16BSC-M 11-5 (+6),,"GOOD FT by RUDAK,MATTY",1
17:04,"SUB IN by BATES,JACOB",,,,,,,"SUB IN by BATES,JACOB",1
17:04,"SUB OUT by SPITZER,JAKOB",,,,,,,"SUB OUT by SPITZER,JAKOB",1
16:57,"TURNOVER  by GUMP,MATT",,,,,,,"TURNOVER  by GUMP,MATT",1
16:55,,,,,"STEAL  by THOM,IAN",,,"STEAL  by THOM,IAN",1
16:47,"FOUL  by RAKES,BAILEY",,,,,,,"FOUL  by RAKES,BAILEY",1
16:47,,11 (+5),,6,"GOOD FT by THOM,IAN",16BSC-M 11-6 (+5),,"GOOD FT by THOM,IAN",1
16:47,,11 (+4),,7,"GOOD FT by THOM,IAN",16BSC-M 11-7 (+4),,"GOOD FT by THOM,IAN",1
16:47,"SUB IN by AYERS,PERRY",,,,,,,"SUB IN by AYERS,PERRY",1
16:47,"SUB OUT by GRIFFIN,JAROD",,,,,,,"SUB OUT by GRIFFIN,JAROD",1
16:36,"MISS LAYUP by RAKES,BAILEY",,,,,,,"MISS LAYUP by RAKES,BAILEY",1
--,,,,,"REBOUND DEF by DENEKA,HARRISON",,,"REBOUND DEF by DENEKA,HARRISON",1
16:29,,11 (+1),,10,"GOOD 3PTR by LEWIS,EVAN",16BSC-M 11-10 (+1),,"GOOD 3PTR by LEWIS,EVAN",1
16:14,"GOOD LAYUP by AYERS,PERRY(in the paint)",13 (+3),,10,,CENTRE-M 13-10 (+3),,"GOOD LAYUP by AYERS,PERRY(in the paint)",1
15:55,,,,,"MISS LAYUP by LEWIS,EVAN",,,"MISS LAYUP by LEWIS,EVAN",1
--,,,,,"REBOUND OFF by RUDAK,MATTY",,,"REBOUND OFF by RUDAK,MATTY",1
15:53,,13 (+1),,12,"GOOD TIPIN by RUDAK,MATTY(in the paint)",16BSC-M 13-12 (+1),,"GOOD TIPIN by RUDAK,MATTY(in the paint)",1
15:28,"GOOD LAYUP by BATES,JACOB(in the paint)",15 (+3),,12,,CENTRE-M 15-12 (+3),,"GOOD LAYUP by BATES,JACOB(in the paint)",1
15:08,"FOUL  by AYERS,PERRY",,,,,,,"FOUL  by AYERS,PERRY",1
15:08,,,,,TIMEOUT 20SEC by TEAM,,,TIMEOUT 20SEC by TEAM,1
15:08,"SUB IN by GRUBER,SAM",,,,,,,"SUB IN by GRUBER,SAM",1
15:08,"SUB OUT by RAKES,BAILEY",,,,,,,"SUB OUT by RAKES,BAILEY",1
15:08,,,,,"SUB IN by MOORE,KADEN",,,"SUB IN by MOORE,KADEN",1
15:08,,,,,"SUB IN by GRAHAM,CHRIS",,,"SUB IN by GRAHAM,CHRIS",1
15:08,,,,,"SUB IN by PERKINS,ALEX",,,"SUB IN by PERKINS,ALEX",1
15:08,,,,,"SUB IN by MCLEAN,JAMES",,,"SUB IN by MCLEAN,JAMES",1
15:08,,,,,"SUB OUT by DENEKA,HARRISON",,,"SUB OUT by DENEKA,HARRISON",1
15:08,,,,,"SUB OUT by RUDAK,MATTY",,,"SUB OUT by RUDAK,MATTY",1
15:08,,,,,"SUB OUT by BAK,CALVIN",,,"SUB OUT by BAK,CALVIN",1
15:08,,,,,"SUB OUT by THOM,IAN",,,"SUB OUT by THOM,IAN",1
15:01,,,,,"TURNOVER  by LEWIS,EVAN",,,"TURNOVER  by LEWIS,EVAN",1
15:00,"STEAL  by BATES,JACOB",,,,,,,"STEAL  by BATES,JACOB",1
14:53,"MISS 3PTR by SINE,TUCKER",,,,,,,"MISS 3PTR by SINE,TUCKER",1
--,,,,,"REBOUND DEF by GRAHAM,CHRIS",,,"REBOUND DEF by GRAHAM,CHRIS",1
14:31,,,,,"MISS LAYUP by GRAHAM,CHRIS",,,"MISS LAYUP by GRAHAM,CHRIS",1
--,"REBOUND DEF by BATES,JACOB",,,,,,,"REBOUND DEF by BATES,JACOB",1
14:22,"MISS 3PTR by GUMP,MATT",,,,,,,"MISS 3PTR by GUMP,MATT",1
--,,,,,"REBOUND DEF by MOORE,KADEN",,,"REBOUND DEF by MOORE,KADEN",1
14:10,,15 (+1),,14,"GOOD LAYUP by GRAHAM,CHRIS(in the paint)",16BSC-M 15-14 (+1),,"GOOD LAYUP by GRAHAM,CHRIS(in the paint)",1
13:49,"GOOD LAYUP by GRUBER,SAM(in the paint)",17 (+3),,14,,CENTRE-M 17-14 (+3),,"GOOD LAYUP by GRUBER,SAM(in the paint)",1
--,"ASSIST  by GUMP,MATT",,,,,,,"ASSIST  by GUMP,MATT",1
13:29,,,,,"MISS LAYUP by GRAHAM,CHRIS",,,"MISS LAYUP by GRAHAM,CHRIS",1
--,"REBOUND DEF by GRUBER,SAM",,,,,,,"REBOUND DEF by GRUBER,SAM",1
13:10,"GOOD JUMPER by SINE,TUCKER(in the paint)",19 (+5),,14,,CENTRE-M 19-14 (+5),,"GOOD JUMPER by SINE,TUCKER(in the paint)",1
12:45,,,,,"TURNOVER  by MCLEAN,JAMES",,,"TURNOVER  by MCLEAN,JAMES",1
12:43,"STEAL  by SINE,TUCKER",,,,,,,"STEAL  by SINE,TUCKER",1
12:24,,,,,"FOUL  by LEWIS,EVAN",,,"FOUL  by LEWIS,EVAN",1
12:03,"GOOD 3PTR by AYERS,PERRY",22 (+8),,14,,CENTRE-M 22-14 (+8),,"GOOD 3PTR by AYERS,PERRY",1
11:52,,,,,"MISS 3PTR by PERKINS,ALEX",,,"MISS 3PTR by PERKINS,ALEX",1
--,"REBOUND DEF by SCHMUCKER,ZACH",,,,,,,"REBOUND DEF by SCHMUCKER,ZACH",1
11:39,"GOOD JUMPER by AYERS,PERRY",24 (+10),,14,,CENTRE-M 24-14 (+10),,"GOOD JUMPER by AYERS,PERRY",1
11:31,,24 (+7),,17,"GOOD 3PTR by DENEKA,HARRISON",16BSC-M 24-17 (+7),,"GOOD 3PTR by DENEKA,HARRISON",1
--,,,,,"ASSIST  by MCLEAN,JAMES",,,"ASSIST  by MCLEAN,JAMES",1
11:11,"GOOD 3PTR by GRIFFIN,JAROD",27 (+10),,17,,CENTRE-M 27-17 (+10),,"GOOD 3PTR by GRIFFIN,JAROD",1
--,"ASSIST  by AYERS,PERRY",,,,,,,"ASSIST  by AYERS,PERRY",1
10:49,,27 (+8),,19,"GOOD LAYUP by GRAHAM,CHRIS(in the paint)",16BSC-M 27-19 (+8),,"GOOD LAYUP by GRAHAM,CHRIS(in the paint)",1
10:49,,,,,TIMEOUT 20SEC by TEAM,,,TIMEOUT 20SEC by TEAM,1
10:49,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,1
10:49,"SUB IN by WALKER,ART",,,,,,,"SUB IN by WALKER,ART",1
10:49,"SUB IN by SCHMUCKER,ZACH",,,,,,,"SUB IN by SCHMUCKER,ZACH",1
10:49,"SUB IN by GRIFFIN,JAROD",,,,,,,"SUB IN by GRIFFIN,JAROD",1
10:49,"SUB OUT by BATES,JACOB",,,,,,,"SUB OUT by BATES,JACOB",1
10:49,"SUB OUT by SINE,TUCKER",,,,,,,"SUB OUT by SINE,TUCKER",1
10:49,"SUB OUT by GUMP,MATT",,,,,,,"SUB OUT by GUMP,MATT",1
10:49,,,,,"SUB IN by DENEKA,HARRISON",,,"SUB IN by DENEKA,HARRISON",1
10:49,,,,,"SUB IN by RUDAK,MATTY",,,"SUB IN by RUDAK,MATTY",1
10:49,,,,,"SUB IN by BAK,CALVIN",,,"SUB IN by BAK,CALVIN",1
10:49,,,,,"SUB IN by THOM,IAN",,,"SUB IN by THOM,IAN",1
