Time Remaining,EC-M,Away Team Score,Play Team Indicator,Home Team Score,CENTRE-M,Game Score,Team Indicator,Play,Period
19:39,,0,,2 (+2),"GOOD JUMPER by GRIFFIN,JAROD(in the paint)",CENTRE-M 0-2 (+2),,"GOOD JUMPER by GRIFFIN,JAROD(in the paint)",1
19:20,"GOOD 3PTR by SANDS,NICK",3 (+1),,2,,EC-M 3-2 (-1),,"GOOD 3PTR by SANDS,NICK",1
19:02,,,,,"MISS 3PTR by GUMP,MATT",,,"MISS 3PTR by GUMP,MATT",1
--,"REBOUND DEF by BONIN,BLAKE",,,,,,,"REBOUND DEF by BONIN,BLAKE",1
18:34,"MISS LAYUP by BONIN,BLAKE",,,,,,,"MISS LAYUP by BONIN,BLAKE",1
18:34,,,,,"BLOCK  by SPITZER,JAKOB",,,"BLOCK  by SPITZER,JAKOB",1
--,,,,,"REBOUND DEF by GUMP,MATT",,,"REBOUND DEF by GUMP,MATT",1
18:24,,3,,4 (+1),"GOOD LAYUP by GRIFFIN,JAROD(in the paint)",CENTRE-M 3-4 (+1),,"GOOD LAYUP by GRIFFIN,JAROD(in the paint)",1
18:03,"TURNOVER  by SANBORN,THOMAS",,,,,,,"TURNOVER  by SANBORN,THOMAS",1
18:01,,,,,"STEAL  by RAKES,BAILEY",,,"STEAL  by RAKES,BAILEY",1
17:58,"FOUL  by WAIRE,ISAIAH",,,,,,,"FOUL  by WAIRE,ISAIAH",1
17:47,,3,,6 (+3),"GOOD LAYUP by GUMP,MATT(in the paint)",CENTRE-M 3-6 (+3),,"GOOD LAYUP by GUMP,MATT(in the paint)",1
17:29,"TURNOVER  by HUTCHISON,DARRELL",,,,,,,"TURNOVER  by HUTCHISON,DARRELL",1
17:12,,,,,"MISS JUMPER by GUMP,MATT",,,"MISS JUMPER by GUMP,MATT",1
--,"REBOUND DEF by WAIRE,ISAIAH",,,,,,,"REBOUND DEF by WAIRE,ISAIAH",1
16:59,"MISS LAYUP by HUTCHISON,DARRELL",,,,,,,"MISS LAYUP by HUTCHISON,DARRELL",1
--,,,,,"REBOUND DEF by GUMP,MATT",,,"REBOUND DEF by GUMP,MATT",1
16:54,"FOUL  by SANDS,NICK",,,,,,,"FOUL  by SANDS,NICK",1
